,mcd_x,age_ka,MgCa,FeCa,AlCa,notes,Unnamed: 6,mbsf,d18O,d13C,mcd_y,age_ma,d18Oadj
0,120.21,2595.0,1.09,99.0,197.0,1208 14-2 10-12,,120.21,2.71,-0.22,125.01,2.595,3.35
1,121.28,2615.0,1.13,31.0,40.0,1208 14-2 123-125,,121.28,2.94,0.0,126.14,2.615,3.58
2,122.48,2645.0,1.07,23.0,23.0,1208_14-3 100-102,,122.48,3.01,-0.53,127.41,2.645019241,3.65
3,123.14,2661.0,1.21,36.0,98.0,1208_14-4 20-22,,123.14,2.52,0.08,128.11,2.661048342,3.16
4,124.65,2690.0,0.95,12.0,6.0,1208_14-5 30-32,,124.65,3.2,-0.5,129.71,2.69,3.84
5,125.13,2705.0,1.11,17.0,29.0,1208_14-5 80-82,,125.13,3.16,-0.19,130.21,2.705,3.8
6,125.53,2712.0,0.76,14.0,3.0,1208_14-5 123-125,,125.53,3.2,-0.48,130.64,2.712033267,3.84
7,125.82,2717.0,0.86,18.0,116.0,1208_14-6 3-5,,125.82,3.15,-0.42,130.94,2.716973979,3.79
8,126.45,2728.0,0.93,18.0,29.0,1208_14-6 70-72,,126.45,2.86,0.02,131.61,2.728,3.5
9,127.4,2755.0,0.85,16.0,24.0,1208_14-7 20-22,,127.4,2.5,-0.44,132.61,2.755,3.14
10,127.4,2755.0,0.85,21.0,25.0,1208_14-7 20-22,,127.4,2.5,-0.44,132.61,2.755,3.14
11,127.8,2771.0,1.05,20.0,107.0,1208_14-7 63-65,,127.8,2.59,-0.03,133.04,2.770955532,3.23
12,128.03,2780.0,0.87,21.0,25.0,1208_14-CC 10-12,,128.03,2.61,0.0,133.28,2.78,3.25
13,128.29,2795.0,1.01,18.0,26.0,1208_15-1 10-12,,128.29,2.73,0.02,133.56,2.795,3.37
14,129.52,2837.0,0.77,20.0,16.0,1208_15-1 140-142,,129.52,2.63,0.06,134.86,2.837180539,3.27
15,129.62,2840.0,0.95,17.0,27.0,1208_15-2 0-2,,129.62,2.7,0.19,134.96,2.84,3.34
16,130.37,2854.0,0.93,28.0,48.0,1208_15-2 80-82,,130.37,2.78,-0.12,135.76,2.853951782,3.42
17,130.85,2865.0,0.84,15.0,25.0,1208_15-2 130-132,,130.85,2.62,0.18,136.26,2.864929491,3.26
18,131.04,2870.0,1.03,28.0,60.0,1208_15-3 0-2,,131.04,2.65,-0.18,136.46,2.869959103,3.29
19,132.55,2903.0,1.03,17.0,7.0,1208 15-4 10-12,,132.55,2.79,-0.03,138.06,2.903027415,3.43
20,134.82,2965.0,0.89,,52.0,1208 15-5 100-102,,134.82,2.54,-0.06,140.46,2.965,3.18
21,135.95,3000.0,0.88,18.0,25.0,1208 15-6 70-72,,135.95,2.92,-0.24,141.66,3.0,3.56
22,137.08,3025.0,0.89,,44.0,1208 15-7 40-42,,137.08,2.72,-0.45,142.86,3.025,3.36
23,137.6,3040.0,0.88,17.0,25.0,1208_15-CC 20-22,,137.6,2.66,-0.26,143.4,3.04,3.3
24,137.75,3045.0,1.01,15.0,33.0,1208_16-1 5-7,,137.75,2.7,-0.45,143.56,3.045,3.34
25,138.28,3055.0,0.85,31.0,42.0,1208_16-1 62-64,,138.28,2.49,-0.08,144.13,3.055026196,3.13
26,138.44,3058.0,0.89,64.0,49.0,1208_16-1 79-80,,138.44,2.23,0.02,144.3,3.058,2.87
27,139.67,3090.0,0.93,20.0,10.0,1208_16-2 60-62,,139.67,2.8,0.05,145.61,3.09,3.44
28,139.86,3095.0,0.93,25.0,18.0,1208_16-2 80-82,,139.86,2.6,0.14,145.81,3.094990116,3.24
29,140.05,3100.0,0.93,33.0,19.0,1208_16-2 100-102,,140.05,2.47,0.05,146.01,3.1,3.11
30,140.91,3120.0,0.83,16.0,4.0,1208 16_3 42-44,,140.91,2.69,-0.26,146.93,3.12,3.33
31,142.77,3170.0,0.9,38.0,52.0,1208 16_4 90-92,,142.77,2.68,-0.28,148.91,3.17,3.32
32,145.21,3250.0,0.88,64.0,102.0,1208_16-6 50-52 sample with Fe/Ca or Al/Ca values which fall outside 2 s.d. of the mean values measured (see supplementary text),,145.21,2.5,0.03,151.51,3.249957496,3.14
33,145.78,3265.0,0.75,8.0,79.0,1208_16-6 110-112,,145.78,2.58,0.08,152.11,3.264958747,3.22
34,146.34,3280.0,0.8,21.0,32.0,1208_16-7 20-22,,146.34,2.63,0.09,152.71,3.28,3.27
35,147.6,3310.0,0.71,15.0,10.0,1208 17-1 42-44,,147.6,2.9,-0.14,154.05,3.31,3.54
