code,sample,mcd,age_ka,LiCa,Bca,NaCa,MgCa,AlCa,MnCa,SrCa,CdCa,BaCa,NdCa,Uca
QI1,A4H3_85-87,34.72,2417.1,12.0506,13.28745,2.86466,0.90847,3.48206,38.34129,1.0516,0.13725,2.86276,0.32388,11.07413
QG1,A4H3_115-117,35.02,2435.6,11.84061,14.90565,2.85706,0.94153,15.13916,38.02603,1.027,0.12548,2.67336,0.22018,17.05109
QG5,A4H3_125-127,35.12,2442,12.15786,13.25168,3.07113,0.97897,30.68484,30.54873,1.05833,0.13172,2.86568,0.55547,11.4616
QI5,A4H4_15-17,35.52,2472.9,12.00299,13.4092,2.67538,0.76104,16.46984,30.71539,1.05737,0.15676,2.88129,0.24941,8.99332
QG3,A4H4_34-36,35.71,2488.7,11.74968,11.9649,2.75974,0.79921,9.62599,25.30087,1.04239,0.13368,2.68613,0.36818,7.73905
QI2,A4H4_55-57,35.92,2499.4,11.8794,14.83301,2.77941,0.94428,6.72197,47.45914,1.0127,0.14052,2.77012,0.22603,18.48923
QI4,A4H4_65-67,36.02,2503,11.27588,13.41245,2.62079,0.87802,4.62563,23.95682,1.02226,0.12805,3.13478,0.58374,11.59157
QG2,A4H4_117-119,36.54,2530.1,11.1497,14.75481,2.87138,0.96834,30.06386,21.31316,1.00814,0.14825,3.28724,0.44466,11.95946
QG2rep,A4H4_117-119,36.54,2530.1,10.87375,13.72871,2.87764,0.95734,29.40076,20.56511,0.99266,0.14168,3.26357,0.43391,11.48778
QG4,A4H4_119.5-121.5,36.565,2532.1,12.46241,12.68244,2.86846,1.06906,5.389,42.70936,1.02458,0.14752,2.67779,0.21647,17.98669
QI3,A4H5_5-7,36.92,2550.8,12.31523,13.57695,2.82663,0.95133,8.35197,55.83234,1.03187,0.13675,3.06267,0.32849,19.83822
QI3rep,A4H5_5-7,36.92,2550.8,12.39872,13.52447,2.84934,0.95004,8.34051,55.6626,1.03408,0.14004,3.04747,0.3255,19.40876
T11,A4H5_105-107,37.92,2599.5,12.10563,14.95217,3.07515,0.98558,58.62622,32.19642,0.987,0.15034,3.32206,0.40089,11.47197
T11_rep,A4H5_105-107,37.92,2599.5,12.12281,14.69975,3.16011,1.01049,58.14183,33.94403,0.97408,0.15219,3.356,0.39163,11.36697
T12,A4H5_125-127,38.12,2609.7,11.47458,13.6508,2.74184,0.93475,23.98991,39.87883,1.00711,0.14808,2.87555,0.37791,13.26502
T13,A4H5_145-147,38.32,2623,11.83664,14.04186,2.59775,0.8363,9.74429,44.66094,1.03517,0.15924,7.85085,0.30144,17.51377
T14,A4H6_5-7,38.42,2628.8,11.56539,14.63649,2.68118,0.89792,18.42301,45.32174,1.02115,0.15093,3.13947,0.25976,18.58816
I18,B5H1_125-127,38.57,2635.3,11.56136,14.465,2.65617,0.9658,11.78072,56.56724,1.01001,0.13288,2.67798,0.29084,14.27132
I18rep,B5H1_125-127,38.57,2635.3,11.81016,13.17956,2.6976,0.97897,11.86996,58.93751,1.0163,0.14382,2.70286,0.29546,14.7999
T15,B5H1_145-147,38.77,2642.8,12.06325,14.3423,2.89453,0.97429,18.17269,40.02629,1.06446,0.13463,3.24993,0.42819,7.42848
I16,B5H2_5-7,38.87,2646.6,11.21065,13.49986,2.60205,0.92583,8.46556,49.40566,1.02559,0.13132,3.08884,0.45749,10.04767
I16rep,B5H2_5-7,38.87,2646.6,11.1007,11.59476,2.6226,0.93717,8.43122,50.00099,1.02712,0.13022,3.08004,0.45597,10.23095
I17,B5H2_25-27,39.07,2654.6,11.59281,12.43706,2.70923,0.94451,10.4908,86.72607,1.03524,0.12504,3.17951,0.33183,15.98674
T2,B5H2_35-37,39.17,2659.5,11.827,14.52759,2.62079,0.89476,11.73913,78.10899,1.02697,0.12766,4.32717,0.38373,19.07934
T3,B5H2_60-62,39.42,2671.1,12.83864,17.10303,2.75218,1.13829,10.92349,72.1398,1.02949,0.12896,4.05387,0.16111,11.35168
T4,B5H2_85-87,39.67,2681.8,12.16334,16.68281,2.73548,0.85294,25.64749,58.25589,1.03536,0.12287,4.17581,0.29413,16.13933
T5,B5H2_105-107,39.87,2688.4,12.78126,14.58432,3.05131,1.19627,94.34714,174.17621,1.04993,0.19014,3.37883,1.65603,30.74608
I19,B5H2_120-122,40.02,2693.5,14.96855,16.17959,2.8187,0.97209,16.89934,54.72123,0.99037,0.12884,2.84982,0.34577,13.0477
T6,B5H2_141_143,40.24,2701.4,11.72748,14.32845,2.84037,0.87095,23.42137,78.17387,1.0127,0.13405,28.90474,0.25132,16.03713
T7,B5H3_5-7,40.37,2708.4,12.0223,13.91342,2.96903,0.79899,19.8226,60.46249,1.05948,0.11989,2.91202,0.27157,10.68503
T8,B5H3_25-27,40.57,2719.3,11.74068,14.68762,2.85061,0.76917,23.48185,32.13043,1.02029,0.12475,4.98902,0.83229,5.25665
T9,B5H3_45-47,40.77,2731.1,11.83991,14.82174,2.86904,0.85932,19.2663,46.57171,0.99279,0.12363,2.8151,0.32543,7.48446
T10,B5H3_60-62,40.92,2739.6,11.90508,15.80639,2.83912,0.87212,11.5146,58.02273,1.02036,0.12807,2.74809,0.28163,9.42519
LP5,B5H4_15-17,41.97,2802.3,11.66374,14.80743,2.80008,0.86309,6.68654,70.57493,1.01326,0.13466,2.7028,0.33348,10.74594
LP5rep,B5H4_15-18,41.97,2802.3,11.64355,13.5442,2.77462,0.86533,6.74173,71.39629,1.02292,0.1352,2.67931,0.33429,10.53299
LP4,B5H4_25-27,42.07,2809.6,12.19969,13.65602,2.96595,0.82187,20.72388,60.45612,1.02185,0.11983,2.64451,0.30984,7.41229
LP3,B5H4_45-47,42.27,2820.5,12.99885,13.27562,2.99891,0.93218,16.77603,129.90277,1.02957,0.13547,2.55463,0.27468,12.86223
LP2,B5H4_75-77,42.57,2831.4,11.9441,12.74224,2.85642,0.88805,7.69688,82.38904,1.03431,0.11431,2.53549,0.20131,9.24502
LP1,B5H4_95-97,42.77,2839.2,12.00708,14.38486,2.70305,0.8091,5.958,104.69477,1.01068,0.12484,2.90906,0.31424,12.25229
LP1rep,B5H4_95-97,42.77,2839.2,12.06308,12.77001,2.74538,0.80927,5.99635,103.53517,1.01892,0.13189,2.9271,0.31704,12.34568
P1,A5H5_107-109,47.63,3067.8,12.54149,15.04312,3.33476,0.99562,22.8782,42.88452,1.04091,0.10467,2.90412,0.2154,11.6138
P2,A5H5_125-127,47.81,3078.9,12.78549,14.83293,3.35037,1.0121,19.06278,50.11289,1.01885,0.10635,2.95491,0.18493,15.81671
P3,A5H5_140-142,47.96,3088.7,12.99646,14.25706,2.89896,1.10695,13.30013,53.25437,0.99934,0.12149,6.68788,0.15945,20.89034
P5,A5H6_25-27,48.31,3109,13.39835,12.98198,2.97763,0.92915,5.6086,52.8053,1.00369,0.13234,2.6475,0.22667,28.45405
P5rep,A5H6_25-27,48.31,3109,13.50237,11.81323,2.91965,0.93647,5.65873,52.61336,1.00181,0.13941,2.62989,0.23047,28.10521
P4,A5H6_45-47,48.51,3118.7,12.70405,,3.3299,0.9755,240.02503,47.20155,1.03572,0.11816,2.98204,0.22154,23.04149
