,code,sample,mcd_x,age_ka,LiCa,Bca,NaCa,MgCa,AlCa,MnCa,SrCa,CdCa,BaCa,NdCa,Uca,mbsf,mcd_y,Species,d18O,d13C,d18Oadj,d13Cadj
0,QI1,A4H3_85-87,34.72,2417.1,12.0506,13.28745,2.86466,0.90847,3.48206,38.34129,1.0516,0.13725,2.86276,0.32388,11.07413,31.05,34.72,CWUEL,2.86,0.0,3.5,0.0
1,QG1,A4H3_115-117,35.02,2435.6,11.84061,14.90565,2.85706,0.94153,15.13916,38.02603,1.027,0.12548,2.67336,0.22018,17.05109,31.35,35.02,CWUEL,3.62,-0.23,4.26,-0.23
2,QG5,A4H3_125-127,35.12,2442.0,12.15786,13.25168,3.07113,0.97897,30.68484,30.54873,1.05833,0.13172,2.86568,0.55547,11.4616,31.45,35.12,CWUEL,3.45,-0.56,4.09,-0.56
3,QI5,A4H4_15-17,35.52,2472.9,12.00299,13.4092,2.67538,0.76104,16.46984,30.71539,1.05737,0.15676,2.88129,0.24941,8.99332,31.85,35.52,CWUEL,2.76,-0.43,3.4,-0.43
4,QG3,A4H4_34-36,35.71,2488.7,11.74968,11.9649,2.75974,0.79921,9.62599,25.30087,1.04239,0.13368,2.68613,0.36818,7.73905,32.04,35.71,CWUEL,3.46,-0.47,4.1,-0.47
5,QI2,A4H4_55-57,35.92,2499.4,11.8794,14.83301,2.77941,0.94428,6.72197,47.45914,1.0127,0.14052,2.77012,0.22603,18.48923,32.25,35.92,CWUEL,2.58,1.05,3.22,1.05
6,QI4,A4H4_65-67,36.02,2503.0,11.27588,13.41245,2.62079,0.87802,4.62563,23.95682,1.02226,0.12805,3.13478,0.58374,11.59157,32.35,36.02,CWUEL,2.67,0.08,3.31,0.08
7,QG2,A4H4_117-119,36.54,2530.1,11.1497,14.75481,2.87138,0.96834,30.06386,21.31316,1.00814,0.14825,3.28724,0.44466,11.95946,32.87,36.54,CWUEL,3.41,-0.53,4.05,-0.53
8,QG2rep,A4H4_117-119,36.54,2530.1,10.87375,13.72871,2.87764,0.95734,29.40076,20.56511,0.99266,0.14168,3.26357,0.43391,11.48778,32.87,36.54,CWUEL,3.41,-0.53,4.05,-0.53
9,QG4,A4H4_119.5-121.5,36.565,2532.1,12.46241,12.68244,2.86846,1.06906,5.389,42.70936,1.02458,0.14752,2.67779,0.21647,17.98669,32.895,36.565,CWUEL,3.66,-0.63,4.3,-0.63
10,QI3,A4H5_5-7,36.92,2550.8,12.31523,13.57695,2.82663,0.95133,8.35197,55.83234,1.03187,0.13675,3.06267,0.32849,19.83822,33.25,36.92,CWUEL,2.78,0.02,3.42,0.02
11,QI3rep,A4H5_5-7,36.92,2550.8,12.39872,13.52447,2.84934,0.95004,8.34051,55.6626,1.03408,0.14004,3.04747,0.3255,19.40876,33.25,36.92,CWUEL,2.78,0.02,3.42,0.02
12,T11,A4H5_105-107,37.92,2599.5,12.10563,14.95217,3.07515,0.98558,58.62622,32.19642,0.987,0.15034,3.32206,0.40089,11.47197,34.25,37.92,CWUEL,3.13,-0.3,3.77,-0.3
13,T11_rep,A4H5_105-107,37.92,2599.5,12.12281,14.69975,3.16011,1.01049,58.14183,33.94403,0.97408,0.15219,3.356,0.39163,11.36697,34.25,37.92,CWUEL,3.13,-0.3,3.77,-0.3
14,T12,A4H5_125-127,38.12,2609.7,11.47458,13.6508,2.74184,0.93475,23.98991,39.87883,1.00711,0.14808,2.87555,0.37791,13.26502,34.45,38.12,CWUEL,3.19,-0.32,3.83,-0.32
15,T13,A4H5_145-147,38.32,2623.0,11.83664,14.04186,2.59775,0.8363,9.74429,44.66094,1.03517,0.15924,7.85085,0.30144,17.51377,34.65,38.32,CWUEL,2.82,0.11,3.46,0.11
16,T14,A4H6_5-7,38.42,2628.8,11.56539,14.63649,2.68118,0.89792,18.42301,45.32174,1.02115,0.15093,3.13947,0.25976,18.58816,34.75,38.42,CWUEL,3.02,-0.02,3.66,-0.02
17,I18,B5H1_125-127,38.57,2635.3,11.56136,14.465,2.65617,0.9658,11.78072,56.56724,1.01001,0.13288,2.67798,0.29084,14.27132,34.85,38.57,CWUEL,3.15,-0.22,3.79,-0.22
18,I18rep,B5H1_125-127,38.57,2635.3,11.81016,13.17956,2.6976,0.97897,11.86996,58.93751,1.0163,0.14382,2.70286,0.29546,14.7999,34.85,38.57,CWUEL,3.15,-0.22,3.79,-0.22
19,T15,B5H1_145-147,38.77,2642.8,12.06325,14.3423,2.89453,0.97429,18.17269,40.02629,1.06446,0.13463,3.24993,0.42819,7.42848,35.05,38.77,CWUEL,3.26,-0.34,3.9,-0.34
