,code,sample,mcd_x,age_ka,LiCa,Bca,NaCa,MgCa,AlCa,MnCa,SrCa,CdCa,BaCa,NdCa,Uca,mbsf,mcd_y,Species,d18O,d13C
0,QI1,A4H3_85-87,34.72,2417.1,12.0506,13.28745,2.86466,0.90847,3.48206,38.34129,1.0516,0.13725,2.86276,0.32388,11.07413,31.05,34.72,UVIG,3.891,-0.686
1,QG1,A4H3_115-117,35.02,2435.6,11.84061,14.90565,2.85706,0.94153,15.13916,38.02603,1.027,0.12548,2.67336,0.22018,17.05109,31.35,35.02,UVIG,4.372,-1.061
2,QG5,A4H3_125-127,35.12,2442.0,12.15786,13.25168,3.07113,0.97897,30.68484,30.54873,1.05833,0.13172,2.86568,0.55547,11.4616,31.45,35.12,UVIG,4.368,-0.957
3,QI5,A4H4_15-17,35.52,2472.9,12.00299,13.4092,2.67538,0.76104,16.46984,30.71539,1.05737,0.15676,2.88129,0.24941,8.99332,31.85,35.52,UVIG,4.022,-0.95
4,QG3,A4H4_34-36,35.71,2488.7,11.74968,11.9649,2.75974,0.79921,9.62599,25.30087,1.04239,0.13368,2.68613,0.36818,7.73905,32.04,35.71,UVIG,4.275,-0.979
5,QI2,A4H4_55-57,35.92,2499.4,11.8794,14.83301,2.77941,0.94428,6.72197,47.45914,1.0127,0.14052,2.77012,0.22603,18.48923,32.25,35.92,UVIG,3.591,-0.831
6,QI4,A4H4_65-67,36.02,2503.0,11.27588,13.41245,2.62079,0.87802,4.62563,23.95682,1.02226,0.12805,3.13478,0.58374,11.59157,32.35,36.02,UVIG,3.976,-0.932
7,T11,A4H5_105-107,37.92,2599.5,12.10563,14.95217,3.07515,0.98558,58.62622,32.19642,0.987,0.15034,3.32206,0.40089,11.47197,34.25,37.92,UVIG,4.039,-1.099
8,T11_rep,A4H5_105-107,37.92,2599.5,12.12281,14.69975,3.16011,1.01049,58.14183,33.94403,0.97408,0.15219,3.356,0.39163,11.36697,34.25,37.92,UVIG,4.039,-1.099
9,T12,A4H5_125-127,38.12,2609.7,11.47458,13.6508,2.74184,0.93475,23.98991,39.87883,1.00711,0.14808,2.87555,0.37791,13.26502,34.45,38.12,UVIG,4.168,-1.281
10,T13,A4H5_145-147,38.32,2623.0,11.83664,14.04186,2.59775,0.8363,9.74429,44.66094,1.03517,0.15924,7.85085,0.30144,17.51377,34.65,38.32,UVIG,4.193,-1.29
11,T14,A4H6_5-7,38.42,2628.8,11.56539,14.63649,2.68118,0.89792,18.42301,45.32174,1.02115,0.15093,3.13947,0.25976,18.58816,34.75,38.42,UVIG,4.38,-1.27
12,T15,B5H1_145-147,38.77,2642.8,12.06325,14.3423,2.89453,0.97429,18.17269,40.02629,1.06446,0.13463,3.24993,0.42819,7.42848,35.05,38.77,UVIG,4.046,-0.951
13,I16,B5H2_5-7,38.87,2646.6,11.21065,13.49986,2.60205,0.92583,8.46556,49.40566,1.02559,0.13132,3.08884,0.45749,10.04767,35.15,38.87,UVIG,4.063,-0.899
14,I16rep,B5H2_5-7,38.87,2646.6,11.1007,11.59476,2.6226,0.93717,8.43122,50.00099,1.02712,0.13022,3.08004,0.45597,10.23095,35.15,38.87,UVIG,4.063,-0.899
15,T2,B5H2_35-37,39.17,2659.5,11.827,14.52759,2.62079,0.89476,11.73913,78.10899,1.02697,0.12766,4.32717,0.38373,19.07934,35.45,39.17,UVIG,3.793,-0.917
16,T5,B5H2_105-107,39.87,2688.4,12.78126,14.58432,3.05131,1.19627,94.34714,174.17621,1.04993,0.19014,3.37883,1.65603,30.74608,36.15,39.87,UVIG,4.072,-0.986
17,T7,B5H3_5-7,40.37,2708.4,12.0223,13.91342,2.96903,0.79899,19.8226,60.46249,1.05948,0.11989,2.91202,0.27157,10.68503,36.65,40.37,UVIG,3.948,-1.168
18,LP3,B5H4_45-47,42.27,2820.5,12.99885,13.27562,2.99891,0.93218,16.77603,129.90277,1.02957,0.13547,2.55463,0.27468,12.86223,38.55,42.27,UVIG,3.564,-0.47
19,LP2,B5H4_75-77,42.57,2831.4,11.9441,12.74224,2.85642,0.88805,7.69688,82.38904,1.03431,0.11431,2.53549,0.20131,9.24502,38.85,42.57,UVIG,3.436,-0.484
20,P1,A5H5_107-109,47.63,3067.8,12.54149,15.04312,3.33476,0.99562,22.8782,42.88452,1.04091,0.10467,2.90412,0.2154,11.6138,43.77,47.63,UVIG,3.378,-0.483
21,P3,A5H5_140-142,47.96,3088.7,12.99646,14.25706,2.89896,1.10695,13.30013,53.25437,0.99934,0.12149,6.68788,0.15945,20.89034,44.1,47.96,UVIG,3.594,-0.458
22,P5,A5H6_25-27,48.31,3109.0,13.39835,12.98198,2.97763,0.92915,5.6086,52.8053,1.00369,0.13234,2.6475,0.22667,28.45405,44.45,48.31,UVIG,3.514,-0.646
23,P5rep,A5H6_25-27,48.31,3109.0,13.50237,11.81323,2.91965,0.93647,5.65873,52.61336,1.00181,0.13941,2.62989,0.23047,28.10521,44.45,48.31,UVIG,3.514,-0.646
24,P4,A5H6_45-47,48.51,3118.7,12.70405,,3.3299,0.9755,240.02503,47.20155,1.03572,0.11816,2.98204,0.22154,23.04149,44.65,48.51,UVIG,3.595,-0.64
