mbsf,age_ka,d18O,d13C,mcd,age_ma,d18Oadj
86.44,1760,2.89,0.06,89.65,1.76,3.53
86.54,1762,2.94,-0.13,89.75,1.762085441,3.58
86.65,1765,2.9,,89.87,1.764546138,3.54
86.73,1766,3.06,0.02,89.95,1.766186603,3.7
86.84,1769,3,0.06,90.07,1.7686473,3.64
86.92,1770,2.99,-0.03,90.15,1.770287765,3.63
87.03,1773,3.35,-0.26,90.27,1.772748462,3.99
87.11,1774,2.69,-0.13,90.35,1.774388927,3.33
87.24,1777,2.46,-0.31,90.48,1.777054682,3.1
87.3,1778,2.83,-0.33,90.55,1.778490089,3.47
87.38,1780,3.38,-0.16,90.63,1.780130554,4.02
87.49,1783,3.12,-0.37,90.75,1.7825,3.76
87.63,1788,3.41,-0.42,90.89,1.787539623,4.05
87.69,1790,3.4,-0.34,90.95,1.789632925,4.04
87.81,1794,3.55,-0.33,91.07,1.794166667,4.19
87.91,1798,3.34,-0.15,91.18,1.797657247,3.98
87.97,1800,3.3,-0.21,91.25,1.8,3.94
88.05,1802,2.89,,91.33,1.801626304,3.53
88.15,1804,2.88,-0.12,91.44,1.803785548,3.52
88.28,1806,2.99,-0.1,91.57,1.806337382,3.63
88.36,1808,3.06,0.08,91.65,1.807907741,3.7
88.43,1809,2.96,-0.1,91.73,1.809478101,3.6
88.55,1812,2.75,-0.05,91.85,1.81183364,3.39
88.64,1814,2.76,-0.08,91.95,1.813796589,3.4
88.74,1816,2.96,-0.04,92.05,1.816,3.6
88.86,1818,3.06,-0.21,92.18,1.817775087,3.7
88.93,1819,3,-0.18,92.25,1.81883034,3.64
89.05,1821,3.08,0.06,92.38,1.820790096,3.72
89.13,1822,,-0.21,92.46,1.8219961,
89.25,1824,2.85,0.12,92.58,1.823805106,3.49
89.34,1825,3.24,0.1,92.68,1.825312611,3.88
89.41,1826,2.97,-0.06,92.75,1.826367864,3.61
89.48,1828,2.95,0.1,92.83,1.8275,3.59
89.6,1830,2.86,0,92.95,1.830114533,3.5
89.7,1832,2.98,0.16,93.05,1.832207835,3.62
89.79,1834,3.09,-0.14,93.15,1.834301136,3.73
89.87,1836,3.19,-0.21,93.23,1.835975778,3.83
89.96,1838,2.73,0.01,93.33,1.838,3.37
90.06,1840,2.77,-0.12,93.43,1.840091093,3.41
90.15,1842,2.6,-0.11,93.53,1.842115385,3.24
90.23,1844,2.72,0.05,93.65,1.843679025,3.36
90.29,1845,2.82,-0.22,93.72,1.845083929,3.46
90.41,1847,2.95,,93.84,1.847492337,3.59
90.48,1849,2.9,0.01,93.92,1.849,3.54
90.6,1852,2.76,-0.12,94.04,1.852341799,3.4
90.67,1854,3.14,-0.08,94.12,1.854482606,3.78
90.8,1858,2.89,-0.12,94.25,1.857961417,3.53
90.87,1860,3.18,-0.26,94.33,1.86,3.82
90.99,1864,3.45,-0.42,94.45,1.863968793,4.09
91.05,1866,3.47,-0.48,94.52,1.866212498,4.11
91.15,1869,3.47,-0.61,94.62,1.869417791,4.11
91.24,1873,3.06,-0.35,94.72,1.8725,3.7
91.37,1880,3.14,-0.5,94.85,1.880397718,3.78
91.43,1885,3.4,-0.34,94.92,1.884528324,4.04
91.51,1889,3.26,-0.49,95,1.889249017,3.9
91.65,1898,3.33,-0.25,95.15,1.898,3.97
91.72,1899,3.46,,95.22,1.899457712,4.1
91.79,1901,3.32,-0.17,95.3,1.901084169,3.96
91.91,1904,,-0.18,95.42,1.903523855,
91.98,1905,3.24,0.01,95.5,1.905150312,3.88
92.1,1908,3.15,-0.08,95.62,1.907589997,3.79
92.21,1910,3.16,0,95.74,1.91,3.8
92.29,1914,2.85,-0.16,95.82,1.914496671,3.49
92.41,1922,3.01,0,95.95,1.921672796,3.65
92.48,1926,2.89,-0.15,96.02,1.925536864,3.53
92.55,1930,2.63,-0.26,96.1,1.929952941,3.27
92.67,1937,2.81,0,96.22,1.936577057,3.45
92.76,1942,3.14,-0.35,96.32,1.942,3.78
92.86,1945,3.29,-0.49,96.42,1.944797654,3.93
92.95,1948,3.6,-0.36,96.52,1.947546921,4.24
93.07,1951,3.27,-0.23,96.65,1.951120968,3.91
93.14,1953,,-0.3,96.72,1.953045455,
93.26,1957,3.26,-0.2,96.85,1.956619501,3.9
93.33,1959,3.43,-0.32,96.92,1.958543988,4.07
93.43,1961,3.03,-0.1,97.02,1.961293255,3.67
93.52,1964,3.08,-0.14,97.12,1.964042522,3.72
93.64,1968,2.86,0.04,97.25,1.9675,3.5
93.71,1970,2.93,-0.02,97.32,1.969605437,3.57
93.81,1972,2.98,0.32,97.42,1.972441424,3.62
93.9,1975,2.76,0.06,97.52,1.975277411,3.4
94,1978,2.89,0.11,97.62,1.978113398,3.53
94.09,1981,2.72,0.08,97.72,1.980949385,3.36
94.2,1984,2.73,0.08,97.84,1.98435257,3.37
94.28,1987,2.5,-0.01,97.92,1.98662136,3.14
94.37,1989,2.94,-0.33,98.02,1.989457347,3.58
94.5,1993,2.91,-0.32,98.15,1.99314413,3.55
94.56,1995,2.84,-0.42,98.22,1.995,3.48
94.66,1998,3.09,-0.24,98.32,1.997936932,3.73
94.75,2001,3.29,-0.32,98.42,2.00074578,3.93
94.85,2004,3.4,-0.11,98.52,2.003554629,4.04
94.94,2006,3.13,-0.11,98.62,2.006363477,3.77
95.04,2009,3.09,-0.3,98.72,2.009172326,3.73
95.13,2012,3.21,,98.82,2.011981174,3.85
95.23,2015,2.96,0.01,98.92,2.014790023,3.6
95.32,2018,2.68,,99.02,2.0175,3.32
95.42,2019,,0.11,99.12,2.019253863,
95.51,2021,2.91,0.05,99.22,2.020948089,3.55
95.64,2023,2.95,0.08,99.35,2.023150583,3.59
95.7,2024,,0.04,99.42,2.024336541,
95.8,2026,2.8,-0.16,99.52,2.026030767,3.44
95.92,2028,2.95,0.08,99.65,2.028233261,3.59
95.99,2029,2.69,0.22,99.72,2.029419219,3.33
96.08,2031,2.68,0.18,99.82,2.031113445,3.32
96.18,2033,2.74,-0.07,99.92,2.032807671,3.38
96.27,2035,2.98,0.13,100.02,2.034501898,3.62
96.37,2036,,0.1,100.12,2.036196124,
96.46,2038,3.06,-0.12,100.22,2.03789035,3.7
96.56,2040,3.24,0.07,100.32,2.039584576,3.88
96.68,2042,3.24,-0.11,100.45,2.04178707,3.88
96.75,2043,3.28,-0.11,100.52,2.042973028,3.92
96.84,2045,3.22,0.08,100.62,2.044667254,3.86
96.94,2046,2.82,-0.01,100.72,2.04636148,3.46
97.06,2049,2.81,0.02,100.85,2.048563974,3.45
97.13,2050,2.93,-0.08,100.92,2.049749932,3.57
97.22,2051,2.97,-0.16,101.02,2.051444158,3.61
97.34,2054,2.82,-0.21,101.15,2.053646652,3.46
97.41,2055,3.01,-0.15,101.22,2.05483261,3.65
97.51,2057,3.1,-0.26,101.32,2.056526837,3.74
97.6,2058,3.19,-0.38,101.42,2.058221063,3.83
97.7,2060,3.17,-0.44,101.52,2.06,3.81
97.79,2062,3.41,-0.39,101.62,2.061733324,4.05
97.89,2064,3.58,-0.46,101.72,2.063557875,4.22
