mbsf,mcd,Species,d18O,d13C,age_ka
30.2,33.87,UVIG,3.53,-0.671,2348.2
30.25,33.92,UVIG,3.708,-0.759,2358.8
30.35,34.02,UVIG,4.205,-0.825,2366.6
30.45,34.12,UVIG,3.523,-0.252,2375.7
30.5,34.17,UVIG,3.561,-0.464,2379.3
30.57,34.24,UVIG,3.539,-0.363,2384.9
30.64,34.31,UVIG,3.807,-0.507,2389.8
30.75,34.42,UVIG,3.914,-0.667,2397.1
30.79,34.46,UVIG,3.822,-0.436,2400
30.85,34.52,UVIG,3.89,-0.648,2404.2
30.95,34.62,UVIG,3.673,-0.447,2410.9
31.05,34.72,UVIG,3.891,-0.686,2417.1
31.1,34.77,UVIG,3.659,-0.589,2420
31.15,34.82,UVIG,3.847,-0.773,2422.9
31.25,34.92,UVIG,4.334,-1.032,2429.6
31.35,35.02,UVIG,4.372,-1.061,2435.6
31.4,35.07,UVIG,4.39,-0.962,2438.9
31.45,35.12,UVIG,4.368,-0.957,2442
31.55,35.22,UVIG,4.135,-0.967,2447.1
31.6,35.27,UVIG,4.193,-0.826,2450
31.65,35.32,UVIG,4.066,-0.938,2453.4
31.75,35.42,UVIG,3.924,-0.801,2463.6
31.85,35.52,UVIG,4.022,-0.95,2472.9
31.95,35.62,UVIG,4.12,-1.1,2480.7
32,35.67,UVIG,4.268,-1.069,2485.2
32.04,35.71,UVIG,4.275,-0.979,2488.7
32.15,35.82,UVIG,3.813,-0.853,2494.9
32.25,35.92,UVIG,3.591,-0.831,2499.4
32.31,35.98,UVIG,4.039,-1.024,2501.4
32.35,36.02,UVIG,3.976,-0.932,2503
33.65,37.32,UVIG,3.974,-0.848,2566.3
33.75,37.42,UVIG,3.939,-0.598,2570.3
33.95,37.62,UVIG,3.634,-0.714,2580.8
34.25,37.92,UVIG,4.039,-1.099,2599.5
34.35,38.02,UVIG,4.134,-1.122,2604.4
34.45,38.12,UVIG,4.168,-1.281,2609.7
34.65,38.32,UVIG,4.193,-1.29,2623
34.75,38.42,UVIG,4.38,-1.27,2628.8
34.85,38.52,UVIG,4.165,-1.089,2633
34.95,38.62,UVIG,3.86,-0.916,2637.3
35.05,38.77,UVIG,4.046,-0.951,2642.8
35.15,38.87,UVIG,4.063,-0.899,2646.6
35.25,38.97,UVIG,4.108,-0.984,2650.2
