age_ka,temp,temp_min1,temp_add1,temp_min2,temp_add2,d18O_sw,d18O_sw_min1,d18O_sw_add_1,d18O_sw_min2,d18O_sw_add2
2499.9,1.3264,-0.86977,3.4806,-2.9841,5.4206,0.97111,0.46617,1.454,-0.011281,1.8846
2508.1,0.81082,-1.2903,3.0113,-3.3137,4.9588,1.1359,0.70228,1.5608,0.30124,1.9798
2512.5,0.44637,-1.5697,2.4447,-3.3965,4.2959,1.2929,0.84545,1.7378,0.42871,2.1024
2514.8,0.38505,-1.4317,2.4748,-3.2656,4.4466,1.4251,1.0288,1.8854,0.62066,2.2803
2516.2,1.0894,-0.98961,3.0738,-3.0034,5.1471,1.6843,1.229,2.1299,0.7919,2.6376
2518.1,0.67681,-1.2889,2.8039,-3.3989,4.5096,1.723,1.3084,2.1584,0.88565,2.562
2519.9,0.043933,-2.0605,2.1082,-4.0295,4.047,1.5958,1.1405,2.03,0.72683,2.4575
2521.7,1.393,-0.88561,3.6714,-3.066,5.9229,1.8521,1.3553,2.3301,0.90393,2.8419
2523.5,0.20763,-1.9528,2.4499,-4.1783,4.9259,1.5156,1.0446,2.0287,0.53678,2.5966
2529.6,-0.29383,-2.3662,1.746,-4.4604,3.7879,1.3943,0.95817,1.837,0.45356,2.2365
2530.9,0.98468,-1.308,3.113,-3.902,5.0839,1.6241,1.1375,2.0952,0.58968,2.5435
2535.1,0.51911,-1.4094,2.7419,-3.4594,4.5684,0.91023,0.42411,1.5761,-0.050899,2.2602
2542.2,0.23915,-1.6492,2.4168,-3.7177,4.2792,0.75048,0.33557,1.1961,-0.11908,1.641
2544.5,2.4886,-0.12339,5.0356,-2.5863,7.3367,1.1916,0.63877,1.772,0.11585,2.2674
2546.8,1.9359,-0.08656,4.0947,-2.0214,6.2324,1.0518,0.62864,1.5356,0.19689,2.0275
2552.5,1.6201,-0.38705,3.5388,-2.2556,5.4301,0.9827,0.58619,1.4144,0.18954,1.8053
2555.1,1.1085,-0.95243,3.1331,-2.8478,5.0127,1.0801,0.64567,1.5183,0.23692,1.9114
2556.9,1.3839,-0.80496,3.2092,-2.8478,5.0667,1.2236,0.77402,1.6367,0.32417,2.0383
2559.4,1.3206,-0.74424,3.288,-2.7229,5.1849,1.2199,0.78,1.6554,0.37216,2.0738
2561.9,2.9431,0.52563,5.2075,-1.8893,7.2683,1.4717,0.98882,1.9343,0.49586,2.3823
2564.4,1.9582,-0.20912,4.1191,-2.2243,6.3591,1.2654,0.81487,1.7456,0.36282,2.219
2570.2,1.4714,-0.55091,3.4682,-2.4084,5.4852,1.2074,0.78685,1.6343,0.35828,2.0647
2572.5,1.2868,-0.86329,3.3174,-2.7848,5.1305,1.0927,0.649,1.5385,0.20399,1.958
2574.6,1.3522,-0.83847,3.3236,-2.6558,5.3165,0.98541,0.53818,1.4208,0.16837,1.8551
2577.1,1.1695,-0.89483,3.2659,-2.755,5.1334,0.91041,0.44785,1.3402,0.067898,1.7782
2579.7,1.0929,-0.92659,3.0927,-2.8372,5.1688,0.78962,0.34479,1.2038,-0.044566,1.6905
2582.3,2.4095,0.12866,4.5901,-2.043,6.5286,0.98031,0.50863,1.4292,0.06443,1.8634
2585.6,3.262,1.2903,5.2969,-0.62517,7.2571,1.1459,0.69767,1.5811,0.2779,2.0264
2587.4,1.876,-0.25002,4.333,-2.4852,6.6262,0.92558,0.47056,1.413,0.023154,1.8762
2590.4,1.4127,-0.52751,3.4011,-2.6562,5.2584,0.93428,0.51312,1.3771,0.056425,1.7909
2593.3,1.925,-0.10903,3.762,-2.1276,5.69,1.0623,0.64582,1.4832,0.23144,1.8944
2595,0.48706,-1.6795,2.8431,-3.5886,5.1264,1.0185,0.61023,1.4685,0.18338,1.8665
