age_ka,d18O,MgCa,d18O_sw,d18O_min1,d18O_plus1,d18O_min2,d18O_plus2,salinity,sal_min1,sal_plus1,sal_min2,sal_plus2,temp,temp_min1,temp_plus1,temp_min2,temp_plus2
2499.9,3.42,0.93,0.64224,0.13316,1.1357,-0.35267,1.5181,35.268,33.382,37.095,31.583,38.512,1.3142,-0.78304,3.5943,-2.8642,5.3802
2508.1,3.57,1.08,0.81446,0.39151,1.2496,-0.010656,1.7012,35.905,34.339,37.517,32.849,39.19,0.86813,-1.1778,3.0081,-3.1813,5.1907
2512.5,3.91,0.94,0.94465,0.51096,1.3795,0.083762,1.792,36.388,34.781,37.998,33.199,39.526,0.34123,-1.6043,2.3406,-3.4612,4.3491
2514.8,4.09,0.94,1.0749,0.65596,1.5132,0.2544,1.9068,36.87,35.318,38.494,33.831,39.951,0.24206,-1.6106,2.4528,-3.5244,4.0254
2516.2,4.22,0.94,1.3297,0.87588,1.7606,0.40367,2.1981,37.814,36.133,39.41,34.384,41.03,0.97332,-1.0012,2.9834,-3.1337,4.9257
2518.1,4.33,1.03,1.3497,0.91705,1.782,0.47807,2.1738,37.888,36.285,39.489,34.66,40.94,0.50104,-1.5385,2.5451,-3.4896,4.3928
2519.9,4.46,0.92,1.242,0.80529,1.7069,0.3976,2.1611,37.489,35.871,39.211,34.361,40.893,0.0061757,-2.0997,2.0792,-3.9798,4.1707
2521.7,4.4,0.89,1.5179,1.0049,1.9923,0.55067,2.4604,38.511,36.611,40.268,34.928,42.001,1.3538,-0.97926,3.669,-3.0957,5.7649
2523.5,4.4,1.1,1.1945,0.73005,1.6914,0.27013,2.1862,37.313,35.593,39.153,33.889,40.986,0.2513,-1.8836,2.4516,-3.8476,4.6739
2529.6,4.3,0.92,1.0604,0.64858,1.529,0.20774,1.9202,36.816,35.291,38.552,33.658,40.001,-0.2374,-2.2275,1.8147,-4.4205,3.8194
2530.9,4.28,0.85,1.3226,0.8284,1.7717,0.33596,2.1914,37.787,35.957,39.451,34.133,41.005,1.0694,-1.3085,3.1354,-3.576,5.0763
