age_ka,temp,temp_min1,temp_plus1,temp_min2,temp_plus2,salinity,sal_min1,sal_plus1,sal_min2,sal_plus2,d18O_sw,d18O_min1,d18O_plus1,d18O_min2,d18O_plus2
2501.150416,0.2966604,-0.524265864,1.104751679,-1.281107231,1.951091581,30.04887183,29.40496206,30.73772104,28.7077562,31.4024248,-0.766804607,-0.940660245,-0.580815319,-1.128905827,-0.401345303
2504.072689,1.333480371,0.152743464,2.379772707,-0.788676848,3.310419915,31.4460673,30.18602187,32.31878127,29.32211258,33.05133401,-0.389561829,-0.729774096,-0.153929057,-0.963029603,0.043860183
2507.728155,1.297712209,0.374385481,2.260198243,-0.479634445,3.158034095,31.68201309,30.9969149,32.35264092,30.2791051,33.03726486,-0.325856464,-0.510832976,-0.144786953,-0.704641623,0.040061512
2509.67813,0.640545023,-0.267021346,1.545136528,-1.009286084,2.347396725,31.67227046,31.02595742,32.33178337,30.41448106,32.96056588,-0.328486977,-0.502991496,-0.150418491,-0.668090114,0.019352786
2511.137915,0.389144663,-0.478874504,1.205651785,-1.30459269,1.981466154,32.60434614,31.62553015,33.47492604,30.809231,34.24629312,-0.076826542,-0.341106859,0.15823003,-0.561507629,0.366499144
2514.060699,0.415472887,-0.465846494,1.226981142,-1.291129824,1.962191066,32.78003902,32.08270399,33.44156969,31.4554382,34.18632217,-0.029389464,-0.217669923,0.149223816,-0.387031685,0.350306986
2515.765596,1.072573902,0.017014799,1.967897961,-0.923623508,2.969350724,33.4572494,32.51391442,34.29732459,31.73049139,35.14820001,0.153457337,-0.101243107,0.38027764,-0.312767323,0.610014002
2517.714644,0.570877859,-0.476611291,1.588260322,-1.307551553,2.557494981,32.87577292,32.03384013,33.91920399,31.32050688,34.76160045,-0.003541311,-0.230863164,0.278185077,-0.423463142,0.505632122
2519.907213,0.011987534,-0.883435901,0.847935797,-1.695128397,1.647878995,32.47888667,31.80706607,33.1448768,31.13387445,33.75451627,-0.110700598,-0.292092162,0.069116737,-0.473853898,0.233719393
2521.611732,1.497867594,-0.213082057,2.602353836,-1.291598361,3.666822984,33.71740141,32.3864873,34.61020853,31.47819699,35.42798857,0.22369838,-0.13564843,0.464756303,-0.380886814,0.685556915
2523.561158,0.13641615,-0.928248787,1.674050687,-1.925112369,2.994766158,32.56780583,31.6898136,33.8231798,30.96615254,34.95527587,-0.086692427,-0.323750328,0.252258546,-0.519138815,0.557924485
2529.648355,-0.257338629,-1.191354563,0.647632556,-2.081733132,1.671514866,32.25651865,31.50027805,32.97556598,30.83222707,33.75466034,-0.170739964,-0.374924927,0.023402814,-0.555298692,0.233758291
2531.110442,1.180904158,-0.557134143,2.331065985,-1.802923657,3.313880393,34.06509999,32.03784778,35.04171944,31.02461283,35.82237374,0.317576997,-0.229781099,0.581264249,-0.503354535,0.792040909
2535.006669,0.637114827,-0.310924569,1.699706519,-1.149268749,2.770490891,30.68077234,29.85648556,33.8907536,29.16989224,35.30910836,-0.596191467,-0.818748898,0.270503472,-1.004129096,0.653459258
2542.800495,0.441496959,-0.427588757,1.284718391,-1.252324945,2.079827797,30.4646094,29.77295402,31.13747725,29.12468442,31.74671247,-0.654555461,-0.841302415,-0.472881143,-1.016335206,-0.308387634
2545.478124,2.927223586,0.406394237,4.124137742,-0.756097263,5.015871138,31.62196527,30.45422719,32.52366154,29.6133262,33.17121787,-0.342069378,-0.65735866,-0.098611385,-0.884401926,0.076228826
2548.892167,1.964410675,0.960246749,3.370448083,0.117061909,4.658229453,31.6040158,30.80712507,32.3679675,30.05067321,33.09567015,-0.346915735,-0.562076232,-0.140648774,-0.766318234,0.055830941
2555.96377,1.477006424,0.603655919,2.289940438,-0.344234441,3.102210911,31.61403419,30.8621074,32.31928425,30.09484946,33.03178204,-0.34421077,-0.547231002,-0.153793253,-0.754390645,0.038581151
2559.376472,1.206813241,0.305229989,2.089904604,-0.493468006,2.969202248,31.59327715,30.85852847,32.27720914,30.17529568,32.99871257,-0.34981517,-0.548197314,-0.165153533,-0.732670168,0.029652394
2561.324756,1.25913713,0.396034538,2.158522305,-0.41349818,3.038354534,31.81164972,31.08605119,32.5318882,30.3738862,33.23791106,-0.290854576,-0.48676618,-0.096390186,-0.679050727,0.094235987
2563.76137,1.314817716,0.452984746,2.196700375,-0.454074773,3.218541362,31.94200908,31.27660738,32.65177277,30.5968537,33.31874776,-0.255657549,-0.435316009,-0.064021351,-0.618849502,0.116061894
2565.712346,3.102444138,1.165723138,4.240805774,0.037785282,5.228141882,32.92752243,31.79204945,33.77963714,30.9592204,34.51801023,0.010431056,-0.29614665,0.240502029,-0.521010491,0.439862762
2567.905136,1.920729512,0.89916103,3.439908699,0.01922762,4.808155392,32.11003116,31.19437003,33.20033804,30.39025739,34.23932105,-0.210291586,-0.457520092,0.084091271,-0.674630504,0.364616683
2572.540118,1.511884837,0.664774401,2.397556638,-0.163573815,3.340856683,31.61855666,30.82636239,32.40751767,29.98986893,33.19840908,-0.342989703,-0.556882153,-0.129970228,-0.78273539,0.083570451
2574.492145,1.236738691,0.358179712,2.151406989,-0.431034438,3.015813873,30.7425211,29.94360286,31.65963337,29.18655812,32.442148,-0.579519302,-0.795227228,-0.331898991,-0.999629308,-0.12062004
2576.443127,1.331565516,0.460279644,2.210337089,-0.324311504,3.077473299,30.76885348,30.00786022,31.51084051,29.32528669,32.2225574,-0.57240956,-0.777877742,-0.372073063,-0.962172593,-0.179909503
