age_ka,temp,temp_min1,temp_plus1,temp_min2,temp_plus2,d18O_sw,d18O_min1,d18O_plus1,d18O_min2,d18O_plus2
2416.586829,0.471349491,-0.361149444,1.382306517,-1.305142411,2.231012428,0.348328809,-0.26335548,0.582174453,-0.642191833,0.78338388
2436.843783,0.642241982,-0.139753177,1.556777604,-1.002819776,2.386514099,0.396861347,0.197043164,0.593333878,-0.017185355,0.790078882
2445.601408,-0.915445034,-1.909930909,0.458670912,-2.856806827,1.810156275,-0.214467816,-0.882848103,0.275915593,-1.137889499,0.60222321
2473.111446,-1.148267787,-1.971976516,-0.328464973,-2.802151467,0.535744936,-0.166796777,-0.81923877,0.100312475,-1.109712361,0.311681028
2485.450996,-0.078100777,-1.172082879,0.906711244,-2.106032969,1.883819593,-0.538445645,-0.774116084,-0.159650017,-0.985532303,0.181610951
2499.433386,0.049999979,-0.909845406,0.947929585,-1.820091545,1.811940704,-0.609072066,-0.81875714,-0.419903594,-1.026479668,-0.207467375
2503.177147,0.904055853,-0.149027097,2.041358208,-1.301096549,3.041291082,0.406831215,-0.488711974,0.836845787,-0.863785848,1.069136278
2530.568546,1.326201473,0.32009361,2.276418006,-0.543073591,3.147970492,0.606091544,0.251585192,0.907651327,0.046707978,1.100700963
2532.427518,0.7619261,-0.258711296,1.887135327,-1.203139155,3.06876609,0.07752816,-0.31147251,0.443592871,-0.630502332,0.832643244
2555.562552,0.510994002,-0.383580549,1.277023382,-1.234093869,2.128141915,0.090247576,-0.391862802,0.389114625,-0.649508217,0.59630158
2556.62467,0.532705874,-0.313924387,1.366361621,-1.126710155,2.273242838,0.142506982,-0.126333314,0.36032724,-0.520038508,0.59519226
2557.964161,0.592810687,-0.367495598,1.422327187,-1.217465152,2.356112228,0.035097269,-0.326268124,0.270934434,-0.676503691,0.519133384
2559.025981,0.545479413,-0.472041195,1.684127229,-1.301068406,3.118214601,-0.1306939,-0.523419839,0.293947751,-0.756592876,0.736032065
2559.958489,0.978065219,-0.46418236,2.5061762,-1.370962546,3.66215509,0.016930563,-0.449524902,0.620302059,-0.719027852,0.881579792
2561.15568,0.625139292,-0.497194566,2.320320203,-1.445635732,3.452996176,-0.039337169,-0.320779432,0.57664171,-0.599902186,0.839656247
2562.08317,0.516381333,-0.502784278,1.618134429,-1.389072391,2.827730891,-0.08348539,-0.31283353,0.250041791,-0.531688749,0.667882849
2563.1414,0.932244844,-0.002919689,1.955344364,-1.029485964,2.873665089,0.084854115,-0.189373457,0.347677013,-0.451131061,0.573983877
2564.334617,1.00199149,0.173008842,1.919086778,-0.706762542,2.835149669,0.134418687,-0.100295582,0.361446514,-0.324007959,0.590125588
2564.999638,0.979494972,0.138539911,1.872720448,-0.659901699,2.889652873,0.180491748,-0.058465565,0.403620994,-0.247031412,0.608444597
2566.064394,1.173869891,-0.183448676,2.301274178,-1.337405502,3.273257372,0.156468436,-0.067321683,0.371173261,-0.262114456,0.571538124
2567.531426,0.4206814,-0.777358115,1.99812612,-1.640065495,3.018890584,0.08558803,-0.123239685,0.273699195,-0.300441941,0.472474614
2568.47248,0.24066392,-0.720886186,1.313069193,-1.551851558,2.460877369,0.05645117,-0.145945985,0.251694899,-0.319545747,0.440287747
2569.670505,0.524207669,-0.351451237,1.445725392,-1.081160962,2.259264485,0.036108086,-0.169281466,0.246808175,-0.359595312,0.431120276
2571.122151,0.549751592,-0.28116763,1.409859052,-1.048215723,2.299950169,-0.036368984,-0.238464709,0.164237844,-0.447911161,0.364325934
2572.59804,0.827960958,-0.063573032,1.802867293,-0.851648555,2.741833419,-0.061157285,-0.245977965,0.139873876,-0.421451207,0.351224249
2574.049831,0.535553318,-0.38793287,1.517193894,-1.396147928,2.440719784,-0.109878586,-0.311260052,0.08460526,-0.514598468,0.284656114
2575.905466,-0.095531297,-1.027834144,0.855643116,-1.893669831,1.854267838,-0.153192951,-0.345220895,0.048771203,-0.526178081,0.253109699
2577.631766,0.921910452,-0.433823617,2.079773348,-1.555506462,3.034228674,0.110475707,-0.252180601,0.403550387,-0.484246719,0.636509981
2580.174777,0.911965076,-0.096829027,1.874934982,-1.315475732,2.879948514,-0.089964858,-0.372657699,0.309731058,-0.601445739,0.576688632
2582.031744,-0.609262871,-1.639362475,0.740679471,-2.524784104,1.923920176,-0.380132132,-0.602096524,-0.144685863,-0.834073761,0.090605016
2584.286423,-0.764696649,-1.647715089,0.18593082,-2.475719345,1.046377576,-0.570556521,-0.811053865,-0.313604994,-1.00897544,-0.035586521
2586.282065,-0.063013138,-1.052425241,0.891532878,-2.120432273,1.847224977,-0.280361341,-0.699760493,0.048309414,-0.969132398,0.268513139
2588.403218,-0.166329976,-1.18547346,1.011523029,-2.127337234,2.442302228,-0.370722572,-0.68368589,0.065527621,-0.899962079,0.362981467
2589.866214,1.205827932,-0.789198401,2.516344479,-1.840688231,3.393227075,0.066236578,-0.598449629,0.350839635,-0.848257558,0.551521956
2591.468975,1.27007499,0.238540951,2.311371812,-0.71403215,3.183424352,0.13244794,-0.082360605,0.342729516,-0.334711824,0.52450211
2593.068816,0.785763431,-0.143809638,1.650486743,-1.078177295,2.610088094,0.071720934,-0.143515597,0.268903628,-0.340722332,0.457925985
2594.264459,0.75749468,-0.142793271,1.580939594,-1.015377369,2.514679284,0.033467256,-0.181108984,0.232173456,-0.370699542,0.447038632
2595.593818,0.888482525,-0.031696627,1.7126953,-0.760276124,2.548101181,0.10018896,-0.120038929,0.315177304,-0.336259535,0.515256961
2597.329737,0.878183788,-0.015389774,1.724748325,-1.028913634,2.63290133,0.108905707,-0.101270309,0.307125647,-0.296039205,0.531110873
2598.931516,0.046518768,-1.090790563,1.172317393,-2.015780571,2.219990828,-0.051540162,-0.285200751,0.170732382,-0.508790382,0.37794596
2600.781104,1.054124445,-0.232749213,2.094869408,-1.624826515,2.947191381,0.425745173,-0.030568827,0.657750066,-0.397324199,0.853262574
2604.510585,1.252248934,0.393799045,2.151173632,-0.483897979,2.936663954,0.492411178,0.276535531,0.695554152,0.069615446,0.864467758
2605.844685,0.555330305,-0.489936373,1.586507597,-1.395426999,2.533753818,0.295890399,0.042029308,0.569428165,-0.183993942,0.809520744
2607.847752,0.723996854,-0.236539236,1.649423428,-1.156818086,2.612578498,0.261580614,0.021751622,0.493293815,-0.21784542,0.70720986
2609.977116,0.54794621,-0.366913576,1.504631966,-1.237544779,2.412460289,0.137688311,-0.105838264,0.40567415,-0.31805453,0.646774159
2611.5691,0.409194747,-0.591447368,1.394630471,-1.505384999,2.47983335,0.13649221,-0.083806372,0.372681273,-0.302374991,0.591023563
2612.767997,0.747028239,-0.410630008,1.81634641,-1.338308146,2.804380243,0.226484913,0.002422793,0.444171791,-0.192838331,0.651856604
2613.705952,1.116470468,0.070676233,2.056146897,-1.011162773,2.905992401,0.202312283,-0.013506088,0.400766273,-0.203372433,0.591400473
2616.496616,0.384588193,-0.661353414,1.62729994,-1.609757718,2.625597424,0.143669191,-0.056239311,0.345834469,-0.262209937,0.53741741
2618.496592,0.635948093,-0.656843481,1.813905485,-1.794735569,2.821484653,-0.131866621,-0.482745192,0.143550776,-0.826760183,0.380202425
2621.959037,-0.062173077,-1.21741222,1.491452438,-2.140447133,2.613527708,-0.462197553,-0.719331308,-0.114200972,-0.949736645,0.133387241
2623.959171,0.022625291,-0.870052082,0.923997568,-1.792446814,1.81592716,-0.135620404,-0.444838221,0.110384754,-0.77244207,0.342386004
2629.143489,0.046518415,-0.850763577,0.864561954,-1.782369988,1.812824444,-0.123057507,-0.37309147,0.094984139,-0.594940972,0.312638927
2629.676751,0.198526307,-0.671462742,1.056717524,-1.481438742,1.924253804,-0.07192275,-0.327803402,0.150382558,-0.539786433,0.384006065
2631.007997,0.272778179,-0.615381452,1.148012002,-1.481934259,2.008776345,-0.11179435,-0.334738314,0.123745548,-0.524770203,0.367856031
2632.470373,0.177704233,-0.762821042,1.177549319,-1.63176245,2.202944458,-0.113450425,-0.342913322,0.133764631,-0.528105783,0.406797381
2633.656072,0.604991442,-0.392556211,1.588054664,-1.421308328,2.499423533,0.033774355,-0.208044108,0.268701235,-0.446112487,0.483927057
2634.718757,0.780926423,-0.168091897,1.69965447,-1.127872271,2.516214827,0.057881189,-0.189064262,0.292307574,-0.417233802,0.48433265
2635.513001,0.572707565,-0.364556999,1.524423829,-1.168607549,2.331250569,-0.017828714,-0.262050401,0.236934494,-0.470488852,0.470195396
2636.308744,0.695910425,-0.231691325,1.605930011,-1.234527066,2.411229265,0.126809671,-0.193779929,0.396775988,-0.473648934,0.607237054
2637.632423,1.152158898,0.294405056,2.056913721,-0.637178563,2.919246929,0.314758801,0.111776008,0.531040047,-0.146569655,0.716161105
2639.493185,1.328295198,0.23042506,2.632646855,-0.756149071,3.740011434,0.290656724,0.047765076,0.515804903,-0.166700772,0.707510906
2643.080983,2.010448388,0.668618545,3.203372345,-0.483544513,4.155853725,0.344892036,0.111204535,0.567195443,-0.139334701,0.772146202
2644.942806,2.052615628,0.947673328,3.152976595,-0.398296413,4.149057727,0.354178177,0.135088512,0.570240854,-0.145405304,0.7827024
2645.736282,1.153196651,-0.091473946,2.300701023,-1.090787528,3.466941172,0.187945555,-0.066773838,0.425681475,-0.291164089,0.639341356
2646.930079,1.264631966,0.052982981,2.327424758,-1.032328777,3.302803533,0.159375711,-0.0679179,0.384122493,-0.276184168,0.581141945
2647.994997,1.516692354,0.649555865,2.377958783,-0.201908279,3.349893621,0.139939266,-0.061504559,0.349767393,-0.246390561,0.567116827
2649.5935,1.077607513,0.203096877,2.019740093,-0.488886261,2.902660292,0.068862449,-0.140974299,0.288391423,-0.306785602,0.523158154
2651.720968,0.88709255,0.025957535,1.751793725,-0.760130145,2.673995847,0.139591734,-0.123154219,0.399905511,-0.36148214,0.618878125
