age_ka,d18O,MgCa,temp,temp_min1,temp_plus1,temp_min2,temp_plus2,salinity,sal_min1,sal_plus1,sal_min2,sal_plus2,d18O_sw,d18O_min1,d18O_plus1,d18O_min2,d18O_plus2
2499.9,3.42,0.93,6.6611,4.8401,8.1497,2.8878,9.3707,39.37,37.735,40.651,36.126,41.548,1.75,1.3084,2.0959,0.87391,2.3379
2508.1,3.57,1.08,5.9236,3.9318,7.5868,1.7057,8.9574,39.843,38.378,40.973,36.511,41.934,1.8777,1.482,2.1828,0.97796,2.4422
2512.5,3.91,0.94,5.1855,3.2444,6.7268,0.76817,8.0298,40.068,38.519,41.301,36.546,42.354,1.9385,1.5202,2.2712,0.98734,2.5556
2514.8,4.09,0.94,4.858,3.0012,6.4354,0.67873,7.7089,40.38,38.915,41.625,37.032,42.69,2.0226,1.6269,2.3587,1.1188,2.6462
2516.2,4.22,0.94,5.3313,3.4936,6.7878,1.2882,8.0018,41.124,39.643,42.358,37.893,43.357,2.2235,1.8236,2.5565,1.351,2.8264
2518.1,4.33,1.03,4.6518,2.7292,6.3232,0.12927,7.633,41.118,39.659,42.364,37.776,43.423,2.2218,1.828,2.5584,1.3195,2.8441
2519.9,4.46,0.92,4.172,2.2528,5.7813,-0.29832,7.2522,40.738,39.201,42.081,37.358,43.185,2.1192,1.7043,2.4817,1.2066,2.78
2521.7,4.4,0.89,5.3097,3.301,6.9852,0.99258,8.2086,41.539,39.96,42.839,38.187,43.85,2.3356,1.9092,2.6866,1.4305,2.9594
2523.5,4.4,1.1,4.6169,2.4216,6.3307,-0.36023,7.6746,40.659,38.929,42.074,36.783,43.364,2.098,1.6309,2.48,1.0514,2.8283
2529.6,4.3,0.92,4.2016,2.0442,5.8618,-0.72828,7.2953,40.242,38.592,41.632,36.261,42.706,1.9854,1.5398,2.3606,0.91034,2.6505
2530.9,4.28,0.85,5.3014,3.1019,6.9779,0.51584,8.1415,40.991,39.382,42.319,37.403,43.321,2.1876,1.7531,2.5462,1.2189,2.8166
2535.1,4.26,1.07,5.8588,3.9577,7.4867,1.9174,8.7487,39.227,37.515,40.918,35.753,42.66,1.7113,1.2492,2.168,0.7732,2.6382
2542.2,3.59,0.95,5.9264,3.8746,7.6256,1.7765,8.8803,38.814,37.2,40.145,35.513,41.145,1.5999,1.164,1.9592,0.70852,2.2293
2544.5,3.5,0.94,7.648,5.5758,9.203,3.1091,10.522,40.157,38.456,41.306,36.679,42.341,1.9625,1.5031,2.2726,1.0232,2.5522
2546.8,3.53,1.25,7.2711,5.479,8.6916,3.3003,10.016,39.678,38.316,40.857,36.557,41.96,1.8331,1.4653,2.1514,0.9903,2.4491
2552.5,3.42,1.07,7.0071,5.2354,8.3883,2.9354,9.5913,39.49,38.178,40.63,36.4,41.637,1.7822,1.4282,2.0902,0.94788,2.3621
2555.1,3.54,1.05,6.3355,4.4929,7.8289,1.9996,9.109,39.637,38.255,40.858,36.34,41.897,1.822,1.4487,2.1517,0.93192,2.4323
2556.9,3.75,1,6.285,4.4999,7.7953,2.3359,8.9445,40.014,38.635,41.216,36.968,42.167,1.9237,1.5515,2.2482,1.1013,2.5051
2559.4,3.8,1.04,6.1751,4.383,7.7141,2.5066,8.9979,39.989,38.595,41.21,36.993,42.116,1.9171,1.5405,2.2466,1.1082,2.4914
2561.9,3.78,1.02,7.5306,5.6294,9.1031,3.2473,10.145,40.671,39.342,41.813,37.638,42.728,2.1013,1.7423,2.4094,1.2824,2.6566
2564.4,3.67,1.27,6.9389,5.145,8.4123,3.1231,9.7378,40.222,38.814,41.338,37.273,42.406,1.9801,1.5997,2.2811,1.1837,2.5696
2570.2,3.64,1.07,6.5504,4.8495,7.9306,2.7376,9.148,40.036,38.665,41.091,37.169,42.038,1.9298,1.5596,2.2146,1.1556,2.4701
2572.5,3.78,1.04,6.4501,4.7134,7.9116,2.5751,9.048,39.722,38.304,40.87,36.661,41.87,1.8449,1.462,2.155,1.0184,2.4248
