mcd_te,mcd_d18O,age_ka,MgCa,FeCa,AlCa,d13C_uvi,d18O_uvi,Notes,notes
116.12,116.12,2499.00,0.93,17.00,7.00,-1.15,3.42,1208 13-5 123-125 U,1208 13-5 123-125
,116.19,2501.00,,,,-1.19,3.40,1208 13-5 130-132 U,
116.24,116.24,2502.00,0.93,19.00,21.00,-1.19,3.40,,1208 13-5 130-142
,116.41,2506.00,,,,-1.53,3.83,1208 13-6 3-5 U,
116.47,116.47,2508.00,1.08,16.00,30.00,-1.55,3.57,1208 13-6 10-12 U,1208 13-6 10-12
116.57,,2510.00,1.01,14.00,20.00,-1.62,3.74,,1208 13-6 20-22
116.66,116.66,2512.00,0.94,12.00,6.00,-1.69,3.91,1208 13-6 30-32 U,1208 13-6 30-32
116.78,116.78,2514.00,0.94,13.00,12.00,-1.70,4.09,1208 13-6 42-44 U,1208 13-6 42-44
116.86,116.86,2516.00,0.94,14.00,5.00,-1.77,4.22,1208 13-6 50-52 U,1208 13-6 50-52
116.95,116.95,2518.00,1.03,20.00,29.00,-1.45,4.33,1208 13-6 60-62 U,1208 13-6 60-62
117.05,117.05,2519.00,0.92,18.00,55.00,-1.55,4.46,1208 13-6 70-72 U,1208 13-6 70-72
117.14,117.14,2521.00,0.89,20.00,22.00,-1.46,4.40,1208 13-6 80-82 U,1208 13-6 80-82
117.24,117.24,2523.00,1.10,18.00,14.00,-1.51,4.40,1208 13-6 90-92 U,1208 13-6 90-92
,117.33,2525.00,,,,-1.69,4.39,1208 13-6 100-102 U,
,117.43,2527.00,,,,-1.60,4.31,1208 13-6 110-112 U,
117.55,117.55,2529.00,0.92,16.00,10.00,-1.41,4.30,1208 13-6 123-125 U,1208 13-6 123-125
117.62,117.62,2530.00,0.85,13.00,39.00,-1.62,4.28,1208 13-6 130-132 U,1208 13-6 130-132
,117.72,2532.00,,,,-1.47,4.39,1208 13-6 140-142 U,
117.84,117.84,2535.00,1.07,18.00,12.00,-1.44,4.26,1208 13-7 3-5 U,1208 13-7 3-5
,117.91,2536.00,,,,-1.51,4.29,1208 13-7 10-12 U,
,118.10,2540.00,,,,-1.30,3.64,1208 13-7 30-32 U,
118.20,118.20,2542.00,0.95,19.00,25.00,-1.25,3.59,1208 13-7 40-42 U,1208 13-7 40-42
118.29,118.29,2544.00,0.94,13.00,29.00,-1.05,3.50,1208 13-7 50-52 U,1208 13-7 50-52
118.39,118.39,2546.00,1.25,20.00,25.00,-1.06,3.53,1208 13-7 60-62 U,1208 13-7 60-62
118.63,118.63,2552.00,1.07,12.00,10.00,-0.89,3.42,1208 13-CC 20-22 U,1208 13-CC 20-22
118.73,118.73,2555.00,1.05,13.00,10.00,-1.22,3.54,1208 14-1 3-5 U,1208 14-1 3-5
118.79,118.79,2556.00,1.00,16.00,11.00,-1.14,3.75,1208 14-1 10-12 U,1208 14-1 10-12
118.89,118.89,2559.00,1.04,17.00,10.00,-1.31,3.80,1208 14-1 20-22 U,1208 14-1 20-22
118.98,118.98,2561.00,1.02,20.00,15.00,-1.23,3.78,1208 14-1 30-32 U,1208 14-1 30-32
119.08,119.08,2564.00,1.27,16.00,11.00,-1.01,3.67,1208 14-1 40-42 U,1208 14-1 40-42
,119.17,2567.00,,,,-0.99,3.79,1208 14-1 50-52 U,
119.30,119.30,2570.00,1.07,14.00,7.00,-1.08,3.64,1208 14-1 63-65 U,1208 14-1 63-65
119.38,119.38,2572.00,1.04,18.00,32.00,-1.28,3.78,1208 14-1 72-74 U,1208 14-1 72-74
119.46,119.46,2574.00,1.01,17.00,16.00,-1.09,3.61,1208 14-1 80-82 U,1208 14-1 80-82
119.55,119.55,2577.00,1.05,54.00,71.00,-1.16,3.52,1208 14-1 90-92 U,1208 14-1 90-92
119.65,119.65,2579.00,1.01,14.00,8.00,-0.96,3.48,1208 14-1 100-102 U,1208 14-1 100-102
119.74,119.74,2582.00,1.03,19.00,15.00,-1.07,3.35,1208 14-1 110-112 U,1208 14-1 110-112
119.86,119.86,2585.00,1.20,46.00,39.00,-0.82,3.30,1208 14-1 123-125 U,1208 14-1 123-125
119.93,119.93,2587.00,1.24,43.00,50.00,-0.91,3.29,1208 14-1 130-132 U,1208 14-1 130-132
120.04,120.04,2590.00,1.02,27.00,30.00,-1.12,3.40,1208 14-1 142-144 U,1208 14-1 142-144
120.15,120.15,2593.00,1.05,12.00,9.00,-1.24,3.51,1208 14-2 3-5 U,1208 14-2 3-5
120.21,120.21,2595.00,1.09,99.00,197.00,-1.24,3.51,1208 14-2 10-12 U,1208 14-2 10-12
120.31,120.31,2596.00,0.88,14.00,13.00,-1.46,3.86,1208 14-2 20-22 U,1208 14-2 20-22
