mcd_x,age_ka,MgCa,FeCa,AlCa,d18O_unadj,d13C,mcd_y,age_ma,d18O
,2486,,,,,,119.88,2.48624213,
,2488,,,,,,119.98,2.487501259,
,2489,,,,,-0.09,120.08,2.488760388,
,2490,,,,3.11,-0.19,120.18,2.490019516,3.75
,2491,,,,3.18,-0.26,120.28,2.491278645,3.82
,2493,,,,2.99,-0.33,120.38,2.4925,3.63
,2495,,,,2.91,-0.24,120.48,2.4947922,3.55
,2497,,,,2.71,,120.58,2.497017637,3.35
116.12,2499,0.93,17,7,,,,,
,2500,,,,2.61,-0.19,120.71,2.499910704,3.25
,2501,,,,2.8,-0.25,120.78,2.50146851,3.44
116.28,2503,0.93,19,21,,,,,
,2504,,,,2.68,-0.29,120.88,2.503693947,3.32
,2507,,,,2.95,-0.46,121.01,2.506587015,3.59
116.47,2508,1.08,16,30,2.82,-0.33,121.08,2.50814482,3.46
116.57,2510,1.01,14,20,2.91,-0.57,121.18,2.510370257,3.55
116.66,2512,0.94,12,6,,,,,
,2513,,,,3.07,-0.49,121.28,2.5125,3.71
116.78,2514,0.94,13,12,,,,,
,2515,,,,3.44,-0.71,121.4,2.514771564,4.08
116.86,2516,0.94,14,5,3.33,-0.8,121.48,2.516233553,3.97
116.95,2518,1.03,20,29,3.46,-0.83,121.58,2.518061038,4.1
117.05,2519,0.92,18,55,,,,,
,2520,,,,3.34,-0.64,121.68,2.519888523,3.98
117.14,2521,0.89,20,22,,,,,
,2522,,,,3.38,-0.65,121.78,2.521716009,4.02
117.24,2523,1.1,18,14,,,,,
,2524,,,,3.4,-0.75,121.88,2.523543494,4.04
,2525,,,,3.5,-0.64,121.98,2.52537098,4.14
,2527,,,,3.19,-0.65,122.08,2.527198465,3.83
117.55,2529,0.92,16,10,,,,,
117.62,2530,0.85,13,39,3.37,-0.55,122.21,2.529574196,4.01
,2531,,,,3.36,-0.59,122.28,2.530853436,4
,2533,,,,3.31,-0.71,122.38,2.532680921,3.95
117.84,2535,1.07,18,12,3.57,-0.48,122.51,2.535056652,4.21
,2536,,,,3.34,-0.65,122.58,2.536335892,3.98
,2538,,,,3.18,-0.39,122.68,2.538163377,3.82
,2540,,,,2.88,-0.23,122.78,2.54,3.52
118.2,2542,0.95,19,25,2.71,-0.3,122.88,2.542245644,3.35
118.29,2544,0.94,13,29,,,,,
,2545,,,,2.75,-0.1,122.98,2.544502573,3.39
118.39,2546,1.25,20,25,,,,,
,2547,,,,2.52,-0.16,123.08,2.546759502,3.16
,2548,,,,2.57,0.09,123.13,2.547887966,3.21
,2550,,,,2.51,-0.15,123.23,2.550144895,3.15
118.63,2552,1.07,12,10,,,,,
,2553,,,,2.66,-0.02,123.33,2.5525,3.3
118.73,2555,1.05,13,10,2.9,0.03,123.44,2.55512281,3.54
118.79,2556,1,16,11,,,,,
,2557,,,,2.87,-0.08,123.51,2.556887146,3.51
118.89,2559,1.04,17,10,2.95,-0.02,123.61,2.559407624,3.59
118.98,2561,1.02,20,15,,,,,
,2562,,,,2.96,0.02,123.71,2.561928103,3.6
119.08,2564,1.27,16,11,2.84,-0.06,123.81,2.564448582,3.48
,2567,,,,2.79,-0.14,123.91,2.566969061,3.43
119.3,2570,1.07,14,7,2.92,-0.04,124.04,2.570245684,3.56
119.38,2572,1.04,18,32,,,,,
,2573,,,,2.78,-0.14,124.13,2.5725,3.42
119.46,2574,1.01,17,16,,,,,
,2575,,,,2.58,-0.17,124.21,2.574564136,3.22
119.55,2577,1.05,54,71,2.66,0,124.31,2.577126369,3.3
119.65,2579,1.01,14,8,,,,,
,2580,,,,2.52,,124.41,2.579688603,3.16
119.74,2582,1.03,19,15,2.55,0.09,124.51,2.582250837,3.19
119.86,2585,1.2,46,39,,,,,
,2586,,,,2.52,0.03,124.64,2.585581741,3.16
119.93,2587,1.24,43,50,2.68,,124.71,2.587375305,3.32
120.04,2590,1.02,27,30,2.62,-0.16,124.83,2.590449985,3.26
120.15,2593,1.05,12,9,2.64,-0.14,124.94,2.593268442,3.28
120.21,2595,1.09,99,197,2.71,-0.22,125.01,2.595,3.35
120.31,2596,0.88,14,13,,,,,
,2597,,,,2.98,-0.32,125.11,2.596809445,3.62
,2599,,,,3.09,,125.21,2.598576136,3.73
120.52,2600,0.96,13,10,,,,,
,2601,,,,3.13,-0.34,125.34,2.600872834,3.77
,2602,,,,,-0.41,125.41,2.602109517,
