mcd,age_ka,MgCa_raw,MgCa_adj,spec,BWT,MgCa_merged
683,155.1,1.2,1.04,O. umbonatus,-0.81,1.04
691,157.4,1.29,,C. wuellerstorfi,0.85,1.29
706,161,1.08,,C. wuellerstorfi,-0.53,1.08
706,161,1.31,1.15,O. umbonatus,-0.07,1.15
736,171.1,1.24,1.08,O. umbonatus,-0.53,1.08
743,173.6,1.05,,C. wuellerstorfi,-0.73,1.05
763,180,1.16,,C. wuellerstorfi,0,1.16
775,182.2,1.27,,C. wuellerstorfi,0.73,1.27
790,187.6,1.41,,C. wuellerstorfi,1.67,1.41
790,187.6,1.63,1.47,O. umbonatus,2.07,1.47
803,192.3,1.48,,C. wuellerstorfi,2.13,1.48
811,194.5,1.35,,C. wuellerstorfi,1.27,1.35
811,194.5,1.55,1.39,O. umbonatus,1.53,1.39
820,197.2,1.2,,C. wuellerstorfi,0.27,1.2
828,199.7,1.48,,C. wuellerstorfi,2.13,1.48
841,206.1,1.31,,C. wuellerstorfi,1,1.31
856,210.2,1.28,,C. wuellerstorfi,0.8,1.28
856,210.2,1.37,1.21,O. umbonatus,0.33,1.21
886,224.3,1.44,,C. wuellerstorfi,1.87,1.44
901,235.5,1.46,,C. wuellerstorfi,2,1.46
916,241.6,1.37,,C. wuellerstorfi,1.4,1.37
931,248.7,1.6,,C. wuellerstorfi,2.93,1.6
962,255.5,1.6,,C. wuellerstorfi,2.93,1.6
977,257.8,1.45,,C. wuellerstorfi,1.93,1.45
1007,263.3,0.9,,C. wuellerstorfi,-1.73,0.9
1007,263.3,1.14,0.98,O. umbonatus,-1.2,0.98
1049.5,270.1,1.19,,C. wuellerstorfi,0.2,1.19
1067.5,272.4,1.29,,C. wuellerstorfi,0.87,1.29
1080.5,274.6,1.07,,C. wuellerstorfi,-0.6,1.07
1100.5,277.4,1.47,1.31,O. umbonatus,1,1.31
1112.5,279.6,1.42,,C. wuellerstorfi,1.73,1.42
1128.5,281.7,1.73,1.57,O. umbonatus,2.73,1.57
1143.5,285.8,1.53,,C. wuellerstorfi,2.47,1.53
1172.5,292.7,1.03,,C. wuellerstorfi,-0.87,1.03
1202.5,299.5,1.07,,C. wuellerstorfi,-0.6,1.07
1212.5,302.2,1.08,,C. wuellerstorfi,-0.53,1.08
1249.5,312.7,1.08,,C. wuellerstorfi,-0.53,1.08
1264.5,318.7,1.45,1.29,O. umbonatus,0.87,1.29
1293.5,326,1.59,,C. wuellerstorfi,2.87,1.59
1307.5,328.5,1.3,,C. wuellerstorfi,0.93,1.3
1319.5,331.6,1.47,,C. wuellerstorfi,2.07,1.47
1368.5,342.6,0.98,,C. wuellerstorfi,-1.2,0.98
1368.5,342.6,1.47,1.31,O. umbonatus,1,1.31
1383.5,347.2,1.05,,C. wuellerstorfi,-0.73,1.05
1399.5,349.9,1.22,,C. wuellerstorfi,0.4,1.22
1415.5,352.2,1.29,,C. wuellerstorfi,0.87,1.29
1443.5,358.1,1.6,1.44,O. umbonatus,1.87,1.44
1459.5,360.3,0.92,,C. wuellerstorfi,-1.6,0.92
1471.5,362.7,1.27,1.11,O. umbonatus,-0.33,1.11
1481.5,364.3,1.03,,C. wuellerstorfi,-0.87,1.03
1481.5,364.3,1.19,1.03,O. umbonatus,-0.87,1.03
1505.5,367.8,1.49,1.33,O. umbonatus,1.13,1.33
1519.5,371.5,1.16,,C. wuellerstorfi,0,1.16
1519.5,371.5,1.39,1.23,O. umbonatus,0.47,1.23
1532.5,375.3,1.05,,C. wuellerstorfi,-0.73,1.05
1546.5,378,1.29,,C. wuellerstorfi,0.87,1.29
1561.5,383.6,1.22,,C. wuellerstorfi,0.4,1.22
1573.5,387,1.38,,C. wuellerstorfi,1.47,1.38
1595.5,390.8,1.11,,C. wuellerstorfi,-0.33,1.11
1607.5,393.5,1.33,,C. wuellerstorfi,1.13,1.33
1621.5,397.5,1.25,,C. wuellerstorfi,0.6,1.25
1633.5,400.1,1.32,,C. wuellerstorfi,1.07,1.32
1645.5,401.6,1.38,,C. wuellerstorfi,1.47,1.38
1662.5,406.6,1.4,,C. wuellerstorfi,1.6,1.4
1682.5,411.6,1.53,,C. wuellerstorfi,2.47,1.53
1705.5,416.1,1.65,,C. wuellerstorfi,3.27,1.65
1721.5,420.7,1.68,,C. wuellerstorfi,3.47,1.68
1731.5,422.8,1.58,,C. wuellerstorfi,2.8,1.58
1759.5,427.8,1.27,,C. wuellerstorfi,0.73,1.27
1773.5,431,1.43,1.27,O. umbonatus,0.73,1.27
1788.5,433.2,1.29,1.13,O. umbonatus,-0.2,1.13
1805.5,435.9,1.35,1.19,O. umbonatus,0.2,1.19
1820.5,439.2,1.5,1.34,O. umbonatus,1.2,1.34
1835.5,441.2,1.2,,C. wuellerstorfi,0.27,1.2
1850.5,445.1,1.27,,C. wuellerstorfi,0.73,1.27
1863,449.5,1.1,,C. wuellerstorfi,-0.4,1.1
1878.5,453.5,1.11,,C. wuellerstorfi,-0.33,1.11
1892.5,459.4,1.2,,C. wuellerstorfi,0.27,1.2
1892.5,459.4,1.36,1.2,O. umbonatus,0.27,1.2
1901.5,462.3,1.25,,C. wuellerstorfi,0.6,1.25
1901.5,462.3,1.34,1.18,O. umbonatus,0.13,1.18
1913.5,465.9,1.19,,C. wuellerstorfi,0.2,1.19
1913.5,465.9,1.46,1.3,O. umbonatus,0.93,1.3
1915.5,466,1,,C. wuellerstorfi,-1.07,1
1915.5,466,1.47,1.31,O. umbonatus,1,1.31
1945.5,471.5,1.03,,C. wuellerstorfi,-0.87,1.03
1959.5,475.3,1.23,,C. wuellerstorfi,0.47,1.23
1975.5,479.6,1.23,,C. wuellerstorfi,0.47,1.23
1990.5,488.2,1.21,,C. wuellerstorfi,0.33,1.21
2006.5,495.4,1.24,,C. wuellerstorfi,0.53,1.24
2021.5,508,1.28,,C. wuellerstorfi,0.8,1.28
2051.5,528,1.39,,C. wuellerstorfi,1.53,1.39
2066.5,534.6,1.4,1.24,O. umbonatus,0.53,1.24
2096.5,547.2,1.31,,C. wuellerstorfi,1,1.31
2125.5,559.4,1.25,,C. wuellerstorfi,0.6,1.25
2140.5,570.7,1.24,,C. wuellerstorfi,0.53,1.24
2155.5,576.6,1.31,,C. wuellerstorfi,1,1.31
2170.5,584.5,1.45,,C. wuellerstorfi,1.93,1.45
2183.5,589,1.65,1.49,O. umbonatus,2.2,1.49
2186.5,589.3,1.55,,C. wuellerstorfi,2.6,1.55
2213.5,598.4,1.58,,C. wuellerstorfi,2.8,1.58
2213.5,598.4,1.72,1.56,O. umbonatus,2.67,1.56
2215.5,598.5,1.47,,C. wuellerstorfi,2.07,1.47
2215.5,598.5,1.65,1.49,O. umbonatus,2.2,1.49
2228.5,601.6,1.42,1.26,O. umbonatus,0.67,1.26
2230.5,602.1,1.44,,C. wuellerstorfi,1.87,1.44
2230.5,602.1,1.77,1.61,O. umbonatus,3,1.61
2238.5,603.6,1.64,,C. wuellerstorfi,3.2,1.64
2243.5,604.3,1.36,,C. wuellerstorfi,1.33,1.36
2259.5,606.1,1.34,,C. wuellerstorfi,1.2,1.34
2259.5,606.1,1.54,1.38,O. umbonatus,1.47,1.38
2274.5,608,1.41,,C. wuellerstorfi,1.67,1.41
2274.5,608,1.67,1.51,O. umbonatus,2.33,1.51
2304.5,610.4,1.77,,C. wuellerstorfi,4.07,1.77
2320.5,611.5,1.55,,C. wuellerstorfi,2.6,1.55
2335.5,612.4,1.43,,C. wuellerstorfi,1.8,1.43
2350.5,614.1,1.52,,C. wuellerstorfi,2.4,1.52
2364,615.4,1.52,,C. wuellerstorfi,2.4,1.52
2380,616.4,1.3,,C. wuellerstorfi,0.93,1.3
2410,618.9,1.84,,C. wuellerstorfi,4.53,1.84
2423,620.4,1.63,,C. wuellerstorfi,3.13,1.63
2469,625.3,1.66,,C. wuellerstorfi,3.33,1.66
2483,627.5,1.32,,C. wuellerstorfi,1.07,1.32
2514,631.7,1.38,1.22,O. umbonatus,0.4,1.22
2529,633.4,1.46,1.3,O. umbonatus,0.93,1.3
2559,637.8,1.12,,C. wuellerstorfi,-0.27,1.12
2591,643.7,1.15,,C. wuellerstorfi,-0.07,1.15
2606,645.8,1.11,,C. wuellerstorfi,-0.33,1.11
2620,649,1.24,,C. wuellerstorfi,0.53,1.24
2620,649,1.42,1.26,O. umbonatus,0.67,1.26
2664,658.4,1.02,,C. wuellerstorfi,-0.93,1.02
2664,658.4,1.5,1.34,O. umbonatus,1.2,1.34
2679,661.1,1.09,,C. wuellerstorfi,-0.47,1.09
2711,670.7,1.32,1.16,O. umbonatus,0,1.16
2725,675.8,1.11,,C. wuellerstorfi,-0.33,1.11
2725,675.8,1.4,1.24,O. umbonatus,0.53,1.24
2754,682.8,1.22,,C. wuellerstorfi,0.4,1.22
2754,682.8,1.47,1.31,O. umbonatus,1,1.31
2769,685.1,1.25,,C. wuellerstorfi,0.6,1.25
2769,685.1,1.45,1.29,O. umbonatus,0.87,1.29
2784,688.9,1.33,,C. wuellerstorfi,1.13,1.33
2799,691.2,1.53,,C. wuellerstorfi,2.47,1.53
2814,695,1.56,,C. wuellerstorfi,2.67,1.56
2829,697.4,1.69,,C. wuellerstorfi,3.53,1.69
2858,703.2,1.43,,C. wuellerstorfi,1.8,1.43
2873,707.9,1.71,,C. wuellerstorfi,3.67,1.71
2888,710.7,1.16,,C. wuellerstorfi,0,1.16
2904,715.7,1.17,,C. wuellerstorfi,0.07,1.17
2904,715.7,1.32,1.16,O. umbonatus,0,1.16
2920,718.6,1.22,,C. wuellerstorfi,0.4,1.22
2949,724.3,1.27,,C. wuellerstorfi,0.73,1.27
2964.5,728.6,1.44,,C. wuellerstorfi,1.87,1.44
2980,731.2,1.5,,C. wuellerstorfi,2.27,1.5
2995,735.3,1.5,,C. wuellerstorfi,2.27,1.5
3010,737.8,1.39,,C. wuellerstorfi,1.53,1.39
3025,741.8,1.44,,C. wuellerstorfi,1.87,1.44
3056,746.2,1.1,,C. wuellerstorfi,-0.4,1.1
3056,746.2,1.24,1.08,O. umbonatus,-0.53,1.08
3085,754.4,1.15,,C. wuellerstorfi,-0.07,1.15
3085,754.4,1.35,1.19,O. umbonatus,0.2,1.19
3099,757.2,1.22,,C. wuellerstorfi,0.4,1.22
3114,763.2,1.19,,C. wuellerstorfi,0.2,1.19
3258.8,802.1,1.43,1.27,O. umbonatus,0.73,1.27
3273.8,806.4,1.17,,C. wuellerstorfi,0.07,1.17
3303.9,813.5,1.21,,C. wuellerstorfi,0.33,1.21
3333.9,822.8,1.3,,C. wuellerstorfi,0.93,1.3
3348.9,826.8,1.29,,C. wuellerstorfi,0.87,1.29
3363.9,834.5,1.49,,C. wuellerstorfi,2.2,1.49
3393.9,846.6,1.54,1.38,O. umbonatus,1.47,1.38
3408.9,850.8,1.26,,C. wuellerstorfi,0.67,1.26
3444.9,864.1,1.43,1.27,O. umbonatus,0.73,1.27
3469.9,869.2,1.65,,C. wuellerstorfi,3.27,1.65
3484.9,874.1,1.25,,C. wuellerstorfi,0.6,1.25
3514.9,881.9,1.26,,C. wuellerstorfi,0.67,1.26
3544,889.2,1.06,,C. wuellerstorfi,-0.67,1.06
3604,903.1,1.64,,C. wuellerstorfi,3.2,1.64
3634,908.6,1.35,,C. wuellerstorfi,1.27,1.35
3634,908.6,1.53,1.37,O. umbonatus,1.4,1.37
3664,913.8,1.45,,C. wuellerstorfi,1.93,1.45
3679,915.9,1.24,,C. wuellerstorfi,0.53,1.24
