,mcd_x,age_ka,MgCa_raw,MgCa_adj,spec,BWT,MgCa_merged,mcd_y,d18O,d13C
0,683.0,155,1.2,1.04,O. umbonatus,-0.81,1.04,,,
1,691.0,157,1.29,,C. wuellerstorfi,0.85,1.29,,,
2,706.0,161,1.08,,C. wuellerstorfi,-0.53,1.08,,,
3,706.0,161,1.31,1.15,O. umbonatus,-0.07,1.15,,,
4,736.0,171,1.24,1.08,O. umbonatus,-0.53,1.08,,,
5,743.0,173,1.05,,C. wuellerstorfi,-0.73,1.05,,,
6,763.0,180,1.16,,C. wuellerstorfi,0.0,1.16,,,
7,775.0,182,1.27,,C. wuellerstorfi,0.73,1.27,,,
8,790.0,187,1.41,,C. wuellerstorfi,1.67,1.41,,,
9,790.0,187,1.63,1.47,O. umbonatus,2.07,1.47,,,
10,803.0,192,1.48,,C. wuellerstorfi,2.13,1.48,,,
11,811.0,194,1.35,,C. wuellerstorfi,1.27,1.35,,,
12,811.0,194,1.55,1.39,O. umbonatus,1.53,1.39,,,
13,820.0,197,1.2,,C. wuellerstorfi,0.27,1.2,,,
14,828.0,199,1.48,,C. wuellerstorfi,2.13,1.48,,,
15,841.0,206,1.31,,C. wuellerstorfi,1.0,1.31,,,
16,856.0,210,1.28,,C. wuellerstorfi,0.8,1.28,,,
17,856.0,210,1.37,1.21,O. umbonatus,0.33,1.21,,,
18,886.0,224,1.44,,C. wuellerstorfi,1.87,1.44,,,
19,901.0,235,1.46,,C. wuellerstorfi,2.0,1.46,,,
20,916.0,241,1.37,,C. wuellerstorfi,1.4,1.37,,,
21,931.0,248,1.6,,C. wuellerstorfi,2.93,1.6,,,
22,962.0,255,1.6,,C. wuellerstorfi,2.93,1.6,,,
23,977.0,257,1.45,,C. wuellerstorfi,1.93,1.45,,,
24,1007.0,263,0.9,,C. wuellerstorfi,-1.73,0.9,,,
25,1007.0,263,1.14,0.98,O. umbonatus,-1.2,0.98,,,
26,1049.5,270,1.19,,C. wuellerstorfi,0.2,1.19,,,
27,1067.5,272,1.29,,C. wuellerstorfi,0.87,1.29,,,
28,1080.5,274,1.07,,C. wuellerstorfi,-0.6,1.07,,,
29,1100.5,277,1.47,1.31,O. umbonatus,1.0,1.31,,,
30,1112.5,279,1.42,,C. wuellerstorfi,1.73,1.42,,,
31,1128.5,281,1.73,1.57,O. umbonatus,2.73,1.57,,,
32,1143.5,285,1.53,,C. wuellerstorfi,2.47,1.53,,,
33,1172.5,292,1.03,,C. wuellerstorfi,-0.87,1.03,,,
34,1202.5,299,1.07,,C. wuellerstorfi,-0.6,1.07,,,
35,1212.5,302,1.08,,C. wuellerstorfi,-0.53,1.08,,,
36,1249.5,312,1.08,,C. wuellerstorfi,-0.53,1.08,,,
37,1264.5,318,1.45,1.29,O. umbonatus,0.87,1.29,,,
38,1293.5,326,1.59,,C. wuellerstorfi,2.87,1.59,,,
39,1307.5,328,1.3,,C. wuellerstorfi,0.93,1.3,,,
40,1319.5,331,1.47,,C. wuellerstorfi,2.07,1.47,,,
41,1368.5,342,0.98,,C. wuellerstorfi,-1.2,0.98,,,
42,1368.5,342,1.47,1.31,O. umbonatus,1.0,1.31,,,
43,1383.5,347,1.05,,C. wuellerstorfi,-0.73,1.05,,,
44,1399.5,349,1.22,,C. wuellerstorfi,0.4,1.22,,,
45,1415.5,352,1.29,,C. wuellerstorfi,0.87,1.29,,,
46,1443.5,358,1.6,1.44,O. umbonatus,1.87,1.44,,,
47,1459.5,360,0.92,,C. wuellerstorfi,-1.6,0.92,,,
48,1471.5,362,1.27,1.11,O. umbonatus,-0.33,1.11,,,
49,1481.5,364,1.03,,C. wuellerstorfi,-0.87,1.03,,,
50,1481.5,364,1.19,1.03,O. umbonatus,-0.87,1.03,,,
51,1505.5,367,1.49,1.33,O. umbonatus,1.13,1.33,,,
52,1519.5,371,1.16,,C. wuellerstorfi,0.0,1.16,,,
53,1519.5,371,1.39,1.23,O. umbonatus,0.47,1.23,,,
54,1532.5,375,1.05,,C. wuellerstorfi,-0.73,1.05,,,
55,1546.5,378,1.29,,C. wuellerstorfi,0.87,1.29,,,
56,1561.5,383,1.22,,C. wuellerstorfi,0.4,1.22,,,
57,1573.5,387,1.38,,C. wuellerstorfi,1.47,1.38,,,
58,1595.5,390,1.11,,C. wuellerstorfi,-0.33,1.11,,,
59,1607.5,393,1.33,,C. wuellerstorfi,1.13,1.33,,,
60,1621.5,397,1.25,,C. wuellerstorfi,0.6,1.25,,,
61,1633.5,400,1.32,,C. wuellerstorfi,1.07,1.32,,,
62,1645.5,401,1.38,,C. wuellerstorfi,1.47,1.38,,,
63,1662.5,406,1.4,,C. wuellerstorfi,1.6,1.4,,,
64,1682.5,411,1.53,,C. wuellerstorfi,2.47,1.53,,,
65,1705.5,416,1.65,,C. wuellerstorfi,3.27,1.65,,,
66,1721.5,420,1.68,,C. wuellerstorfi,3.47,1.68,,,
67,1731.5,422,1.58,,C. wuellerstorfi,2.8,1.58,,,
68,1759.5,427,1.27,,C. wuellerstorfi,0.73,1.27,,,
69,1773.5,431,1.43,1.27,O. umbonatus,0.73,1.27,,,
70,1788.5,433,1.29,1.13,O. umbonatus,-0.2,1.13,,,
