age_ka,site,hole,core,section,top,bottom,e_Nd,FeCa,MnCa,MgCa,BWT,BWT_U1313,del_BWT,NCW
2387.85,849,D,6,5,102,104,,0.08,0.96,1.43,3.57,,,
2389.49,849,D,6,5,106,108,,0.39,1.28,1.26,2.5,,,
2389.81,849,D,6,5,108,110,,0.11,1.02,1.29,2.68,,,
2391.45,849,D,6,5,114,116,,0.05,1.25,1.37,3.21,,,
2392.10,849,D,6,5,116,118,,0.09,1.15,1.21,2.11,,,
2394.06,849,D,6,5,121,123,,0.03,1.17,1.01,0.5,,,
2394.39,849,D,6,5,123,125,,0.06,0.98,1.19,1.99,,,
2396.02,849,D,6,5,127,129,,0.03,1.1,1.14,1.58,,,
2397.65,849,D,6,5,132,134,,,,1.26,2.49,,,
2398.31,849,D,6,5,134,136,,0.03,1.13,1.28,2.64,,,
2398.96,849,D,6,5,137,139,,0.05,1.42,1.26,2.47,,,
2399.94,849,D,6,5,139,141,,0.16,0.94,1.51,4.07,,,
2400.60,849,D,6,5,141,143,,0.03,0.93,1.23,2.23,,,
2401.26,849,D,6,5,143,145,,0.18,0.99,1.45,3.74,,,
2403.88,849,D,6,6,1,3,,,,1.32,2.88,,,
2405.53,849,D,6,6,6,8,,0.09,1.01,1.32,2.87,,,
2407.84,849,D,6,6,13,15,,0.07,0.93,1.49,3.97,,,
2409.17,849,D,6,6,17,19,,0.05,0.9,1.29,2.67,,,
2410.83,849,D,6,6,22,24,,0.08,1.08,1.64,4.82,,,
2411.16,849,D,6,6,24,26,,0.17,1.61,1.49,3.96,,,
2411.83,849,D,6,6,26,27,,0.06,1.34,1.53,4.2,,,
2412.50,849,D,6,6,28,30,,0.07,0.91,1.49,3.99,,,
2413.84,849,D,6,6,31,33,,0.06,1.06,1.32,2.93,6.48,3.55,100
2414.51,849,D,6,6,33,35,,0.06,1,1.19,1.96,6.85,4.89,100
2415.18,849,D,6,6,36,37,,0.03,1.19,1.48,3.89,7.22,3.33,100
2416.53,849,D,6,6,38,40,,0.09,1.09,1.56,4.35,7.98,3.62,100
2417.21,849,D,6,6,41,43,,0.05,1.23,1.29,2.73,8.35,5.63,100
2417.89,849,D,6,6,43,45,,0.3,1.12,1.44,3.68,8.61,4.93,100
2419.25,849,D,6,6,48,50,,0.13,1.25,1.6,4.59,7.91,3.32,100
2420.61,849,D,6,6,51,53,,0.05,0.97,1.3,2.76,7.2,4.43,100
2420.96,849,D,6,6,53,55,,0.05,0.95,1.39,3.38,7.21,3.84,100
2422.67,849,D,6,6,57,59,,0.04,0.95,1.29,2.71,7.85,5.13,100
2424.75,849,D,6,6,63,65,,0.02,0.87,1.3,2.78,7.38,4.61,100
2425.44,849,D,6,6,66,67,,0.14,0.9,1.77,5.51,6.65,1.14,43.99
2426.84,849,D,6,6,68,70,,0.06,0.87,1.21,2.17,6.73,4.56,100
2427.54,849,D,6,6,71,73,,0.04,1.35,1.19,1.98,7.86,5.88,100
2431.08,849,D,6,6,81,82,,0.03,0.99,1.12,1.47,6.19,4.73,100
2433.96,849,D,6,6,89,91,-3.05,0.1,0.81,1.12,1.45,5.12,3.67,100
2434.69,849,D,6,6,91,93,,0.05,0.78,1.34,3.06,5.68,2.62,100
2435.06,849,D,6,6,93,95,,0.03,0.99,1,0.47,5.96,5.49,100
2437.27,849,D,6,6,98,100,,0.07,1,1.26,2.49,5.74,3.25,100
2438.02,849,D,6,6,100,102,,0.07,0.83,1.57,4.45,5.91,1.46,56.31
2438.77,849,D,6,6,102,104,,0.05,0.82,1.43,3.62,6.85,3.23,100
2439.53,849,D,6,6,105,107,,0.15,1.2,1.22,2.27,6.18,3.91,100
2440.68,849,D,6,6,108,110,,0.13,0.81,1.64,4.87,5.77,0.91,34.88
2445.38,849,D,6,6,120,121,,0.1,1.06,1.22,2.28,5.49,3.21,100
2446.59,849,D,6,6,122,124,,0.08,1.18,1.19,2.03,5.19,3.16,100
2447.00,849,D,6,6,124,126,,0.03,0.72,1.13,1.58,5.24,3.66,100
2449.06,849,D,6,6,128,130,,0.07,1.24,1.16,1.79,5.66,3.87,100
2450.74,849,D,6,6,133,135,,0.06,0.9,1.17,1.91,5.71,3.8,100
2452.45,849,D,6,6,137,139,,,,1.33,3.03,6.25,3.23,100
2452.88,849,D,6,6,139,140,,0.05,1.4,1.25,2.5,6.36,3.86,100
2455.05,849,D,6,6,141,143,,0.25,1.48,1.54,4.29,6.55,2.25,86.72
2455.49,849,D,6,6,143,145,,0.11,1.26,1.29,2.72,6.9,4.18,100
2456.82,849,D,6,6,147,149,,0.06,1.26,1.29,2.73,7.59,4.86,100
2458.61,849,C,7,1,80,82,,0.03,1.21,1.22,2.25,8.47,6.21,100
2461.77,849,D,6,7,8,10,,0.08,1.03,1.4,3.5,8.81,5.31,100
2462.22,849,C,7,1,88,90,,0.08,0.74,1.62,4.77,8.1,3.33,100
2463.14,849,C,7,1,91,93,,0.1,1.4,1.63,4.82,8.59,3.77,100
2464.97,849,C,7,1,93,95,,0.14,1.13,1.36,3.21,8.49,5.29,100
2465.43,849,D,6,7,17,19,,0.06,0.94,1.47,3.91,8.77,4.86,100
2465.89,849,C,7,1,96,98,,0.02,0.95,1.12,1.5,8.57,7.07,100
2466.81,849,C,7,1,98,100,-2.81,0.04,1.08,1.68,5.1,8.5,3.4,100
2467.73,849,D,6,7,22,24,,0.03,1,1.69,5.13,8.63,3.5,100
2468.65,849,C,7,1,103,104,,0.03,1.05,1.26,2.57,9.21,6.63,100
2470.50,849,C,7,1,106,108,,0.06,0.78,1.2,2.15,9.36,7.2,100
2471.42,849,C,7,1,108,110,,0.04,1.15,1.33,3.05,8.62,5.57,100
2472.80,849,C,7,1,111,113,,0.17,1.03,1.44,3.76,9.31,5.55,100
2473.26,849,C,7,1,113,115,,0.17,1.54,1.52,4.21,10.6,6.39,100
2475.56,849,C,7,1,116,118,,0.1,1.04,1.35,3.16,9.56,6.4,100
2476.02,849,C,7,1,118,120,,0.06,1.13,1.39,3.44,8.96,5.52,100
2476.48,849,C,7,1,120,122,,0.13,0.84,1.43,3.68,7.25,3.57,100
2477.85,849,C,7,1,122,124,,0.03,0.88,1.47,3.91,6.68,2.77,100
2479.67,849,C,7,1,126,128,,0.04,1.13,1.61,4.72,5.4,0.67,25.83
2481.03,849,C,7,1,128,130,,0.08,1.03,1.22,2.32,4.83,2.51,96.52
2481.93,849,C,7,1,131,133,,0.03,0.88,1.18,2,4.51,2.51,96.39
2482.82,849,C,7,1,133,135,,0.05,0.86,1.24,2.42,4.9,2.48,95.57
2484.15,849,C,7,1,136,138,,0.05,0.96,1.12,1.58,5.19,3.61,100
2485.04,849,C,7,1,138,140,,0.05,0.87,1.26,2.56,5.34,2.78,100
2487.22,849,C,7,1,143,145,,0.06,1.01,1.26,2.55,5.58,3.03,100
2488.51,849,C,7,1,146,148,,0.07,1.01,1.35,3.21,4.94,1.73,66.54
2489.79,849,C,7,1,148,150,,0.08,0.93,1.33,3.08,6.14,3.06,100
