,age_ka,site,hole,core,section,top,bottom,e_Nd,FeCa,MnCa,MgCa,BWT,BWT_U1313,del_BWT,NCW,depth,d18O,d13C
0,2387,849,D,6,5,102,104,,0.08,0.96,1.43,3.57,,,,67.34,3.59,0.21
1,2396,849,D,6,5,127,129,,0.03,1.1,1.14,1.58,,,,67.56,3.46,0.27
2,2400,849,D,6,5,141,143,,0.03,0.93,1.23,2.23,,,,67.67,3.57,0.22
3,2405,849,D,6,6,6,8,,0.09,1.01,1.32,2.87,,,,67.82,3.63,0.14
4,2410,849,D,6,6,22,24,,0.08,1.08,1.64,4.82,,,,67.96,3.39,0.11
5,2413,849,D,6,6,31,33,,0.06,1.06,1.32,2.93,6.48,3.55,100.0,68.06,3.68,0.28
6,2416,849,D,6,6,38,40,,0.09,1.09,1.56,4.35,7.98,3.62,100.0,68.15,3.68,0.15
7,2420,849,D,6,6,51,53,,0.05,0.97,1.3,2.76,7.2,4.43,100.0,68.26,3.63,0.35
8,2420,849,D,6,6,53,55,,0.05,0.95,1.39,3.38,7.21,3.84,100.0,68.26,3.63,0.35
9,2422,849,D,6,6,57,59,,0.04,0.95,1.29,2.71,7.85,5.13,100.0,68.32,3.47,0.15
10,2424,849,D,6,6,63,65,,0.02,0.87,1.3,2.78,7.38,4.61,100.0,68.38,3.37,0.17
11,2426,849,D,6,6,68,70,,0.06,0.87,1.21,2.17,6.73,4.56,100.0,68.45,3.61,0.21
12,2440,849,D,6,6,108,110,,0.13,0.81,1.64,4.87,5.77,0.91,34.88,68.94,3.79,-0.28
13,2446,849,D,6,6,122,124,,0.08,1.18,1.19,2.03,5.19,3.16,100.0,69.16,4.02,-0.22
14,2449,849,D,6,6,128,130,,0.07,1.24,1.16,1.79,5.66,3.87,100.0,69.31,4.02,-0.33
15,2456,849,D,6,6,147,149,,0.06,1.26,1.29,2.73,7.59,4.86,100.0,69.59,3.43,0.17
16,2456,849,D,6,6,147,149,,0.06,1.26,1.29,2.73,7.59,4.86,100.0,69.59,3.45,0.01
17,2464,849,C,7,1,93,95,,0.14,1.13,1.36,3.21,8.49,5.29,100.0,69.88,3.45,0.21
18,2464,849,C,7,1,93,95,,0.14,1.13,1.36,3.21,8.49,5.29,100.0,69.9,3.34,0.08
19,2471,849,C,7,1,108,110,,0.04,1.15,1.33,3.05,8.62,5.57,100.0,70.11,3.42,-0.15
20,2482,849,C,7,1,133,135,,0.05,0.86,1.24,2.42,4.9,2.48,95.57,70.41,3.89,-0.38
21,2496,849,C,7,2,15,17,,0.12,1.06,1.31,2.94,6.9,3.96,100.0,70.68,3.5,-0.13
22,2501,849,D,7,1,28,30,,0.04,1.13,1.41,3.61,8.31,4.7,100.0,70.76,3.24,-0.05
23,2501,849,D,7,1,31,33,,0.06,0.92,1.24,2.44,8.2,5.76,100.0,70.76,3.24,-0.05
24,2505,849,D,7,1,38,39,,0.02,0.88,1.23,2.39,6.8,4.41,100.0,70.84,3.49,-0.24
25,2505,849,D,7,1,40,42,,,,1.62,4.82,8.69,3.87,100.0,70.84,3.49,-0.24
26,2509,849,D,7,1,47,49,,0.04,0.76,1.3,2.9,8.55,5.65,100.0,70.91,3.9,-0.59
27,2520,849,D,7,1,71,73,,0.06,1.18,1.32,3.03,4.68,1.64,63.24,71.17,4.22,-0.85
28,2550,849,D,7,1,139,140,,0.03,0.92,1.18,2.1,7.52,5.42,100.0,72.01,3.26,-0.01
29,2562,849,D,7,2,21,23,,0.03,1.04,1.14,1.75,6.75,5.0,100.0,72.23,3.22,0.08
30,2562,849,D,7,2,23,25,,0.05,1.09,1.13,1.67,6.74,5.07,100.0,72.23,3.22,0.08
31,2566,849,D,7,2,36,38,,0.02,0.83,1.08,1.26,7.41,6.15,100.0,72.31,3.43,-0.01
32,2572,849,D,7,2,62,63,,0.04,1.04,1.3,2.94,8.28,5.34,100.0,72.45,3.02,-0.03
33,2575,849,D,7,2,71,73,,0.03,1.16,1.18,2.07,6.96,4.89,100.0,72.52,3.7,0.01
34,2580,849,D,7,2,87,88,,0.15,1.09,1.68,5.19,7.98,2.79,100.0,72.67,3.62,-0.08
35,2585,849,D,7,2,101,103,,0.04,1.44,1.35,3.3,6.76,3.46,100.0,72.83,3.39,0.21
36,2585,849,D,7,2,103,105,,0.07,1.34,1.43,3.75,6.72,2.97,100.0,72.83,3.39,0.21
37,2606,849,D,7,3,8,10,,0.1,1.16,1.29,2.92,5.59,2.67,100.0,73.34,4.03,-0.31
38,2614,849,D,7,3,26,28,,0.13,1.11,1.8,5.84,6.06,0.22,8.6,73.53,3.58,0.14
39,2637,849,D,7,3,71,73,,0.12,0.73,1.6,4.82,7.36,2.55,97.99,74.13,3.54,-0.16
