mcd,age_ka,MgCa_raw,MgCa_adj,spec,BWT
683.0,155.1,1.20,1.04,O. umbonatus,-0.81
691.0,157.4,1.29,,C. wuellerstorfi,0.85
706.0,161,1.08,,C. wuellerstorfi,-0.53
706.0,161,1.31,1.15,O. umbonatus,-0.07
736.0,171.1,1.24,1.08,O. umbonatus,-0.53
743.0,173.6,1.05,,C. wuellerstorfi,-0.73
763.0,180,1.16,,C. wuellerstorfi,0.00
775.0,182.2,1.27,,C. wuellerstorfi,0.73
790.0,187.6,1.41,,C. wuellerstorfi,1.67
790.0,187.6,1.63,1.47,O. umbonatus,2.07
803.0,192.3,1.48,,C. wuellerstorfi,2.13
811.0,194.5,1.35,,C. wuellerstorfi,1.27
811.0,194.5,1.55,1.39,O. umbonatus,1.53
820.0,197.2,1.20,,C. wuellerstorfi,0.27
828.0,199.7,1.48,,C. wuellerstorfi,2.13
841.0,206.1,1.31,,C. wuellerstorfi,1.00
856.0,210.2,1.28,,C. wuellerstorfi,0.80
856.0,210.2,1.37,1.21,O. umbonatus,0.33
886.0,224.3,1.44,,C. wuellerstorfi,1.87
901.0,235.5,1.46,,C. wuellerstorfi,2.00
916.0,241.6,1.37,,C. wuellerstorfi,1.40
931.0,248.7,1.60,,C. wuellerstorfi,2.93
962.0,255.5,1.60,,C. wuellerstorfi,2.93
977.0,257.8,1.45,,C. wuellerstorfi,1.93
1007.0,263.3,0.90,,C. wuellerstorfi,-1.73
1007.0,263.3,1.14,0.98,O. umbonatus,-1.20
1049.5,270.1,1.19,,C. wuellerstorfi,0.20
1067.5,272.4,1.29,,C. wuellerstorfi,0.87
1080.5,274.6,1.07,,C. wuellerstorfi,-0.60
1100.5,277.4,1.47,1.31,O. umbonatus,1.00
1112.5,279.6,1.42,,C. wuellerstorfi,1.73
1128.5,281.7,1.73,1.57,O. umbonatus,2.73
1143.5,285.8,1.53,,C. wuellerstorfi,2.47
1172.5,292.7,1.03,,C. wuellerstorfi,-0.87
1202.5,299.5,1.07,,C. wuellerstorfi,-0.60
1212.5,302.2,1.08,,C. wuellerstorfi,-0.53
1249.5,312.7,1.08,,C. wuellerstorfi,-0.53
1264.5,318.7,1.45,1.29,O. umbonatus,0.87
1293.5,326,1.59,,C. wuellerstorfi,2.87
1307.5,328.5,1.30,,C. wuellerstorfi,0.93
1319.5,331.6,1.47,,C. wuellerstorfi,2.07
1368.5,342.6,0.98,,C. wuellerstorfi,-1.20
1368.5,342.6,1.47,1.31,O. umbonatus,1.00
1383.5,347.2,1.05,,C. wuellerstorfi,-0.73
1399.5,349.9,1.22,,C. wuellerstorfi,0.40
1415.5,352.2,1.29,,C. wuellerstorfi,0.87
1443.5,358.1,1.60,1.44,O. umbonatus,1.87
1459.5,360.3,0.92,,C. wuellerstorfi,-1.60
1471.5,362.7,1.27,1.11,O. umbonatus,-0.33
1481.5,364.3,1.03,,C. wuellerstorfi,-0.87
1481.5,364.3,1.19,1.03,O. umbonatus,-0.87
1505.5,367.8,1.49,1.33,O. umbonatus,1.13
1519.5,371.5,1.16,,C. wuellerstorfi,0.00
1519.5,371.5,1.39,1.23,O. umbonatus,0.47
1532.5,375.3,1.05,,C. wuellerstorfi,-0.73
1546.5,378,1.29,,C. wuellerstorfi,0.87
1561.5,383.6,1.22,,C. wuellerstorfi,0.40
1573.5,387,1.38,,C. wuellerstorfi,1.47
1595.5,390.8,1.11,,C. wuellerstorfi,-0.33
1607.5,393.5,1.33,,C. wuellerstorfi,1.13
1621.5,397.5,1.25,,C. wuellerstorfi,0.60
1633.5,400.1,1.32,,C. wuellerstorfi,1.07
1645.5,401.6,1.38,,C. wuellerstorfi,1.47
1662.5,406.6,1.40,,C. wuellerstorfi,1.60
1682.5,411.6,1.53,,C. wuellerstorfi,2.47
1705.5,416.1,1.65,,C. wuellerstorfi,3.27
1721.5,420.7,1.68,,C. wuellerstorfi,3.47
1731.5,422.8,1.58,,C. wuellerstorfi,2.80
1759.5,427.8,1.27,,C. wuellerstorfi,0.73
1773.5,431,1.43,1.27,O. umbonatus,0.73
1788.5,433.2,1.29,1.13,O. umbonatus,-0.20
1805.5,435.9,1.35,1.19,O. umbonatus,0.20
1820.5,439.2,1.50,1.34,O. umbonatus,1.20
1835.5,441.2,1.20,,C. wuellerstorfi,0.27
1850.5,445.1,1.27,,C. wuellerstorfi,0.73
1863.0,449.5,1.10,,C. wuellerstorfi,-0.40
1878.5,453.5,1.11,,C. wuellerstorfi,-0.33
1892.5,459.4,1.20,,C. wuellerstorfi,0.27
1892.5,459.4,1.36,1.20,O. umbonatus,0.27
1901.5,462.3,1.25,,C. wuellerstorfi,0.60
1901.5,462.3,1.34,1.18,O. umbonatus,0.13
1913.5,465.9,1.19,,C. wuellerstorfi,0.20
1913.5,465.9,1.46,1.30,O. umbonatus,0.93
1915.5,466,1.00,,C. wuellerstorfi,-1.07
1915.5,466,1.47,1.31,O. umbonatus,1.00
1945.5,471.5,1.03,,C. wuellerstorfi,-0.87
1959.5,475.3,1.23,,C. wuellerstorfi,0.47
1975.5,479.6,1.23,,C. wuellerstorfi,0.47
1990.5,488.2,1.21,,C. wuellerstorfi,0.33
2006.5,495.4,1.24,,C. wuellerstorfi,0.53
2021.5,508,1.28,,C. wuellerstorfi,0.80
2051.5,528,1.39,,C. wuellerstorfi,1.53
2066.5,534.6,1.40,1.24,O. umbonatus,0.53
2096.5,547.2,1.31,,C. wuellerstorfi,1.00
2125.5,559.4,1.25,,C. wuellerstorfi,0.60
2140.5,570.7,1.24,,C. wuellerstorfi,0.53
2155.5,576.6,1.31,,C. wuellerstorfi,1.00
2170.5,584.5,1.45,,C. wuellerstorfi,1.93
2183.5,589,1.65,1.49,O. umbonatus,2.20
2186.5,589.3,1.55,,C. wuellerstorfi,2.60
2213.5,598.4,1.58,,C. wuellerstorfi,2.80
2213.5,598.4,1.72,1.56,O. umbonatus,2.67
2215.5,598.5,1.47,,C. wuellerstorfi,2.07
2215.5,598.5,1.65,1.49,O. umbonatus,2.20
2228.5,601.6,1.42,1.26,O. umbonatus,0.67
2230.5,602.1,1.44,,C. wuellerstorfi,1.87
2230.5,602.1,1.77,1.61,O. umbonatus,3.00
2238.5,603.6,1.64,,C. wuellerstorfi,3.20
2243.5,604.3,1.36,,C. wuellerstorfi,1.33
2259.5,606.1,1.34,,C. wuellerstorfi,1.20
2259.5,606.1,1.54,1.38,O. umbonatus,1.47
2274.5,608,1.41,,C. wuellerstorfi,1.67
2274.5,608,1.67,1.51,O. umbonatus,2.33
2304.5,610.4,1.77,,C. wuellerstorfi,4.07
2320.5,611.5,1.55,,C. wuellerstorfi,2.60
