mbsf,age_ka
0,0
0.1,9
0.2,18
0.3,36
0.4,54
0.5,72
0.6,77.5
0.7,83
0.8,91.666667
0.9,100.333333
1,109
1.1,117
1.2,125
1.3,128.6
1.4,132.2
1.5,135.8
1.6,139.4
1.7,143
1.8,156
1.9,169
2,182
2.1,190
2.2,198
2.3,206.666667
2.4,215.333333
2.5,224
2.6,239
2.7,242.75
2.8,246.5
2.9,250.25
3,254
3.1,260.5
3.2,267
3.3,272.333333
3.4,277.666667
3.5,283
3.6,291
3.7,299
3.8,302.2
3.9,305.4
4,308.6
4.1,311.8
4.2,315
4.3,318.2
4.4,321.4
4.5,324.6
4.6,327.5
4.7,331
4.8,342
5.1,380.4
5.2,393.2
5.3,406
5.4,411.8
5.5,417.6
5.6,423.4
5.7,429.2
5.8,435
5.9,440.8
6,446.6
