d13C,d13C_corr,d18O,d18O_corr,type,mcd,age_ka,Comment
1.43,1.43,2.48,3.12,CWUE,0.106454,2.68937,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.23,1.23,2.61,3.25,CWUE,0.203231,5.13426,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.72,0.72,3.14,3.78,CWUE,0.300008,7.57915,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.31,0.31,3.62,4.26,CWUE,0.396785,10.024,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.33,0.33,3.73,4.37,CWUE,0.493562,12.4689,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.12,0.12,4.37,5.01,CBRA,0.59034,14.9138,Treat cautiously!! d18O adjusted by +0.64 per mil; d13C adjusted by 0.00 per mil. Inferred from Bickert et al. (Bickert et al 1997)
0.28,0.28,4.25,4.89,CBRA,0.687117,17.3587,Treat cautiously!! d18O adjusted by +0.64 per mil; d13C adjusted by 0.00 per mil. Inferred from Bickert et al. (Bickert et al 1997)
0.41,0.41,4.18,4.68,CSPP,0.783893,19.8036,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.41,0.41,4.13,4.77,CWUE,0.783893,19.8036,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.36,0.36,4.03,4.67,CWUE,0.88067,22.2485,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.35,0.35,4.12,4.62,CSPP,0.9798,24.6258,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.79,0.79,3.78,4.42,CWUE,1.08489,26.8328,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.72,0.72,3.94,4.58,CWUE,1.18998,29.0396,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
