,mcd,d13C,d13C_corr,d18O,d18O_corr,type,comment,age_ka
0,81.21,-0.28,-0.28,2.45,3.09,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2595.635922330097
1,81.31,0.33,0.33,2.9,3.54,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2598.4029126213595
2,81.39,0.01,0.01,2.64,3.28,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2600.616504854369
3,81.51,0.38,0.38,3.09,3.73,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2604.369230769231
4,81.61,-0.13,-0.13,2.25,2.89,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2607.753846153846
5,81.71,0.47,0.47,2.63,3.27,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2611.1384615384613
6,81.79,0.22,0.22,2.56,3.2,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2613.846153846154
7,81.91,0.23,0.23,2.03,2.67,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2617.9076923076923
8,82.21,-0.34,-0.34,,,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2627.3882352941173
9,82.33,-0.1,-0.1,2.4,3.04,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2630.776470588235
10,82.41,0.08,0.08,1.91,2.55,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2633.035294117647
11,82.51,0.43,0.43,2.44,3.08,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2635.858823529412
12,82.61,0.85,0.85,2.26,2.9,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2638.6823529411763
13,82.71,0.37,0.37,2.67,3.31,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2641.505882352941
14,82.81,,,3.18,,PMURR,d18O no corr; d13C no corr,2644.329411764706
15,82.94,0.43,0.43,2.87,3.51,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2648.0
16,83.03,-0.13,-0.13,2.86,3.5,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2650.3
17,83.11,0.63,0.63,2.7,3.34,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2652.3444444444444
18,83.21,0.66,0.66,2.58,3.22,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2654.9
19,83.29,0.68,0.68,2.25,2.89,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2656.944444444445
20,83.41,1.04,1.04,2.02,2.66,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2660.011111111111
21,83.48,1.16,1.16,2.43,3.07,CKULL,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995),2661.8
22,83.58,1.18,1.18,2.5,3.14,CKULL,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995),2664.3555555555554
23,83.59,,,3.22,,PMURR,d18O no corr; d13C no corr,2664.6111111111113
24,83.79,,,3.13,3.13,GORB,d18O no corr; d13C no corr; Isotope correction information: Inferred from correction for Gyroidina spp: d18O adjusted by +0.00 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995),2669.7222222222226
25,83.88,,,2.8,2.8,GORB,d18O no corr; d13C no corr; Isotope correction information: Inferred from correction for Gyroidina spp: d18O adjusted by +0.00 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995),2672.0222222222224
26,83.93,,,2.95,,PMURR,d18O no corr; d13C no corr,2673.3
27,83.99,0.91,0.91,2.23,2.87,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2674.833333333333
28,84.01,,,2.38,,PMURR,d18O no corr; d13C no corr,2675.3444444444444
29,84.11,0.69,0.69,1.98,2.62,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2677.9
30,84.11,0.69,0.69,1.98,2.62,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2677.9
31,84.19,,,2.74,2.74,OUMB,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 1.00 per mil (Shackleton and Hall 1984),2679.9444444444443
32,84.21,,,3.26,,PMURR,d18O no corr; d13C no corr,2680.4555555555553
33,84.21,,,3.26,,PMURR,d18O no corr; d13C no corr,2680.4555555555553
34,84.28,,,3.18,3.18,OUMB,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 1.00 per mil (Shackleton and Hall 1984),2682.2444444444445
35,84.28,,,3.18,3.18,OUMB,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 1.00 per mil (Shackleton and Hall 1984),2682.2444444444445
36,84.31,,,2.75,,PMURR,d18O no corr; d13C no corr,2683.0111111111114
37,84.31,,,2.75,,PMURR,d18O no corr; d13C no corr,2683.0111111111114
38,84.39,0.69,0.69,2.57,3.21,CKULL,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995),2685.0555555555557
39,84.39,0.69,0.69,2.5,3.14,CKULL,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995),2685.0555555555557
40,84.44,0.58,0.58,2.5,3.14,CKULL,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995),2686.3333333333335
41,84.44,0.58,0.58,2.5,3.14,CKULL,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995),2686.3333333333335
42,84.52,,,3.65,,PMURR,d18O no corr; d13C no corr,2688.3777777777777
43,84.52,,,3.65,,PMURR,d18O no corr; d13C no corr,2688.3777777777777
44,84.61,,,3.6,,PMURR,d18O no corr; d13C no corr,2690.677777777778
