mcd,age
0,0
0.95,24
1.95,45
3.05,71
3.6,94
4.01,105
4.35,115
4.78,127
5.35,139
6.38,162
7.78,198
8.53,220
8.98,231
9.4,243
9.88,252
11.03,279
11.8,303
12.4,323
12.82,334
13.2,346
15.22,398
15.55,409
16.05,420
16.95,436
17.85,475
18.09,485
19.18,516
20.15,546
20.56,566
21.13,590
21.99,621
22.26,633
23.88,693
24.18,704
24.78,724
25.71,743
26.88,788
27.15,798
28.4,835
28.83,854
29.4,875
29.93,895
30.75,926
31.88,959
32.08,969
32.53,979
32.73,989
33.08,1000
33.42,1013
33.78,1029
34.85,1073
35.15,1084
35.54,1103
35.9,1114
36.6,1136
37.15,1167
37.54,1178
38.15,1198
38.63,1216
39.53,1254
40.28,1283
40.76,1301
41.33,1318
41.9,1328
42.51,1359
43.55,1389
44.5,1420
45.06,1442
45.8,1464
46.37,1484
46.82,1504
48.26,1536
48.59,1547
49.24,1567
49.72,1578
50.15,1587
50.42,1596
50.78,1606
51.05,1616
51.56,1634
51.99,1645
52.65,1674
53.85,1708
54.25,1718
54.5,1728
54.81,1738
55.13,1749
55.89,1771
56.5,1797
56.94,1811
57.24,1822
57.51,1832
57.8,1843
58.17,1854
58.44,1864
58.67,1874
59,1885
60.08,1915
60.39,1926
60.69,1936
61.4,1958
61.71,1968
62.43,1995
62.73,2011
63.08,2023
64.22,2062
65.14,2097
65.45,2108
66.07,2128
66.58,2140
68.06,2188
68.47,2200
68.96,2211
69.17,2221
69.76,2233
70.67,2255
72.04,2303
72.39,2315
72.84,2336
73.29,2347
74.99,2408
76.46,2448
77.49,2487
79.38,2545
81.44,2602
82.09,2624
82.94,2648
85.64,2717
87.11,2765
87.68,2785
88.29,2808
88.76,2832
89.46,2853
89.96,2873
90.39,2887
90.93,2904
91.53,2924
92.15,2946
92.79,2968
93.06,2979
93.34,2992
94.44,3028
95.14,3050
95.94,3072
96.24,3083
97.38,3121
97.71,3132
98.13,3143
98.46,3155
98.95,3165
99.18,3175
99.44,3185
100.35,3221
100.89,3239
101.76,3259
102.72,3286
103.28,3315
103.58,3325
103.88,3337
104.48,3356
105.18,3383
105.78,3409
105.98,3419
106.28,3429
106.61,3440
106.85,3450
107.18,3462
107.45,3471
107.78,3483
108.59,3513
108.92,3523
109.25,3534
109.64,3545
109.88,3554
110.18,3564
110.81,3585
111.71,3611
112.07,3621
112.58,3639
112.85,3649
113.75,3675
114.07,3686
115.07,3716
115.97,3747
116.27,3756
117.17,3788
117.47,3799
117.77,3808
118.17,3819
118.57,3831
118.94,3841
119.3,3852
119.57,3862
119.96,3875
120.83,3903
121.07,3913
121.46,3924
122.21,3946
122.99,3966
124.55,4010
124.97,4019
125.27,4029
125.63,4040
126.32,4061
127.47,4095
127.82,4106
128.22,4116
128.57,4127
128.87,4137
129.16,4147
129.72,4160
130.47,4177
130.82,4187
131.37,4198
131.97,4209
132.37,4220
132.72,4231
132.98,4241
133.4,4252
133.66,4264
134.05,4279
134.75,4301
135.05,4313
135.44,4324
135.74,4334
135.98,4345
136.25,4355
136.58,4366
137.83,4416
138.33,4437
138.93,4455
139.52,4477
140.08,4495
141.01,4542
141.3,4554
141.63,4567
142,4578
142.27,4588
142.6,4599
142.96,4611
143.47,4634
143.74,4645
144.1,4657
144.4,4669
144.7,4681
145.18,4702
145.75,4727
146.32,4748
146.95,4773
147.55,4792
148.24,4814
149.38,4850
150.74,4898
151.34,4923
151.99,4942
152.64,4966
153.85,5014
154.3,5036
155,5057
155.41,5080
155.86,5103
156.43,5130
156.91,5150
157.51,5172
157.96,5192
158.56,5222
159.16,5248
159.56,5265
160.06,5285
160.46,5302
160.86,5322
161.36,5343
162.36,5393
162.88,5416
163.33,5436
163.84,5459
164.2,5481
164.77,5508
165.13,5530
165.58,5550
166.03,5572
166.48,5589
166.87,5603
167.29,5625
167.68,5643
168.04,5663
168.4,5680
168.85,5702
169.29,5721
169.71,5744
169.95,5754
170.37,5773
171.01,5794
171.48,5815
172.05,5837
172.82,5867
173.22,5887
173.76,5909
174.12,5929
174.59,5952
175.15,5983
175.69,6002
176.09,6024
176.42,6042
176.78,6061
177.17,6079
177.53,6099
178.01,6120
178.28,6138
178.59,6155
178.91,6172
179.27,6194
179.54,6214
179.84,6237
180.34,6267
180.72,6287
181.09,6309
181.56,6329
181.98,6353
182.55,6381
182.91,6402
183.27,6422
183.75,6443
184.04,6458
184.37,6480
184.74,6497
185.08,6517
185.37,6533
185.73,6552
186.16,6573
186.48,6595
186.98,6615
187.67,6646
188.1,6665
188.57,6688
188.92,6708
189.28,6738
189.47,6760
189.81,6780
190.08,6802
190.43,6819
190.76,6835
191.22,6857
191.43,6876
192.31,6930
192.66,6950
193.16,6973
193.96,7021
194.22,7044
194.56,7065
194.81,7088
195.11,7108
195.41,7137
195.59,7157
195.86,7180
196.04,7201
196.37,7224
196.65,7254
196.87,7271
197.27,7294
197.48,7308
197.71,7331
198.02,7349
198.64,7399
199,7421
199.72,7465
200.02,7491
200.39,7512
200.7,7536
201.03,7556
201.52,7581
201.95,7607
202.2,7627
202.4,7647
202.65,7665
203,7685
203.86,7732
204.37,7755
204.74,7779
205.11,7799
205.46,7822
205.87,7846
206.29,7870
206.66,7892
207.05,7913
207.55,7936
208.03,7962
208.47,7985
208.74,8006
209.12,8027
209.99,8080
210.25,8102
210.62,8119
210.95,8137
211.33,8156
211.73,8176
212.18,8198
212.81,8222
213.21,8248
213.72,8270
214.11,8291
214.56,8313
215.45,8363
215.86,8385
216.29,8405
216.67,8426
216.97,8443
217.18,8460
217.42,8480
217.64,8499
217.95,8519
218.2,8536
218.54,8557
218.81,8576
219.11,8599
219.81,8649
220.11,8671
220.46,8691
220.78,8715
221.57,8764
221.86,8785
222.21,8806
222.71,8841
223,8859
223.36,8880
223.69,8898
224,8915
224.32,8935
224.57,8956
224.9,8976
226.06,9035
226.35,9058
226.76,9079
227.2,9102
227.53,9127
227.9,9150
228.28,9171
228.65,9194
229.28,9242
229.65,9266
229.88,9284
230.53,9321
230.92,9345
231.28,9362
231.73,9394
232.06,9412
232.46,9437
232.74,9459
233.13,9482
233.5,9507
233.8,9527
234.17,9553
234.47,9573
234.94,9599
235.61,9641
236.27,9676
236.47,9692
236.86,9719
237.27,9751
237.66,9769
238.06,9792
238.34,9812
238.89,9839
239.13,9863
239.45,9884
239.76,9906
240.09,9927
240.39,9956
240.59,9977
240.9,9999
241.88,10073
242.06,10092
242.39,10169
242.55,10190
242.8,10208
243.14,10243
243.44,10263
243.63,10284
243.82,10304
243.99,10356
244.24,10377
244.41,10398
244.51,10417
244.7,10430
244.92,10451
245.09,10470
245.26,10491
245.46,10509
245.7,10529
245.87,10547
246.9,10621
247.15,10642
247.4,10663
248.29,10736
248.51,10756
248.83,10778
249.5,10828
249.7,10851
249.92,10870
250.19,10892
250.36,10907
250.51,10927
250.76,10946
251,10966
251.76,11021
251.95,11041
252.19,11063
252.81,11113
253.08,11136
253.23,11156
253.4,11178
253.9,11228
254.06,11249
254.25,11270
254.51,11308
254.62,11324
254.83,11345
255,11362
255.11,11381
255.31,11400
255.5,11421
255.74,11442
256.08,11472
256.39,11492
256.64,11514
256.82,11535
257.14,11559
257.44,11585
257.64,11606
257.82,11629
258.01,11648
258.32,11681
258.72,11723
259.19,11760
259.66,11799
259.94,11818
260.23,11846
260.53,11871
260.76,11891
261.01,11914
261.64,11962
262.28,12006
262.6,12028
262.94,12051
263.38,12079
264,12121
264.65,12172
265.33,12205
265.68,12227
266.21,12249
266.55,12272
266.86,12292
267.3,12319
267.55,12340
267.86,12364
268.15,12385
268.46,12408
268.8,12434
269.05,12454
269.3,12478
271.33,12606
271.68,12626
272.05,12649
272.4,12669
272.96,12698
273.33,12719
273.68,12741
274.15,12763
274.99,12813
275.33,12833
275.71,12856
276.03,12876
276.49,12908
277.27,12928
277.68,12948
278.03,12970
278.79,13018
279.21,13040
279.56,13057
280.35,13092
280.71,13112
280.96,13133
281.18,13154
281.4,13174
281.77,13207
282.02,13226
282.4,13248
282.71,13267
283.57,13322
283.77,13341
284.42,13379
284.72,13398
284.98,13418
286.45,13492
286.72,13512
287.05,13534
288.03,13584
288.56,13606
288.93,13626
289.33,13648
289.81,13667
290.46,13691
290.88,13713
291.46,13733
291.96,13752
292.9,13787
293.51,13809
295.36,13902
295.77,13926
296.22,13949
296.7,13974
297.08,13996
297.45,14017
298.68,14090
299.01,14108
299.51,14132
299.8,14147
300.43,14170
301.01,14215
301.38,14239
