Age (ka),Site 927,Site 929,Site 925
0.563545,3.07,,
2.68937,,,3.12
3.0995,3.11,,
4.13127,,3.06,
5.13426,,,3.25
5.61734,,3.46,
5.91722,3.36,,
7.10341,,3.38,
7.57915,,,3.78
8.58947,,3.37,
10.024,,,4.26
10.0755,,4.69,
11.5527,4.37,,
12.4689,,,4.37
13.0477,,4.77,
14.0059,4.93,,
14.9138,,,5.01
15.1958,,4.8,
15.4135,4.94,,
16.8212,4.9,,
17.3587,,,4.89
17.7853,,4.74,
18.2288,4.85,,
19.6364,4.77,,
19.8036,,,4.68
19.8036,,,4.77
20.3747,,4.64,
22.2485,,,4.67
22.9642,,4.53,
23.8592,4.58,,
24.6258,,,4.62
24.9692,,4.52,
25.75,4.49,,
26.5846,,4.49,
26.5846,,4.49,
26.8328,,,4.42
27.6944,4.52,,
28.2,,4.44,
29.0396,,,4.58
29.8154,,4.47,
31.2463,,,4.34
31.2463,,,4.38
31.4308,,4.39,
31.5833,4.42,,
33.0462,,4.36,
33.4533,,,4.38
33.5278,4.4,,
34.6615,,4.41,
35.4722,4.2,,
36.2769,,4.37,
37.8923,,4.34,
37.8923,,4.27,
39.3611,4.33,,
39.5077,,4.27,
40.0736,,,4.33
41.1231,,4.48,
41.3056,4.41,,
42.2806,,,4.28
42.7385,,4.27,
43.25,4.29,,
43.25,4.41,,
44.3538,,4.2,
44.4874,,,4
45.1806,4.16,,
46.04,,4.15,
46.625,4.44,,
46.7582,,,4.34
47.7733,,4.16,
48.4306,4.4,,
49.0487,,,4.12
49.5067,,4.31,
50.2361,4.41,,
51.24,,4.45,
51.3389,,,4.09
52.0417,4.28,,
52.9733,,4.3,
53.6291,,,4.22
53.6291,,,4.28
53.8472,4.01,,
54.7067,,4.2,
55.1111,4.22,,
55.9195,,,4.29
56.44,,4.3,
57.4583,4.3,,
58.1733,,4.35,
58.2098,,,4.22
59.2639,4.35,,
59.9067,,4.4,
60.5,,,4.53
61.0694,4.66,,
61.0694,4.49,,
61.64,,4.27,
62.7904,,,4.52
62.875,4.52,,
63.3733,,4.36,
64.6806,4.56,,
65.0806,,,4.47
66.4861,4.57,,
67.3709,,,4.32
67.3709,,,4.33
69.0933,,4.37,
69.4321,,,4.11
70.0972,4.2,,
70.8267,,4.15,
70.8267,,4.06,
72.5333,3.96,,
72.5333,4.21,,
72.6835,,,4.07
73.4087,,4.11,
73.4087,,4.05,
75.6,3.99,,
76.0851,,3.99,
76.7354,,,3.78
78.6667,3.92,,
78.7615,,3.78,
80.7873,,,3.68
80.7873,,,3.84
81.4378,,3.67,
81.7333,3.91,,
84.1142,,3.77,
84.8,3.82,,
84.8,3.48,,
84.8396,,,3.76
86.7906,,3.79,
87.8667,3.64,,
88.8916,,,4.06
88.8916,,,4.08
90.9333,4.23,,
94,3.82,,
94,3.97,,
95.5826,,4.14,
95.8565,,,3.87
96.1181,4.03,,
98.0545,,4.05,
98.2362,3.74,,
100.526,,3.89,
102.472,3.66,,
102.998,,3.91,
102.998,,3.77,
102.998,,3.76,
103.389,,,3.56
105.516,,3.65,
105.987,,,3.83
105.987,,,3.53
108.225,,3.68,
108.74,,,3.62
109.195,3.91,,
110.935,,3.81,
110.935,,3.68,
111.493,,,3.89
111.493,,,3.85
111.517,3.86,,
113.645,,3.94,
113.839,4.16,,
116.064,4.17,,
116.193,,3.83,
116.957,,,3.97
118.191,3.92,,
120.318,3.98,,
120.395,,,3.67
120.963,,4.13,
122.446,3.76,,
122.446,3.36,,
123.348,,3.76,
123.521,,,3.48
123.521,,,3.41
124.573,2.87,,
125.733,,3.44,
126.646,,,2.98
126.7,3.38,,
127.737,2.96,,
127.844,,3.13,
128.822,,,2.76
128.822,,,3.4
129.47,3.29,,
129.643,,3.07,
130.746,,,3.83
130.746,,,2.92
131.443,,3.1,
132.67,,,3.78
132.935,4.54,,
133.242,,4.36,
134.554,,,4.71
134.668,4.87,,
135.041,,4.76,
136.371,,,4.79
138.188,,,4.75
140.09,,,4.85
141.717,4.74,,
142.062,,,4.62
142.89,,4.73,
144.034,,,4.74
146.006,,,4.53
146.006,,,4.36
146.824,,4.55,
147.15,4.66,,
147.978,,,3.84
147.978,,,4.34
148.432,,4.51,
148.961,4.52,,
149.752,,,4.47
150.772,4.65,,
152.934,,4.28,
153.893,,,4.65
154.703,,4.58,
155.865,,,4.45
156.205,4.67,,
156.31,,4.37,
157.837,,,4.32
158.016,4.34,,
159.809,,,4.54
160.214,,4.26,
161.781,,,4.4
161.781,,,4.34
162.485,,4.32,
164.911,,4.35,
167.083,4.37,,
167.336,,4.17,
168.899,4.19,,
169.762,,4.24,
170.714,4.18,,
172.187,,4.27,
174.345,4.51,,
174.613,,4.09,
176.161,4.4,,
177.038,,4.25,
179.464,,4.41,
179.792,4.24,,
181.889,,4.28,
181.889,,4.46,
185.238,4.45,,
186.74,,4.32,
188.869,4.21,,
190.685,3.79,,
190.685,3.65,,
190.916,,,3.91
191.591,,3.67,
191.591,,4.08,
193.629,,,3.45
194.017,,3.76,
196.2,,,3.76
196.2,,,3.47
196.418,,3.59,
198.682,,3.38,
198.682,,3.4,
198.682,,3.64,
198.88,,,3.55
201.169,,3.44,
201.169,,3.49,
201.169,,3.49,
201.612,3.24,,
201.813,,,3.24
203.656,,3.52,
204.747,,,3.56
207.706,,,3.49
208.382,3.53,,
210.904,,,3.47
214.857,,3.37,
214.857,,3.65,
217.298,,,3.29
217.845,,3.65,
218.334,3.24,,
220.413,,,3.33
220.637,3.4,,
220.695,,3.36,
223.078,,,3.64
223.185,,3.49,
225.675,,3.52,
225.742,,,4.25
225.742,,,4.21
225.742,,,4.4
228.165,,4.23,
228.165,,4.3,
228.902,4.09,,
231.083,,,4.24
233.378,3.83,,
234.197,,,4.1
235.793,4.17,,
237.348,,,4.18
238.232,3.76,,
238.913,,3.69,
240.829,,,3.65
241.303,,3.99,
241.303,,3.73,
243.105,3.14,,
243.105,3.24,,
243.455,,3.39,
243.859,,,3.06
245.024,,3.84,
246.143,,,4.06
246.143,,,3.33
246.593,,4.22,
248.427,,,4.25
250.711,,,4.11
251.938,,4.48,
252.712,,,4.53
254.163,,4.52,
255.772,4.48,,
256.403,,4.42,
256.859,,,4.44
257.718,,,4.62
257.757,4.26,,
258.643,,4.36,
258.643,,4.46,
259.28,,,4.44
260.098,,,4.18
260.098,,,4.3
260.883,,4.27,
261.7,,,4.27
261.728,4.42,,
262.238,,,4.22
263.123,,4.35,
263.713,4.36,,
264.123,,,4.37
264.856,,,4.35
265.363,,4.39,
266.543,,,4.3
267.236,,,4.49
267.603,,4.38,
267.684,4.19,,
268.862,,,4.5
268.862,,,4.44
269.589,,,4.39
269.589,,,4.57
269.669,4.51,,
269.843,,4.41,
271.013,,,4.47
273.162,,,4.32
273.588,,4.35,
273.588,,4.23,
273.64,4.4,,
274.167,,,4.51
275.312,,,4.41
277.461,,,4.24
278.618,,,4.44
284.576,4.02,,
284.576,4.03,,
288.392,,,3.85
289.424,3.78,,
290.867,,,4.08
291.848,3.49,,
293.342,,,4.22
293.342,,,4.09
294.273,3.84,,
295.817,,,4.03
296.697,4.41,,
298.045,,,4.34
300.765,,,4.05
301.545,4.28,,
303.346,,,4.15
306.918,,,3.79
306.918,,,4.22
309.175,3.91,,
311.748,3.75,,
313.707,,,4.23
316.894,3.85,,
318.469,,,3.47
319.466,3.72,,
320.85,,,3.53
322.039,3.51,,
322.039,3.48,,
323.29,,,3.67
326.281,,,3.1
328.62,3.13,,
329.274,,,3.15
332.267,,,3.01
334.689,,,2.79
335.669,2.94,,
336.905,,,2.91
336.905,,,3.16
338.388,4.76,,
338.9,,,3.72
338.9,,,3.74
343.553,,,4.54
343.553,,,4.41
345.767,,,4.75
348.168,,,3.97
348.506,3.24,,
350.591,,,4.37
350.594,4.75,,
352.683,4.31,,
353.014,,,4.38
354.771,4.37,,
354.771,4.51,,
355.437,,,4.33
356.859,4.31,,
356.859,4.35,,
357.86,,,4.46
361.036,4.43,,
365.126,,,4.38
365.213,4.56,,
367.549,,,4.42
367.549,,,4.33
369.971,,,4.22
372.394,,,4.26
373.566,4.42,,
374.575,,,4.16
375.655,4.3,,
376.133,,4.2,
377.24,,,4.1
377.743,4.05,,
378.919,,4.13,
379.663,,,3.9
379.831,4.04,,
379.831,4.12,,
382.086,,,4.23
384.49,,4.09,
384.49,,4.13,
384.506,,,3.77
386.929,,,4.15
387.276,,3.97,
389.352,,,3.8
389.352,,,3.9
390.273,3.75,,
390.356,,3.9,
391.775,,,3.86
392.361,3.88,,
394.197,,,3.9
394.197,,,3.79
396.62,,,3.63
398.716,3.73,,
398.716,3.87,,
399.116,,3.71,
399.351,,,3.69
399.908,3.65,,
402.313,,,3.29
404.678,3.12,,
404.678,2.87,,
405.23,,,3.39
405.23,,,3.5
407.063,2.97,,
408.143,,,2.89
408.643,,3.59,
409.296,2.92,,
409.296,3.01,,
410.063,,,2.9
410.87,2.98,,
411.344,,,2.87
412.85,,3.36,
412.85,,3.42,
412.91,,,3.26
414.333,,,3.46
414.333,,,3.57
414.893,,3.04,
415.592,4.59,,
416.416,,,3.84
416.416,,,4.65
416.936,,3.29,
416.936,,3.53,
417.167,4.72,,
418.741,4.96,,
418.849,,,3.88
418.849,,,3.14
418.979,,3.64,
421.039,,,3.72
422.268,,4.64,
422.268,,3.98,
422.704,,,3.79
423.008,,,5.05
423.034,4.81,,
423.543,,,5.01
423.543,,,5.01
423.78,,4.89,
423.979,,,4.78
424.799,,,4.81
425.218,,,4.95
425.292,,4.88,
425.678,,,4.88
425.793,4.87,,
426.308,,,4.76
426.527,,,4.67
426.527,,,4.74
426.804,,4.77,
427.375,,,4.22
428.224,,,4.4
428.571,,,4.47
429.073,,,4.13
429.409,,,4.39
429.923,,,4.37
429.931,4.53,,
430.686,,,4.38
430.975,,,4.37
431.31,4.58,,
431.31,4.57,,
431.34,,4.72,
431.62,,,4.58
432.69,4.29,,
432.852,,4.6,
432.852,,4.64,
433.327,,,4.48
433.327,,,4.57
434.069,4.49,,
434.363,,4.49,
435.448,4.54,,
435.875,,4.58,
437.902,4.52,,
437.902,4.46,,
438.08,,,4.41
441.073,4.65,,
442.855,,,4.24
444.244,4.2,,
447.63,,,4.19
453.756,4.41,,
454.243,,,4.31
454.243,,,4.48
456.927,4.51,,
461.803,,,3.89
463.268,4.35,,
466.439,4.4,,
466.439,4.19,,
469.61,4.03,,
472.78,4.06,,
473.902,,,3.87
473.902,,,3.95
483.161,3.68,,
484.117,,,3.54
484.117,,,3.68
486.166,3.75,,
488.588,3.33,,
488.674,,,3.4
488.674,,,3.54
491.01,3.41,,
492.171,,,3.45
492.887,,3.49,
492.887,,3.71,
493.432,3.27,,
494.885,,3.8,
496.058,,,3.56
497.943,,4.16,
499.226,,4.09,
499.244,3.56,,
500.081,,4.14,
500.081,,4.1,
500.335,,,3.53
501.364,,3.76,
502.151,3.47,,
502.219,,4.17,
503.502,,4.09,
504.221,,,3.36
504.357,,4.01,
505.64,,4.06,
505.64,,4.06,
506.495,,4,
507.718,,,3.63
507.778,,3.97,
508.633,,3.93,
509.916,,3.82,
510.771,,3.96,
510.884,3.77,,
510.884,3.79,,
511.605,,,3.83
512.054,,3.79,
512.904,3.93,,
512.909,,3.89,
514.192,,3.74,
514.923,3.92,,
515.047,,3.82,
517.025,3.73,,
517.288,,3.48,
517.288,,3.87,
518.098,,,3.68
518.098,,,3.95
519.221,3.79,,
519.613,,3.79,
519.613,,4.01,
520.515,,,3.73
521.008,,3.87,
521.938,,3.87,
522.604,,,3.57
523.333,,3.94,
523.333,,3.89,
524.263,,4,
525.625,,,3.71
525.625,,,3.8
525.658,,3.97,
526.381,,,3.66
526.461,,,3.76
526.588,,4.37,
527.497,,,4.14
527.983,,4.33,
528.268,,,3.54
528.535,,,3.87
528.937,,4.43,
529.571,,,3.99
530.156,,,4.01
530.156,,,4.33
530.477,,4.24,
530.477,,4.06,
530.789,,,4.33
530.789,,,4.29
531.503,,4.24,
532.113,4.47,,
532.294,,,4.34
532.294,,,4.28
533.043,,4.68,
533.043,,4.43,
533.496,,,4.4
534.07,,4.6,
534.156,4.49,,
534.696,,,4.41
535.61,,4.44,
535.899,,,4.5
536.198,4.37,,
536.198,4.43,,
536.636,,4.35,
536.636,,3.53,
537.098,,,4.53
537.098,,,4.4
538.176,,4.35,
538.241,4.48,,
538.301,,,4.45
539.202,,4.33,
539.202,,4.37,
539.5,,,4.4
540.363,4.5,,
540.762,,,4.33
540.762,,,4.47
541.667,,4.39,
541.667,,4.34,
542.048,,,4.38
542.712,4.36,,
543.33,,,4.33
543.98,,4.27,
544.616,,,4.16
545.06,4.34,,
545.901,,,4.1
547.866,,,4.05
549.894,,,4.05
549.894,,,3.94
550.108,,4.14,
551.921,,,4.1
551.925,4.2,,
553.944,,,3.77
555.629,3.86,,
557.402,,4.02,
560.19,,,3.27
561.049,,4.14,
562.8,,,3.91
563.873,3.9,,
563.873,3.49,,
566.615,,,4.04
567.867,3.92,,
568.023,,3.73,
568.405,,,3.49
570.307,,,3.27
571.171,,3.45,
571.171,,3.44,
571.602,3.79,,
572.214,,,3.09
574.117,,,3.18
574.319,,3.54,
575.337,3.34,,
576.023,,,3.25
577.811,,3.29,
577.811,,3.24,
577.926,,,3.27
579.071,3.06,,
579.832,,,3.16
581.451,,3.76,
581.735,,,3.46
581.735,,,4.27
582.806,3.27,,
582.906,,3.27,
583.642,,,4.04
585.09,,4.39,
585.544,,,3.82
586.343,4.12,,
586.91,,3.94,
587.451,,,4.23
588.73,,4.2,
588.812,4.23,,
588.996,,,3.8
590.459,,,4.22
590.459,,,4.13
590.47,,4.05,
592.028,,4.47,
593.099,,,3.79
593.211,4.14,,
593.586,,4.14,
594.833,,4.24,
594.833,,3.94,
595.144,,4,
595.325,3.83,,
595.74,,,3.73
596.098,,4.022,
596.759,,3.97,
597.438,3.68,,
598.08,,3.85,
598.38,,,3.95
598.411,,3.85,
599.402,,3.948,
599.702,,,3.92
600.063,,3.89,
601.1,,,3.72
601.1,,,3.92
601.385,,3.79,
602.398,3.95,,
602.706,,3.895,
602.93,,,3.97
602.93,,,3.96
603.367,,3.84,
604.689,,3.67,
604.689,,3.78,
604.756,,,3.79
605.243,3.54,,
606.011,,3.938,
606.586,,,4.33
606.672,,3.64,
607.993,,3.64,
607.993,,3.83,
608.412,,,3.66
609.315,,3.638,
609.976,,3.58,
610.241,,,3.31
610.933,3.81,,
611.297,,3.7,
612.067,,,3.6
612.067,,,3.64
612.619,,3.799,
613.28,,3.74,
613.779,3.31,,
613.779,3.37,,
613.897,,,3.6
614.602,,3.66,
615.723,,,3.17
615.723,,,3.34
615.923,,3.526,
616.584,,3.47,
616.624,3.39,,
617.553,,,3.4
617.906,,3.22,
617.906,,3.5,
619.228,,3.582,
619.379,,,3.5
619.469,3.2,,
619.838,,3.53,
620.955,,3.65,
621.257,,,3.84
622.322,,3.821,
622.383,3.6,,
623.011,,3.76,
623.458,,,4.93
625.417,3.88,,
625.417,3.58,,
625.616,,,4.62
625.767,,3.656,
626.456,,3.6,
627.769,,,4.98
627.833,,4.67,
628.45,4.78,,
629.211,,4.943,
629.9,,4.88,
629.922,,,5.02
631.278,,4.96,
631.483,4.81,,
632.08,,,4.98
632.656,,5.003,
633.222,,4.95,
633.984,5.08,,
634.028,,,4.96
634.111,,5.03,
635,,4.82,
635.444,,4.76,
635.826,,,4.97
635.953,4.8,,
636.333,,4.92,
637.222,,4.823,
637.621,,,4.71
637.621,,,5.01
637.667,,4.77,
637.921,4.86,,
638.556,,4.97,
639.419,,,4.81
639.419,,,4.81
639.444,,4.748,
639.889,,4.69,
639.89,4.88,,
640.778,,4.68,
641.214,,,4.87
641.667,,4.645,
641.859,4.78,,
642.111,,4.59,
643,,4.81,
643.012,,,4.75
643.827,4.71,,
643.889,,4.738,
644.333,,4.68,
644.807,,,4.66
645.222,,4.67,
645.985,4.76,,
646.111,,4.629,
646.556,,4.57,
646.605,,,4.64
647.444,,4.64,
648.333,,4.587,
648.399,,,4.68
648.529,4.56,,
648.529,4.47,,
648.903,,4.53,
650.198,,,4.58
650.292,,4.53,
651.072,4.54,,
651.681,,4.665,
651.776,,,4.62
652.375,,4.6,
653.255,,,4.48
653.361,4.5,,
654.73,,,4.48
655.153,,4.607,
655.847,,4.55,
656.159,4.41,,
656.209,,,4.52
657.236,,4.5,
657.684,,,4.46
658.625,,4.472,
658.703,4.43,,
659.163,,,4.36
659.319,,4.42,
660.639,,,4.46
660.708,,4.49,
661.246,4.64,,
662.097,,4.633,
662.117,,,4.27
662.117,,,4.08
662.792,,4.57,
663.593,,,4.38
663.79,4.41,,
664.181,,4.56,
665.071,,,4.43
665.57,,4.298,
666.264,,4.24,
666.547,,,4.32
668.035,,,4.56
669.042,,4.354,
669.526,,,4.55
669.526,,,4.45
669.715,4.51,,
669.715,4.46,,
669.736,,4.29,
671.016,,,4.25
672.208,,4.386,
672.51,,,4.31
672.78,,4.33,
673.097,4.4,,
673.924,,4.4,
674.001,,,4.46
675.495,,,4.39
676.478,4.3,,
676.985,,,4.28
678.479,,,3.95
679.97,,,4.04
679.97,,,4.19
680.789,,4.461,
681.361,,4.16,
682.505,,4.39,
682.954,,,4
683.242,4.29,,
683.242,4.33,,
684.221,,4.16,
685.365,,4.34,
685.365,,4.11,
685.939,,,3.9
686.223,,4.35,
686.623,3.98,,
686.795,,4.05,
686.831,,,3.75
688.028,,,3.6
688.028,,,3.66
689.37,,3.965,
689.786,,,3.56
689.899,3.79,,
689.942,,3.91,
690.216,,,3.53
691.937,,,3.47
692.23,,4.106,
692.802,,4.05,
694.502,,,3.39
694.54,3.92,,
695.069,,3.909,
695.636,,3.85,
696.205,,,3.45
696.768,,3.81,
696.845,3.3,,
696.845,3.66,,
697.901,,3.731,
698.467,,3.67,
698.76,,,3.48
699.512,3.27,,
699.6,,3.57,
699.6,,3.52,
700.463,,,3.59
701.6,,3.39,
702.592,,,3.63
702.592,,,3.51
702.933,,3.41,
703.018,,,3.73
704.242,,3.533,
704.848,,3.47,
706.061,,3.42,
707.273,,3.553,
707.879,,3.5,
710.303,,3.554,
710.462,,,4.15
710.909,,3.49,
712.121,,3.64,
712.398,,,3.89
713.333,,3.786,
713.939,,3.73,
714.333,,,4.07
714.72,,,3.58
715.151,,3.69,
716.364,,3.751,
716.97,,3.69,
718.182,,3.91,
718.204,,,4.2
718.591,,,4.44
719.394,,3.927,
719.485,4.15,,
720,,3.87,
720.14,,,4.38
721.272,,4.01,
722.075,,,4.39
722.212,4.47,,
722.462,,,4.41
722.544,,3.83,
724.007,,,4.24
724.562,4.47,,
725.057,,4.311,
725.193,,,4.37
725.193,,,4.36
725.447,,4.25,
726.094,4.45,,
726.379,,,4.28
727.006,,4.291,
727.396,,4.23,
727.565,,,4.1
727.626,4.21,,
727.626,4.33,,
727.803,,,4.2
728.176,,4.03,
728.752,,,4.24
728.956,,3.908,
729.159,4.27,,
729.346,,3.85,
729.938,,,3.83
730.125,,4.2,
730.175,,,3.95
730.691,4.07,,
730.905,,4.137,
731.124,,,4.02
731.295,,4.08,
732.075,,3.99,
732.223,3.91,,
732.223,3.95,,
732.31,,,3.65
732.548,,,3.87
732.854,,3.961,
733.244,,3.91,
733.755,3.98,,
734.024,,4,
734.683,,,3.98
734.804,,3.772,
734.92,,,3.95
735.193,,3.71,
735.288,3.95,,
735.973,,4.02,
736.753,,4.03,
736.82,3.97,,
737.055,,,3.91
737.143,,3.97,
737.922,,3.98,
738.242,,,3.91
738.702,,4.092,
739.092,,4.03,
739.428,,,3.92
739.665,,,3.93
739.872,,4.03,
739.884,4.05,,
740.62,,,4.52
740.651,,4.003,
741.041,,3.95,
741.417,3.87,,
741.821,,4,
742.601,,3.9,
742.962,4.56,,
742.999,,3.84,
743.045,,,4.45
744.525,,4.29,
745.76,,,4.37
746.053,,4.292,
746.068,4.42,,
746.817,,4.24,
747.57,,,4.54
748.345,,4.53,
748.345,,4.52,
749.833,,,4.28
749.873,,4.4,
750.285,,,4.08
750.637,,4.34,
752.095,,,4.4
752.165,,4.37,
753.693,,4.104,
754.358,,,4.27
754.457,,4.05,
754.81,,,4.4
755.483,4.36,,
755.985,,4.27,
757.513,,4.272,
758.277,,4.21,
758.882,,,4.31
758.882,,,4.23
759.805,,4.23,
761.145,,,3.97
761.332,,4.216,
762.096,,4.16,
763.407,,,3.94
763.624,,4.35,
765.152,,4.153,
765.916,,4.09,
767.444,,4.07,
767.932,,,3.77
768.036,3.95,,
768.972,,3.828,
769.736,,3.77,
769.785,,,4.04
771.264,,4.04,
771.536,,,3.9
772.792,,3.937,
773.287,,,3.52
773.556,,3.88,
774.313,3.89,,
775.084,,3.59,
776.612,,3.698,
776.789,,,3.77
777.376,,3.64,
777.451,3.67,,
780.432,,3.342,
781.196,,3.28,
782.041,,,3.66
782.723,,3.48,
783.728,3.57,,
784.251,,3.52,
785.015,,3.46,
786.543,,3.35,
786.866,3.24,,
788.068,,3.208,
788.804,,3.15,
789.006,,,3.38
789.343,3.24,,3.32
789.343,3.24,,3.38
790.276,,3.36,
790.692,,,4.54
791.747,,3.461,
791.889,3.37,,
792.482,,3.41,
792.517,,,4.43
796.584,,,4.56
796.982,4.29,,
798.493,,,4.72
800.118,,,4.69
800.443,,,4.55
801.744,,,4.62
801.744,,,4.2
801.819,4.55,,
803.437,,3.58,
804.206,4.43,,
804.206,4.61,,
804.994,,,4.43
806.593,4.53,,
806.619,,,4.23
806.944,,,4.49
808.244,,,4.37
808.244,,,3.9
808.981,4.35,,
809.526,,3.742,
809.869,,,4.17
809.961,,3.45,
810.194,,,4.39
810.194,,,4.4
811.368,4.44,,
811.494,,,4.1
811.494,,,4.24
811.701,,4.178,
812.136,,4.12,
813.119,,,3.8
813.444,,,4.04
813.755,4.12,,
813.875,,4.106,
814.31,,4.05,
814.744,,,3.87
816.05,,3.947,
816.485,,3.89,
818.225,,3.76,
818.66,,3.7,
819.646,,3.68,
820.984,,3.676,
821.245,,,3.49
821.652,,3.62,
822.87,,,3.85
822.989,,3.7,
823.195,,,3.23
823.303,3.46,,
824.327,,3.599,
824.995,,3.54,
826.12,,,3.8
826.332,,3.76,
827.67,,3.749,
828.077,3.86,,
828.338,,3.69,
