,Exp,Site,Hole,Core,Type,Sect,A/W,Top offset (cm),Bottom offset (cm),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Length (cm),Volume (cm3),Request number,Sample name,Location,Comments,Label identifier,age_ka
0,198,1208,A,13,H,1,W,115,117,110.35,110.37,110.3,110.319,2,10,75098IODP,FORD,GCR,,198-1208A-13H-1-W 115/117-FORD,2247.7
1,198,1208,A,13,H,2,W,5,7,110.75,110.77,110.683,110.702,2,10,75098IODP,FORD,GCR,,198-1208A-13H-2-W 5/7-FORD,2255.06
2,198,1208,A,13,H,2,W,45,47,111.15,111.17,111.066,111.085,2,10,75098IODP,FORD,GCR,,198-1208A-13H-2-W 45/47-FORD,2262.8307692307694
3,198,1208,A,13,H,2,W,83,85,111.53,111.55,111.429,111.448,2,10,75098IODP,FORD,GCR,,198-1208A-13H-2-W 83/85-FORD,2269.98
4,198,1208,A,13,H,2,W,125,127,111.95,111.97,111.831,111.85,2,10,75098IODP,FORD,GCR,,198-1208A-13H-2-W 125/127-FORD,2278.02
5,198,1208,A,13,H,3,W,6,8,112.26,112.28,112.127,112.147,2,10,75098IODP,FORD,GCR,,198-1208A-13H-3-W 6/8-FORD,2284.94
6,198,1208,A,13,H,3,W,44,46,112.64,112.66,112.491,112.51,2,10,75098IODP,FORD,GCR,,198-1208A-13H-3-W 44/46-FORD,2292.22
7,198,1208,A,13,H,3,W,85,87,113.05,113.07,112.883,112.902,2,10,75098IODP,FORD,GCR,,198-1208A-13H-3-W 85/87-FORD,2299.06
8,198,1208,A,13,H,3,W,118,120,113.38,113.4,113.199,113.218,2,10,75098IODP,FORD,GCR,,198-1208A-13H-3-W 118/120-FORD,2304.38
9,198,1208,A,13,H,4,W,6,8,113.76,113.78,113.562,113.582,2,10,75098IODP,FORD,GCR,,198-1208A-13H-4-W 6/8-FORD,2313.7142857142853
10,198,1208,A,13,H,4,W,42,44,114.12,114.14,113.907,113.926,2,10,75098IODP,FORD,GCR,,198-1208A-13H-4-W 42/44-FORD,2335.54
11,198,1208,A,13,H,4,W,85,87,114.55,114.57,114.318,114.337,2,10,75098IODP,FORD,GCR,,198-1208A-13H-4-W 85/87-FORD,2344.14
12,198,1208,A,13,H,4,W,126,128,114.96,114.98,114.71,114.73,2,10,75098IODP,FORD,GCR,,198-1208A-13H-4-W 126/128-FORD,2353.0
