depth,age_ka,MgCa,FeCa,AlCa,d13C,d18O,notes
0.08,2.4,0.9,15.1,6,-0.54,3.4,198 1208A 001H 01W 8-10
0.08,2.4,1.03,14.3,9,,,198 1208A 001H 01W 8-10
0.22,6.5,0.96,30.4,12,-0.5,3.56,198 1208A 001H 01W 22-24
0.22,6.5,1.1,21.1,49,,,198 1208A 001H 01W 22-24
0.3,8.8,0.96,12.1,8,-0.75,3.91,198 1208A 001H 01W 30-32
0.3,8.8,1.02,29,22,,,198 1208A 001H 01W 30-32
0.34,10,1.08,19.3,8,-0.9,3.87,198 1208A 001H 01W 34-36
0.34,10,0.89,21.7,12,,,198 1208A 001H 01W 34-36
0.38,12,0.88,38.5,9,-0.96,3.95,198 1208A 001H 01W 38-40
0.38,12,0.96,41.8,16,,,198 1208A 001H 01W 38-40
0.44,15,,,,-1.03,4.63,198 1208A 001H 01W 44-46
0.5,16.3,0.76,10.4,10,-1.18,4.67,198 1208A 001H 01W 50-52
0.5,16.3,0.9,4.63,22,,,198 1208A 001H 01W 50-52
0.58,17.9,0.9,16.4,11,-1.05,4.69,198 1208A 001H 01W 58-60
0.58,17.9,0.73,3.47,10,,,198 1208A 001H 01W 58-60
0.63,19,0.81,37.7,15,-1.24,4.94,198 1208A 001H 01W 63-65
0.73,20.1,0.84,9.1,11,-1.19,4.87,198 1208A 001H 01W 73-75
0.73,20.1,0.74,3.63,8,,,198 1208A 001H 01W 73-75
0.83,21.2,0.75,9.3,11,,,198 1208A 001H 01W 83-85
0.9,22,,,,-1.29,5.14,198 1208A 001H 01W 90-92
1.03,22.2,0.85,9.5,8,,,198 1208A 001H 01W 103-105
