Sira #,Site,H,Co,T,Section,Top(cm),Bot(cm),mbsf,mcd,Species,d18O,d13C,age_ka
S18 0132,ODP1209,B,1,H,1,0,1,0,0,CWUEL,3.71,-0.03,0
S18 0133,ODP1209,B,1,H,1,4,5,0.04,0.04,CWUEL,3.39,-0.06,3.6
S18 0134,ODP1209,B,1,H,1,8,9,0.08,0.08,CWUEL,4.08,-0.12,7.2
S18 0135,ODP1209,B,1,H,1,12,13,0.12,0.12,CWUEL,4.06,-0.23,10.8
S18 0136,ODP1209,B,1,H,1,16,17,0.16,0.16,CWUEL,3.99,-0.34,14.4
S18 0137,ODP1209,B,1,H,1,18,19,0.18,0.18,CWUEL,4.31,-0.2,16.2
,ODP1209,B,1,H,1,24,26,0.24,0.24,CWUEL,4.26,-0.23,25.2
S18 0138,ODP1209,B,1,H,1,28,29,0.28,0.28,CWUEL,4.41,-0.22,32.4
S18 0139,ODP1209,B,1,H,1,32,33,0.32,0.32,CWUEL,4.37,-0.23,39.6
S18 0140,ODP1209,B,1,H,1,36,37,0.36,0.36,CWUEL,4.28,-0.21,46.8
S18 0141,ODP1209,B,1,H,1,38,39,0.38,0.38,CWUEL,4.13,-0.05,50.4
S18 0142,ODP1209,B,1,H,1,44,45,0.44,0.44,CWUEL,4.31,-0.2,61.2
S18 0143,ODP1209,B,1,H,1,138,139,1.38,1.38,CWUEL,4.34,-0.42,131.48
