d18O_unadj,age_ka
2.85,2350
2.95,2359.8
3.42,2367.1
2.94,2375.7
2.93,2379.4
3.02,2384.6
3.04,2389.3
3.12,2396.7
3.04,2399.7
3.05,2403.8
3.03,2409.9
2.86,2415.9
3.08,2419.2
3.05,2422.4
3.61,2429.9
3.62,2437.3
3.56,2442
3.45,2445.8
3.5,2452.1
3.13,2455.3
3.08,2458.6
2.83,2465.5
2.76,2472
3.4,2479.3
3.65,2483.3
3.46,2486.8
3.23,2494.6
2.58,2499.3
3.28,2501.2
2.67,2502.7
3.08,2505.9
3.37,2509.2
3.36,2511.1
3.31,2513.1
3.3,2517.3
3.41,2529.8
3.66,2532.1
3.4,2535.7
2.88,2543
2.78,2547.4
3.45,2548.6
3.28,2555.1
3.13,2556.3
2.79,2557.6
3.31,2559.1
3.1,2560.4
3.02,2561.6
3.2,2563.1
3.11,2563.8
3.32,2565.2
2.99,2566.9
3.35,2568.1
3.25,2569.2
3.15,2570.6
3.09,2572
2.96,2573.2
3.04,2575.1
3.18,2576.6
3.2,2579.3
2.9,2581.4
3.08,2583.4
2.74,2585.1
3.12,2587.6
2.84,2589.4
3.04,2591.1
3.1,2592.8
3.22,2594.2
3.06,2595.5
3.24,2597.2
3.13,2598.7
3.23,2600.5
3.4,2604.4
3.52,2605.7
3.4,2607.8
3.38,2610
3.19,2611.6
3.4,2612.8
3.28,2613.7
3.13,2616.5
3.39,2618.5
2.8,2622.1
2.82,2624.2
3.22,2629
3.02,2629.6
3.21,2630.8
3.01,2632.4
3.15,2633.5
3.19,2634.7
3.15,2635.4
3.05,2636.2
3.33,2637.3
3.32,2639.3
3.26,2642.8
3.07,2644.7
3.57,2645.5
3.23,2646.7
3.1,2647.8
3.03,2649.3
3.28,2650.4
3.07,2651.6
3.33,2653.2
3.01,2654.6
2.99,2656.4
3.13,2659.4
3.11,2661.5
3.24,2666.6
3.26,2668.2
3.19,2669.9
3.17,2671.5
2.94,2673.1
3.05,2674.2
3.07,2675.1
2.95,2676.2
3.19,2677.4
3.3,2678.9
3.18,2680
3.36,2681.3
3.4,2682.5
3.35,2683.5
3.39,2684.5
3.4,2685.3
3.51,2686.1
3.48,2687.2
3.42,2688.3
3.48,2689.7
3.42,2690.9
3.5,2692
3.48,2693.6
3.31,2694.8
3.31,2696.1
3.04,2696.9
3.22,2697.8
3.11,2699.4
3.18,2700.9
3.19,2703
3.21,2704.6
3.22,2705.8
3.24,2708.2
3.15,2710.2
3.35,2713.2
3.32,2714.7
3.32,2718.4
3.54,2722.4
3.59,2724.9
3.31,2728.4
2.94,2735.2
2.74,2741.4
3.07,2756.3
2.93,2758.6
3.06,2761.2
2.98,2766.5
2.82,2771.9
2.59,2774.6
2.82,2777.4
2.88,2782.5
2.88,2785.4
2.98,2788.5
2.94,2792.5
2.97,2795.8
3.2,2803
3.27,2810.4
3.21,2816.6
2.9,2821.6
2.91,2825.4
2.87,2829.3
2.95,2833.1
2.95,2836.8
3.02,2840.7
3.16,2844.7
3.16,2849.1
3.11,2853.1
2.84,2857
2.8,2860.6
2.9,2863.3
2.79,2864.6
2.92,2868.9
3.02,2873.1
3.04,2875.5
3.18,2878
3.27,2883
3.14,2887.6
2.92,2890.3
3,2892.7
2.9,2898.9
2.87,2901.8
2.88,2903.6
2.85,2904.5
2.93,2906.4
2.81,2908.1
2.96,2912.1
2.82,2916.2
3.07,2920.4
3.02,2925.5
3.33,2931.2
2.87,2935.1
2.71,2941.8
2.68,2944.4
2.53,2946.6
2.78,2950.7
2.66,2954.6
2.78,2956.6
2.9,2957.5
2.96,2961.9
2.93,2967
2.94,2968.2
2.93,2970.1
3.01,2974.3
3.04,2978.5
3.01,2980.9
2.89,2983.3
2.81,2988.2
3,2991.7
2.9,2993.5
2.87,2996.7
3.01,3001.6
3.12,3004.2
3.07,3005.8
3.04,3009.8
3.11,3012.1
3.04,3016.5
3.02,3020.8
3.02,3023.2
3.06,3026.8
3.01,3031.6
2.87,3038.1
2.94,3041.1
2.88,3044
3.02,3049.1
2.83,3054.3
2.97,3057.3
2.91,3060.7
2.84,3067.7
2.93,3072.5
2.93,3076.5
2.83,3080.6
2.84,3087.5
2.76,3091.4
2.96,3094.8
3.07,3098
