mcd,age_ka,d18O,d13C
89.31,2001,3.89,0.57
89.44,2004,3.74,0.7
89.75,2010,3.29,1.04
89.89,2013,3.16,0.98
90.05,2016,3.35,0.78
90.19,2019,3.54,0.49
90.56,2026,4.18,0.26
90.62,2027,4.36,0.33
90.92,2032,4.13,0.01
91.22,2038,3.86,0.42
91.39,2041,3.84,0.76
91.56,2044,3.54,0.94
91.69,2047,3.59,0.87
91.81,2049,3.43,0.85
91.94,2051,3.39,1.03
92.11,2054,3.59,0.77
92.25,2056,3.59,0.96
92.41,2059,3.62,0.87
92.55,2062,3.75,0.64
92.7,2064,3.72,0.51
92.84,2067,3.38,0.89
92.95,2069,3.61,0.97
93.11,2072,3.55,0.87
93.33,2076,3.54,0.64
93.41,2078,3.43,0.7
93.58,2082,3.39,0.78
93.7,2084,3.52,0.36
94,2091,3.18,0.58
94.31,2101,3.61,0.55
94.45,2106,4.12,0.3
94.61,2110,3.7,0.59
94.83,2117,3.72,0.76
94.91,2119,3.56,0.58
95.08,2124,3.31,1.13
95.2,2127,3.25,0.95
95.66,2138,3.15,0.81
95.81,2141,3.21,0.75
95.95,2144,3.58,0.64
96.11,2147,3.56,0.64
96.33,2152,3.99,0.49
96.42,2154,3.89,0.43
96.58,2158,3.86,0.66
97,2169,3.39,0.8
97.16,2173,3.31,0.99
97.31,2177,3.24,0.86
97.45,2181,3.4,0.7
97.61,2184,3.51,0.77
97.83,2189,3.64,0.6
97.91,2191,3.64,0.66
98.2,2198,3.77,0.72
98.36,2201,3.46,0.48
98.66,2207,3.53,0.51
98.95,2213,3.32,0.83
99.33,2221,3.14,0.71
99.41,2223,3.43,1.04
99.58,2229,3.5,0.69
99.7,2233,3.74,0.8
99.86,2238,3.82,0.77
100,2242,3.8,0.61
100.31,2249,3.71,0.42
100.45,2252,3.52,0.89
100.61,2256,3.22,1
100.83,2260,3.27,1.3
100.91,2261,3.43,1.01
101.08,2264,3.37,1.25
101.2,2267,3.41,1.02
101.36,2270,3.65,0.84
101.66,2275,3.77,1.17
102.39,2291,3.55,0.9
102.39,2291,3.69,0.91
102.48,2292,3.28,1.15
102.69,2296,3.35,1.1
