age_ka,cmcd,MgCa,BWT,d18O_sw,RSL,RSL_smooth
153.500,6.800,1.100,-0.400,0.580,-48.200,-48.300
154.800,6.800,1.040,-0.800,0.430,-33.200,-51.700
157.200,6.900,1.290,0.800,0.840,-73.700,-43.400
162.000,7.100,1.110,-0.300,0.330,-23.200,-38.500
171.500,7.400,1.080,-0.500,0.290,-18.600,-21.100
173.600,7.400,1.050,-0.800,0.320,-21.600,-29.900
179.500,7.600,1.160,0.000,0.590,-49.500,-39.900
183.100,7.800,1.270,0.700,0.590,-48.600,-52.700
187.600,7.900,1.440,1.900,0.700,-60.100,-53.400
191.500,8.000,1.480,2.100,0.620,-51.500,-43.900
194.200,8.100,1.370,1.400,0.300,-20.200,-17.000
197.200,8.200,1.200,0.300,-0.110,20.800,-2.000
200.300,8.300,1.480,2.200,0.170,-6.600,8.500
205.800,8.400,1.310,1.000,-0.010,11.300,12.900
211.300,8.600,1.250,0.600,-0.240,34.100,-3.800
226.300,8.900,1.440,1.800,0.670,-56.700,-13.600
235.100,9.000,1.460,2.000,0.280,-18.300,-27.100
243.300,9.200,1.370,1.400,0.160,-6.200,-44.100
248.500,9.300,1.600,2.900,1.180,-107.700,-93.000
255.200,9.600,1.600,2.900,1.750,-165.000,-128.600
258.300,9.800,1.450,1.900,1.230,-113.000,-101.000
263.900,10.100,0.940,-1.500,0.350,-25.100,-67.600
270.200,10.500,1.190,0.200,0.750,-64.900,-52.600
272.700,10.700,1.290,0.900,0.780,-67.800,-50.600
274.500,10.800,1.070,-0.600,0.290,-19.000,-38.300
277.300,11.000,1.310,1.000,0.380,-28.200,-27.000
279.300,11.100,1.420,1.700,0.440,-33.700,-36.900
281.900,11.300,1.570,2.700,0.590,-49.000,-51.500
285.000,11.400,1.530,2.500,0.820,-71.900,-47.800
292.100,11.700,1.030,-0.900,0.320,-22.500,-26.100
298.900,12.000,0.930,-1.500,-0.060,16.100,5.300
301.500,12.100,1.080,-0.500,-0.120,22.200,27.100
312.800,12.500,1.080,-0.500,-0.330,42.900,32.900
317.500,12.600,1.290,0.900,-0.240,33.500,27.000
325.400,12.900,1.590,2.900,0.050,4.600,20.700
329.000,13.100,1.300,0.900,-0.140,23.900,-14.400
331.700,13.200,1.470,2.100,0.820,-71.800,-45.900
342.900,13.700,1.140,-0.100,1.000,-89.900,-77.900
346.600,13.800,1.050,-0.700,0.820,-72.100,-78.900
350.000,14.000,1.220,0.400,0.850,-74.600,-78.200
352.900,14.200,1.290,0.900,0.980,-87.800,-91.600
357.600,14.400,1.440,1.800,1.220,-112.400,-73.100
360.400,14.600,0.920,-1.600,0.290,-18.900,-58.400
362.400,14.700,1.110,-0.300,0.540,-43.900,-28.500
364.100,14.800,1.030,-0.800,0.330,-22.700,-44.000
368.500,15.100,1.330,1.100,0.750,-65.500,-40.500
371.700,15.200,1.190,0.200,0.430,-33.400,-26.600
374.800,15.300,1.050,-0.800,-0.090,19.000,-6.500
378.700,15.500,1.290,0.900,0.150,-5.100,3.400
383.100,15.600,1.220,0.400,0.140,-3.600,-9.500
386.400,15.700,1.380,1.500,0.300,-19.800,10.000
391.600,16.000,1.110,-0.300,-0.430,53.300,22.500
394.200,16.100,1.330,1.100,-0.240,34.000,48.300
397.100,16.200,1.250,0.600,-0.470,57.400,45.400
399.700,16.300,1.320,1.100,-0.350,44.900,49.400
402.200,16.500,1.380,1.400,-0.360,45.800,42.100
406.000,16.600,1.400,1.600,-0.260,35.700,25.500
411.100,16.800,1.530,2.500,0.150,-4.900,-6.300
417.000,17.100,1.650,3.200,0.600,-49.800,-33.300
420.400,17.200,1.680,3.500,0.550,-45.300,-45.800
422.500,17.300,1.580,2.800,0.520,-42.500,-57.900
427.900,17.600,1.270,0.700,0.960,-85.800,-76.000
430.500,17.700,1.270,0.700,1.100,-99.800,-87.000
433.400,17.900,1.130,-0.200,0.850,-75.500,-82.600
436.600,18.100,1.190,0.200,0.830,-72.500,-75.100
439.100,18.200,1.340,1.200,0.870,-77.400,-73.000
441.800,18.400,1.200,0.300,0.790,-69.200,-76.300
444.900,18.500,1.270,0.700,0.920,-82.200,-68.000
448.700,18.600,1.100,-0.400,0.630,-52.700,-62.100
453.900,18.800,1.110,-0.300,0.610,-51.300,-53.100
458.700,18.900,1.200,0.300,0.650,-55.300,-50.300
461.700,19.000,1.220,0.400,0.540,-44.400,-46.500
465.700,19.100,1.250,0.600,0.500,-39.700,-25.400
466.200,19.200,1.140,-0.100,0.020,7.900,-7.800
472.400,19.500,1.030,-0.900,0.020,8.500,-7.100
475.500,19.600,1.230,0.500,0.480,-37.700,-12.900
480.800,19.800,1.230,0.500,0.190,-9.500,-10.200
488.000,19.900,1.210,0.300,-0.070,16.600,13.100
497.000,20.100,1.240,0.600,-0.220,32.200,18.900
507.000,20.200,1.280,0.800,0.020,7.900,6.600
527.400,20.500,1.390,1.600,0.300,-20.400,-20.200
536.100,20.700,1.230,0.400,0.580,-48.100,-45.500
548.700,21.000,1.310,1.000,0.780,-68.000,-50.000
561.300,21.300,1.250,0.600,0.440,-34.100,-32.400
570.500,21.400,1.240,0.500,0.050,4.900,-7.200
578.400,21.600,1.310,1.000,0.020,7.600,-3.800
584.300,21.700,1.450,2.000,0.340,-23.900,-18.200
588.700,21.800,1.490,2.200,0.480,-38.200,-39.600
589.600,21.900,1.550,2.600,0.670,-56.700,-49.800
598.200,22.100,1.570,2.700,0.650,-54.600,-42.100
598.800,22.200,1.470,2.100,0.250,-15.000,-15.700
601.900,22.300,1.260,0.600,-0.120,22.500,-5.900
602.200,22.300,1.530,2.500,0.350,-25.300,-14.900
603.500,22.400,1.640,3.200,0.520,-41.900,-19.500
604.200,22.400,1.360,1.300,0.010,8.800,-10.600
