interval,age_start,age_end
76,1990,2017
77,2017,2043
78,2043,2088
79,2088,2103
80,2103,2125
81,2125,2146
82,2146,2168
83,2168,2192
84,2192,2207.5
85,2207.5,2236
86,2236,2250
87,2250,2273
88,2273,2291
89,2291,2309
90,2309,2333
91,2333,2350
92,2350,2373
93,2373,2387
94,2387,2407
95,2407,2427
96,2427,2452
97,2452,2477
98,2477,2494
99,2494,2510
100,2510,2540
101,2540,2554
102,2554,2575
103,2575,2595
104,2595,2614
G1,2614,2638
G2,2638,2652
G3,2652,2681
G4,2681,2690
G5,2690,2704
G6,2704,2730
G7,2730,2759
G8,2759,2777
G9,2777,2798
G10,2798,2820
G11,2820,2838
G12,2838,2858
G13,2858,2876
G14,2876,2893
G15,2893,2913
G16,2913,2937
G17,2937,2966
G18,2966,2982.5
G19,2982.5,2999
G20,2999,3025
G21,3025,3039
G22,3039,3055
K1,3055,3087
K2,3087,3097
KM1,3097,3119
KM2,3119,3150
KM3,3150,3167
KM4,3167,3184
KM5,3184,3212
KM6,3212,3238
M1,3238,3264
M2,3264,3312
MG1,3312,3332
MG2,3332,3347
MG3,3347,3372
MG4,3372,3387
MG5,3387,3444
MG6,3444,3471
MG7,3471,3517
MG8,3517,3532
MG9,3532,3546
MG10,3546,3566
MG11,3566,3578
MG12,3578,3592
Gi1,3592,3619
Gi2,3619,3637
Gi3,3637,3660
Gi4,3660,3676
Gi5,3676,3705
Gi6,3705,3719
Gi7,3719,3742
Gi8,3742,3752
Gi9,3752,3768
Gi10,3768,3798
Gi11,3798,3822
Gi12,3822,3835
Gi13,3835,3862
Gi14,3862,3879
Gi15,3879,3912
Gi16,3912,3923
Gi17,3923,3939
Gi18,3939,3952
Gi19,3952,3978
Gi20,3978,4007
