name,latitude,longitude,depth,changepoint,ocean
ODP1125,-42.55,-178.17,1365,2919,pacific
ODP1143,9.36,113.29,2772,2724,pacific
ODP1239,-0.67,-82.08,1414,3220,pacific
ODP1241,5.84,-86.44,2027,3409,pacific
ODP214,-11.3,88.7,1665,3439,indian
ODP722,16.6,59.8,2022,0,indian
ODP758,5.4,90.4,2925,0,indian
ODP763,-20.6,112.2,1367,0,indian
ODP806,0.32,159.36,2520,2725,pacific
ODP849,0.18,-110.52,3839,3021,pacific
ODP850,1.297,-110.521,3786.1,3316,pacific
U1338,2.508,-117.97,4210.8,0,pacific
DSDP594,-45.68,174.96,1204,3397,pacific
ODP846,-3.09,-90.82,3296,3428,pacific
DSDP593,-40.51,167.67,1088,0,pacific
ODP1208,36.13,158.2,3346,2727,pacific
