Age_Ma_PLIOVAR,age_ka,temp_min2,temp_min1,temp,temp_plus1,temp_plus2,SST
2.493,2492.5,16.05216885,16.9596361,18.34637566,19.75106331,20.65144174,18.34637566
2.495,2494.792,16.50905624,17.44839887,18.85911965,20.23519663,21.148724,18.85911965
2.497,2497.018,16.62013521,17.53226135,18.91432223,20.31937195,21.21038163,18.91432223
2.5,2499.911,16.99199162,17.93761222,19.3113068,20.69564503,21.62731303,19.3113068
2.501,2501.469,17.44321061,18.32280897,19.72832382,21.12616929,22.04826329,19.72832382
2.504,2503.694,17.66872469,18.5760444,19.96631262,21.36173653,22.28040781,19.96631262
2.507,2506.587,17.52211165,18.46931326,19.86747206,21.25358823,22.17120537,19.86747206
2.508,2508.145,18.04086001,18.97745417,20.37187803,21.76831859,22.67811302,20.37187803
2.51,2510.37,17.59276449,18.50351242,19.89721142,21.27236901,22.17791036,19.89721142
2.513,2512.5,17.06320676,17.9969008,19.39098919,20.78389838,21.69008189,19.39098919
2.515,2514.772,14.07199876,15.00040088,16.38556654,17.77600291,18.7023899,16.38556654
2.516,2516.234,13.6949358,14.58161466,15.9575582,17.35267479,18.28853981,15.9575582
2.518,2518.061,14.49183452,15.3948301,16.78127612,18.15760257,19.05998082,16.78127612
2.52,2519.889,14.46075082,15.36624927,16.74019451,18.1250287,19.04528833,16.74019451
2.522,2521.716,13.65679451,14.53436685,15.91065058,17.30559122,18.22214013,15.91065058
2.524,2523.543,13.7565432,14.64492137,16.04615915,17.43179835,18.34783893,16.04615915
2.525,2525.371,15.6449012,16.55931893,17.95325119,19.34843136,20.27497077,17.95325119
2.527,2527.198,15.34356348,16.2473207,17.63690388,19.01276905,19.9311412,17.63690388
2.53,2529.574,14.48906463,15.39616936,16.79107831,18.18568265,19.0909425,16.79107831
2.531,2530.853,14.62011728,15.52150013,16.915218,18.32114767,19.23363597,16.915218
2.533,2532.681,15.79165076,16.68951524,18.10172246,19.49060032,20.40204959,18.10172246
2.535,2535.057,16.19176076,17.08846482,18.50301529,19.89534472,20.81302476,18.50301529
2.536,2536.336,16.47340746,17.3762422,18.78241855,20.19090608,21.10378829,18.78241855
2.538,2538.163,16.05717287,16.9467954,18.31971083,19.72162469,20.62870338,18.31971083
2.54,2540,17.39977762,18.31081856,19.70374884,21.11082159,22.03630326,19.70374884
2.542,2542.246,17.58393801,18.50877353,19.89868795,21.29833879,22.22399534,19.89868795
2.545,2544.503,17.49856442,18.40495577,19.79992069,21.18799815,22.124639,19.79992069
2.547,2546.76,17.78574632,18.68954102,20.07682519,21.48801861,22.4170332,20.07682519
