age_ka,SST,TEX_86_SST
100,28.65,26.3
220,27.29,27.8
240,27.13,26.1
450,28.75,25.8
650,28.61,27.6
720,27.5,26.4
780,27.35,25.7
820,27.96,27.4
860,28.66,26.7
930,28.56,25.7
1000,28.67,26
1050,26.96,26
1120,28.46,25.4
1180,28.19,25.8
1190,28.49,26.7
1220,28.56,27.8
1230,28.75,27.8
1250,27.43,27.2
1270,28.97,25.6
1320,28.41,27.9
1480,27.3,25.7
1660,28.7,27.7
1750,28.66,27.7
1800,26.7,26.7
1850,26.54,27
1910,28.62,27.9
1990,27.04,27.5
2230,28.69,27.3
2280,28.05,26.6
2360,28.56,28.4
2400,28.48,28.3
2460,28.63,26.4
2500,28.31,27.7
2520,28.81,27.1
2530,28.83,28.7
2610,28.82,26.8
2700,28.9,27.4
2800,28.38,29.5
2900,27.97,27.8
3000,28.76,28
3070,27.91,30
3170,28.81,27.7
3250,28.69,28.7
3540,27.96,27
3750,28.82,29.1
3950,28.85,29.6
4110,28.66,27.4
4260,28.78,28.3
4440,28.1,28.5
4590,28.82,28.4
4940,28.53,27.5
5130,28.75,28.9
5260,28.07,29.5
5560,,29.4
5860,,29.4
6030,,29.3
6190,,30
6370,,30.2
6530,,30
6560,,28.1
6690,,29.5
6860,,29.4
7020,,29.6
7200,,30.9
7360,,31.2
7470,,30.8
7530,,30.2
7690,,31
7850,,30.6
8030,,29.8
8180,,30
8360,,29.3
8420,,28.7
8500,,29.3
8610,,30.6
8690,,29
8720,,29.5
8900,,29.9
9080,,29.3
9280,,29.8
9670,,30.8
9910,,29.4
10150,,29.3
10790,,30.6
10950,,30.6
11120,,30.1
11450,,29.7
11610,,30.8
11890,,30.8
12010,,29.7
