age_ka,SST,C37
4.27,10.19,2.25
8.85,7.86,4.85
13.43,4.37,17.98
18.01,6.7,15.95
24.27,9.72,11.45
27.93,8.8,13.47
31.74,9.26,10.92
35.41,6.97,13.86
40.35,7.19,16.61
45.76,6.82,14.33
50.1,6.6,13.93
56.6,4.17,22.4
62.01,5.61,21.14
66.92,4.7,21.29
71.54,3.36,22.63
75.21,6.71,17.77
80.63,6.9,8.66
85.2,10.9,7.55
91.33,12.28,6.85
96.24,13.66,5.18
98.72,14.99,4.77
102.45,13.75,3.61
105.55,10.34,7
113.77,13.91,5.72
126.46,13.1,1.51
132.18,13.91,3.77
138.55,9.52,8.5
143.86,12.46,9.26
149.17,10.43,11.33
153.45,9.67,11.71
155.93,5.51,15.93
158.93,3.35,21.33
161.21,7.05,20.85
163.69,6.95,17.03
166.28,5.72,13.68
168.86,6.21,15.17
171.45,7.81,13.11
173.93,9.82,11.92
176.52,13.2,8.5
179.29,9.77,8.68
186.63,6.22,15.77
193.97,5.97,15.08
203.95,12.77,7.21
208.36,9.35,6.42
210.41,6.83,5.99
221.73,8.45,7.8
228.82,9.15,10.86
235.91,11.12,8.43
241.78,10.45,4.61
247.8,10.57,10.35
253.49,7.74,11.92
259.36,8.07,13.54
263.8,9.91,10.54
273.8,14.03,5.33
277.88,13.28,7.83
283.65,11.49,9.91
288.58,9.33,8.47
292.32,8.41,7.52
300.17,7.85,9.52
306.48,7.8,9.7
312.78,11.33,7.12
321.83,8.51,7.07
326.64,7.35,11.18
336,10.55,5.02
340.7,12.88,6.45
345.57,10.2,8.18
350.27,8.23,8.86
354,12.86,4.61
361.53,12.63,5.84
363.57,11.37,5.5
371.46,9.11,5.65
381.16,9.96,9.65
389.45,7.42,7.9
394.84,7.31,9.65
399.79,5.95,11.26
406.98,10.68,3.36
413.35,10.95,2.56
418.1,8.75,7.06
425.35,4.54,17.28
439.3,6.28,11.68
442.79,6.74,13.21
453.9,5.52,13.72
468.36,5.42,15.94
475.52,4.99,16.5
478.88,4.34,20.31
483.67,4.93,15.89
487.51,5.66,11.5
491.75,6.61,11.63
495.73,5.23,14.03
498.44,7.76,8.48
502.33,7.39,9.02
505.67,8.54,7.6
514.8,6.82,4.76
528.11,4.9,13.12
539.12,5.59,11.36
550.78,5.78,13.55
558.35,7.37,7.92
575.2,9.43,6.03
590.02,5.37,16.4
597.69,6.65,9.26
612.64,9.14,8.89
616.79,6.6,9.3
621.13,6.8,9.61
625.28,6.29,5.86
629.44,10.26,4.17
640.36,10.32,6.51
644.86,13.47,3.46
649.07,8.98,8.46
652.27,7.13,11.26
657.15,6.8,16.15
661.15,6.16,18.45
666.94,6.28,15.57
671.9,5.15,20.08
676.7,7.01,15.57
681.46,6.54,15.18
685.09,4.97,17.08
690.4,3.31,18.32
694.95,5.34,17.85
699.35,9.94,6.9
703.9,7.33,8.59
707.38,7.35,11.18
712.84,4.99,16.67
717.24,4.65,21.87
721.64,7.3,15.78
728.83,6.05,18.51
735.22,6.82,17.1
745.22,7.96,12.36
751.33,9.9,12.82
760.96,7.67,14.84
768.36,9.61,14.04
774.27,10.58,8.64
