depth,d18O_cibs,d13C_cibs
86.44,2.89,0.06
86.54,2.94,-0.13
86.65,2.90,
86.73,3.06,0.02
86.84,3.00,0.06
86.92,2.99,-0.03
87.03,3.35,-0.26
87.11,2.69,-0.13
87.24,2.46,-0.31
87.30,2.83,-0.33
87.38,3.38,-0.16
87.49,3.12,-0.37
87.63,3.41,-0.42
87.69,3.40,-0.34
87.81,3.55,-0.33
87.91,3.34,-0.15
87.97,3.30,-0.21
88.05,2.89,
88.15,2.88,-0.12
88.28,2.99,-0.10
88.36,3.06,0.08
88.43,2.96,-0.10
88.55,2.75,-0.05
88.64,2.76,-0.08
88.74,2.96,-0.04
88.86,3.06,-0.21
88.93,3.00,-0.18
89.05,3.08,0.06
89.13,,-0.21
89.25,2.85,0.12
89.34,3.24,0.10
89.41,2.97,-0.06
89.48,2.95,0.10
89.60,2.86,0.00
89.70,2.98,0.16
89.79,3.09,-0.14
89.87,3.19,-0.21
89.96,2.73,0.01
90.06,2.77,-0.12
90.15,2.60,-0.11
90.23,2.72,0.05
90.29,2.82,-0.22
90.41,2.95,
90.48,2.90,0.01
90.60,2.76,-0.12
90.67,3.14,-0.08
90.80,2.89,-0.12
90.87,3.18,-0.26
90.99,3.45,-0.42
91.05,3.47,-0.48
91.15,3.47,-0.61
91.24,3.06,-0.35
91.37,3.14,-0.50
91.43,3.40,-0.34
91.51,3.26,-0.49
91.65,3.33,-0.25
91.72,3.46,
91.79,3.32,-0.17
91.91,,-0.18
91.98,3.24,0.01
92.10,3.15,-0.08
92.21,3.16,0.00
92.29,2.85,-0.16
92.41,3.01,0.00
92.48,2.89,-0.15
92.55,2.63,-0.26
92.67,2.81,0.00
92.76,3.14,-0.35
92.86,3.29,-0.49
92.95,3.60,-0.36
93.07,3.27,-0.23
93.14,,-0.30
93.26,3.26,-0.20
93.33,3.43,-0.32
93.43,3.03,-0.10
93.52,3.08,-0.14
93.64,2.86,0.04
93.71,2.93,-0.02
93.81,2.98,0.32
93.90,2.76,0.06
94.00,2.89,0.11
94.09,2.72,0.08
94.20,2.73,0.08
94.28,2.50,-0.01
94.37,2.94,-0.33
94.50,2.91,-0.32
94.56,2.84,-0.42
94.66,3.09,-0.24
94.75,3.29,-0.32
94.85,3.40,-0.11
94.94,3.13,-0.11
95.04,3.09,-0.30
95.13,3.21,
95.23,2.96,0.01
95.32,2.68,
95.42,,0.11
95.51,2.91,0.05
95.64,2.95,0.08
95.70,,0.04
95.80,2.80,-0.16
95.92,2.95,0.08
95.99,2.69,0.22
96.08,2.68,0.18
96.18,2.74,-0.07
96.27,2.98,0.13
96.37,,0.10
96.46,3.06,-0.12
96.56,3.24,0.07
96.68,3.24,-0.11
96.75,3.28,-0.11
96.84,3.22,0.08
96.94,2.82,-0.01
97.06,2.81,0.02
97.13,2.93,-0.08
97.22,2.97,-0.16
97.34,2.82,-0.21
97.41,3.01,-0.15
97.51,3.10,-0.26
97.60,3.19,-0.38
97.70,3.17,-0.44
97.79,3.41,-0.39
97.89,3.58,-0.46
97.98,3.07,
98.07,3.41,-0.45
98.17,3.18,-0.63
98.26,3.24,-0.48
98.36,3.51,-0.79
98.48,3.53,-0.36
98.55,3.30,-0.17
98.64,3.23,-0.40
98.74,3.13,-0.50
98.83,3.22,-0.53
98.93,3.26,-0.27
99.02,3.03,-0.25
99.12,3.11,-0.22
99.21,3.08,-0.26
99.31,2.84,-0.33
99.40,3.14,-0.39
99.42,3.21,-0.31
99.52,3.24,-0.44
99.61,2.97,-0.26
99.73,3.27,-0.30
99.80,3.30,-0.49
99.92,3.09,-0.49
99.99,3.06,-0.63
