depth,d13C_uvi,d18O_uvi
116.12,-1.15,3.42
116.19,-1.19,3.4
116.41,-1.53,3.83
116.47,-1.55,3.57
116.66,-1.69,3.91
116.78,-1.7,4.09
116.86,-1.77,4.22
116.95,-1.45,4.33
117.05,-1.55,4.46
117.14,-1.46,4.4
117.24,-1.51,4.4
117.33,-1.69,4.39
117.43,-1.6,4.31
117.55,-1.41,4.3
117.62,-1.62,4.28
117.72,-1.47,4.39
117.84,-1.44,4.26
117.91,-1.51,4.29
118.1,-1.3,3.64
118.2,-1.25,3.59
118.29,-1.05,3.5
118.39,-1.06,3.53
118.63,-0.89,3.42
118.73,-1.22,3.54
118.79,-1.14,3.75
118.89,-1.31,3.8
118.98,-1.23,3.78
119.08,-1.01,3.67
119.17,-0.99,3.79
119.3,-1.08,3.64
119.38,-1.28,3.78
119.46,-1.09,3.61
119.55,-1.16,3.52
119.65,-0.96,3.48
119.74,-1.07,3.35
119.86,-0.82,3.3
119.93,-0.91,3.29
120.04,-1.12,3.4
120.15,-1.24,3.51
120.21,-1.24,3.51
120.31,-1.46,3.86
120.52,-1.69,3.93
120.52,-1.27,4
120.68,-1.6,4.03
120.87,-1.63,4.37
121.06,-1.44,4.12
121.16,-1.47,3.89
121.28,-1.26,3.85
121.35,-1.11,3.69
121.35,-0.87,3.43
121.44,-1.07,3.71
121.56,-1.25,3.24
121.63,-1.15,3.15
121.72,-1.16,3.3
121.82,-0.89,3.39
121.91,-0.9,3.36
122.01,-1.15,3.6
122.13,-1.26,3.67
122.2,-1.13,3.64
122.29,-1.14,3.64
122.39,-1.18,3.85
122.48,-1.44,3.94
122.58,-1.39,3.94
122.7,-1.36,3.72
122.76,-1.29,3.46
122.86,-1.34,3.43
122.98,-1.02,3.19
123.14,-0.81,3.09
123.24,-1.12,3.25
123.33,-1.36,2.97
123.33,-1.01,3.24
123.52,-1.11,3.28
123.61,-1.06,3.36
123.71,-1.07,3.38
123.8,-0.89,3.28
123.99,-1.12,3.43
124.18,-1.39,4.01
124.4,-1.43,4.24
124.47,-1.53,4.26
124.56,-1.22,4.19
124.65,-1.21,4.11
124.75,-1.15,4.07
124.84,-1.13,3.8
124.94,-0.87,3.9
125.03,-1.17,3.69
125.22,-1.39,3.84
125.22,-1.39,3.8
125.32,-1.48,3.98
125.41,-1.46,3.99
125.53,-1.4,4.2
125.6,-1.71,4.22
125.67,-1.25,4.16
125.69,-1.11,4.31
125.86,-1.42,4.19
125.86,-1.45,4.23
125.88,-1.29,4.24
125.98,-1.29,4.17
126,-1.08,4.05
126.05,-1.29,3.94
126.05,-1.12,3.97
126.07,-1.14,3.96
126.15,-0.96,4.12
126.17,-1.24,3.85
126.19,-1.14,3.98
126.26,-0.94,3.62
126.28,-1.2,3.94
126.28,-0.86,3.89
126.34,-1.07,4
126.34,-0.81,3.78
126.43,-0.84,3.78
126.43,-1.08,3.63
126.45,-0.93,3.57
126.45,-0.85,3.44
126.45,-0.98,3.56
126.52,-0.99,3.44
126.52,-0.85,3.31
126.73,-0.83,3.53
126.95,-0.67,3.41
126.95,-0.79,3.34
126.95,-0.58,3.27
127.02,-0.89,3.41
127.02,-0.67,3.37
127.11,-0.99,3.5
127.11,-0.75,3.37
127.11,-0.98,3.56
127.23,-1.16,3.66
127.23,-1.13,3.39
127.23,-0.85,3.19
127.3,-1.13,3.67
127.3,-0.93,3.51
127.3,-0.72,3.85
127.4,-1.25,3.7
127.4,-1.08,3.61
127.4,-1.15,3.53
127.58,-1.11,3.83
127.58,-0.96,3.71
127.58,-0.98,3.59
127.68,-0.8,3.64
127.68,-0.74,3.29
127.8,-1.02,3.65
127.8,-0.78,3.28
127.87,-0.65,3.55
127.87,-0.51,3.33
127.87,-0.76,3.48
127.93,-0.57,3.49
127.93,-0.65,3.29
128.03,-0.52,3.42
128.03,-0.79,3.38
128.12,-0.81,3.35
128.12,-0.6,3.46
128.23,-0.78,3.42
128.23,-0.79,3.39
128.29,-0.86,3.34
128.29,-1.09,3.39
128.41,-1.05,3.95
128.58,-0.92,3.63
128.8,-0.95,3.39
128.8,-0.87,3.78
128.86,-1.01,3.88
128.96,-0.78,3.78
128.96,-0.87,3.6
129.05,-0.66,3.33
129.36,-0.81,3.22
129.36,-0.83,3.18
129.43,-0.5,3.3
129.43,-0.49,3.33
129.52,-0.71,3.42
129.71,-0.74,3.54
129.81,-0.75,3.57
129.81,-0.88,3.59
129.9,-1.04,3.68
130.02,-0.8,3.62
130.09,-1.11,3.78
