age_ka_mcd,age_ka_mbsf,d18O_1208,d18O_1209,d18O_cibs,MgCa_1208,MgCa_1209
2.4,2.4,3.4,,,0.9,
2.4,2.4,,,,1.03,
6.5,6.5,3.56,,,0.96,
6.5,6.5,,,,1.1,
8.8,8.8,3.91,,,0.96,
8.8,8.8,,,,1.02,
10,10,3.87,,,1.08,
10,10,,,,0.89,
12,12,3.95,,,0.88,
12,12,,,,0.96,
15,15,4.63,,,,
16.3,16.3,4.67,,,0.76,
16.3,16.3,,,,0.9,
17.9,17.9,4.69,,,0.9,
17.9,17.9,,,,0.73,
19,19,4.94,,,0.81,
20.1,20.1,4.87,,,0.84,
20.1,20.1,,,,0.74,
21.2,21.2,,,,0.75,
22,22,5.14,,,,
22.2,22.2,,,,0.85,
-14.25,0,,4.34,4.35,,1.098991881
-9.5,5.066666667,,3.69,4.03,,1.030720495
-4.75,10.13333333,,3.86,4.72,,0.914496321
0,15.2,,4.39,4.7,,1.024491
4.75,21.27777778,,3.96,4.63,,0.955561271
7.125,25.83333333,,4.45,4.95,,0.924326427
14.25,39.5,,,4.9,,
19,48.61111111,,,5.05,,0.944136615
28.64705882,57.72222222,,5.01,5.01,,0.850184622
38.29411765,62.4137931,,4.73,4.92,,1.05738926
43.11764706,64.02298851,,4.87,4.77,,0.772789039
57.58823529,68.85057471,,4.44,4.95,,0.973307352
136,148,,4.94,4.98,,
