age_ka,d13C,d18O
1760.0000,,-0.7200
1762.1000,,-1.2400
1764.5000,,-1.1500
1766.2000,,-0.4400
1768.6000,,-0.4800
1770.3000,,-0.5300
1772.7000,,-0.1500
1774.4000,,-0.8100
1777.1000,,-1.0900
1778.5000,,-1.1900
1780.1000,,-1.4800
1782.5000,,-0.9400
1787.5000,,-0.8800
1789.6000,,-0.7400
1794.2000,,0.0900
1797.7000,,-0.3100
1800.0000,,-0.5200
1801.6000,,-0.8000
1803.8000,,-0.4600
1806.3000,,-0.8800
1807.9000,,-0.4500
1809.5000,,-1.0700
1811.8000,,0.1300
1813.8000,,0.2800
1816.0000,,-0.9400
1817.8000,,-0.3350
1818.8000,,-0.2800
1820.8000,,-0.4800
1822.0000,,-0.2800
1823.8000,,0.0000
1825.3000,,-0.0700
1826.4000,,-0.3800
1827.5000,,-0.3500
1830.1000,,-0.1600
1832.2000,,-0.6900
1834.3000,,-0.1900
1836.0000,,-0.9600
1838.0000,,-0.3700
1840.1000,,-0.8800
1842.1000,,-0.7100
1843.7000,,-1.3400
1845.1000,,-0.1100
1847.5000,,-0.7600
1849.0000,,-0.9800
1852.3000,,-0.6100
1854.5000,,0.2300
1858.0000,,-0.7100
1860.0000,,-0.0500
1864.0000,,-0.3000
1866.2000,,-0.1500
1869.4000,,0.0800
1872.5000,,0.3100
1880.4000,,-0.7000
1884.5000,,-0.5500
1889.2000,,-1.0400
1898.0000,,0.1500
1899.5000,,-0.8100
1901.1000,,-0.0600
1903.5000,,0.2100
1905.2000,,-0.1700
1907.6000,,-0.1700
1910.0000,,-1.1100
1914.5000,,-0.8100
1921.7000,,-0.8600
1925.5000,,-0.7800
1930.0000,,-0.5400
1936.6000,,-0.8900
1942.0000,,-0.8200
1944.8000,,-1.0800
1947.5000,,-0.0100
1951.1000,,-0.2000
1953.0000,,-0.2700
1956.6000,,0.3400
1958.5000,,0.0000
1961.3000,,-0.2300
1964.0000,,-0.8600
1967.5000,,0.0300
1969.6000,,-1.4000
1972.4000,,-0.7700
1975.3000,,-0.7900
1978.1000,,-0.0400
1980.9000,,-0.7400
1984.4000,,-0.8300
1986.6000,,-0.2000
1989.5000,,-0.2800
1993.1000,,-0.6700
1995.0000,,-0.6500
1997.9000,,-0.7500
2000.7000,,-0.7200
2003.6000,,-0.4900
2006.4000,,-0.3800
2009.2000,,-0.8700
2012.0000,,-0.0300
2014.8000,,-0.8900
2017.5000,,-1.5000
2019.3000,,0.1300
2020.9000,,-0.3300
2023.2000,,-0.1300
2024.3000,,0.1900
2026.0000,,-0.2500
2028.2000,,0.2300
2029.4000,,-0.7700
2031.1000,,-0.0300
2032.8000,,0.3500
2034.5000,,-1.0300
2036.2000,,0.1600
2037.9000,,0.0000
2039.6000,,-1.0800
2041.8000,,-0.6100
2043.0000,,-0.7500
2044.7000,,-0.4000
2046.4000,,-0.1300
2048.6000,,-0.1600
2049.7000,,-0.2600
2051.4000,,-0.3800
2053.6000,,-0.4700
2054.8000,,-0.7000
2056.5000,,-1.1700
2058.2000,,-1.3200
2060.0000,,0.0100
2061.7000,,-0.3000
2063.6000,,0.3700
2065.4000,,-1.0300
2067.2000,,-0.8900
2069.0000,,0.0300
2070.9000,,-0.4400
2072.7000,,-0.9700
2075.1000,,-0.9100
2076.3000,,-0.0500
2078.2000,,0.3600
2080.0000,,-0.9500
2083.2000,,
2086.5000,,-0.6200
2089.8000,,-0.7600
2093.0000,,-0.9900
2096.3000,,-1.5100
2099.6000,,-1.1700
2102.9000,,-1.3500
2103.5000,,-0.0300
2106.8000,,-1.3400
2110.0000,,-0.2500
2113.0000,,-1.2300
2114.7000,,
2117.8000,,-0.4300
2119.5000,,-0.9200
2121.9000,,-0.2300
2124.3000,,-0.5700
2127.5000,,-0.6000
2129.6000,,-0.7900
2132.7000,,-1.4200
2135.9000,,-0.7500
2139.0000,,-0.5200
2142.1000,,-0.9900
2146.0000,,-0.4400
2147.5000,,-1.0100
2149.4000,,-0.8600
2152.0000,,-0.0100
2153.3000,,0.0500
2155.3000,,
2157.2000,,-0.3400
2159.6000,,-0.3800
2161.1000,,-0.4900
2163.1000,,0.4600
2165.0000,,-0.9700
2166.9000,,-0.1900
2168.7000,,-0.4000
2170.5000,,-1.0500
2172.3000,,-0.0300
2174.7000,,-0.4900
2176.0000,,-0.4700
2177.8000,,
2180.2000,,-1.1900
2181.5000,,-0.9700
2183.3000,,-0.9000
2185.1000,,-0.0900
2187.0000,,-1.2000
2188.8000,,-0.6300
2191.0000,,-1.0400
2192.5000,,0.0200
2194.0000,,-0.3000
2196.1000,,-0.2300
2197.0000,,-0.5900
2198.5000,,-0.3600
2200.3000,,-0.3600
2201.5000,,-0.4100
2203.0000,,-0.6800
2205.0000,,-0.8000
2206.5000,,-0.4000
2208.7000,,-1.5100
2210.9000,,-0.9700
2213.1000,,-1.0500
2215.3000,,-0.7100
2217.5000,,-0.9800
2219.6000,,-0.2900
2221.8000,,-0.9700
2224.0000,,-0.9400
2226.2000,,-0.9100
2228.4000,,
2231.3000,,
2232.8000,,0.0000
2235.0000,,-0.3400
2237.2000,,-0.1500
2238.3000,,-0.7100
2240.0000,,0.1400
2241.6000,,-0.3300
2243.3000,,-0.2900
2245.0000,,-0.7200
2246.6000,,-1.0700
2248.3000,,-0.9100
2250.0000,,
2252.0000,,-1.2000
2254.0000,,-0.4700
2256.1000,,-0.6300
2258.7000,,
2260.2000,,-1.1700
2262.2000,,-1.2000
2264.9000,,-0.7200
2266.3000,,-0.2700
2268.4000,,-1.2200
2270.4000,,0.1100
2272.5000,,-0.4200
2274.5000,,-0.2500
2276.5000,,-0.7200
2278.5000,,
2280.5000,,-0.6800
2282.5000,,-0.6800
2284.5000,,-1.0100
2286.5000,,-0.1600
2289.1000,,-0.5200
2290.5000,,-0.3200
2292.5000,,-0.2100
2294.3000,,-1.0700
2296.1000,,-0.6800
2297.9000,,-1.0200
2299.7000,,-0.6900
2301.4000,,-0.8600
2303.2000,,-0.7600
2305.0000,,-0.9500
2306.2000,,-0.3700
2308.0000,,-0.5700
2310.0000,,-0.5000
2314.7000,,-0.3000
2323.6000,,-0.5000
2328.4000,,-0.3600
2335.0000,,-0.7000
2337.2000,,-0.8900
2339.9000,,-1.2800
2341.3000,,-0.8800
2343.4000,,0.8700
2345.5000,,-0.9700
2347.6000,,-0.9900
2349.7000,,-0.6900
2352.5000,,-0.3300
2354.0000,,-0.5900
2356.3000,,-0.7600
2359.3000,,0.2700
2361.0000,,
2363.3000,,
2365.6000,,
2368.6000,,-0.9000
