depth_m,age_ka,d18O,ship_depth,coretop,core_recov,notes
86.44,1760,-0.72,86.7,80.7,104.5,10 5 0-2cm
86.54,1762.1,-1.24,86.8,80.7,104.5,10 5 10-12cm
86.65,1764.5,-1.15,86.92,80.7,104.5,10 5 22-24cm
86.73,1766.2,-0.44,87,80.7,104.5,10 5 30-32cm
86.84,1768.6,-0.48,87.12,80.7,104.5,10 5 42-44cm
86.92,1770.3,-0.53,87.2,80.7,104.5,10 5 50-52cm
87.03,1772.7,-0.15,87.32,80.7,104.5,10 5 62-64cm
87.11,1774.4,-0.81,87.4,80.7,104.5,10 5 70-72cm
87.24,1777.1,-1.09,87.53,80.7,104.5,10 5 83-85cm
87.3,1778.5,-1.19,87.6,80.7,104.5,10 5 90-92cm
87.38,1780.1,-1.48,87.68,80.7,104.5,10 5 98-100cm
87.49,1782.5,-0.94,87.8,80.7,104.5,10 5 110-112cm
87.63,1787.5,-0.88,87.94,80.7,104.5,10 5 123.5-125.5cm
87.69,1789.6,-0.74,88,80.7,104.5,10 5 130-132cm
87.81,1794.2,0.09,88.12,80.7,104.5,10 5 142-144cm
87.91,1797.7,-0.31,88.23,80.7,104.5,10 6 3-5cm
87.97,1800,-0.52,88.3,80.7,104.5,10 6 10-12cm
88.05,1801.6,-0.8,88.38,80.7,104.5,10 6 18-20cm
88.15,1803.8,-0.46,88.49,80.7,104.5,10 6 29-31cm
88.28,1806.3,-0.88,88.62,80.7,104.5,10 6 42-44cm
88.36,1807.9,-0.45,88.7,80.7,104.5,10 6 50-52cm
88.43,1809.5,-1.07,88.78,80.7,104.5,10 6 58-60cm
88.55,1811.8,0.13,88.9,80.7,104.5,10 6 70-72cm
88.64,1813.8,0.28,89,80.7,104.5,10 6 80-82cm
88.74,1816,-0.94,89.1,80.7,104.5,10 6 90-92cm
88.86,1817.8,-0.335,89.23,80.7,104.5,10 6 103-105cm
88.93,1818.8,-0.28,89.3,80.7,104.5,10 6 110-112cm
89.05,1820.8,-0.48,89.43,80.7,104.5,10 6 123-125cm
89.13,1822,-0.28,89.51,80.7,104.5,10 6 131-133cm
89.25,1823.8,0,89.63,80.7,104.5,10 6 143-145cm
89.34,1825.3,-0.07,89.73,80.7,104.5,10 7 2.5-4.5cm
89.41,1826.4,-0.38,89.8,80.7,104.5,10 7 10-12cm
89.48,1827.5,-0.35,89.88,80.7,104.5,10 7 18-20cm
89.6,1830.1,-0.16,90,80.7,104.5,10 7 30-32cm
89.7,1832.2,-0.69,90.1,80.7,104.5,10 7 40-42cm
