Leg ,Hole,Sample ID,Depth (mbsf),Age (Ma),age_ka,Species,d13C,d18O,,,,,,,,
198,1209A,"4H-7, 27-29",36.47,2.499,2499.152,Gs. ruber,0.93,-0.17,"Supplemental File 1. Stable isotope measurements from ODP Leg 198 Hole 1209A. Values listed here include the averages of replicate samples (if G. ruber and G. obliquus were run in the same sample, we also averaged those values and indicated so with 'Both' in under Species).",,,,,,,
198,1209A,"4H-7, 45-47",36.66,2.512,2511.899,Gs. ruber,0.25,0.33,,,,,,,,
198,1209A,"5H-1, 15-17",36.86,2.525,2525.316,Gs. ruber,1.37,-0.18,,,,,,,,
198,1209A,"5H-1, 45-47",37.16,2.545,2545.443,Gs. ruber,1.55,-0.88,,,,,,,,
198,1209A,"5H-1, 60-62",37.31,2.556,2555.506,Gs. ruber,1.32,-1.09,,,,,,,,
198,1209A,"5H-1, 105-107",37.76,2.584,2583.689,Gs. ruber,1.15,-0.75,,,,,,,,
198,1209A,"5H-1, 127-129",37.97,2.592,2591.756,Gs. ruber,0.47,-0.09,,,,,,,,
198,1209A,"5H-1, 145-147",38.16,2.599,2599.055,Gs. ruber,0.74,0.01,,,,,,,,
198,1209A,"5H-2, 11-13",38.32,2.605,2605.202,Gs. ruber,1.41,-0.19,,,,,,,,
198,1209A,"5H-2, 27-29",38.47,2.611,2610.964,Gs. ruber,0.84,0.23,,,,,,,,
198,1209A,"5H-2, 45-47",38.66,2.618,2618.263,Gs. ruber,0.61,0.02,,,,,,,,
198,1209A,"5H-2, 60-62",38.81,2.624,2624.026,Gs. ruber,0.87,-0.05,,,,,,,,
198,1209A,"5H-2, 77-79",38.97,2.630,2630.172,Gs. ruber,0.62,-0.24,,,,,,,,
198,1209A,"5H-2, 105-107",39.26,2.641,2641.313,Gs. ruber,1.01,-0.04,,,,,,,,
198,1209A,"5H-3, 15-17",39.86,2.664,2664.362,Gs. ruber,0.51,-0.30,,,,,,,,
198,1209A,"5H-3, 27-29",39.97,2.669,2668.588,Gs. ruber,0.85,-0.41,,,,,,,,
198,1209A,"5H-3, 45-47",40.16,2.676,2675.887,Gs. ruber,1.03,0.00,,,,,,,,
198,1209A,"5H-3, 60-62",40.31,2.682,2681.649,Gs. ruber,0.66,-0.07,,,,,,,,
198,1209A,"5H-4, 25-27",41.45,2.725,2725.443,Gs. ruber,0.98,-0.49,,,,,,,,
198,1209A,"5H-4, 62-64",41.83,2.740,2740.041,Gs. ruber,0.54,-0.39,,,,,,,,
198,1209A,"5H-4, 105-107",42.26,2.757,2756.560,Gs. ruber,0.95,-0.45,,,,,,,,
198,1209A,"5H-4, 127-129",42.47,2.765,2764.627,Both,0.12,0.03,,,,,,,,
198,1209A,"5H-5, 27-29",42.97,2.784,2783.835,Gs. ruber,0.40,-0.49,,,,,,,,
198,1209A,"5H-4, 181-183",43.02,2.786,2785.756,Gs. ruber,0.83,-0.42,,,,,,,,
198,1209A,"5H-5, 45-47",43.16,2.791,2791.134,Gs. ruber,0.87,0.04,,,,,,,,
198,1209A,"5H-5, 60-62",43.31,2.797,2796.896,Gs. ruber,1.05,-0.16,,,,,,,,
198,1209A,"5H-5, 77-79",43.47,2.803,2803.043,Gs. obliquus,0.62,-0.43,,,,,,,,
198,1209A,"5H-5, 105-107",43.76,2.814,2814.183,Gs. ruber,0.96,-0.64,,,,,,,,
198,1209A,"5H-5, 127-129",43.97,2.822,2822.250,Gs. ruber,1.28,-1.05,,,,,,,,
198,1209A,"5H-6, 17-19",44.38,2.838,2838.001,Gs. ruber,0.49,0.07,,,,,,,,
