age_ka,d18O_unadj,d18O std,Upper 95%,Lower 95%
0,3.22,0.15,3.52,2.92
1,3.22,0.21,3.64,2.81
2,3.22,0.14,3.50,2.94
3,3.27,0.20,3.67,2.87
4,3.23,0.16,3.54,2.91
5,3.27,0.15,3.56,2.98
6,3.39,0.36,4.08,2.69
7,3.31,0.13,3.57,3.04
8,3.38,0.19,3.74,3.02
9,3.46,0.13,3.72,3.21
10,3.58,0.29,4.16,3.00
11,3.72,0.24,4.19,3.25
12,3.92,0.29,4.50,3.35
13,4.00,0.17,4.33,3.67
14,4.14,0.22,4.57,3.71
15,4.15,0.38,4.90,3.41
16,4.41,0.16,4.72,4.09
17,4.62,0.26,5.13,4.11
18,4.72,0.27,5.25,4.19
19,4.87,0.19,5.24,4.51
20,4.89,0.17,5.23,4.54
21,4.91,0.12,5.15,4.66
22,4.94,0.09,5.12,4.76
23,4.89,0.13,5.15,4.63
24,4.88,0.12,5.12,4.64
25,4.87,0.09,5.05,4.69
26,4.57,0.44,5.44,3.71
27,4.83,0.14,5.10,4.55
28,4.79,0.09,4.97,4.61
29,4.75,0.13,5.01,4.49
30,4.73,0.15,5.03,4.44
31,4.70,0.12,4.94,4.45
32,4.68,0.12,4.92,4.44
33,4.70,0.18,5.06,4.34
34,4.69,0.13,4.95,4.43
35,4.64,0.12,4.87,4.41
36,4.63,0.10,4.82,4.43
37,4.55,0.14,4.83,4.28
38,4.48,0.27,5.00,3.96
39,4.55,0.11,4.77,4.33
40,4.54,0.13,4.80,4.28
41,4.45,0.20,4.83,4.06
42,4.50,0.15,4.79,4.21
43,4.53,0.10,4.73,4.33
44,4.53,0.12,4.77,4.30
45,4.52,0.10,4.73,4.32
46,4.47,0.12,4.70,4.24
47,4.47,0.09,4.65,4.28
48,4.47,0.18,4.83,4.12
49,4.44,0.15,4.73,4.16
50,4.39,0.17,4.72,4.06
51,4.46,0.08,4.63,4.30
52,4.45,0.22,4.88,4.02
53,4.44,0.15,4.73,4.15
54,4.40,0.08,4.56,4.25
55,4.36,0.13,4.61,4.10
56,4.32,0.11,4.53,4.10
57,4.31,0.11,4.53,4.08
58,4.33,0.14,4.61,4.04
59,4.34,0.14,4.61,4.08
60,4.34,0.12,4.57,4.10
61,4.35,0.20,4.74,3.95
62,4.39,0.10,4.60,4.19
63,4.42,0.13,4.67,4.17
64,4.37,0.23,4.82,3.92
65,4.38,0.23,4.83,3.92
66,4.52,0.11,4.74,4.30
67,4.53,0.15,4.83,4.22
68,4.54,0.18,4.89,4.19
69,4.55,0.10,4.76,4.35
70,4.52,0.13,4.78,4.27
71,4.42,0.28,4.97,3.88
72,4.47,0.13,4.72,4.22
73,4.41,0.11,4.63,4.19
74,4.32,0.17,4.65,3.99
75,4.28,0.24,4.76,3.80
76,4.24,0.14,4.51,3.98
77,4.23,0.18,4.58,3.89
78,4.18,0.14,4.45,3.90
79,4.10,0.20,4.50,3.71
80,4.07,0.15,4.35,3.78
81,4.01,0.14,4.29,3.73
82,3.97,0.22,4.40,3.55
83,3.95,0.22,4.38,3.52
84,3.94,0.37,4.67,3.21
85,3.98,0.36,4.68,3.27
86,3.95,0.31,4.56,3.33
87,3.97,0.30,4.56,3.38
88,4.09,0.25,4.58,3.60
89,4.16,0.25,4.64,3.67
90,4.22,0.23,4.66,3.77
91,4.15,0.17,4.48,3.82
92,4.13,0.14,4.40,3.86
93,4.11,0.13,4.37,3.85
94,4.01,0.16,4.32,3.70
95,3.98,0.10,4.18,3.77
96,3.95,0.15,4.23,3.67
97,3.89,0.08,4.05,3.72
98,3.79,0.16,4.11,3.47
99,3.81,0.35,4.49,3.13
100,3.81,0.10,4.00,3.62
101,3.86,0.17,4.19,3.53
102,3.93,0.25,4.42,3.45
103,3.87,0.23,4.33,3.41
104,3.86,0.14,4.13,3.58
105,3.85,0.32,4.48,3.23
106,3.92,0.21,4.32,3.51
107,3.93,0.27,4.45,3.41
108,3.97,0.26,4.49,3.45
109,3.99,0.23,4.44,3.54
110,3.99,0.30,4.59,3.40
111,4.04,0.15,4.34,3.74
112,4.04,0.20,4.44,3.64
113,3.99,0.25,4.48,3.50
114,3.95,0.11,4.16,3.74
115,3.88,0.27,4.40,3.36
116,3.75,0.22,4.18,3.32
117,3.62,0.18,3.98,3.27
118,3.60,0.30,4.18,3.02
119,3.36,0.15,3.65,3.07
120,3.35,0.21,3.76,2.94
121,3.44,0.45,4.32,2.56
122,3.15,0.11,3.37,2.93
123,3.10,0.10,3.29,2.90
124,3.32,0.39,4.08,2.56
125,3.06,0.14,3.35,2.78
126,3.13,0.18,3.49,2.77
127,3.38,0.36,4.09,2.67
128,3.57,0.47,4.49,2.65
129,3.98,0.57,5.10,2.87
130,3.84,0.38,4.58,3.10
131,4.03,0.26,4.54,3.51
132,4.30,0.23,4.74,3.85
133,4.38,0.38,5.13,3.64
134,4.61,0.23,5.06,4.16
135,4.82,0.13,5.08,4.57
136,4.71,0.29,5.28,4.13
137,4.85,0.16,5.17,4.54
138,4.89,0.13,5.13,4.64
139,4.81,0.27,5.34,4.28
140,4.91,0.15,5.20,4.63
141,4.85,0.12,5.09,4.62
142,4.76,0.21,5.17,4.35
143,4.78,0.15,5.08,4.48
144,4.73,0.10,4.93,4.53
145,4.66,0.30,5.25,4.07
146,4.69,0.13,4.94,4.44
147,4.65,0.19,5.02,4.28
148,4.62,0.13,4.88,4.36
149,4.57,0.33,5.20,3.93
150,4.61,0.12,4.85,4.37
151,4.61,0.15,4.90,4.31
152,4.60,0.12,4.83,4.37
153,4.57,0.18,4.91,4.22
154,4.61,0.11,4.83,4.39
155,4.56,0.31,5.16,3.96
156,4.65,0.14,4.93,4.37
157,4.66,0.20,5.05,4.26
158,4.68,0.16,4.99,4.38
159,4.67,0.16,4.98,4.36
160,4.68,0.22,5.11,4.25
161,4.70,0.08,4.86,4.53
162,4.64,0.36,5.35,3.94
163,4.66,0.11,4.87,4.44
164,4.65,0.19,5.02,4.28
165,4.60,0.10,4.80,4.41
166,4.53,0.11,4.74,4.32
167,4.49,0.24,4.97,4.02
168,4.54,0.11,4.76,4.32
169,4.50,0.12,4.74,4.27
170,4.42,0.23,4.88,3.96
171,4.45,0.13,4.71,4.19
172,4.47,0.08,4.64,4.30
173,4.42,0.10,4.62,4.22
174,4.38,0.18,4.72,4.03
175,4.34,0.15,4.62,4.06
176,4.32,0.24,4.79,3.84
177,4.38,0.19,4.75,4.01
178,4.32,0.22,4.76,3.88
179,4.27,0.30,4.85,3.69
180,4.41,0.14,4.69,4.13
181,4.42,0.09,4.59,4.25
182,4.42,0.07,4.56,4.28
183,4.41,0.13,4.67,4.16
184,4.45,0.13,4.70,4.20
185,4.49,0.31,5.10,3.88
186,4.49,0.10,4.68,4.30
187,4.47,0.13,4.73,4.22
188,4.35,0.18,4.70,4.00
189,4.27,0.14,4.55,3.99
190,4.16,0.20,4.55,3.76
191,4.17,0.26,4.67,3.67
192,4.11,0.27,4.63,3.58
193,4.07,0.30,4.66,3.47
194,4.01,0.17,4.35,3.67
195,3.99,0.19,4.37,3.61
196,3.89,0.16,4.20,3.58
197,3.77,0.14,4.04,3.50
198,3.76,0.23,4.22,3.31
199,3.60,0.16,3.92,3.28
200,3.75,0.39,4.52,2.99
201,3.52,0.15,3.80,3.23
202,3.53,0.18,3.88,3.18
203,3.71,0.25,4.20,3.22
204,3.72,0.27,4.25,3.19
205,3.78,0.31,4.38,3.18
206,3.72,0.21,4.13,3.32
207,3.82,0.25,4.31,3.33
208,3.71,0.09,3.88,3.53
209,3.77,0.19,4.14,3.39
210,3.64,0.13,3.89,3.39
211,3.54,0.09,3.72,3.37
212,3.67,0.42,4.49,2.85
213,3.60,0.30,4.18,3.02
214,3.48,0.17,3.81,3.16
215,3.58,0.33,4.22,2.94
216,3.53,0.11,3.75,3.31
217,3.55,0.22,3.99,3.11
218,3.76,0.26,4.26,3.25
219,4.06,0.40,4.83,3.28
220,4.05,0.44,4.91,3.20
221,4.17,0.38,4.92,3.41
222,4.31,0.23,4.76,3.86
223,4.41,0.15,4.70,4.12
224,4.43,0.14,4.70,4.16
225,4.29,0.28,4.84,3.75
226,4.34,0.17,4.69,4.00
227,4.25,0.16,4.56,3.94
228,4.26,0.17,4.60,3.92
229,4.10,0.32,4.73,3.47
230,4.17,0.17,4.49,3.84
231,4.13,0.18,4.49,3.77
232,4.03,0.26,4.55,3.52
233,3.94,0.27,4.46,3.42
234,3.87,0.20,4.27,3.48
235,3.68,0.17,4.01,3.36
236,3.73,0.32,4.35,3.10
237,3.48,0.10,3.68,3.28
238,3.52,0.23,3.96,3.08
239,3.41,0.14,3.70,3.13
240,3.37,0.23,3.83,2.91
241,3.70,0.50,4.68,2.73
242,3.64,0.36,4.35,2.93
243,3.85,0.38,4.59,3.10
244,4.04,0.33,4.68,3.40
245,4.24,0.25,4.73,3.76
246,4.35,0.10,4.54,4.16
247,4.23,0.39,4.99,3.47
248,4.46,0.17,4.80,4.12
249,4.53,0.17,4.86,4.19
250,4.61,0.26,5.12,4.09
251,4.63,0.26,5.14,4.12
252,4.61,0.22,5.05,4.18
253,4.55,0.17,4.88,4.23
254,4.56,0.13,4.81,4.30
255,4.41,0.30,5.01,3.81
256,4.49,0.18,4.83,4.14
257,4.48,0.12,4.72,4.23
258,4.42,0.18,4.77,4.08
259,4.48,0.11,4.69,4.27
260,4.42,0.11,4.64,4.19
261,4.41,0.10,4.61,4.21
262,4.40,0.13,4.66,4.15
263,4.42,0.33,5.06,3.77
264,4.39,0.24,4.86,3.91
265,4.41,0.31,5.02,3.80
266,4.48,0.18,4.84,4.13
267,4.53,0.12,4.75,4.30
268,4.43,0.28,4.98,3.88
269,4.49,0.10,4.69,4.29
270,4.57,0.12,4.80,4.34
271,4.53,0.18,4.88,4.17
272,4.42,0.29,4.98,3.86
273,4.51,0.12,4.74,4.28
274,4.46,0.09,4.64,4.29
275,4.41,0.16,4.71,4.10
276,4.30,0.21,4.71,3.88
277,4.32,0.11,4.53,4.11
