index,label,label_02,depth,age_ka,d18O_u,BWT,d18O_sw,Ca_ppm,LiCa,MgCa,AlCa,MnCa,FeCa,SrCa
34,BR57_1014A_11X_1_35,"167-1014A-11X-1,35",83.85,1410,2.63,2.97,-0.55,80.57,10.55,1.2,1.26,76.83,57.84,1.05
38,BR57_1014A_11X_1_35,"167-1014A-11X-1,35",83.85,1410,2.63,2.92,-0.57,80.91,11.18,1.19,2.51,77.43,75.22,1.04
36,BR60_1014A_11X_5_35,"167-1014A-11X-5,35",89.85,1480,2.7,3.95,-0.22,75.3,9.03,1.29,4.21,38.44,13.24,1.03
37,BR61_1014A_12X_1_34,"167-1014A-12X-1,34",93.44,1510,2.52,1.45,-1.08,64.98,10.11,1.05,1.67,9.87,142.14,1.16
35,BR59_1014A_12X_3_113,"167-1014A-12X-3,113",96.75,1550,2.77,2.35,-0.58,146.67,8.33,1.14,2.95,22.93,23.41,0.95
48,BR70_1014A_12X_5_113,"167-1014A-12X-5,113",99.65,1570,3.02,1.58,-0.54,98.71,8.72,1.06,2.07,6.3,8.3,1.01
49,BR71_1014A_13X_1_33,"167-1014A-13X-1,33",103.13,1600,3.07,0.67,-0.75,80.48,5.74,0.97,,11.26,15.72,0.95
47,BR69_1014A_14X_1_114,"167-1014A-14X-1,114",113.54,1690,3.23,1.99,-0.22,42.7,9.6,1.1,6.38,5.99,24.69,1.11
72,BR90_1014A_14X_3_114,"167-1014A-14X-3,114",116.4,1720,3.19,4.87,0.51,85.92,10.81,1.39,6.78,8.14,70.13,0.97
39,BR62_1014A_14X_5_114,"167-1014A-14X-5,114",119.4,1750,2.85,1.05,-0.86,35.19,5.38,1,18.13,4.99,33.13,1.15
40,BR63_1014A_15X_3_114,"167-1014A-15X-3,114",124.84,1800,2.82,3.29,-0.28,67.42,7.57,1.23,5.05,7.64,22.13,1.08
41,BR64_1014A_15X_5_114,"167-1014A-15X-5,114",127.84,1830,2.49,3.96,-0.43,85.63,8.76,1.3,6.52,13.81,18.81,1
80,BR96_1014A_15X_5_114,"167-1014A-15X-5,114",127.84,1830,2.49,4.87,-0.18,85.29,10.46,1.39,8.72,12.95,30.26,0.98
42,BR65_1014A_15X_7_114,"167-1014A-15X-7,114",130.84,1860,3.03,5.67,0.57,130.62,9.11,1.47,4.94,8.82,20.24,0.98
46,BR65_1014A_15X_7_114,"167-1014A-15X-7,114",130.84,1860,3.03,5.55,0.53,82.76,8.55,1.46,6.98,8.51,21.53,1
43,BR66_1014A_16X_3_35,"167-1014A-16X-3,35",134.03,1890,2.96,2.72,-0.29,85.24,8.57,1.17,3.9,13.26,22.75,1.05
51,BR73_1014A_16X_5_35,"167-1014A-16X-5,35",137.03,1930,2.71,2.12,-0.71,62.14,8.04,1.11,,12.77,77.33,1.11
68,BR86_1014A_17X_6_115,"167-1014A-17X-6,115",149.85,2050,2.65,3.19,-0.47,110.55,9.87,1.22,8.06,21.21,54.03,0.95
69,BR87_1014A_18X_5_35,"167-1014A-18X-5,35",156.26,2110,2.64,2.84,-0.58,50.17,10.04,1.18,6.89,10.13,105.74,1.13
