depth,age_ka,label,d18O,d18O_cibs,d13C_u,d13C_cibs
193.55,1531,"167-1018A-22X-6,35",3.59,,-0.29,
195.63,1552,"167-1018A-25X-1,33",3.54,,-0.58,
226.8,1836,"167-1018A-25X-2,110",3.19,,-0.31,
231.29,1873,"167-1018A-25X-5,109",3.51,,-0.58,
233.55,1891,"167-1018A-26X-7,35",3.14,3.28,-0.16,-0.99
235.65,1908,"167-1018A-26X-2,35",3.48,,-0.61,
237.9,1926,"167-1018A-26X-3,110",3.67,,-1.37,
240.15,1945,"167-1018A-26X-5,35",3.43,,-0.44,
242.4,1963,"167-1018A-28X-6,110",3.18,3.12,-0.19,-0.04
253.36,2052,"167-1018A-28X-1,36",3.18,,-0.45,
255.6,2070,"167-1018A-28X-2,110",3.21,3.29,-1.29,-0.56
257.85,2089,"167-1018A-28X-4,35",3.82,,-0.99,
259.34,2101,"167-1018A-28X-5,34",,2.91,,-1.05
260.09,2107,"167-1018A-28X-5,109",3.7,,-0.78,
262.35,2125,"167-1018A-29X-7,35",3.24,,-0.45,
264.35,2142,"167-1018A-29X-2,35",3.72,,-0.63,
266.6,2160,"167-1018A-29X-3,110",3.59,3.13,-0.53,-0.72
268.85,2178,"167-1018A-29X-5,35",3.28,3.15,-0.65,-0.36
271.1,2196,"167-1018A-30X-6,110",3.18,,-0.72,
273.3,2214,"167-1018A-30X-1,110",2.89,2.84,-0.92,-0.88
275.55,2233,"167-1018A-30X-3,35",3.44,3.23,-0.99,-0.66
277.8,2251,"167-1018A-30X-4,110",3.36,,-0.35,
280.05,2269,"167-1018A-31X-6,35",2.68,,-0.42,
282.15,2286,"167-1018A-31X-1,35",3.41,,-0.58,
283.63,2298,"167-1018A-31X-2,33",3.16,,-0.78,
285.88,2317,"167-1018A-31X-3,108",2.74,2.8,-0.55,-0.39
287.39,2329,"167-1018A-31X-4,109",3.13,3.04,-0.73,-0.49
289.63,2347,"167-1018A-31X-6,33",3.11,2.85,-0.66,-0.86
291.1,2359,"167-1018A-32X-7,30",3.31,3.05,-0.47,-0.56
293.4,2378,"167-1018A-32X-2,40",3.3,,-0.65,
297.1,2407,"167-1018A-32X-4,110",2.47,,-0.57,
300.1,2429,"167-1018A-33X-6,110",2.83,,-0.63,
302.2,2444,"167-1018A-33X-1,110",,2.66,,-0.76
304.45,2461,"167-1018A-33X-3,35",3.6,,-0.82,
305.95,2472,"167-1018A-33X-4,35",,3.42,,-1.14
308.95,2493,"167-1018A-34X-6,35",3.52,,-0.7,
311.05,2509,"167-1018A-34X-1,35",2.99,,-1.32,
313.3,2525,"167-1018A-34X-2,110",3.48,,-0.73,
314.05,2531,"167-1018A-34X-3,35",,3.5,,-1.27
314.8,2536,"167-1018A-34X-3,110",2.75,,-0.31,
315.55,2542,"167-1018A-34X-4,35",3.49,,-0.56,
316.3,2547,"167-1018A-34X-4,110",2.92,2.91,-1.38,-0.45
317.05,2552,"167-1018A-34X-5,35",2.81,,-0.82,
317.8,2558,"167-1018A-34X-5,110",2.78,2.8,-0.39,-0.67
318.55,2563,"167-1018A-34X-6,35",3.28,,-0.68,
319.3,2569,"167-1018A-35X-6,110",,2.91,,-0.84
320.63,2579,"167-1018A-35X-1,33",3.55,,-0.84,
322.86,2595,"167-1018A-35X-2,106",2.63,,-0.78,
323.65,2600,"167-1018A-35X-3,35",2.71,2.72,-0.37,-0.18
324.39,2606,"167-1018A-35X-3,109",2.74,,-0.9,
325.15,2611,"167-1018A-35X-4,35",3.04,,-1.12,
325.9,2615,"167-1018A-35X-4,110",2.93,,-0.69,
326.64,2619,"167-1018A-35X-5,34",3.19,2.9,-0.63,-0.47
327.37,2623,"167-1018A-35X-5,107",3.18,2.92,-0.64,-0.46
328.14,2627,"167-1018A-35X-6,34",3.39,2.8,-0.9,-0.57
328.89,2631,"167-1018A-35X-6,109",2.79,2.7,-0.64,-0.67
329.64,2635,"167-1018A-36X-7,34",2.83,3.09,-1.12,-0.42
330.35,2638,"167-1018A-36X-1,35",3.05,,-0.46,
331.1,2642,"167-1018A-36X-1,110",3.43,3.12,-0.52,-0.42
331.85,2646,"167-1018A-36X-2,35",3.09,,-0.44,
333.35,2654,"167-1018A-36X-3,35",2.87,,-0.06,
334.1,2658,"167-1018A-36X-3,110",2.81,,-1.17,
334.85,2662,"167-1018A-36X-4,35",3.05,,-0.45,
335.6,2665,"167-1018A-36X-4,110",3.25,2.86,-0.73,-0.78
336.34,2669,"167-1018A-36X-5,34",3.25,,-0.83,
337.85,2677,"167-1018A-36X-6,35",3.02,,-0.33,
