Leg,Site,Hole,Core,Type,Section,Top,Bottom,mbsf,age_orig,species,d13C,d18O_unadj,age_lower,age_ka,age_upper
198,1207,A,6,H,5,49.77,49.79,49.77,2981.2,C.wuellerstorfi,0.02,2.88,0,2982.5,2982.7
198,1207,A,6,H,5,49.86,49.88,49.86,2984.1,C.wuellerstorfi,-0.52,3.04,2982.5,2983.4,2984.8
198,1207,A,6,H,5,49.96,49.98,49.96,2987.3,C.wuellerstorfi,-0.35,3.25,2983.4,2985.2,2987.2
198,1207,A,6,H,5,50.06,50.08,50.06,2990.5,C.wuellerstorfi,-0.07,3.04,2985.4,2987.2,2990
198,1207,A,6,H,5,50.1,50.12,50.1,2991.8,C.wuellerstorfi,0.12,3.04,2986.4,2988.2,2991.1
198,1207,A,6,H,5,50.15,50.17,50.15,2993.4,C.wuellerstorfi,-0.12,2.88,2987.7,2989.3,2992.5
198,1207,A,6,H,5,50.2,50.22,50.2,2995,C.wuellerstorfi,0.21,2.3,2989,2990.6,2993.9
198,1207,A,6,H,5,50.25,50.27,50.25,2996.6,C.wuellerstorfi,-0.05,2.72,2990.2,2991.9,2995.2
198,1207,A,6,H,5,50.3,50.32,50.3,2998.1,C.wuellerstorfi,0.091,2.92,2991.4,2993.2,2996.6
198,1207,A,6,H,5,50.39,50.41,50.39,3001,C.wuellerstorfi,-0.08,2.68,2993.3,2995.2,2998.7
198,1207,A,6,H,5,50.44,50.46,50.44,3002.6,C.wuellerstorfi,-0.11,2.87,2994.6,2996.5,3000.2
198,1207,A,6,H,5,50.58,50.6,50.58,3007.2,C.wuellerstorfi,-0.14,2.86,2997.4,3000,3004.1
198,1207,A,6,H,5,50.68,50.7,50.68,3010.6,C.wuellerstorfi,-0.26,2.92,2999.5,3002.7,3006.7
198,1207,A,6,H,5,50.73,50.75,50.73,3012.3,C.wuellerstorfi,-0.184,2.99,3001.1,3004.1,3008.5
198,1207,A,6,H,5,50.78,50.79,50.78,3014,C.wuellerstorfi,-0.31,2.99,3002.7,3005.8,3010.1
198,1207,A,6,H,5,50.82,50.84,50.82,3015.4,C.wuellerstorfi,-0.27,2.87,3003.8,3007.2,3011.8
198,1207,A,6,H,5,50.87,50.89,50.87,3017.1,C.wuellerstorfi,-0.25,3.09,3005.2,3008.7,3013.4
198,1207,A,6,H,6,50.97,50.99,50.97,3020.2,C.wuellerstorfi,-0.31,2.98,3007.9,3011.8,3016.3
198,1207,A,6,H,6,51.02,51.03,51.02,3020.9,C.wuellerstorfi,-0.29,3.14,3009.4,3013.5,3018.1
198,1207,A,6,H,6,51.06,51.08,51.06,3021.5,C.wuellerstorfi,-0.27,3.19,3010.8,3014.9,3019.5
198,1207,A,6,H,6,51.11,51.13,51.11,3022.3,C.wuellerstorfi,-0.65,3.14,3012.5,3016.6,3020.9
198,1207,A,6,H,6,51.16,51.18,51.16,3023,C.wuellerstorfi,-0.62,3.16,3014.4,3018.4,3022.5
198,1207,A,6,H,6,51.21,51.23,51.21,3023.7,C.wuellerstorfi,0.001,2.96,3015.9,3020.3,3024.2
198,1207,A,6,H,6,51.25,51.27,51.25,3024.3,C.wuellerstorfi,-0.38,3.25,3017.3,3021.8,3025.5
198,1207,A,6,H,6,51.3,51.32,51.3,3025.1,C.wuellerstorfi,-0.727,3.11,3019.6,3023.7,3026.9
198,1207,A,6,H,6,51.35,51.37,51.35,3025.8,C.wuellerstorfi,-0.169,2.8,3021.5,3025.7,3028.3
198,1207,A,6,H,6,51.4,51.42,51.4,3026.6,C.wuellerstorfi,-0.085,2.62,3023.4,3027.6,3029.8
198,1207,A,6,H,6,51.49,51.51,51.49,3027.9,C.wuellerstorfi,-0.13,2.69,3025.9,3029.6,3032.2
198,1207,A,6,H,6,51.54,51.56,51.54,3028.6,C.wuellerstorfi,-0.25,2.7,3027.6,3031,3033.6
198,1207,A,6,H,6,51.59,51.61,51.59,3029.4,C.wuellerstorfi,0.04,2.74,3028.9,3032.3,3034.8
198,1207,A,6,H,6,51.64,51.66,51.64,3030.1,C.wuellerstorfi,-0.07,2.79,3030.4,3033.5,3036.1
198,1207,A,6,H,6,51.69,51.71,51.69,3030.8,C.wuellerstorfi,-0.14,2.4,3032,3034.8,3037.4
198,1207,A,6,H,6,51.73,51.75,51.73,3031.4,C.wuellerstorfi,-0.26,2.83,3033.4,3035.8,3038.8
198,1207,A,6,H,6,51.78,51.8,51.78,3032.4,C.wuellerstorfi,-0.036,2.54,3035.6,3037.2,3040.5
198,1207,A,6,H,6,51.83,51.85,51.83,3034.6,C.wuellerstorfi,-0.36,2.77,3037.6,3039.9,3042.5
198,1207,A,6,H,6,51.88,51.91,51.88,3036.8,C.wuellerstorfi,-0.19,3.01,3039.3,3043.1,3045.6
198,1207,A,6,H,6,51.93,51.95,51.93,3039,C.wuellerstorfi,-0.08,2.89,3041.3,3045.4,3048
198,1207,A,6,H,6,51.97,51.99,51.97,3040.8,C.wuellerstorfi,0.1,3.1,3042.8,3047.3,3050.5
198,1207,A,6,H,6,52.02,52.04,52.02,3042.9,C.wuellerstorfi,-0.04,3.14,3044.3,3049.2,3052.5
198,1207,A,6,H,6,52.07,52.09,52.07,3045.1,C.wuellerstorfi,-0.053,2.96,3045.8,3050.9,3054.8
198,1207,A,6,H,6,52.19,52.21,52.19,3050.4,C.wuellerstorfi,-0.14,3.13,3049,3054.4,3059.1
198,1207,A,6,H,6,52.24,52.26,52.24,3052.6,C.wuellerstorfi,-0.058,3.1,3050.5,3055.8,3060.7
198,1207,A,6,H,6,52.42,52.44,52.42,3060.4,C.wuellerstorfi,-0.17,2.89,3055.2,3060.8,3066.2
198,1207,A,6,H,6,52.51,52.53,52.51,3064.4,C.wuellerstorfi,-0.26,3.11,3057.8,3064,3069.1
198,1207,A,6,H,6,52.56,52.58,52.56,3066.6,C.wuellerstorfi,-0.28,2.99,3059.8,3066,3070.6
198,1207,A,6,H,6,52.61,52.63,52.61,3068.8,C.wuellerstorfi,-0.227,3.05,3061.9,3068.4,3072.4
198,1207,A,6,H,7,52.66,52.68,52.66,3070.9,C.wuellerstorfi,-0.18,2.96,3064.1,3070.6,3075.1
198,1207,A,6,H,7,52.71,52.73,52.71,3073.1,C.wuellerstorfi,-0.32,2.58,3066.6,3073.1,3077.6
198,1207,A,6,H,7,52.76,52.78,52.76,3075.3,C.wuellerstorfi,-0.24,2.8,3069.2,3075.3,3080.5
198,1207,A,6,H,7,52.81,52.83,52.81,3077.5,C.wuellerstorfi,-0.04,2.75,3071.5,3077.5,3083.4
198,1207,A,6,H,7,52.86,52.88,52.86,3079.7,C.wuellerstorfi,-0.24,2.53,3074,3080,3085.5
198,1207,A,6,H,7,52.9,52.92,52.9,3083.1,C.wuellerstorfi,-0.23,2.73,3075.7,3082.4,3087.5
198,1207,A,6,H,7,52.95,52.97,52.95,3087.8,C.wuellerstorfi,0.12,2.64,3078,3084.8,3090
198,1207,A,6,H,7,53,53.02,53,3092.5,C.wuellerstorfi,0.11,2.82,3080.6,3086.9,3092.4
198,1207,A,6,H,7,53.05,53.07,53.05,3097.2,C.wuellerstorfi,-0.071,2.81,3082.9,3089.2,3094.5
198,1207,A,6,H,7,53.1,53.12,53.1,3101.9,C.wuellerstorfi,0.15,2.85,3085,3091.4,3096.4
198,1207,A,6,H,7,53.15,53.17,53.15,3106.6,C.wuellerstorfi,0.17,2.91,3087.4,3093.5,3098.5
198,1207,A,6,H,7,53.2,53.22,53.2,3111.3,C.wuellerstorfi,0.25,2.73,3089.5,3095.4,3100.5
198,1207,A,6,H,7,53.25,53.27,53.25,3116,C.wuellerstorfi,0.22,2.92,3091.8,3097.4,3102.5
198,1207,A,6,H,CC,53.29,53.31,53.29,3117,C.wuellerstorfi,0.13,2.93,3093.3,3098.8,3103.7
198,1207,A,6,H,CC,53.34,53.36,53.34,3118.2,C.wuellerstorfi,0.012,2.98,3095,3100.4,3105.2
198,1207,A,7,H,1,53.39,53.41,53.39,3119.4,C.wuellerstorfi,0.06,2.94,3096.5,3102.1,3106.8
198,1207,A,7,H,1,53.49,53.51,53.49,3121.9,C.wuellerstorfi,0.02,2.88,3099.2,3104.8,3109.3
198,1207,A,7,H,1,53.54,53.56,53.54,3123.1,C.wuellerstorfi,-0.05,2.81,3100.7,3106.3,3110.7
198,1207,A,7,H,1,53.68,53.7,53.68,3126.5,C.wuellerstorfi,-0.197,2.94,3104.3,3110.1,3113.9
198,1207,A,7,H,1,53.73,53.75,53.73,3127.8,C.wuellerstorfi,-0.01,2.77,3105.7,3111.4,3115.3
198,1207,A,7,H,1,53.83,53.85,53.83,3130.2,C.wuellerstorfi,-0.18,2.71,3108.9,3114.1,3117.7
198,1207,A,7,H,1,53.93,53.95,53.93,3132.6,C.wuellerstorfi,-0.01,2.85,3111.8,3116.9,3120.3
198,1207,A,7,H,1,53.98,54,53.98,3133.9,C.wuellerstorfi,0,2.87,3113.2,3118.5,3121.8
198,1207,A,7,H,1,54.03,54.05,54.03,3135.1,C.wuellerstorfi,-0.11,2.82,3114.7,3120.3,3123.2
198,1207,A,7,H,1,54.12,54.14,54.12,3137.3,C.wuellerstorfi,-0.23,2.96,3117.3,3123.4,3126.3
198,1207,A,7,H,1,54.17,54.19,54.17,3138.5,C.wuellerstorfi,-0.11,2.93,3119,3125.2,3128.3
198,1207,A,7,H,1,54.22,54.24,54.22,3139.7,C.wuellerstorfi,-0.26,3.12,3120.3,3127.4,3130.4
198,1207,A,7,H,1,54.27,54.29,54.27,3141,C.wuellerstorfi,-0.28,2.91,3122.1,3128.8,3132.7
198,1207,A,7,H,1,54.32,54.34,54.32,3142.2,C.wuellerstorfi,-0.17,2.96,3123.7,3130.3,3134.9
198,1207,A,7,H,1,54.37,54.39,54.37,3143.4,C.wuellerstorfi,-0.3,2.94,3125.3,3131.8,3137.4
198,1207,A,7,H,1,54.42,54.43,54.42,3144.6,C.wuellerstorfi,-0.12,2.89,3127,3133.5,3139.6
198,1207,A,7,H,1,54.46,54.48,54.46,3145.9,C.wuellerstorfi,-0.22,3.1,3128.1,3134.9,3140.8
198,1207,A,7,H,1,54.61,54.63,54.61,3151,C.wuellerstorfi,-0.33,3.03,3132,3139.4,3145.3
198,1207,A,7,H,1,54.71,54.73,54.71,3154.4,C.wuellerstorfi,-0.31,3.01,3135.4,3142.7,3148.5
198,1207,A,7,H,1,54.76,54.78,54.76,3156.1,C.wuellerstorfi,-0.43,2.87,3137.4,3144.6,3150.6
198,1207,A,7,H,1,54.8,54.82,54.8,3157.4,C.wuellerstorfi,-0.45,3.02,3139.2,3146.1,3152
198,1207,A,7,H,1,54.9,54.92,54.9,3160.8,C.wuellerstorfi,-0.34,2.95,3143.9,3149.4,3155.9
