mcd,Age_orig,d18O_unadj,age_lower95,age_ka,age_upper95
86.44,1760,2.89,1760,1760,1760.731156
86.54,1762,2.94,1760.731156,1766.580402,1770.479899
86.65,1765,2.9,1763.168342,1770.236181,1772.917085
86.73,1766,3.06,1765.361809,1772.18593,1774.623116
86.84,1769,3,1769.261307,1774.379397,1776.572864
86.92,1770,2.99,1772.429648,1775.841709,1778.035176
87.03,1773,3.35,1775.59799,1778.035176,1779.741206
87.11,1774,2.69,1777.30402,1779.741206,1781.203518
87.24,1777,2.46,1779.741206,1781.934673,1783.640704
87.3,1778,2.83,1780.959799,1783.153266,1784.859296
87.38,1780,3.38,1782.665829,1784.859296,1786.809045
87.49,1783,3.12,1785.103015,1787.052764,1789.977387
87.63,1788,3.41,1788.027638,1790.221106,1794.364322
87.69,1790,3.4,1789.733668,1791.927136,1796.557789
87.81,1794,3.55,1792.90201,1796.070352,1799.969849
87.91,1798,3.34,1796.31407,1799.969849,1803.138191
87.97,1800,3.3,1798.751256,1802.407035,1805.575377
88.05,1802,2.89,1803.869347,1805.819095,1809.718593
88.15,1804,2.88,1806.306533,1809.474874,1813.374372
88.28,1806,2.99,1809.231156,1813.61809,1818.979899
88.36,1808,3.06,1811.668342,1816.786432,1821.660804
88.43,1809,2.96,1813.130653,1818.979899,1824.09799
88.55,1812,2.75,1816.298995,1822.635678,1828.241206
88.64,1814,2.76,1818.979899,1825.316583,1831.165829
88.74,1816,2.96,1821.417085,1828.241206,1835.552764
88.86,1818,3.06,1824.829146,1831.896985,1840.183417
88.93,1819,3,1827.266332,1834.334171,1843.10804
89.05,1821,3.08,1830.922111,1837.98995,1846.520101
89.25,1824,2.85,1836.527638,1843.839196,1851.394472
89.34,1825,3.24,1839.208543,1846.520101,1853.344221
89.41,1826,2.97,1842.376884,1848.713568,1855.050251
89.48,1828,2.95,1845.301508,1851.150754,1857.487437
89.6,1830,2.86,1849.688442,1854.806533,1860.899497
89.7,1832,2.98,1853.100503,1857.974874,1864.555276
89.79,1834,3.09,1856.268844,1861.143216,1867.723618
89.87,1836,3.19,1858.949749,1864.555276,1870.404523
89.96,1838,2.73,1862.11809,1867.967337,1872.841709
90.06,1840,2.77,1866.992462,1871.379397,1876.01005
90.15,1842,2.6,1870.89196,1874.060302,1879.422111
90.23,1844,2.72,1873.329146,1876.741206,1882.590452
