Leg,Site,Hole,Core,Type,Section,Top,Bottom,Mid Depth,mbsf,age_ka,U_auth,Mn_excess,Ba_excess,Opal_conc,C_37,CaCO3_conc
198,1208,A,13,H,5,92,94,116.13,115.8315789,2492.95844,0.922219848,400.0561899,813.1871447,6.731175787,1.133273423,48.62
198,1208,A,13,H,5,112,114,116.33,116.0229665,2497.462724,0.848700801,658.0479971,816.6424526,6.884851839,0.588615302,71.67
198,1208,A,13,H,5,132,134,116.53,116.2143541,2501.913597,0.965670884,606.6746724,805.5230191,10.4575956,0.918395594,69.86
198,1208,A,13,H,6,5,7,116.76,116.4344498,2507.032102,1.432685605,507.6708003,704.4633392,9.053957412,1.121431743,64.33
198,1208,A,13,H,6,24,26,116.95,116.6162679,2511.222154,1.457340076,309.715392,696.481617,9.19489188,2.804320305,59.65
198,1208,A,13,H,6,45,47,117.16,116.8172249,2515.31981,0.732865318,150.3275225,721.5034222,8.10721629,3.73558241,42.95
198,1208,A,13,H,6,67,69,117.38,117.0277512,2519.340278,1.161063035,302.7377043,741.740506,4.814076239,1.229294945,57.37
198,1208,A,13,H,6,86,88,117.57,117.2095694,2522.8125,0.59079818,143.4653847,853.4348038,5.264096086,1.717101406,47.32
198,1208,A,13,H,6,109,111,117.8,117.4296651,2527.015716,0.539900543,135.4528086,927.2060076,5.379192247,1.47295814,41.47
198,1208,A,13,H,6,131,133,118.02,117.6401914,2531.036184,0.43281262,57.99714495,910.1407169,7.559973834,2.897433893,27.87
198,1208,A,13,H,7,5,6,118.255,117.8650718,2535.330775,0.208795201,104.4649728,1307.814387,6.973310212,3.465877911,32.88
198,1208,A,13,H,7,23,25,118.44,118.0421053,2538.714364,0.170863848,171.3223104,1269.069619,8.341633473,2.863960072,16.98
198,1208,A,13,H,7,44,46,118.65,118.2430622,2543.148416,1.057543264,400.0527721,964.8296668,7.424417554,2.111822693,60.31
198,1208,A,13,H,7,54,56,118.75,118.338756,2545.405344,1.333779294,538.4118299,799.8580655,7.570088387,1.46640559,68.54
198,1208,A,14,H,1,16,18,118.87,118.8606805,2558.399433,0.69979456,472.8090759,888.4184659,6.945846727,1.829242558,56.43
198,1208,A,14,H,1,37,39,119.08,119.0591682,2563.692439,0.729999161,469.3638488,860.8238601,7.93569322,1.538098573,60.58
198,1208,A,14,H,1,58,60,119.29,119.257656,2568.985444,0.203616664,402.1728154,1074.818127,9.990358536,1.864000401,51.15
198,1208,A,14,H,1,82,84,119.53,119.4844991,2575.076582,0.567885961,404.0197898,913.5038464,6.763312072,0.776702797,46.92
