lower95_age,age_ka,upper95_age,depth (mcd),Species,d18O_unadj,d18O,d13C
2348.2,2348.2,2350.66454,33.87,CWUEL,3.03,3.67,-0.15
2352.392344,2359.968102,2360.898458,33.92,CWUEL,2.95,3.59,-0.14
2359.303562,2363.955343,2365.948963,33.97,CWUEL,3.07,3.71,-0.22
2363.423711,2367.410952,2370.467836,34.02,CWUEL,3.42,4.06,-0.32
2365.816055,2369.936204,2372.993089,34.05,CWUEL,3.44,4.08,-0.29
2372.461457,2375.252525,2379.239766,34.12,CWUEL,2.94,3.58,0.14
2374.056353,2376.714514,2380.834662,34.14,CWUEL,2.95,3.59,0.00
2376.049973,2379.106858,2383.758639,34.17,CWUEL,2.93,3.57,0.22
2377.511962,2381.100478,2386.018075,34.2,CWUEL,3.08,3.72,0.15
2379.505582,2384.423179,2389.606592,34.24,CWUEL,3.02,3.66,0.16
2380.96757,2386.549708,2392.530569,34.27,CWUEL,3.06,3.70,-0.05
2383.891547,2389.340776,2395.986178,34.31,CWUEL,3.04,3.68,0.07
2386.549708,2392.264753,2398.777246,34.35,CWUEL,3.14,3.78,0.00
2390.536948,2397.315258,2403.561935,34.42,CWUEL,3.12,3.76,0.00
2393.195109,2399.973418,2406.087188,34.46,CWUEL,3.04,3.68,-0.14
2395.321637,2403.030303,2408.61244,34.5,CWUEL,3.27,3.91,-1.01
2397.049442,2404.625199,2409.808612,34.52,CWUEL,3.05,3.69,0.00
2399.441786,2407.28336,2411.935141,34.56,CWUEL,3.08,3.72,0.00
2403.827751,2411.270601,2414.726209,34.62,CWUEL,3.03,3.67,0.06
2407.28336,2414.061669,2416.71983,34.67,CWUEL,3.09,3.73,-0.07
2410.473153,2416.586922,2419.112174,34.72,CWUEL,2.86,3.50,0.00
2413.795853,2419.245082,2421.770335,34.77,CWUEL,3.08,3.72,-0.14
2415.257842,2420.441255,2423.232323,34.79,CWUEL,3.11,3.75,-0.20
2418.04891,2422.169059,2424.960128,34.82,CWUEL,3.05,3.69,-0.02
2422.169059,2425.49176,2428.415736,34.87,CWUEL,3.28,3.92,-0.35
2425.624668,2428.947368,2435.194046,34.92,CWUEL,3.61,4.25,-0.45
2426.953748,2430.409357,2436.788942,34.94,CWUEL,3.59,4.23,-0.48
2434.26369,2436.92185,2442.902711,35.02,CWUEL,3.62,4.26,-0.23
2437.58639,2441.573631,2445.826688,35.07,CWUEL,3.56,4.20,-0.51
2439.447103,2443.168527,2447.554492,35.09,CWUEL,3.58,4.22,-0.46
2441.573631,2445.69378,2449.548113,35.12,CWUEL,3.45,4.09,-0.56
2444.763424,2448.617757,2451.674641,35.16,CWUEL,3.54,4.18,-0.44
2449.415205,2452.472089,2455.396066,35.22,CWUEL,3.50,4.14,-0.56
2453.535354,2455.79479,2459.782031,35.27,CWUEL,3.13,3.77,-0.23
2454.864434,2457.256778,2461.376927,35.29,CWUEL,2.94,3.58,-0.23
2456.45933,2459.383307,2463.503456,35.32,CWUEL,3.08,3.72,-0.20
2460.579479,2463.636364,2467.889421,35.39,CWUEL,3.01,3.65,-0.07
2462.174375,2466.028708,2470.281765,35.42,CWUEL,2.83,3.47,-0.32
2464.699628,2469.484317,2473.737374,35.47,CWUEL,3.10,3.74,-0.14
2465.8958,2471.345029,2474.800638,35.49,CWUEL,3.28,3.92,-0.45
2469.351409,2473.205742,2476.129718,35.52,CWUEL,2.76,3.40,-0.43
2472.142477,2476.528442,2478.654971,35.56,CWUEL,3.31,3.95,-0.44
2473.471558,2477.724615,2480.648591,35.58,CWUEL,3.52,4.16,-0.55
2476.927166,2480.249867,2483.838384,35.62,CWUEL,3.40,4.04,-0.70
2479.984051,2483.173844,2487.293993,35.67,CWUEL,3.65,4.29,-0.46
2482.376396,2485.566188,2489.686337,35.71,CWUEL,3.46,4.10,-0.47
2484.370016,2487.825625,2491.148325,35.74,CWUEL,3.74,4.38,-0.51
2487.426901,2490.483785,2493.54067,35.78,CWUEL,3.66,4.30,-0.42
2489.553429,2493.54067,2496.065922,35.82,CWUEL,3.23,3.87,-0.18
2491.015417,2495.667198,2497.926635,35.85,CWUEL,3.24,3.88,-0.21
2492.078682,2497.926635,2499.654439,35.89,CWUEL,3.42,4.06,-0.11
2493.407762,2499.521531,2500.850611,35.92,CWUEL,2.58,3.22,1.05
2498.325359,2501.64806,2502.445508,35.98,CWUEL,3.28,3.92,-0.50
2499.654439,2502.445508,2503.110048,36,CWUEL,3.41,4.05,-0.43
2501.64806,2503.242956,2503.64168,36.02,CWUEL,2.67,3.31,0.08
2502.97714,2504.572036,2505.502392,36.05,CWUEL,3.18,3.82,-0.27
2505.236576,2507.496013,2508.692185,36.12,CWUEL,3.08,3.72,-0.51
2506.831473,2509.622541,2511.616162,36.16,CWUEL,3.33,3.97,-0.55
2507.628921,2511.350346,2513.875598,36.18,CWUEL,3.74,4.38,-0.58
2508.958001,2512.41361,2515.337586,36.22,CWUEL,3.37,4.01,-0.53
2510.685805,2514.274322,2518.394471,36.27,CWUEL,3.36,4.00,-0.46
2512.280702,2516.135035,2522.647528,36.32,CWUEL,3.31,3.95,-0.51
2515.470494,2521.717172,2529.824561,36.41,CWUEL,3.30,3.94,-0.50
2517.995747,2524.242424,2531.818182,36.45,CWUEL,3.71,4.35,-0.53
2521.85008,2527.166401,2533.413078,36.49,CWUEL,3.70,4.34,-0.60
2527.830941,2530.62201,2535.672515,36.54,CWUEL,3.41,4.05,-0.53
2529.691653,2532.482722,2537.134503,36.565,CWUEL,3.66,4.30,-0.63
2534.343434,2537.400319,2540.988836,36.63,CWUEL,3.40,4.04,-0.48
2537.799043,2541.919192,2546.570973,36.69,CWUEL,3.16,3.80,-0.23
2540.05848,2546.438065,2550.026582,36.74,CWUEL,2.78,3.42,0.04
2540.855928,2548.165869,2551.089846,36.76,CWUEL,2.86,3.50,-0.23
2542.317916,2550.691122,2553.083466,36.8,CWUEL,2.88,3.52,-0.06
2544.843169,2553.880914,2556.273259,36.87,CWUEL,3.12,3.76,-0.12
2546.438065,2555.608719,2558.665603,36.92,CWUEL,2.78,3.42,0.02
2548.032961,2556.671983,2560.526316,36.95,CWUEL,3.45,4.09,-0.38
2552.15311,2558.001063,2563.716108,36.99,CWUEL,3.28,3.92,-0.08
2554.279638,2559.064327,2565.576821,37.02,CWUEL,3.13,3.77,-0.25
2556.671983,2559.994684,2566.905901,37.05,CWUEL,2.79,3.43,-0.44
2558.133971,2561.190856,2568.367889,37.09,CWUEL,3.31,3.95,-0.26
