Sira #,Site,H,Co,T,Section,Top(cm),Bot(cm),mbsf,mcd,Species,d18O,d13C,d18Oadj,d13Cadj,age_ka,MIS,CODE,LiCa,BCa,NaCa,MgCa,AlCa,MnCa,SrCa,CdCa,BaCa,NdCa,UCa,FeCa
S18 0638,ODP1209,A,4,H,3,0,2,30.2,33.87,CWUEL,2.85,-0.09,3.49,-0.09,2348.16717,,,,,,,,,,,,,,
S18 0639,ODP1209,A,4,H,3,5,7,30.25,33.92,CWUEL,2.95,-0.14,3.59,-0.14,2358.84189,,,,,,,,,,,,,,
S18 0640,ODP1209,A,4,H,3,15,17,30.35,34.02,CWUEL,3.42,-0.32,4.06,-0.32,2366.62553,,,,,,,,,,,,,,
S18 0641,ODP1209,A,4,H,3,25,27,30.45,34.12,CWUEL,2.94,0.14,3.58,0.14,2375.74352,,,,,,,,,,,,,,
S18 0642,ODP1209,A,4,H,3,30,32,30.5,34.17,CWUEL,2.93,0.22,3.57,0.22,2379.30176,,,,,,,,,,,,,,
S18 0643,ODP1209,A,4,H,3,37,39,30.57,34.24,CWUEL,3.02,0.16,3.66,0.16,2384.86151,,,,,,,,,,,,,,
S18 0644,ODP1209,A,4,H,3,44,46,30.64,34.31,CWUEL,3.04,0.07,3.68,0.07,2389.75408,,,,,,,,,,,,,,
S18 0645,ODP1209,A,4,H,3,55,57,30.75,34.42,CWUEL,3.12,0,3.76,0,2397.09295,,,,,,,,,,,,,,
S18 0646,ODP1209,A,4,H,3,59,61,30.79,34.46,CWUEL,3.04,-0.14,3.68,-0.14,2399.98402,,,,,,,,,,,,,,
S18 0647,ODP1209,A,4,H,3,65,67,30.85,34.52,CWUEL,3.05,0,3.69,0,2404.20943,,,,,,,,,,,,,,
S18 0648,ODP1209,A,4,H,3,75,77,30.95,34.62,CWUEL,3.03,0.06,3.67,0.06,2410.88113,,,,,,,,,,,,,,
S18 0649,ODP1209,A,4,H,3,85,87,31.05,34.72,CWUEL,2.86,0,3.5,0,2417.10804,,QI1,12.0506,13.2874,2.8647,0.9085,3.4821,38.3413,1.0516,0.1373,2.8628,0.3239,11.0741,29.2035
S18 0650,ODP1209,A,4,H,3,90,92,31.1,34.77,CWUEL,3.08,-0.14,3.72,-0.14,2419.99911,,,,,,,,,,,,,,
S18 0621,ODP1209,A,4,H,3,95,97,31.15,34.82,CWUEL,3.05,-0.02,3.69,-0.02,2422.89018,,,,,,,,,,,,,,
S18 0622,ODP1209,A,4,H,3,105,107,31.25,34.92,CWUEL,3.61,-0.45,4.25,-0.45,2429.56188,MIS 96,,,,,,,,,,,,,
S18 0623,ODP1209,A,4,H,3,115,117,31.35,35.02,CWUEL,3.62,-0.23,4.26,-0.23,2435.56641,MIS 96,QG1,11.8406,14.9056,2.8571,0.9415,15.1392,38.026,1.027,0.1255,2.6734,0.2202,17.0511,-59.5024
S18 0624,ODP1209,A,4,H,3,120,122,31.4,35.07,CWUEL,3.56,-0.51,4.2,-0.51,2438.90225,MIS 96,,,,,,,,,,,,,
S18 0625,ODP1209,A,4,H,3,125,127,31.45,35.12,CWUEL,3.45,-0.56,4.09,-0.56,2442.01571,MIS 96,QG5,12.1579,13.2517,3.0711,0.979,30.6848,30.5487,1.0583,0.1317,2.8657,0.5555,11.4616,10.3479
S18 0626,ODP1209,A,4,H,3,135,137,31.55,35.22,CWUEL,3.5,-0.56,4.14,-0.56,2447.13068,MIS 96,,,,,,,,,,,,,
