age_ka,BWT,temp_min1,temp_add1,temp_min2,temp_add2,d18O_sw,d18O_sw_min1,d18O_sw_add_1,d18O_sw_min2,d18O_sw_add2
2417.1,0.51479,-1.4681,2.5355,-3.4567,4.5291,1.3515,0.76923,1.84,0.17451,2.285
2435.6,0.77266,-1.3033,2.6853,-3.386,4.5534,1.4834,1.0262,1.8995,0.55554,2.2928
2442,-0.65705,-2.9935,1.6583,-5.1778,3.8596,0.56411,-0.04151,1.4895,-0.53464,2.0608
2472.9,-1.19,-3.2455,0.81999,-5.2349,2.6448,0.82585,0.17967,1.3673,-0.38228,1.8147
2488.7,-0.066629,-2.2008,2.0157,-4.3419,4.1373,0.56229,0.091039,1.0825,-0.37392,1.6574
2499.4,0.065066,-2.0669,2.0338,-4.01,4.0287,0.44226,0.0004154,0.87241,-0.43601,1.3211
2503,0.86158,-1.2107,2.9796,-3.1795,4.9021,1.415,0.64003,2.0083,-0.053765,2.468
2530.1,1.3408,-0.74144,3.3568,-2.6854,5.2986,1.6771,1.1727,2.1469,0.6643,2.5913
2532.1,0.85399,-1.1931,2.8255,-3.0783,4.9133,0.94288,0.39471,1.8364,-0.074476,2.4094
2550.8,0.29405,-1.8399,2.3747,-3.7815,4.3109,0.89393,0.35134,1.3822,-0.11607,1.8584
2599.5,0.53356,-1.4922,2.512,-3.4633,4.4504,1.0851,0.65314,1.5289,0.22453,1.9344
2609.7,-0.13304,-2.2472,1.9553,-4.1756,3.8731,0.76395,0.24358,1.2309,-0.21866,1.7171
2623,-0.1585,-2.3175,1.8847,-4.3096,3.75,0.74558,0.22881,1.1962,-0.21866,1.6312
2628.8,0.43636,-1.5923,2.4858,-3.8127,4.5287,1.0168,0.57907,1.4611,0.09518,1.8944
2635.3,0.69564,-1.2474,2.8631,-3.3231,4.7567,1.1848,0.7537,1.6329,0.318,2.063
2642.8,0.44693,-1.6419,2.4498,-3.5899,4.267,1.1372,0.69948,1.5689,0.30667,2.0208
2646.6,0.42908,-1.5897,2.5026,-3.59,4.6037,0.98034,0.52882,1.4392,0.10091,1.8811
2654.6,0.062461,-1.9452,2.1313,-3.7907,4.0893,0.88962,0.4523,1.3276,0.071268,1.7494
2659.5,1.5118,-0.86611,3.9155,-2.9862,5.7585,1.1994,0.69452,1.6871,0.22268,2.122
2671.1,0.4761,-1.9461,3.0071,-3.9534,5.2936,1.1622,0.70708,1.6328,0.25867,2.0723
2681.8,2.069,-0.7857,4.4218,-3.4816,6.6161,1.6358,0.99586,2.1434,0.43144,2.6546
2688.4,1.5626,-0.77989,3.8812,-2.9796,6.1361,1.2634,0.68644,1.9418,0.23006,2.4553
2693.5,-0.44538,-2.5673,1.8168,-4.3759,3.9964,0.96274,0.52256,1.4123,0.12732,1.8357
2708.4,-1.1597,-3.1688,0.80277,-4.8233,2.8024,1.0343,0.59694,1.4615,0.22451,1.9259
2719.3,-0.71749,-2.7168,1.3107,-4.5503,3.2297,0.79252,0.32714,1.2828,-0.088738,1.828
2731.1,-0.20207,-2.2207,1.8304,-4.1881,3.7206,0.82467,0.3819,1.258,-0.021119,1.6965
2802.3,-0.60965,-2.5918,1.2629,-4.5939,3.0724,0.92226,0.48484,1.3205,0.073304,1.7573
2809.6,0.018237,-1.9452,2.0864,-4.0103,4.1998,0.83446,0.41151,1.2646,0.0067465,1.7345
2820.5,0.15267,-1.9031,2.0769,-3.8774,3.8005,0.76271,0.323,1.1868,-0.075714,1.6204
2831.4,-0.52055,-2.6904,1.4418,-4.6734,3.2999,0.68971,0.22141,1.1143,-0.19478,1.5031
2839.2,0.8601,-1.3124,3.0103,-3.329,4.9714,0.87863,0.43066,1.3172,0.018383,1.7365
3067.8,1.1282,-0.95872,3.1225,-2.8738,4.9939,0.8627,0.43029,1.3091,0.035982,1.7476
3078.9,1.7667,-0.29333,3.6575,-2.2061,5.593,0.945,0.51857,1.3646,0.13295,1.7713
3088.7,0.79481,-1.3336,2.9049,-3.2878,4.9618,0.92174,0.46163,1.3538,0.060646,1.7652
3109,0.59267,-1.4387,2.6497,-3.4334,4.6175,0.92839,0.47452,1.3614,0.079921,1.7922
3118.7,0.6767,-1.4306,2.7135,-3.4158,4.8417,0.95628,0.50778,1.3841,0.11728,1.8309
