mcd,d18O,lower_age,age_ka,upper_age,Mg/Ca,temp,temp_min1,temp_plus1,temp_min2,temp_plus2,d18O_sw,d18O_min1,d18O_plus1,d18O_min2,d18O_plus2
0,3.71,0.72,6.14,14.44,1.098991881,1.285065031,0.162460083,2.368970037,-0.842494655,3.253194569,0.333978297,0.065046917,0.850445649,-0.141405099,1.122214746
0.04,3.39,7.58,10.11,26.35,1.030720495,0.776143736,-0.305542452,1.786872355,-1.189512551,2.750728173,0.249725914,0.054352475,0.471519715,-0.1448484,0.680682036
0.08,4.08,10.47,13.72,37.18,0.914496321,0.75410346,-0.32072266,1.810836132,-1.146960771,2.720233629,0.315508578,0.10080261,0.540958837,-0.094468896,0.750810773
0.12,4.06,12.64,16.97,41.16,1.024491,0.516375094,-0.34224111,1.5020305,-1.255697671,2.42795125,0.194121907,-0.056356907,0.456767016,-0.292500722,0.688536105
0.16,3.99,14.44,25.99,45.85,0.955561271,0.36066865,-0.475075551,1.21176287,-1.43451719,1.992594854,0.154803063,-0.077292546,0.391534939,-0.329776204,0.609602675
0.18,4.31,16.25,28.88,47.65,0.924326427,0.231611069,-0.82425459,1.273021791,-1.900057429,2.327472206,0.429879104,0.135351209,0.718516523,-0.142990556,0.953466071
0.24,4.26,25.63,36.46,54.51,,,,,,,,,,,
0.28,4.41,29.96,40.79,60.29,0.944136615,0.086002466,-1.063748142,1.451393752,-2.087850367,2.557010889,0.486451581,0.217623228,0.763047365,-0.086143844,0.981206186
0.32,4.37,33.94,45.13,64.62,0.850184622,0.168802694,-1.324632659,1.718038381,-2.52132395,2.805449281,0.485396767,0.044634103,0.789352073,-0.272215728,1.04105044
0.36,4.28,38.27,49.10,67.87,1.05738926,0.213852179,-1.543705927,1.764601455,-2.644108238,2.769462092,0.475840994,-0.051127275,0.801463539,-0.352734998,1.040105631
0.38,4.13,40.43,51.26,69.68,0.772789039,0.200956172,-1.502971952,1.640087867,-2.614758755,2.67672691,0.492569988,-0.055368742,0.796826385,-0.3085303,1.038536046
0.44,4.31,44.40,55.23,74.01,0.973307352,0.484594733,-1.199317005,1.589246357,-2.341599803,2.583819803,0.56549635,0.037205204,0.816847538,-0.261582854,1.031156508
1.38,4.34,98.56,99.28,99.28,,,,,,,,,,,
