,Sira #,Site,H,Co,T,Section,Top(cm),Bot(cm),mbsf,mcd,Species,d18O,d13C,d18Oadj,d13Cadj,age_ka,MIS,CODE,LiCa,BCa,NaCa,MgCa,AlCa,MnCa,SrCa,CdCa,BaCa,NdCa,UCa,FeCa
11,S18 0649,ODP1209,A,4,H,3,85.0,87.0,31.05,34.72,CWUEL,2.86,0.0,3.5,0.0,2417.10804,,QI1,12.0506,13.2874,2.8647,0.9085,3.4821,38.3413,1.0516,0.1373,2.8628,0.3239,11.0741,29.2035
15,S18 0623,ODP1209,A,4,H,3,115.0,117.0,31.35,35.02,CWUEL,3.62,-0.23,4.26,-0.23,2435.56641,MIS 96,QG1,11.8406,14.9056,2.8571,0.9415,15.1392,38.026,1.027,0.1255,2.6734,0.2202,17.0511,-59.5024
17,S18 0625,ODP1209,A,4,H,3,125.0,127.0,31.45,35.12,CWUEL,3.45,-0.56,4.09,-0.56,2442.01571,MIS 96,QG5,12.1579,13.2517,3.0711,0.979,30.6848,30.5487,1.0583,0.1317,2.8657,0.5555,11.4616,10.3479
22,S18 0764,ODP1209,A,4,H,4,15.0,17.0,31.85,35.52,CWUEL,2.76,-0.43,3.4,-0.43,2472.92791,,QI5,12.003,13.4092,2.6754,0.761,16.4698,30.7154,1.0574,0.1568,2.8813,0.2494,8.9933,-13.069
25,S18 0767,ODP1209,A,4,H,4,34.0,36.0,32.04,35.71,CWUEL,3.46,-0.47,4.1,-0.47,2488.7176,MIS 98,QG3,11.7497,11.9649,2.7597,0.7992,9.626,25.3009,1.0424,0.1337,2.6861,0.3682,7.739,-11.5021
27,S18 0769,ODP1209,A,4,H,4,55.0,57.0,32.25,35.92,CWUEL,2.58,1.05,3.22,1.05,2499.39231,,QI2,11.8794,14.833,2.7794,0.9443,6.722,47.4591,1.0127,0.1405,2.7701,0.226,18.4892,-18.5799
29,S18 0771,ODP1209,A,4,H,4,65.0,67.0,32.35,36.02,CWUEL,2.67,0.08,3.31,0.08,2502.95055,,QI4,11.2759,13.4124,2.6208,0.878,4.6256,23.9568,1.0223,0.128,3.1348,0.5837,11.5916,-17.8631
35,S18 0777,ODP1209,A,4,H,4,117.0,119.0,32.87,36.54,CWUEL,3.41,-0.53,4.05,-0.53,2530.08212,MIS 100,QG2,11.0117,14.24175,2.8745,0.9628,29.73235,20.93915,1.0004,0.14495,3.2754,0.4393,11.72365,3.2923
36,S18 0778,ODP1209,A,4,H,4,119.5,121.5,32.895,36.565,CWUEL,3.66,-0.63,4.3,-0.63,2532.08363,MIS 100,QG4,12.4624,12.6824,2.8685,1.0691,5.389,42.7094,1.0246,0.1475,2.6778,0.2165,17.9867,-7.4545
39,S17 3797,ODP1209,A,4,H,5,5.0,7.0,33.25,36.92,CWUEL,2.78,0.02,3.42,0.02,2550.76438,,QI3,12.35695,13.5507,2.83795,0.95065,8.34625,55.74745,1.033,0.13835,3.0551,0.327,19.6235,-20.66585
40,,ODP1209,A,4,H,5,8.0,10.0,33.28,36.95,CWUEL,3.45,-0.38,4.09,-0.38,2552.06,,T9,11.63843558,14.99646677,2.706177444,0.936785126,6.253565468,43.32655836,1.024248254,0.122521312,3.020269242,0.309942258,13.7379318,10.59830947
41,,ODP1209,A,4,H,5,12.0,14.0,33.32,36.99,CWUEL,3.28,-0.08,3.92,-0.08,2553.74,,S1/S2,11.36983056,16.3986142,2.82554992,0.956449949,6.711626839,47.02565226,1.021705425,0.12789179,3.187405049,0.29742499,14.46110609,10.3888087
42,S17 3798,ODP1209,A,4,H,5,15.0,17.0,33.35,37.02,CWUEL,3.13,-0.25,3.77,-0.25,2554.98979,,B1,11.0501,13.4049,3.0093,0.9808,16.2579,27.8324,1.0169,0.1436,2.7785,0.1842,8.8263,8.5539
43,,ODP1209,A,4,H,5,18.0,20.0,33.38,37.05,CWUEL,2.79,-0.44,3.43,-0.44,2556.26,,S3,11.515524,15.54886872,2.841368974,0.905880153,4.311830634,44.42575903,1.017631934,0.122393223,3.054343223,0.259713007,12.01148564,9.111297678
44,,ODP1209,A,4,H,5,22.0,24.0,33.42,37.09,CWUEL,3.31,-0.26,3.95,-0.26,2557.94,,S4,11.42352374,15.06774976,2.748272353,1.130851859,5.082017677,40.70119482,1.01569657,0.132341291,3.818601255,0.229471058,14.24470513,11.61862546
45,S17 3799,ODP1209,A,4,H,5,25.0,27.0,33.45,37.12,CWUEL,3.1,-0.33,3.74,-0.33,2559.2152,,B2,10.7225,15.8097,3.0299,0.8919,34.4938,33.7204,1.0309,0.1481,3.2274,0.2077,7.8758,14.4363
46,,ODP1209,A,4,H,5,28.0,30.0,33.48,37.15,CWUEL,3.02,0.01,3.66,0.01,2560.333333,,S5,10.9586244,16.87454249,2.820561046,0.947821318,8.234767676,48.45253143,0.994870865,0.130267914,3.118664485,0.23943134,10.41352159,10.39729431
47,,ODP1209,A,4,H,5,32.0,34.0,33.52,37.19,CWUEL,3.2,-0.28,3.84,-0.28,2561.844444,,S6,11.5425891,15.70071043,2.73962896,1.04479921,4.47256804,46.68884755,1.006397409,0.121932439,2.988860761,0.255080818,12.55645468,9.819213395
48,S17 3800,ODP1209,A,4,H,5,34.0,36.0,33.54,37.21,CWUEL,3.11,-0.06,3.75,-0.06,2562.55105,,B3,10.9556,11.5692,2.7068,0.9768,8.3982,37.2667,1.0067,0.1334,2.8688,0.2191,7.8294,8.8468
49,,ODP1209,A,4,H,5,37.0,39.0,33.57,37.24,CWUEL,3.32,-0.2,3.96,-0.2,2563.609091,,S7/S8,12.1057946,15.0361529,2.795283065,1.007726411,3.918475058,50.16999785,1.021375607,0.122216178,3.28765898,0.320332621,11.61501058,9.839730368
50,,ODP1209,A,4,H,5,42.0,44.0,33.62,37.29,CWUEL,2.99,-0.32,3.63,-0.32,2565.290909,,S9,11.74434343,14.82757856,2.700278547,1.090040165,3.756033023,40.14072113,1.038628867,0.118996564,3.298489492,0.303091632,11.95926498,10.81967801
51,S17 3801,ODP1209,A,4,H,5,45.0,47.0,33.65,37.32,CWUEL,3.35,-0.14,3.99,-0.14,2566.33168,,B4,10.1571,11.2266,2.7004,0.8657,6.0879,27.3167,1.0156,0.1358,3.006,0.2228,7.97,8.217
52,,ODP1209,A,4,H,5,48.0,50.0,33.68,37.35,CWUEL,3.25,-0.16,3.89,-0.16,2567.5,,R1,11.48889251,25.92746489,2.71101223,0.946426857,21.2846315,43.78322025,0.998528482,0.130577173,4.105149485,0.35817765,14.59932882,12.34094694
53,,ODP1209,A,4,H,5,52.0,54.0,33.72,37.39,CWUEL,3.15,-0.29,3.79,-0.29,2569.1,,R2,11.71210182,15.57324235,2.700575119,0.968213805,5.304895812,49.03673622,1.020706605,0.121246088,3.055701572,0.330578059,13.09967259,11.01480494
54,S17 3802,ODP1209,A,4,H,5,55.0,57.0,33.75,37.42,CWUEL,3.09,-0.12,3.73,-0.12,2570.33469,,B5,10.8981,15.5858,2.856,0.9345,15.9841,29.5088,1.0422,0.1383,2.7279,0.2836,10.0365,9.8282
55,,ODP1209,A,4,H,5,58.0,60.0,33.78,37.45,CWUEL,2.96,0.03,3.6,0.03,2571.71,,R3,12.02906412,16.53049036,3.040179801,1.014717103,11.12603926,47.77975243,1.022523122,0.117856358,3.273981148,0.37184863,18.80665692,10.76917749
56,,ODP1209,A,4,H,5,62.0,64.0,33.82,37.49,CWUEL,3.04,-0.34,3.68,-0.34,2573.59,,R4/R5,11.57347118,16.75776721,2.968261479,0.935833091,6.231701409,51.38136224,1.012049553,0.127882701,3.288449778,0.314601284,22.48277059,9.982803659
57,S17 3803,ODP1209,A,4,H,5,65.0,67.0,33.85,37.52,CWUEL,3.18,-0.11,3.82,-0.11,2575.00488,,B6,11.6239,12.9419,2.7641,0.8599,2.9961,37.1745,1.0439,0.1286,3.0343,0.1938,18.5786,7.007
58,,ODP1209,A,4,H,5,69.0,71.0,33.89,37.56,CWUEL,3.2,-0.34,3.84,-0.34,2577.32,,R6,11.16194234,14.10599789,2.921530414,1.052689799,5.320425096,54.52161082,1.02683298,0.142016229,3.208040614,0.471301747,23.1370961,11.50847804
59,,ODP1209,A,4,H,5,72.0,74.0,33.92,37.59,CWUEL,2.9,-0.13,3.54,-0.13,2579.06,,R7,11.37689578,16.96793777,2.845679382,0.957983439,7.505828985,50.81930679,1.028513448,0.116359228,3.504911227,0.259379498,13.0214822,9.643082427
60,S17 3804,ODP1209,A,4,H,5,75.0,77.0,33.95,37.62,CWUEL,3.08,-0.15,3.72,-0.15,2580.78702,Pleistocene,B7,10.7951,11.2546,2.7276,0.7888,10.6676,36.5542,1.0441,0.1323,2.8645,0.1993,15.686,9.1176
61,,ODP1209,A,4,H,5,78.0,80.0,33.98,37.65,CWUEL,2.74,-0.14,3.38,-0.14,2582.93,,R8,11.13971062,15.54774721,2.688769136,0.839138269,5.055062593,51.91404888,1.024663163,0.113939357,3.066717316,0.241844615,17.51565978,10.34456605
62,,ODP1209,A,4,H,5,82.0,84.0,34.02,37.69,CWUEL,3.12,-0.04,3.76,-0.04,2585.77,,R9,10.69572545,15.10683552,2.874014362,0.936549344,8.036328137,39.17538255,1.028087417,0.131126188,4.755432231,0.28401401,16.55034577,11.35623454
63,S17 3805,ODP1209,A,4,H,5,85.0,87.0,34.05,37.72,CWUEL,2.84,-0.06,3.48,-0.06,2587.9035,Pliocene,B8,11.0939,11.8013,2.793,0.8386,4.9436,30.6831,1.0407,0.1275,3.0005,0.1688,11.1688,7.0271
64,,ODP1209,A,4,H,5,88.0,90.0,34.08,37.75,CWUEL,3.04,-0.15,3.68,-0.15,2589.91,,Q1/Q2,11.63548455,15.43446901,3.433247051,1.1020837,9.920724577,43.56415849,1.026824172,0.140418981,3.069652225,0.333739963,17.40782262,9.932495454
65,,ODP1209,A,4,H,5,92.0,94.0,34.12,37.79,CWUEL,3.1,-0.36,3.74,-0.36,2592.59,,Q3,11.45145336,14.41104886,2.780621245,1.006889106,3.503994453,48.7672532,1.00540749,0.143287417,2.903402448,0.457360056,20.88830914,10.66835629
66,S17 3806,ODP1209,A,4,H,5,95.0,97.0,34.15,37.82,CWUEL,3.22,-0.46,3.86,-0.46,2594.5752,,B9,9.9446,15.5501,2.9573,0.953,14.4,33.1617,1.0333,0.1432,2.987,0.2916,14.9884,10.8803
67,,ODP1209,A,4,H,5,98.0,100.0,34.18,37.85,CWUEL,3.06,-0.27,3.7,-0.27,2596.07,,Q4,11.5442597,14.24964735,2.831975614,0.98238488,5.26913384,33.30693707,1.030288523,0.128442997,3.193934736,0.284830029,15.20255487,10.15117098
68,,ODP1209,A,4,H,5,102.0,104.0,34.22,37.89,CWUEL,3.24,-0.29,3.88,-0.29,2598.03,,Q5,11.10681141,20.10613857,2.74507112,0.986254825,11.96846276,33.93808956,1.029973477,0.131764665,3.135170865,0.356202363,16.6056119,10.74495025
69,S17 3807,ODP1209,A,4,H,5,105.0,107.0,34.25,37.92,CWUEL,3.13,-0.3,3.77,-0.3,2599.46777,,T11,12.1142,14.826,3.1176,0.99805,58.384,33.0702,0.98055,0.15125,3.33905,0.39625,11.4195,4.1553
70,,ODP1209,A,4,H,5,108.0,110.0,34.28,37.95,CWUEL,3.23,-0.51,3.87,-0.51,2600.97,,Q6,10.71972553,14.50621439,2.793911281,0.855598425,5.653792357,42.75484279,1.028598083,0.118130427,3.117317988,0.31919437,15.52629732,10.83614165
71,,ODP1209,A,4,H,5,113.0,115.0,34.33,38.0,CWUEL,3.4,-0.61,4.04,-0.61,2603.42,,Q7/Q8,11.22810121,15.92803818,3.628581772,1.056720419,32.37570074,31.79020585,1.015890316,0.131268756,3.346677004,0.314758955,14.88784516,12.0738895
72,S17 3808,ODP1209,A,4,H,5,115.0,117.0,34.35,38.02,CWUEL,3.52,-0.45,4.16,-0.45,2604.36035,,M7,11.04321889,14.97691222,2.885946231,1.015519046,5.400828305,45.56762857,1.018674213,0.138704221,3.021539299,0.430413389,17.24132815,14.5994094
73,,ODP1209,A,4,H,5,118.0,120.0,34.38,38.05,CWUEL,3.4,-0.48,4.04,-0.48,2605.99,,Q9,11.10635267,15.14267442,2.795048126,0.909897493,9.288275294,32.20878096,1.025855254,0.116233572,3.150948218,0.644827208,4.975326011,8.97497024
74,,ODP1209,A,4,H,5,122.0,124.0,34.42,38.09,CWUEL,3.38,-0.44,4.02,-0.44,2608.11,,M1,11.30992828,21.34027231,3.002188016,1.008958266,15.84667426,57.87426734,1.048249849,0.125311452,3.628529196,0.669165804,16.73630303,11.04806489
75,S17 3809,ODP1209,A,4,H,5,125.0,127.0,34.45,38.12,CWUEL,3.19,-0.32,3.83,-0.32,2609.69771,,T12,11.4746,13.6508,2.7418,0.9348,23.9899,39.8788,1.0071,0.1481,2.8756,0.3779,13.265,2.8587
76,,ODP1209,A,4,H,5,128.0,130.0,34.48,38.15,CWUEL,3.4,-0.48,4.04,-0.48,2611.77,,M2,11.68123595,20.49177972,2.886868829,0.904590407,14.059809,47.72464826,1.033490844,0.128489547,3.028961376,0.323077604,16.07163468,13.16770152
77,,ODP1209,A,4,H,5,130.0,132.0,34.5,38.17,CWUEL,3.28,-0.16,3.92,-0.16,2613.15,,M3,11.17156307,16.60968079,2.996244906,1.02628487,11.18251058,43.5991194,1.023116087,0.132564404,4.245032376,0.38705471,20.94963072,12.83850842
78,S17 3810,ODP1209,A,4,H,5,135.0,137.0,34.55,38.22,CWUEL,3.13,-0.19,3.77,-0.19,2616.5918,,M8,10.70982196,16.97336813,2.587376893,1.034884639,8.077507426,66.36809446,0.994608827,0.16329451,2.982032915,0.531471058,22.81972862,15.07982377
79,,ODP1209,A,4,H,5,138.0,140.0,34.58,38.25,CWUEL,3.39,-0.34,4.03,-0.34,2618.52,,M4/M5,11.02247442,14.93001272,2.769924389,0.895258982,6.077269115,51.65050691,1.017182641,0.142261832,3.141505994,0.408986468,20.90225271,13.3804354
80,,ODP1209,A,4,H,5,142.0,144.0,34.62,38.29,CWUEL,2.8,-0.15,3.44,-0.15,2621.08,,M6,11.28045573,18.28885978,2.868249761,1.034353176,7.633994751,41.18369675,0.991868044,0.135465379,3.009448323,0.323081168,18.76233854,12.31745639
81,S17 3811,ODP1209,A,4,H,5,145.0,147.0,34.65,38.32,CWUEL,2.82,0.11,3.46,0.11,2623.0411,,T13,11.8366,14.0419,2.5977,0.8363,9.7443,44.6609,1.0352,0.1592,7.8509,0.3014,17.5138,7.2159
82,,ODP1209,A,4,H,6,4.0,6.0,34.74,38.41,CWUEL,3.22,-0.25,3.86,-0.25,2628.22,,T3,10.96664444,14.43945934,2.701715068,0.906846021,3.870840394,37.91548035,0.993013362,0.120020209,6.264637358,0.200010662,10.02065755,10.91066336
83,S17 3794,ODP1209,A,4,H,6,5.0,7.0,34.75,38.42,CWUEL,3.02,-0.02,3.66,-0.02,2628.82324,,T14,11.5654,14.6365,2.6812,0.8979,18.423,45.3217,1.0211,0.1509,3.1395,0.2598,18.5882,10.1557
84,,ODP1209,A,4,H,6,8.0,10.0,34.78,38.45,CWUEL,3.21,-0.25,3.85,-0.25,2630.06,,T4/T5,11.04574389,16.58672866,2.730128085,0.93812422,7.306680695,51.39036944,1.012674632,0.124270309,3.045724914,0.287499672,12.42055675,14.28865219
85,,ODP1209,A,4,H,6,12.0,14.0,34.82,38.49,CWUEL,3.01,-0.15,3.65,-0.15,2631.74,,T6,11.62633501,15.47322508,2.694664659,0.930168754,2.433852019,44.87559123,1.036552381,0.122387569,2.892285453,0.2146096,10.02221057,10.01875267
86,S17 3795,ODP1209,A,4,H,6,15.0,17.0,34.85,38.52,CWUEL,3.15,-0.25,3.79,-0.25,2633.04865,,M9,10.36589675,15.22686241,2.807075692,0.888160305,8.96331007,47.07166907,1.043485732,0.128798299,3.275218648,0.280840184,16.18858978,14.09625575
87,,ODP1209,A,4,H,6,18.0,20.0,34.88,38.55,CWUEL,3.19,-0.24,3.83,-0.24,2634.38,,T7,11.6440244,16.07829753,2.755975713,1.016333956,5.657631729,51.31642344,1.021553263,0.130305647,2.909304477,0.256512847,21.36487848,12.70657939
88,S17 3791,ODP1209,B,5,H,1,125.0,127.0,34.85,38.57,CWUEL,3.15,-0.22,3.79,-0.22,2635.27255,,T18,11.6858,13.8223,2.6769,0.9724,11.82535,57.75235,1.01315,0.13835,2.69045,0.29315,14.5356,2.01965
89,,ODP1209,A,4,H,6,22.0,24.0,34.92,38.59,CWUEL,3.05,-0.05,3.69,-0.05,2636.1,,T8,12.08292971,15.03412849,2.682807828,0.921195215,3.607835664,51.33883881,1.026368597,0.143825336,2.967222781,0.373483232,17.5283431,12.34833391
90,S17 3796,ODP1209,A,4,H,6,25.0,27.0,34.95,38.62,CWUEL,3.33,-0.38,3.97,-0.38,2637.27406,,K1,11.23822651,15.48192467,2.786916604,0.984641944,11.07564681,55.29200572,1.014522787,0.127841179,2.947990005,0.311960372,16.69673824,12.58004186
91,S17 3792,ODP1209,B,5,H,1,135.0,137.0,34.95,38.67,CWUEL,3.32,-0.28,3.96,-0.28,2639.27557,,K2,11.4542947,17.62629505,4.320774316,1.029708894,63.7506713,38.65087993,0.99834116,0.132700018,3.407709353,0.343551721,11.12383842,16.42725318
92,S17 3793,ODP1209,B,5,H,1,145.0,147.0,35.05,38.77,CWUEL,3.26,-0.34,3.9,-0.34,2642.83381,,T15,12.0633,14.3423,2.8945,0.9743,18.1727,40.0263,1.0645,0.1346,3.2499,0.4282,7.4285,7.1439
93,S18 0780,ODP1209,B,5,H,2,0.0,2.0,35.1,38.82,CWUEL,3.07,-0.19,3.71,-0.19,2644.83532,,K3,12.49489798,17.65202876,4.699123895,1.179821281,69.30596926,44.41686775,0.996735476,0.120137648,5.571946993,0.495901942,9.239001835,17.45447592
94,,ODP1209,B,5,H,2,2.0,4.0,35.12,38.84,CWUEL,3.57,-1.54,4.21,-1.54,2645.52,,X1,11.40994154,15.89138315,2.701531893,1.072694189,9.617691571,45.83763135,1.029658526,0.111351341,14.26150217,0.428132312,9.463998752,11.94195478
95,S17 3536,ODP1209,B,5,H,2,5.0,7.0,35.15,38.87,CWUEL,3.23,-0.18,3.87,-0.18,2646.61444,,T16,11.1557,12.54735,2.61235,0.9315,8.4484,49.70335,1.02635,0.13075,3.0844,0.45675,10.1393,5.01425
96,,ODP1209,B,5,H,2,8.0,10.0,35.18,38.9,CWUEL,3.1,-0.23,3.74,-0.23,2647.68,,X2,11.65583053,14.85993253,3.384857372,1.078745541,34.6876203,41.54461264,1.009288366,0.118304412,3.671161447,0.345350942,12.81467539,15.2746965
97,,ODP1209,B,5,H,2,12.0,14.0,35.22,38.94,CWUEL,3.03,-0.12,3.67,-0.12,2649.12,,X3,12.01651214,15.75380354,3.324904754,1.043996842,8.609985298,47.4351041,1.013993397,0.122404403,3.288564966,0.337389544,14.66756436,12.34714991
99,,ODP1209,B,5,H,2,18.0,20.0,35.28,39.0,CWUEL,3.07,-0.06,3.71,-0.06,2651.52,,X4,11.03390421,15.84955586,2.662441485,0.996393883,5.794875881,58.11601513,1.010254637,0.119747683,3.126279594,0.408330078,15.68911208,12.68833423
100,,ODP1209,B,5,H,2,22.0,24.0,35.32,39.04,CWUEL,3.33,-0.16,3.97,-0.16,2653.28,,X5/X6,11.61310736,15.25876308,3.407097139,0.994396507,34.44695744,70.91603046,0.99050184,0.115672412,3.348625076,0.325666929,15.94636319,15.80426362
101,S17 3538,ODP1209,B,5,H,2,25.0,27.0,35.35,39.07,CWUEL,3.01,-0.06,3.65,-0.06,2654.62047,,T17,11.5928,12.4371,2.7092,0.9445,10.4908,86.7261,1.0352,0.125,3.1795,0.3318,15.9867,-278.7699
102,,ODP1209,B,5,H,2,28.0,30.0,35.38,39.1,CWUEL,2.99,-0.1,3.63,-0.1,2656.07,,X7,11.24386947,14.17665966,2.845378701,0.913592119,14.9388708,58.84049238,1.025371316,0.105481073,3.140143716,0.264788502,12.39929378,13.42279386
104,S17 3539,ODP1209,B,5,H,2,35.0,37.0,35.45,39.17,CWUEL,3.11,-0.03,3.75,-0.03,2659.51305,,T2,11.827,14.5276,2.6208,0.8948,11.7391,78.109,1.027,0.1277,4.3272,0.3837,19.0793,12.5481
106,,ODP1209,B,5,H,2,48.0,50.0,35.58,39.3,CWUEL,3.26,-0.5,3.9,-0.5,2665.11,,X8,11.4752115,16.57956551,2.701134314,1.029618716,10.50067882,72.73851683,0.996706221,0.113501335,3.654116887,0.300060748,15.219666,15.81460262
107,,ODP1209,B,5,H,2,52.0,54.0,35.62,39.34,CWUEL,3.19,-0.09,3.83,-0.09,2666.99,,X9,11.59072664,13.7868354,2.791041306,1.017116796,8.906812784,67.50454297,1.005778777,0.122450034,3.336014598,0.278381688,13.77224348,14.3140389
108,S17 3541,ODP1209,B,5,H,2,55.0,57.0,35.65,39.37,CWUEL,3.17,0.0,3.81,0.0,2668.40865,,K4,11.50599441,15.60753269,2.882025341,1.043109368,10.39219128,61.15832147,0.99947439,0.116875602,3.101740394,0.302743575,16.70736608,12.95127584
109,,ODP1209,B,5,H,2,58.0,60.0,35.68,39.4,CWUEL,2.94,0.04,3.58,0.04,2670.02,,Z1,11.50392855,15.11183019,3.048126111,1.08577142,12.33307418,80.53946279,0.996647806,0.13880106,3.167402986,0.21794274,12.65423724,12.35321572
110,S18 0781,ODP1209,B,5,H,2,60.0,62.0,35.7,39.42,CWUEL,3.05,-0.05,3.69,-0.05,2671.07733,,T3,12.8386,17.103,2.7522,1.1383,10.9235,72.1398,1.0295,0.129,4.0539,0.1611,11.3517,4.8148
111,,ODP1209,B,5,H,2,62.0,64.0,35.72,39.44,CWUEL,3.07,-0.23,3.71,-0.23,2672.26,,Z2,11.79520133,15.38842195,2.907786377,0.974305074,11.16714124,68.70128738,1.00998708,0.122509436,3.409835925,0.171612563,13.50037747,12.73081647
112,S17 3542,ODP1209,B,5,H,2,65.0,67.0,35.75,39.47,CWUEL,2.95,-0.17,3.59,-0.17,2673.96839,,K5,12.40731747,19.68389128,3.28544398,1.080015739,18.42428253,76.38615568,1.015528598,0.11647417,3.174383816,0.201639065,15.82513728,12.75181313
113,,ODP1209,B,5,H,2,68.0,70.0,35.78,39.5,CWUEL,3.19,-0.28,3.83,-0.28,2675.11,,Z4,11.41345391,15.27138944,3.352111215,1.193570275,13.31204285,75.45545057,1.047792376,0.12352264,3.531931061,0.224672745,15.01793392,12.11831226
114,,ODP1209,B,5,H,2,72.0,74.0,35.82,39.54,CWUEL,3.3,-0.13,3.94,-0.13,2676.59,,Z5,12.02721598,16.50893145,2.872375342,1.078687064,8.451939932,93.30084651,0.997866025,0.141146149,3.446395135,0.292871785,16.41240452,12.49250636
115,S17 3543,ODP1209,B,5,H,2,75.0,77.0,35.85,39.57,CWUEL,3.18,-0.28,3.82,-0.28,2677.74902,,K6,11.29395437,14.77666004,2.81188877,0.933792471,9.534412101,62.93277342,1.025134498,0.112075183,3.23909116,0.231737628,11.88161495,10.75546802
116,,ODP1209,B,5,H,2,78.0,80.0,35.88,39.6,CWUEL,3.36,-0.29,4.0,-0.29,2678.93,,Z6,11.55888225,15.1280663,2.808856707,0.921113091,9.215592789,73.65752596,1.027974325,0.119947309,3.737590466,0.301648425,14.44025806,12.22057214
117,,ODP1209,B,5,H,2,82.0,84.0,35.92,39.64,CWUEL,3.4,-0.19,4.04,-0.19,2680.57,,Z7,11.36542198,16.38483235,2.812934548,0.937158984,12.62311684,50.70346663,1.023779709,0.112789834,3.229354748,0.231240978,9.077204373,8.087856786
118,S17 3544,ODP1209,B,5,H,2,85.0,87.0,35.95,39.67,CWUEL,3.35,-0.21,3.99,-0.21,2681.75204,,T4,12.1633,16.6828,2.7355,0.8529,25.6475,58.2559,1.0354,0.1229,4.1758,0.2941,16.1393,6.4688
119,,ODP1209,B,5,H,2,88.0,90.0,35.98,39.7,CWUEL,3.39,-0.28,4.03,-0.28,2683.0,,Z8/Z9,11.33062281,14.39372116,2.765988373,0.925021316,10.62368958,45.19220017,1.012579932,0.118210183,3.328585298,0.322511626,8.17593189,9.979737213
120,S18 0782,ODP1209,B,5,H,2,90.0,92.0,36.0,39.72,CWUEL,3.4,-0.48,4.04,-0.48,2683.75355,,K7,11.61436412,15.35948988,2.810685615,0.901746969,11.05483087,47.12057152,0.995176746,0.121599941,3.095962752,0.34434653,8.538442314,10.84614058
121,,ODP1209,B,5,H,2,92.0,94.0,36.02,39.74,CWUEL,3.51,-0.45,4.15,-0.45,2684.4,,V1,11.27568978,14.85979063,2.799770153,0.810848049,5.937743849,41.64493864,1.024232677,0.120371053,3.116396868,0.313767591,6.731583488,9.503122412
