mcd,MgCa,AlCa,MnCa,FeCa
34.72,0.909,3.482,38.341,
35.02,0.942,15.139,38.026,
35.12,0.979,30.685,30.549,
35.52,0.761,16.470,30.715,
35.71,0.799,9.626,25.301,
35.92,0.944,6.722,47.459,
36.02,0.878,4.626,23.957,
36.54,0.963,29.732,20.939,
36.565,1.069,5.389,42.709,
36.92,0.951,8.346,55.747,
36.95,0.937,6.254,43.327,10.598
36.99,0.956,6.712,47.026,10.389
37.02,0.981,16.258,27.832,8.554
37.05,0.906,4.312,44.426,9.111
37.09,1.131,5.082,40.701,11.619
37.12,0.892,34.494,33.720,14.436
37.15,0.948,8.235,48.453,10.397
37.19,1.045,4.473,46.689,9.819
37.21,0.977,8.398,37.267,8.847
37.24,1.008,3.918,50.170,9.840
37.29,1.090,3.756,40.141,10.820
37.32,0.866,6.088,27.317,8.217
37.35,0.946,21.285,43.783,12.341
37.39,0.968,5.305,49.037,11.015
37.42,0.935,15.984,29.509,9.828
37.45,1.015,11.126,47.780,10.769
37.49,0.936,6.232,51.381,9.983
37.52,0.860,2.996,37.175,7.007
37.56,1.053,5.320,54.522,11.508
37.59,0.958,7.506,50.819,9.643
37.62,0.789,10.668,36.554,9.118
37.65,0.839,5.055,51.914,10.345
37.69,0.937,8.036,39.175,11.356
37.72,0.839,4.944,30.683,7.027
37.75,1.102,9.921,43.564,9.932
37.79,1.007,3.504,48.767,10.668
37.82,0.953,14.400,33.162,10.880
37.85,0.982,5.269,33.307,10.151
37.89,0.986,11.968,33.938,10.745
37.92,0.998,58.384,33.070,
37.95,0.856,5.654,42.755,10.836
38,1.057,32.376,31.790,12.074
38.02,1.016,5.401,45.568,14.599
38.05,0.910,9.288,32.209,8.975
38.09,1.009,15.847,57.874,11.048
38.12,0.935,23.990,39.879,
38.15,0.905,14.060,47.725,13.168
38.17,1.026,11.183,43.599,12.839
38.22,1.035,8.078,66.368,15.080
38.25,0.895,6.077,51.651,13.380
38.29,1.034,7.634,41.184,12.317
38.32,0.836,9.744,44.661,
38.41,0.907,3.871,37.915,10.911
38.42,0.898,18.423,45.322,
38.45,0.938,7.307,51.390,14.289
38.49,0.930,2.434,44.876,10.019
38.52,0.888,8.963,47.072,14.096
38.55,1.016,5.658,51.316,12.707
38.57,0.972,11.825,57.752,
38.59,0.921,3.608,51.339,12.348
38.62,0.985,11.076,55.292,12.580
38.67,1.030,63.751,38.651,16.427
38.77,0.974,18.173,40.026,
38.82,1.180,69.306,44.417,17.454
38.84,1.073,9.618,45.838,11.942
38.87,0.932,8.448,49.703,
38.9,1.079,34.688,41.545,15.275
38.94,1.044,8.610,47.435,12.347
39,0.996,5.795,58.116,12.688
39.04,0.994,34.447,70.916,15.804
39.07,0.945,10.491,86.726,
39.1,0.914,14.939,58.840,13.423
39.17,0.895,11.739,78.109,
39.3,1.030,10.501,72.739,15.815
39.34,1.017,8.907,67.505,14.314
39.37,1.043,10.392,61.158,12.951
39.4,1.086,12.333,80.539,12.353
39.42,1.138,10.924,72.140,
39.44,0.974,11.167,68.701,12.731
39.47,1.080,18.424,76.386,12.752
39.5,1.194,13.312,75.455,12.118
39.54,1.079,8.452,93.301,12.493
39.57,0.934,9.534,62.933,10.755
39.6,0.921,9.216,73.658,12.221
39.64,0.937,12.623,50.703,8.088
39.67,0.853,25.648,58.256,
39.7,0.925,10.624,45.192,9.980
39.72,0.902,11.055,47.121,10.846
39.74,0.811,5.938,41.645,9.503
39.77,0.974,11.357,53.278,9.532
39.8,0.925,25.689,47.461,13.407
39.84,0.990,5.547,49.565,9.148
39.87,1.196,94.347,174.176,
39.9,0.872,5.128,52.800,8.889
39.94,0.889,10.684,36.994,9.443
39.97,0.993,5.713,74.503,11.806
40,0.938,4.454,59.454,13.240
40.02,0.972,16.899,54.721,
40.04,1.114,8.281,48.550,11.593
40.07,0.907,13.281,35.721,6.955
40.1,1.008,12.614,57.676,12.510
40.14,0.885,11.167,63.366,13.058
40.17,0.850,9.019,54.124,10.812
40.19,0.948,11.871,43.202,9.456
40.23,0.871,23.421,78.174,
40.27,0.865,14.854,31.381,9.365
40.34,0.888,6.360,47.272,8.126
40.37,0.799,19.823,60.463,
40.57,0.769,23.482,32.130,
40.62,0.871,12.741,24.385,9.646
40.67,1.156,33.895,30.761,10.623
40.77,0.859,19.266,46.572,
40.9,0.872,11.515,58.023,
41.17,0.891,60.873,32.333,15.376
41.22,0.898,15.489,26.931,9.756
41.27,0.797,18.012,23.705,4.865
41.37,0.820,13.811,42.582,12.075
41.47,0.859,14.352,66.044,14.778
41.52,0.862,8.253,43.606,13.551
41.57,0.866,5.524,36.360,5.897
41.67,1.048,159.224,52.711,38.434
41.73,0.831,6.178,46.675,13.230
41.77,0.847,5.622,58.123,9.305
41.82,0.772,6.971,50.159,10.539
41.87,0.848,8.959,34.062,10.490
41.97,0.864,6.714,70.986,
42.07,0.822,20.724,60.456,
42.27,0.932,16.776,129.903,
42.57,0.888,7.697,82.389,
42.77,0.809,5.977,104.115,
47.63,0.996,22.878,42.885,
47.81,1.012,19.063,50.113,
47.96,1.107,13.300,53.254,
48.31,0.933,5.634,52.709,
48.51,0.976,240.025,47.202,
