depth,age_ka,d18O,d18O_adj
0.79,12,3.71,4.35
1.01,13.5,4.43,5.07
1.24,15.1,4.35,4.99
1.53,17.1,4.18,4.82
1.83,19.2,4.01,4.65
2.03,20.9,4.16,4.8
2.2,22.3,4.03,4.67
2.38,23.8,3.95,4.59
2.6,26.5,3.89,4.53
2.83,29.6,3.81,4.45
3.02,32.3,3.94,4.58
3.16,34.6,3.81,4.45
3.3,38.2,3.55,4.19
3.44,42.5,3.59,4.23
3.57,47.6,3.91,4.55
3.69,52.5,4.02,4.66
3.81,57.1,3.73,4.37
4.01,64.1,3.32,3.96
4.13,68.6,3.35,3.99
4.22,72.2,3.25,3.89
4.32,75.2,3.13,3.77
4.42,78.3,3.4,4.04
4.52,81,3.65,4.29
4.64,83.9,3.43,4.07
4.76,87.1,3.38,4.02
4.88,90,3.17,3.81
5,92.6,2.98,3.62
5.19,96.6,3.33,3.97
5.37,103.7,3.36,4
5.49,108.4,3.05,3.69
5.6,113.6,2.98,3.62
5.69,119.3,2.55,3.19
5.78,126.5,2.41,3.05
5.86,130.5,3.2,3.84
6.01,135.1,4,4.64
6.32,142.5,4.25,4.89
6.49,146.2,4.29,4.93
6.56,147.7,4.33,4.97
6.62,149,4.19,4.83
6.67,150.5,4.1,4.74
6.75,152.7,3.94,4.58
6.85,155.3,3.95,4.59
6.95,158.3,3.96,4.6
7.04,161.4,3.74,4.38
7.14,164.5,3.71,4.35
7.23,167.4,3.66,4.3
7.31,169.8,3.72,4.36
7.38,172.2,3.86,4.5
7.46,174.5,3.78,4.42
7.54,176.7,3.88,4.52
7.61,179,3.97,4.61
7.77,183.8,3.69,4.33
8.01,190.7,3.42,4.06
8.24,198.4,3.09,3.73
8.3,201,2.84,3.48
8.35,203.3,3.05,3.69
8.4,205.3,3.16,3.8
8.45,207.2,2.99,3.63
8.5,209,2.91,3.55
8.55,210.8,2.92,3.56
8.61,213.4,2.97,3.61
8.7,217.2,2.89,3.53
8.75,220,2.92,3.56
8.8,222.8,4.03,4.67
8.85,225.7,3.69,4.33
8.9,228.7,3.35,3.99
8.95,231.6,3.64,4.28
9,234.5,3,3.64
9.05,237.5,2.81,3.45
9.1,240.4,2.76,3.4
9.15,243,3.27,3.91
9.32,248.9,3.76,4.4
9.48,252.4,4.06,4.7
9.62,255.2,4.06,4.7
9.78,258.5,4,4.64
9.92,261.2,3.8,4.44
10.08,264.1,3.74,4.38
10.22,266.3,3.83,4.47
10.38,268.6,3.48,4.12
10.53,270.6,3.75,4.39
10.59,271.4,2.91,3.55
10.76,273.8,3.5,4.14
10.89,275.6,3.79,4.43
11.04,277.7,3.65,4.29
11.19,280.4,3.39,4.03
11.34,282.7,3.22,3.86
11.49,286.2,3.21,3.85
11.64,290,3.35,3.99
11.79,293.6,3.58,4.22
12.01,298.4,3.61,4.25
12.09,300.3,3.55,4.19
12.26,305.2,3.26,3.9
12.39,309.3,3.24,3.88
12.54,314,2.93,3.57
12.69,318.8,2.87,3.51
12.84,322.8,2.45,3.09
12.99,326.7,2.29,2.93
13.14,330.4,2.6,3.24
13.29,333.6,2.89,3.53
13.51,338.1,3.17,3.81
13.59,340.2,4.13,4.77
13.76,344.9,3.88,4.52
13.89,348.1,3.76,4.4
14.04,350.9,4.07,4.71
14.19,353.4,3.73,4.37
14.34,355.9,3.48,4.12
14.49,358.5,3.8,4.44
14.71,362.2,3.75,4.39
14.79,363.6,3.75,4.39
14.87,364.9,3.63,4.27
15.01,367.5,3.7,4.34
15.09,369.1,3.58,4.22
15.26,373.1,3.61,4.25
15.39,376.3,3.56,4.2
15.54,380.7,3.32,3.96
15.69,385.1,3.24,3.88
15.84,389,3.14,3.78
15.99,392.2,3.1,3.74
16.14,395.4,2.92,3.56
16.21,396.9,2.77,3.41
16.29,398.6,2.65,3.29
16.51,403.2,2.4,3.04
16.59,404.9,2.17,2.81
16.76,409.3,2.54,3.18
16.89,412.7,2.69,3.33
17.04,416.6,3.03,3.67
17.19,419.8,3,3.64
17.34,422.9,2.99,3.63
17.41,424.3,3.17,3.81
17.49,425.8,4.13,4.77
17.64,428.6,4.1,4.74
17.71,430,4.18,4.82
17.79,431.5,4.32,4.96
18.09,437.1,4.06,4.7
18.26,439.9,3.81,4.45
18.39,442.3,4.12,4.76
18.54,445.6,4.04,4.68
18.69,450.4,4.05,4.69
18.84,455.7,3.99,4.63
19.14,465.7,3.63,4.27
19.22,467.6,3.27,3.91
19.35,470.2,3.39,4.03
19.5,473.2,3.73,4.37
