age_ka,temp,temp_min1,temp_plus1,temp_min2,temp_plus2,d18O_sw,d18O_min1,d18O_plus1,d18O_min2,d18O_plus2
152.69851,NaN,-3.71841,2.91529,-5.40071,4.24646,NaN,-0.37375,1.37373,-0.78597,1.71267
153.49863,-0.65295,-1.96198,0.75379,-3.35179,2.14254,0.47338,0.11707,0.82931,-0.24067,1.20222
154.79853,NaN,-3.84595,2.76164,-5.06566,4.0189,NaN,-0.37329,1.32354,-0.71926,1.67633
155.29826,0.30145,-1.30328,1.90114,-2.75027,3.37052,0.71236,0.30649,1.12012,-0.09008,1.51326
157.19816,0.81901,-0.45835,2.19055,-1.70167,3.49394,0.85113,0.51946,1.22543,0.15867,1.54986
158.29836,0.06461,-1.3777,1.42972,-2.80433,3.00863,0.51309,0.09786,0.93647,-0.28106,1.39114
161.3981,NaN,-3.53645,2.91804,-4.7103,3.81558,NaN,-0.45822,1.16924,-0.74147,1.49367
161.99806,-0.34312,-1.6548,0.89843,-3.15614,2.03929,0.30748,-0.04569,0.65327,-0.43279,0.94824
164.49791,-0.41288,-1.63687,0.7649,-3.13306,2.15005,0.27716,-0.05511,0.61777,-0.44352,0.95678
167.39754,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
169.79739,NaN,-3.65405,2.36607,-5.79082,3.78685,NaN,-0.5016,1.1707,-1.02786,1.56502
171.49753,-0.47425,-1.77011,0.83865,-3.35648,2.11396,0.38727,0.02452,0.73297,-0.38899,1.0745
172.19742,-0.70901,-1.97049,0.74441,-3.37675,2.09593,0.38661,0.02982,0.73366,-0.33409,1.12019
173.59699,-0.80643,-2.06275,0.64026,-3.44429,1.99173,0.29964,-0.05664,0.65316,-0.39338,1.05588
174.49695,-0.84994,-2.27681,0.54558,-3.55547,2.0015,0.24544,-0.10766,0.61445,-0.44373,0.98419
176.69713,NaN,-3.28924,3.14453,-5.12675,3.85959,NaN,-0.25495,1.4299,-0.56069,1.63288
178.99718,NaN,-3.28924,3.14453,-5.12675,3.85959,NaN,-0.25495,1.4299,-0.56069,1.63288
179.49709,0.4473,-0.88775,1.84033,-2.37694,3.16016,0.58548,0.23934,0.93648,-0.11791,1.28772
183.09745,NaN,-2.53519,3.8609,-3.69596,5.17546,NaN,-0.25235,1.41124,-0.56797,1.65933
183.79718,1.48565,-0.04176,2.95443,-1.41594,4.35748,0.74331,0.34456,1.12788,0.00707,1.5274
187.59701,1.92248,0.54392,3.32976,-0.74649,4.56878,0.63941,0.26155,1.02797,-0.0714,1.38894
190.69685,1.99841,0.64279,3.39333,-0.66073,4.55984,0.60376,0.2363,0.97519,-0.06073,1.29819
191.49662,1.86941,0.46995,3.20274,-0.71906,4.49218,0.62046,0.26184,1.00407,-0.0468,1.29148
194.19619,NaN,-2.58548,4.20347,-3.86979,6.32932,NaN,-0.9704,0.67096,-1.26392,0.96081
197.19631,NaN,-2.7054,3.75391,-3.86979,5.3066,NaN,-0.9704,0.67096,-1.26392,0.96081
198.39606,1.81391,0.29324,3.19305,-1.37353,4.56176,0.11504,-0.26822,0.49549,-0.65545,0.89684
200.29603,2.09244,0.79545,3.405,-0.50318,4.68338,0.12568,-0.21692,0.48839,-0.56632,0.88763
200.996,2.19177,0.6986,3.48001,-0.40856,4.74007,0.07748,-0.31289,0.406,-0.61731,0.7316
203.29656,NaN,-2.01944,4.2764,-4.81235,5.29072,NaN,-0.69467,0.98706,-1.29272,1.38224
205.29614,NaN,-2.01944,4.2764,-4.81235,5.29072,NaN,-0.69467,0.98706,-1.29272,1.38224
205.79617,0.93845,-0.42067,2.37172,-1.61882,3.8215,-0.03582,-0.41486,0.35876,-0.73072,0.73794
207.19617,0.82599,-0.34692,2.35345,-1.60799,3.68923,-0.11928,-0.45461,0.27862,-0.74308,0.64936
208.99624,NaN,-2.58042,3.93821,-3.8011,4.48183,NaN,-1.06358,0.66079,-1.29994,0.91159
210.79602,NaN,-2.58042,3.93821,-3.8011,4.48183,NaN,-1.06358,0.66079,-1.29994,0.91159
211.29603,0.59172,-0.6556,1.98237,-1.96994,3.32697,-0.21724,-0.55554,0.14384,-0.86897,0.53125
213.39561,0.65038,-0.55086,1.91663,-1.60245,3.23781,-0.19044,-0.50024,0.17296,-0.81115,0.5051
217.19528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
219.99568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
222.79562,NaN,-1.42697,4.7181,-2.08696,6.1166,NaN,-0.02337,1.58526,-0.20432,2.1103
225.69555,NaN,-1.42697,4.7181,-2.08696,6.1166,NaN,-0.02337,1.58526,-0.20432,2.1103
226.29558,1.81638,0.5689,3.13608,-0.81525,4.31062,0.60885,0.22142,0.9795,-0.14246,1.32102
228.69557,1.78123,0.66217,3.2872,-0.86221,4.52882,0.49422,0.16675,0.85913,-0.28584,1.18646
231.59541,NaN,-0.97915,5.26737,-2.09121,6.49261,NaN,-0.59206,0.9993,-0.857,1.5439
234.49522,NaN,-0.97915,5.26737,-2.09121,6.49261,NaN,-0.59206,0.9993,-0.857,1.5439
235.09522,1.95853,0.55387,3.25218,-0.76872,4.58329,0.04395,-0.3352,0.41501,-0.70484,0.76635
237.49495,1.97129,0.58495,3.23907,-0.82059,4.45582,-0.00987,-0.38397,0.31607,-0.78865,0.70332
240.39558,NaN,-1.98609,4.51656,-2.90933,5.36885,NaN,-0.57451,1.05244,-0.79699,1.4003
242.99574,NaN,-1.98704,4.51793,-2.90933,5.36885,NaN,-0.57482,1.05258,-0.79699,1.4003
243.29574,2.35795,0.8646,3.70631,-0.60549,5.08633,0.97689,0.26563,1.41069,-0.18791,1.81469
248.49542,NaN,-0.68406,5.88693,-2.0822,7.12033,NaN,0.4025,2.03934,0.08153,2.39843
248.89539,3.09454,1.85592,4.28174,0.38044,5.60684,1.21628,0.88599,1.54164,0.51199,1.89445
252.3952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
255.19516,NaN,-1.07834,5.16474,-2.67961,6.85997,NaN,0.30641,1.93843,0.04543,2.16562
258.29511,NaN,-1.12359,5.04498,-2.41541,6.5534,NaN,0.30467,1.93775,0.04543,2.16562
258.49507,1.98723,0.64356,3.23837,-0.49923,4.71992,1.17196,0.8188,1.52155,0.44931,1.88215
261.19505,NaN,-4.63358,1.63869,-5.65223,3.50179,NaN,-0.77817,0.93016,-0.97073,1.52572
263.89473,-1.50754,-2.95986,-0.15553,-4.14374,1.17923,0.07318,-0.30475,0.43401,-0.66899,0.78609
264.09476,-1.55709,-3.06072,-0.15175,-4.28427,0.97548,0.04212,-0.36307,0.38858,-0.7132,0.74845
266.29511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
268.59539,NaN,-3.0916,3.30423,-4.71512,4.55925,NaN,-0.54201,1.23094,-0.96683,1.60547
270.19552,0.18026,-1.13299,1.54596,-2.57407,2.77428,0.38904,0.00603,0.77966,-0.3735,1.15813
270.59555,0.13309,-1.13736,1.54797,-2.35284,2.78043,0.49686,0.10632,0.84336,-0.19731,1.15938
271.39558,NaN,-2.01141,3.92795,-3.37526,4.84102,NaN,-0.95758,0.67091,-1.22776,0.87675
272.69562,0.82815,-0.45402,2.19541,-1.78962,3.46719,0.21532,-0.2347,0.6401,-0.67324,1.04349
273.79562,-0.12766,-1.64153,1.41647,-3.09344,3.01939,0.14275,-0.24167,0.52678,-0.62402,0.98346
274.49567,-0.61448,-1.88593,0.73529,-3.3222,1.99998,0.23489,-0.14717,0.60443,-0.5795,0.9514
275.59571,0.7279,-0.7757,2.1556,-2.08376,3.41251,0.58672,0.21384,0.97699,-0.11587,1.30696
277.29576,0.97259,-0.31189,2.36802,-1.5785,3.52624,0.62376,0.27292,1.01602,-0.05185,1.32429
277.6958,1.46456,0.11147,2.92863,-1.19531,4.19501,0.69988,0.35326,1.07753,-0.00277,1.42463
279.29593,1.70484,0.36222,3.12067,-0.76775,4.5284,0.58389,0.21709,0.97623,-0.11423,1.33627
280.39607,2.49634,1.01355,3.86377,-0.27934,5.10029,0.6697,0.27221,1.03498,-0.07689,1.36751
281.89619,2.75593,1.44949,4.07784,0.19115,5.28655,0.67327,0.28708,1.003,-0.08207,1.34875
282.69609,2.57568,1.23547,3.90525,-0.22252,5.23941,0.55384,0.18864,0.91557,-0.19865,1.24893
284.99607,2.4531,1.17331,3.85511,-0.27796,5.15246,0.51838,0.15918,0.88777,-0.20392,1.22589
286.19606,2.46192,1.15937,3.78968,-0.63504,5.02032,0.50628,0.16528,0.87372,-0.28543,1.18507
289.9963,NaN,-4.15981,2.22465,-4.82124,2.935,NaN,-1.05529,0.64865,-1.32736,0.87629
292.09623,-0.84662,-2.2299,0.52394,-3.72996,1.73372,-0.02548,-0.40016,0.35085,-0.79576,0.71756
293.59608,-1.385,-2.72963,-0.00298,-4.11338,1.31025,-0.07576,-0.43767,0.27981,-0.80019,0.63265
298.39601,NaN,-4.7137,1.71935,-5.8929,2.70258,NaN,-0.90882,0.71509,-1.22833,0.99943
298.89601,-1.46837,-2.7851,-0.18555,-4.1803,1.04126,-0.10544,-0.4613,0.22222,-0.81309,0.57782
300.29607,-0.85183,-2.23362,0.55149,-3.67279,1.90733,0.02411,-0.3202,0.37388,-0.70394,0.70779
