age_ka,cmcd,MgCa,BWT,d18O_sw,RSL,RSL_smooth
153.5,6.8,1.1,-0.4,0.58,-48.2,-48.3
154.8,6.8,1.04,-0.8,0.43,-33.2,-51.7
157.2,6.9,1.29,0.8,0.84,-73.7,-43.4
162,7.1,1.11,-0.3,0.33,-23.2,-38.5
171.5,7.4,1.08,-0.5,0.29,-18.6,-21.1
173.6,7.4,1.05,-0.8,0.32,-21.6,-29.9
179.5,7.6,1.16,0,0.59,-49.5,-39.9
183.1,7.8,1.27,0.7,0.59,-48.6,-52.7
187.6,7.9,1.44,1.9,0.7,-60.1,-53.4
191.5,8,1.48,2.1,0.62,-51.5,-43.9
194.2,8.1,1.37,1.4,0.3,-20.2,-17
197.2,8.2,1.2,0.3,-0.11,20.8,-2
200.3,8.3,1.48,2.2,0.17,-6.6,8.5
205.8,8.4,1.31,1,-0.01,11.3,12.9
211.3,8.6,1.25,0.6,-0.24,34.1,-3.8
226.3,8.9,1.44,1.8,0.67,-56.7,-13.6
235.1,9,1.46,2,0.28,-18.3,-27.1
243.3,9.2,1.37,1.4,0.16,-6.2,-44.1
248.5,9.3,1.6,2.9,1.18,-107.7,-93
255.2,9.6,1.6,2.9,1.75,-165,-128.6
258.3,9.8,1.45,1.9,1.23,-113,-101
263.9,10.1,0.94,-1.5,0.35,-25.1,-67.6
270.2,10.5,1.19,0.2,0.75,-64.9,-52.6
272.7,10.7,1.29,0.9,0.78,-67.8,-50.6
274.5,10.8,1.07,-0.6,0.29,-19,-38.3
277.3,11,1.31,1,0.38,-28.2,-27
279.3,11.1,1.42,1.7,0.44,-33.7,-36.9
281.9,11.3,1.57,2.7,0.59,-49,-51.5
285,11.4,1.53,2.5,0.82,-71.9,-47.8
292.1,11.7,1.03,-0.9,0.32,-22.5,-26.1
298.9,12,0.93,-1.5,-0.06,16.1,5.3
301.5,12.1,1.08,-0.5,-0.12,22.2,27.1
312.8,12.5,1.08,-0.5,-0.33,42.9,32.9
317.5,12.6,1.29,0.9,-0.24,33.5,27
325.4,12.9,1.59,2.9,0.05,4.6,20.7
329,13.1,1.3,0.9,-0.14,23.9,-14.4
331.7,13.2,1.47,2.1,0.82,-71.8,-45.9
342.9,13.7,1.14,-0.1,1,-89.9,-77.9
346.6,13.8,1.05,-0.7,0.82,-72.1,-78.9
350,14,1.22,0.4,0.85,-74.6,-78.2
352.9,14.2,1.29,0.9,0.98,-87.8,-91.6
357.6,14.4,1.44,1.8,1.22,-112.4,-73.1
360.4,14.6,0.92,-1.6,0.29,-18.9,-58.4
362.4,14.7,1.11,-0.3,0.54,-43.9,-28.5
364.1,14.8,1.03,-0.8,0.33,-22.7,-44
368.5,15.1,1.33,1.1,0.75,-65.5,-40.5
371.7,15.2,1.19,0.2,0.43,-33.4,-26.6
374.8,15.3,1.05,-0.8,-0.09,19,-6.5
378.7,15.5,1.29,0.9,0.15,-5.1,3.4
383.1,15.6,1.22,0.4,0.14,-3.6,-9.5
386.4,15.7,1.38,1.5,0.3,-19.8,10
391.6,16,1.11,-0.3,-0.43,53.3,22.5
394.2,16.1,1.33,1.1,-0.24,34,48.3
397.1,16.2,1.25,0.6,-0.47,57.4,45.4
399.7,16.3,1.32,1.1,-0.35,44.9,49.4
402.2,16.5,1.38,1.4,-0.36,45.8,42.1
406,16.6,1.4,1.6,-0.26,35.7,25.5
411.1,16.8,1.53,2.5,0.15,-4.9,-6.3
417,17.1,1.65,3.2,0.6,-49.8,-33.3
420.4,17.2,1.68,3.5,0.55,-45.3,-45.8
422.5,17.3,1.58,2.8,0.52,-42.5,-57.9
427.9,17.6,1.27,0.7,0.96,-85.8,-76
430.5,17.7,1.27,0.7,1.1,-99.8,-87
433.4,17.9,1.13,-0.2,0.85,-75.5,-82.6
436.6,18.1,1.19,0.2,0.83,-72.5,-75.1
439.1,18.2,1.34,1.2,0.87,-77.4,-73
441.8,18.4,1.2,0.3,0.79,-69.2,-76.3
444.9,18.5,1.27,0.7,0.92,-82.2,-68
448.7,18.6,1.1,-0.4,0.63,-52.7,-62.1
453.9,18.8,1.11,-0.3,0.61,-51.3,-53.1
458.7,18.9,1.2,0.3,0.65,-55.3,-50.3
461.7,19,1.22,0.4,0.54,-44.4,-46.5
465.7,19.1,1.25,0.6,0.5,-39.7,-25.4
466.2,19.2,1.14,-0.1,0.02,7.9,-7.8
472.4,19.5,1.03,-0.9,0.02,8.5,-7.1
475.5,19.6,1.23,0.5,0.48,-37.7,-12.9
480.8,19.8,1.23,0.5,0.19,-9.5,-10.2
488,19.9,1.21,0.3,-0.07,16.6,13.1
497,20.1,1.24,0.6,-0.22,32.2,18.9
507,20.2,1.28,0.8,0.02,7.9,6.6
527.4,20.5,1.39,1.6,0.3,-20.4,-20.2
536.1,20.7,1.23,0.4,0.58,-48.1,-45.5
548.7,21,1.31,1,0.78,-68,-50
561.3,21.3,1.25,0.6,0.44,-34.1,-32.4
570.5,21.4,1.24,0.5,0.05,4.9,-7.2
578.4,21.6,1.31,1,0.02,7.6,-3.8
584.3,21.7,1.45,2,0.34,-23.9,-18.2
588.7,21.8,1.49,2.2,0.48,-38.2,-39.6
589.6,21.9,1.55,2.6,0.67,-56.7,-49.8
598.2,22.1,1.57,2.7,0.65,-54.6,-42.1
598.8,22.2,1.47,2.1,0.25,-15,-15.7
601.9,22.3,1.26,0.6,-0.12,22.5,-5.9
602.2,22.3,1.53,2.5,0.35,-25.3,-14.9
603.5,22.4,1.64,3.2,0.52,-41.9,-19.5
604.2,22.4,1.36,1.3,0.01,8.8,-10.6
606.2,22.6,1.36,1.3,0.09,1.3,1
607.6,22.7,1.46,2,0.17,-7.1,-16.3
610.1,23,1.77,4.1,0.53,-43.2,-12.9
611.5,23.2,1.55,2.6,-0.02,11.7,-2
612.7,23.4,1.43,1.8,-0.16,25.5,11.1
614,23.5,1.52,2.4,0.14,-3.8,2.2
615.1,23.6,1.52,2.4,0.25,-15.1,7.9
616.4,23.8,1.3,0.9,-0.33,42.5,-10.4
618.9,24.1,1.84,4.5,0.69,-58.7,-28.6
620.1,24.2,1.63,3.1,0.8,-69.7,-84.3
625.4,24.7,1.66,3.3,1.35,-124.6,-103.6
627.1,24.8,1.32,1.1,1.26,-116.5,-115.1
631.3,25.1,1.22,0.4,1.14,-104.1,-110.6
633.5,25.3,1.3,0.9,1.21,-111.3,-92
637.9,25.6,1.12,-0.3,0.71,-60.5,-76.4
643.6,25.9,1.15,-0.1,0.67,-57.2,-55.9
646.4,26.1,1.11,-0.3,0.6,-50,-59.4
649,26.2,1.25,0.6,0.81,-71,-58.9
657.7,26.6,1.18,0.1,0.66,-55.9,-55.5
661.3,26.8,1.09,-0.5,0.5,-39.6,-46.1
670.3,27.1,1.16,0,0.53,-42.7,-34.9
674.5,27.2,1.18,0.1,0.32,-22.3,-22.9
682.2,27.5,1.27,0.7,0.14,-3.8,-6
685.3,27.7,1.27,0.7,0.02,8.1,2.7
688.3,27.8,1.33,1.1,0.06,3.7,-1.8
691.4,28,1.53,2.5,0.27,-17.3,-8.3
