label,mbsf,mcd,rmcd,age_ka,d18O,d13C,Reference
"138-849B-1H-1,17",0.17,0.17,0.0887865,3.31866,3.49,0.08,"Mix et al., 1995"
"138-849B-1H-1,28",0.28,0.28,0.146237,5.46603,3.31,0.19,"Mix et al., 1995"
"138-849B-1H-1,44",0.44,0.44,0.2298,8.58947,4.17,-0.15,"Mix et al., 1995"
"138-849B-1H-1,54",0.54,0.54,0.282028,12.2768,4.69,-0.27,"Mix et al., 1995"
"138-849B-1H-1,69",0.69,0.69,0.366643,17.8077,4.92,-0.26,"Mix et al., 1995"
"138-849B-1H-1,89",0.89,0.89,0.503274,25.1823,4.675,-0.08,"Mix et al., 1995"
"138-849B-1H-1,109",1.09,1.09,0.639904,32.5569,4.59,0.02,"Mix et al., 1995"
"138-849B-1H-1,118",1.18,1.18,0.701388,35.8754,4.55,0.05,"Mix et al., 1995"
"138-849B-1H-1,128",1.28,1.28,0.769704,39.5627,4.72,0.02,"Mix et al., 1995"
"138-849B-1H-1,138",1.38,1.38,0.838019,43.25,4.36,0.1,"Mix et al., 1995"
"138-849B-1H-1,148",1.48,1.48,0.906334,45.6349,4.46,0.05,"Mix et al., 1995"
"138-849B-1H-2,11",1.61,1.61,0.995144,48.7353,4.63,-0.02,"Mix et al., 1995"
"138-849B-1H-2,38",1.88,1.88,1.1796,55.1746,4.47,0.07,"Mix et al., 1995"
"138-849B-1H-2,48",1.98,1.98,1.24791,57.5596,4.45,-0.04,"Mix et al., 1995"
"138-849B-1H-2,68",2.18,2.18,1.36171,62.3294,4.54,-0.21,"Mix et al., 1995"
"138-849B-1H-2,78",2.28,2.28,1.39501,64.7144,4.57,-0.11,"Mix et al., 1995"
"138-849B-1H-2,92",2.42,2.42,1.44162,68.0533,4.27,0.3,"Mix et al., 1995"
"138-849B-1H-2,101",2.51,2.51,1.47159,70.1997,4.14,0.13,"Mix et al., 1995"
"138-849B-1H-2,111",2.61,2.61,1.50489,73.9596,4.1,0.25,"Mix et al., 1995"
"138-849B-1H-2,123",2.73,2.73,1.54485,79.06,3.95,0.12,"Mix et al., 1995"
"138-849C-1H-1,107",2.07,2.73629,1.54694,79.3273,4,0.21,"Mix et al., 1995"
"138-849C-1H-1,117",2.17,2.83629,1.58024,83.1888,3.7,0.11,"Mix et al., 1995"
"138-849C-1H-2,7",2.43,3.09629,1.66681,94.6285,4,0.17,"Mix et al., 1995"
"138-849C-1H-2,17",2.53,3.19629,1.70011,98.8789,3.95,0.09,"Mix et al., 1995"
"138-849C-1H-2,27",2.63,3.29629,1.73341,103.129,3.82,-0.11,"Mix et al., 1995"
"138-849C-1H-2,37",2.73,3.39629,1.76671,107.38,3.745,0.06,"Mix et al., 1995"
"138-849C-1H-2,47",2.83,3.49629,1.80001,111.63,3.78,0.05,"Mix et al., 1995"
"138-849C-1H-2,57",2.93,3.59629,1.83174,115.88,3.3,0.23,"Mix et al., 1995"
"138-849C-1H-2,67",3.03,3.69629,1.8622,120.131,3.23,0.12,"Mix et al., 1995"
"138-849C-1H-2,77",3.13,3.79629,1.89266,124.381,3.15,-0.02,"Mix et al., 1995"
"138-849C-1H-2,87",3.23,3.89629,1.92312,128.631,3.27,-0.02,"Mix et al., 1995"
"138-849C-1H-2,97",3.33,3.99629,1.95358,132.882,4.13,-0.23,"Mix et al., 1995"
"138-849C-1H-2,107",3.43,4.09629,1.98404,135.444,4.34,-0.29,"Mix et al., 1995"
"138-849C-1H-2,117",3.53,4.19629,2.01449,137.899,4.85,-0.3,"Mix et al., 1995"
"138-849C-1H-2,127",3.63,4.29629,2.04495,140.408,4.75,-0.39,"Mix et al., 1995"
"138-849C-1H-2,137",3.73,4.39629,2.0756,142.917,4.98,-0.38,"Mix et al., 1995"
"138-849C-1H-2,147",3.83,4.49629,2.11975,145.425,4.7,-0.45,"Mix et al., 1995"
"138-849C-1H-3,7",3.93,4.59629,2.1639,147.934,4.74,-0.33,"Mix et al., 1995"
"138-849C-1H-3,17",4.03,4.69629,2.20805,150.513,4.64,-0.25,"Mix et al., 1995"
"138-849C-1H-3,27",4.13,4.79629,2.2522,153.018,4.56,-0.2,"Mix et al., 1995"
"138-849C-1H-3,37",4.23,4.89629,2.29636,155.46,4.38,-0.46,"Mix et al., 1995"
"138-849C-1H-3,47",4.33,4.99629,2.34051,157.969,4.72,-0.39,"Mix et al., 1995"
"138-849C-1H-3,57",4.43,5.09629,2.38466,160.492,4.47,-0.22,"Mix et al., 1995"
"138-849C-1H-3,67",4.53,5.19629,2.42881,162.987,4.81,-0.45,"Mix et al., 1995"
"138-849C-1H-3,77",4.63,5.29629,2.47297,165.495,4.52,-0.49,"Mix et al., 1995"
"138-849C-1H-3,87",4.73,5.39629,2.51712,170.513,4.15,-0.16,"Mix et al., 1995"
"138-849C-1H-3,97",4.83,5.49629,2.55535,170.513,4.4,-0.24,"Mix et al., 1995"
"138-849C-1H-3,107",4.93,5.59629,2.5923,173.022,3.98,-0.22,"Mix et al., 1995"
"138-849C-1H-3,117",5.03,5.69629,2.62925,175.53,4.38,-0.35,"Mix et al., 1995"
"138-849C-1H-3,127",5.13,5.79629,2.6662,178.039,4.39,-0.34,"Mix et al., 1995"
"138-849C-1H-3,137",5.23,5.89629,2.70315,180.548,4.16,-0.41,"Mix et al., 1995"
"138-849C-1H-3,147",5.33,5.99629,2.7401,183.057,4.46,-0.42,"Mix et al., 1995"
"138-849C-1H-4,7",5.43,6.09629,2.77705,185.522,4.27,-0.32,"Mix et al., 1995"
"138-849C-1H-4,17",5.53,6.19629,2.81548,188.074,4.49,-0.45,"Mix et al., 1995"
"138-849C-1H-4,27",5.63,6.29629,2.85634,190.583,4.1,-0.16,"Mix et al., 1995"
"138-849C-1H-4,37",5.73,6.39629,2.89719,193.784,3.97,0.05,"Mix et al., 1995"
"138-849C-1H-4,47",5.83,6.49629,2.93805,196.985,3.91,-0.01,"Mix et al., 1995"
"138-849C-1H-4,57",5.93,6.59629,2.9789,200.186,3.66,-0.16,"Mix et al., 1995"
"138-849C-1H-4,67",6.03,6.69629,3.01976,203.387,3.61,-0.02,"Mix et al., 1995"
"138-849C-1H-4,77",6.13,6.79629,3.06061,206.589,3.56,0.15,"Mix et al., 1995"
"138-849C-1H-4,87",6.23,6.89629,3.0997,206.589,3.89,0.11,"Mix et al., 1995"
"138-849C-1H-4,97",6.33,6.99629,3.13783,209.79,3.61,-0.04,"Mix et al., 1995"
"138-849C-1H-4,107",6.43,7.09629,3.17596,212.991,3.64,-0.03,"Mix et al., 1995"
"138-849C-1H-4,117",6.53,7.19629,3.21409,216.192,3.97,-0.23,"Mix et al., 1995"
"138-849C-1H-4,127",6.63,7.29629,3.25222,219.393,4,-0.23,"Mix et al., 1995"
"138-849C-1H-4,137",6.73,7.39629,3.29034,225.796,4.25,-0.38,"Mix et al., 1995"
"138-849C-1H-4,147",6.83,7.49629,3.32847,227.835,4.39,-0.36,"Mix et al., 1995"
"138-849D-1H-1,31",4.31,7.53,3.34133,230.076,4.31,-0.44,"Mix et al., 1995"
"138-849D-1H-1,41",4.41,7.63,3.37945,233.277,3.97,-0.19,"Mix et al., 1995"
"138-849D-1H-1,51",4.51,7.73,3.41758,236.478,4.03,-0.11,"Mix et al., 1995"
"138-849D-1H-1,61",4.61,7.83,3.45571,239.679,3.51,0.15,"Mix et al., 1995"
"138-849D-1H-1,71",4.71,7.93,3.49384,242.88,3.76,-0.16,"Mix et al., 1995"
"138-849D-1H-1,81",4.81,8.03,3.53197,246.082,4.06,-0.26,"Mix et al., 1995"
"138-849D-1H-1,91",4.91,8.13,3.5701,249.697,4.51,-0.5,"Mix et al., 1995"
"138-849D-1H-1,101",5.01,8.23,3.60822,253.517,4.18,-0.28,"Mix et al., 1995"
"138-849D-1H-1,111",5.11,8.33,3.64635,256.927,4.35,-0.27,"Mix et al., 1995"
"138-849D-1H-1,121",5.21,8.43,3.68448,260.542,4.43,-0.47,"Mix et al., 1995"
"138-849D-1H-1,131",5.31,8.53,3.72261,264.158,4.42,-0.72,"Mix et al., 1995"
"138-849D-1H-1,141",5.41,8.63,3.76074,267.93,4.25,-0.31,"Mix et al., 1995"
"138-849D-1H-2,4",5.54,8.76,3.80112,272.564,4.41,-0.35,"Mix et al., 1995"
"138-849D-1H-2,11",5.61,8.83,3.82086,275.003,4.49,-0.58,"Mix et al., 1995"
"138-849D-1H-2,21",5.71,8.93,3.84907,278.618,4.33,-0.4,"Mix et al., 1995"
"138-849D-1H-2,31",5.81,9.03,3.87727,281.957,4.09,-0.27,"Mix et al., 1995"
"138-849D-1H-2,41",5.91,9.13,3.90548,285.296,4,-0.09,"Mix et al., 1995"
"138-849D-1H-2,51",6.01,9.23,3.93369,288.636,4.13,-0.32,"Mix et al., 1995"
"138-849D-1H-2,61",6.11,9.33,3.96189,291.975,4.06,-0.29,"Mix et al., 1995"
"138-849D-1H-2,71",6.21,9.43,3.9901,295.314,4.13,-0.19,"Mix et al., 1995"
"138-849D-1H-2,81",6.31,9.53,4.01831,298.653,3.72,-0.29,"Mix et al., 1995"
"138-849D-1H-2,91",6.41,9.63,4.04651,301.992,3.75,-0.23,"Mix et al., 1995"
"138-849D-1H-2,101",6.51,9.73,4.07472,305.331,3.53,0.05,"Mix et al., 1995"
"138-849D-1H-2,111",6.61,9.83,4.10293,308.67,3.855,-0.13,"Mix et al., 1995"
"138-849D-1H-2,121",6.71,9.93,4.13113,312.152,3.64,0,"Mix et al., 1995"
"138-849D-1H-3,1",6.8,10.02,4.15844,315.17,3.55,-0.01,"Mix et al., 1995"
"138-849D-1H-3,11",6.9,10.12,4.19495,318.353,3.44,0.06,"Mix et al., 1995"
"138-849D-1H-3,21",7,10.22,4.23146,321.842,3.25,0.14,"Mix et al., 1995"
"138-849D-1H-3,31",7.1,10.32,4.26797,325.032,3.25,-0.17,"Mix et al., 1995"
"138-849D-1H-3,41",7.2,10.42,4.30448,328.371,3.38,0.09,"Mix et al., 1995"
"138-849D-1H-3,61",7.4,10.62,4.3775,335.157,3.69,-0.15,"Mix et al., 1995"
"138-849D-1H-3,71",7.5,10.72,4.41401,338.388,4.06,-0.2,"Mix et al., 1995"
"138-849D-1H-3,81",7.6,10.82,4.45052,341.194,4.48,-0.16,"Mix et al., 1995"
"138-849D-1H-3,91",7.7,10.92,4.48703,344.07,4.52,-0.3,"Mix et al., 1995"
"138-849D-1H-3,101",7.8,11.02,4.52354,347.086,4.61,-0.18,"Mix et al., 1995"
"138-849D-1H-3,121",8,11.22,4.59656,353.697,4.3,-0.47,"Mix et al., 1995"
"138-849B-2H-2,122",9.42,11.3833,4.65618,358.696,4.34,-0.41,"Mix et al., 1995"
"138-849B-2H-2,131",9.51,11.4733,4.68904,361.445,4.47,-0.2,"Mix et al., 1995"
"138-849B-2H-2,132",9.52,11.4833,4.69269,361.758,4.4,-0.41,"Mix et al., 1995"
"138-849B-2H-2,143",9.63,11.5933,4.73285,365.126,4.59,-0.42,"Mix et al., 1995"
"138-849B-2H-3,7",9.77,11.7333,4.78397,369.832,4.33,-0.28,"Mix et al., 1995"
"138-849B-2H-3,17",9.87,11.8333,4.82048,373.193,3.93,-0.08,"Mix et al., 1995"
"138-849B-2H-3,27",9.97,11.9333,4.85699,376.554,4.4,-0.17,"Mix et al., 1995"
"138-849B-2H-3,38",10.08,12.0433,4.89715,380.252,4.04,-0.34,"Mix et al., 1995"
"138-849B-2H-3,47",10.17,12.1333,4.93001,383.277,4.12,0,"Mix et al., 1995"
"138-849B-2H-3,57",10.27,12.2333,4.96652,386.638,4.09,0.03,"Mix et al., 1995"
"138-849B-2H-3,67",10.37,12.3333,5.00303,389.999,4.07,-0.03,"Mix et al., 1995"
"138-849B-2H-3,87",10.57,12.5333,5.0769,396.722,4.02,-0.03,"Mix et al., 1995"
"138-849B-2H-3,97",10.67,12.6333,5.1149,400.083,3.35,0.4,"Mix et al., 1995"
"138-849B-2H-3,107",10.77,12.7333,5.15289,403.445,3.22,0.35,"Mix et al., 1995"
"138-849B-2H-3,141",11.11,13.0733,5.28207,414.93,3.53,0.19,"Mix et al., 1995"
"138-849B-2H-4,13",11.33,13.2933,5.36565,422.268,4.83,-0.39,"Mix et al., 1995"
"138-849C-2H-1,7",10.57,13.4863,5.43898,431.187,4.86,-0.34,"Mix et al., 1995"
"138-849C-2H-1,17",10.67,13.5863,5.47697,435.809,4.75,-0.44,"Mix et al., 1995"
"138-849C-2H-1,27",10.77,13.6863,5.51497,438.905,5.07,-0.41,"Mix et al., 1995"
"138-849C-2H-1,37",10.87,13.7863,5.56857,440.43,4.66,-0.22,"Mix et al., 1995"
"138-849C-2H-1,47",10.97,13.8863,5.63239,445.052,4.54,-0.31,"Mix et al., 1995"
"138-849C-2H-1,57",11.07,13.9863,5.69621,449.673,4.42,-0.1,"Mix et al., 1995"
"138-849C-2H-1,67",11.17,14.0863,5.76003,458.916,4.64,-0.4,"Mix et al., 1995"
"138-849C-2H-1,87",11.37,14.2863,5.88767,468.159,4.51,-0.21,"Mix et al., 1995"
"138-849C-2H-1,97",11.47,14.3863,5.95149,472.78,4.26,-0.15,"Mix et al., 1995"
"138-849C-2H-1,107",11.57,14.4863,6.01531,475.769,4.27,-0.29,"Mix et al., 1995"
"138-849C-2H-1,117",11.67,14.5863,6.07913,478.758,4.06,-0.21,"Mix et al., 1995"
"138-849C-2H-1,127",11.77,14.6863,6.14295,481.747,4.43,-0.16,"Mix et al., 1995"
"138-849C-2H-1,137",11.87,14.7863,6.20499,484.736,3.82,0.34,"Mix et al., 1995"
"138-849C-2H-1,147",11.97,14.8863,6.26661,487.725,3.735,0.22,"Mix et al., 1995"
"138-849C-2H-2,17",12.17,15.0863,6.38985,493.772,3.62,0.49,"Mix et al., 1995"
"138-849C-2H-2,27",12.27,15.1863,6.45147,496.692,3.59,0.38,"Mix et al., 1995"
"138-849C-2H-2,37",12.37,15.2863,6.51309,499.681,3.78,0.28,"Mix et al., 1995"
"138-849C-2H-2,47",12.47,15.3863,6.56301,502.67,3.87,0.3,"Mix et al., 1995"
"138-849C-2H-2,57",12.57,15.4863,6.58807,505.659,4.01,0.16,"Mix et al., 1995"
"138-849C-2H-2,67",12.67,15.5863,6.61312,508.648,3.79,0.3,"Mix et al., 1995"
"138-849C-2H-2,77",12.77,15.6863,6.63818,511.637,4.36,0.29,"Mix et al., 1995"
"138-849C-2H-2,87",12.87,15.7863,6.66323,514.626,4.11,0.28,"Mix et al., 1995"
"138-849C-2H-2,97",12.97,15.8863,6.68829,517.615,4.13,0.18,"Mix et al., 1995"
"138-849C-2H-2,107",13.07,15.9863,6.71334,520.604,3.97,-0.02,"Mix et al., 1995"
"138-849C-2H-2,117",13.17,16.0863,6.7384,523.593,4.01,-0.1,"Mix et al., 1995"
"138-849C-2H-2,137",13.37,16.2863,6.78851,529.571,4.36,-0.31,"Mix et al., 1995"
"138-849C-2H-2,147",13.47,16.3863,6.81524,532.958,4.17,-0.12,"Mix et al., 1995"
"138-849C-2H-3,7",13.57,16.4863,6.84522,536.345,4.31,-0.2,"Mix et al., 1995"
"138-849C-2H-3,17",13.67,16.5863,6.87519,539.732,4.58,-0.16,"Mix et al., 1995"
"138-849C-2H-3,27",13.77,16.6863,6.90517,543.042,4.17,-0.07,"Mix et al., 1995"
"138-849C-2H-3,37",13.87,16.7863,6.93514,546.507,4.4,-0.11,"Mix et al., 1995"
"138-849C-2H-3,47",13.97,16.8863,6.96511,549.894,4.07,-0.18,"Mix et al., 1995"
"138-849C-2H-3,57",14.07,16.9863,6.99509,554.402,4.09,0,"Mix et al., 1995"
"138-849C-2H-3,67",14.17,17.0863,7.02506,558.909,3.79,-0.11,"Mix et al., 1995"
"138-849C-2H-3,87",14.37,17.2863,7.08501,567.925,3.42,0.09,"Mix et al., 1995"
"138-849C-2H-3,97",14.47,17.3863,7.11498,572.433,3.625,0.18,"Mix et al., 1995"
"138-849C-2H-3,107",14.57,17.4863,7.14496,577.292,3.84,0,"Mix et al., 1995"
"138-849C-2H-3,117",14.67,17.5863,7.17493,581.449,4.22,-0.29,"Mix et al., 1995"
"138-849C-2H-3,127",14.77,17.6863,7.20491,586.254,3.99,-0.09,"Mix et al., 1995"
"138-849C-2H-3,137",14.87,17.7863,7.23488,590.673,3.99,-0.15,"Mix et al., 1995"
"138-849C-2H-3,147",14.97,17.8863,7.26485,594.972,3.88,-0.35,"Mix et al., 1995"
"138-849C-2H-4,7",15.07,17.9863,7.29483,599.48,3.56,-0.22,"Mix et al., 1995"
"138-849C-2H-4,17",15.17,18.0863,7.3248,603.988,4.12,0.01,"Mix et al., 1995"
"138-849C-2H-4,27",15.27,18.1863,7.35478,608.496,4.11,0.06,"Mix et al., 1995"
"138-849C-2H-4,37",15.37,18.2863,7.38475,613.004,3.85,0.05,"Mix et al., 1995"
"138-849C-2H-4,47",15.47,18.3863,7.41472,617.512,3.5,0.05,"Mix et al., 1995"
"138-849C-2H-4,57",15.57,18.4863,7.4447,622.02,3.08,-0.17,"Mix et al., 1995"
