age_ka,site,hole,core,section,top,bottom,e_Nd,FeCa,MnCa,MgCa,BWT,BWT_U1313,del_BWT,NCW
2387.85,849.00,D,6.00,5.00,102.00,104.00,,0.08,0.96,1.43,3.57,,,
2389.49,849.00,D,6.00,5.00,106.00,108.00,,0.39,1.28,1.26,2.50,,,
2389.81,849.00,D,6.00,5.00,108.00,110.00,,0.11,1.02,1.29,2.68,,,
2391.45,849.00,D,6.00,5.00,114.00,116.00,,0.05,1.25,1.37,3.21,,,
2392.10,849.00,D,6.00,5.00,116.00,118.00,,0.09,1.15,1.21,2.11,,,
2394.06,849.00,D,6.00,5.00,121.00,123.00,,0.03,1.17,1.01,0.50,,,
2394.39,849.00,D,6.00,5.00,123.00,125.00,,0.06,0.98,1.19,1.99,,,
2396.02,849.00,D,6.00,5.00,127.00,129.00,,0.03,1.10,1.14,1.58,,,
2397.65,849.00,D,6.00,5.00,132.00,134.00,,,,1.26,2.49,,,
2398.31,849.00,D,6.00,5.00,134.00,136.00,,0.03,1.13,1.28,2.64,,,
2398.96,849.00,D,6.00,5.00,137.00,139.00,,0.05,1.42,1.26,2.47,,,
2399.94,849.00,D,6.00,5.00,139.00,141.00,,0.16,0.94,1.51,4.07,,,
2400.60,849.00,D,6.00,5.00,141.00,143.00,,0.03,0.93,1.23,2.23,,,
2401.26,849.00,D,6.00,5.00,143.00,145.00,,0.18,0.99,1.45,3.74,,,
2403.88,849.00,D,6.00,6.00,1.00,3.00,,,,1.32,2.88,,,
2405.53,849.00,D,6.00,6.00,6.00,8.00,,0.09,1.01,1.32,2.87,,,
2407.84,849.00,D,6.00,6.00,13.00,15.00,,0.07,0.93,1.49,3.97,,,
2409.17,849.00,D,6.00,6.00,17.00,19.00,,0.05,0.90,1.29,2.67,,,
2410.83,849.00,D,6.00,6.00,22.00,24.00,,0.08,1.08,1.64,4.82,,,
2411.16,849.00,D,6.00,6.00,24.00,26.00,,0.17,1.61,1.49,3.96,,,
2411.83,849.00,D,6.00,6.00,26.00,27.00,,0.06,1.34,1.53,4.20,,,
2412.50,849.00,D,6.00,6.00,28.00,30.00,,0.07,0.91,1.49,3.99,,,
2413.84,849.00,D,6.00,6.00,31.00,33.00,,0.06,1.06,1.32,2.93,6.48,3.55,100.00
2414.51,849.00,D,6.00,6.00,33.00,35.00,,0.06,1.00,1.19,1.96,6.85,4.89,100.00
2415.18,849.00,D,6.00,6.00,36.00,37.00,,0.03,1.19,1.48,3.89,7.22,3.33,100.00
2416.53,849.00,D,6.00,6.00,38.00,40.00,,0.09,1.09,1.56,4.35,7.98,3.62,100.00
2417.21,849.00,D,6.00,6.00,41.00,43.00,,0.05,1.23,1.29,2.73,8.35,5.63,100.00
2417.89,849.00,D,6.00,6.00,43.00,45.00,,0.30,1.12,1.44,3.68,8.61,4.93,100.00
2419.25,849.00,D,6.00,6.00,48.00,50.00,,0.13,1.25,1.60,4.59,7.91,3.32,100.00
2420.61,849.00,D,6.00,6.00,51.00,53.00,,0.05,0.97,1.30,2.76,7.20,4.43,100.00
2420.96,849.00,D,6.00,6.00,53.00,55.00,,0.05,0.95,1.39,3.38,7.21,3.84,100.00
2422.67,849.00,D,6.00,6.00,57.00,59.00,,0.04,0.95,1.29,2.71,7.85,5.13,100.00
2424.75,849.00,D,6.00,6.00,63.00,65.00,,0.02,0.87,1.30,2.78,7.38,4.61,100.00
2425.44,849.00,D,6.00,6.00,66.00,67.00,,0.14,0.90,1.77,5.51,6.65,1.14,43.99
2426.84,849.00,D,6.00,6.00,68.00,70.00,,0.06,0.87,1.21,2.17,6.73,4.56,100.00
2427.54,849.00,D,6.00,6.00,71.00,73.00,,0.04,1.35,1.19,1.98,7.86,5.88,100.00
2431.08,849.00,D,6.00,6.00,81.00,82.00,,0.03,0.99,1.12,1.47,6.19,4.73,100.00
2433.96,849.00,D,6.00,6.00,89.00,91.00,-3.05,0.10,0.81,1.12,1.45,5.12,3.67,100.00
2434.69,849.00,D,6.00,6.00,91.00,93.00,,0.05,0.78,1.34,3.06,5.68,2.62,100.00
2435.06,849.00,D,6.00,6.00,93.00,95.00,,0.03,0.99,1.00,0.47,5.96,5.49,100.00
2437.27,849.00,D,6.00,6.00,98.00,100.00,,0.07,1.00,1.26,2.49,5.74,3.25,100.00
2438.02,849.00,D,6.00,6.00,100.00,102.00,,0.07,0.83,1.57,4.45,5.91,1.46,56.31
2438.77,849.00,D,6.00,6.00,102.00,104.00,,0.05,0.82,1.43,3.62,6.85,3.23,100.00
2439.53,849.00,D,6.00,6.00,105.00,107.00,,0.15,1.20,1.22,2.27,6.18,3.91,100.00
