depth,age_ka,mcd,CaCO3,MAR,label
0.3,4.6,0.3,24.7,0.91,"145-882B-1H-1,30-33"
0.6,9.2,0.6,15.2,0.53,"145-882B-1H-1,60-63"
0.9,13.7,0.9,0.8,0.03,"145-882B-1H-1,90-93"
1.2,18.3,1.2,1.6,0.06,"145-882B-1H-1,120-123"
1.55,23.7,1.55,0.5,0.02,"145-882B-1H-2,5-8"
1.72,36,2.36,0.3,0.01,"145-882A-1H-2,20-24"
1.85,28.2,1.85,0.5,0.02,"145-882B-1H-2,35-38"
1.91,39.1,2.55,4,0.15,"145-882A-1H-2,41-42"
2.02,41.1,2.66,0.9,0.03,"145-882A-1H-2,50-54"
2.1,32.1,2.1,0.1,0,"145-882B-1H-2,60-63"
2.32,46.5,2.96,2,0.06,"145-882A-1H-2,80-84"
2.56,50.8,3.2,0.2,0,"145-882A-1H-2,104-108"
2.92,57.3,3.56,0.1,0,"145-882A-1H-2,140-144"
3.22,62.7,3.86,0.1,0,"145-882A-1H-3,20-24"
3.41,65.9,4.05,0,0,"145-882A-1H-3,41-42"
3.52,67.5,4.16,0.1,0,"145-882A-1H-3,50-54"
3.82,72.2,4.46,0.1,0,"145-882A-1H-3,80-84"
4.06,75.8,4.7,0,0,"145-882A-1H-3,104-108"
4.42,81.2,5.06,6.5,0.26,"145-882A-1H-3,140-144"
4.72,86,5.36,0.1,0,"145-882A-1H-4,20-24"
4.91,89.9,5.55,0,0,"145-882A-1H-4,41-42"
5.02,92.1,5.66,0.1,0,"145-882A-1H-4,50-54"
5.32,96.7,5.96,0.1,0,"145-882A-1H-4,80-84"
5.56,99.1,6.2,0.7,0.02,"145-882A-1H-4,104-108"
6.22,106,6.86,0.1,0,"145-882A-1H-5,20-24"
6.41,110.8,7.05,0,0,"145-882A-1H-5,41-42"
6.52,115.5,7.16,0.1,0,"145-882A-1H-5,50-54"
6.82,128.2,7.46,18.1,0.33,"145-882A-1H-5,80-84"
7.06,132.9,7.7,8.7,0.27,"145-882A-1H-5,104-108"
7.42,139.3,8.06,0.6,0.02,"145-882A-1H-5,140-144"
7.55,159.4,9.49,1,0.04,"145-882B-2H-3,15-18"
7.72,144.6,8.36,1.4,0.05,"145-882A-1H-6,20-24"
7.75,161.4,9.69,0.2,0.01,"145-882B-2H-3,35-38"
8,163.9,9.93,0.2,0.01,"145-882B-2H-3,60-63"
8.02,149.9,8.66,0.1,0,"145-882A-1H-6,50-54"
8.24,166.4,10.17,0.1,0.01,"145-882B-2H-3,84-87"
8.52,169.3,10.45,0.2,0.01,"145-882B-2H-3,112-115"
8.56,156.4,9.2,2,0.09,"145-882A-1H-6,104-108"
8.75,171.7,10.68,0.2,0.01,"145-882B-2H-3,135-139"
9.03,174.5,10.95,0.1,0,"145-882B-2H-4,13-16"
9.25,176.7,11.17,0.1,0,"145-882B-2H-4,35-39"
9.5,179.9,11.42,0.1,0,"145-882B-2H-4,60-63"
9.72,186.3,11.64,0.1,0,"145-882B-2H-4,82-85"
10.02,195.2,11.94,0.1,0,"145-882B-2H-4,112-115"
10.15,198.7,12.06,0.1,0,"145-882B-2H-4,125-128"
10.32,203.7,12.23,0.2,0,"145-882B-2H-4,142-145"
10.34,212.5,12.52,0.1,0,"145-882A-2H-2,140-144"
10.5,209,12.41,0.1,0,"145-882B-2H-5,10-13"
10.64,222.7,12.81,0.1,0,"145-882A-2H-3,20-24"
10.94,229.8,13.1,0.1,0,"145-882A-2H-3,50-54"
11.25,237.1,13.4,4.8,0.08,"145-882A-2H-3,81-85"
11.5,243.2,13.65,1.5,0.05,"145-882A-2H-3,106-110"
11.84,248.9,13.97,1.3,0.04,"145-882A-2H-3,140-144"
12.14,254.2,14.27,0.3,0.01,"145-882A-2H-4,20-24"
12.44,259.4,14.56,2.2,0.09,"145-882A-2H-4,50-54"
12.75,264.7,14.86,0.4,0.02,"145-882A-2H-4,81-85"
12.97,268.4,15.07,0.1,0,"145-882A-2H-4,103-107"
13.04,269.6,15.14,0,0,"145-882A-2H-4,112-113"
13.34,274.5,15.43,0.1,0,"145-882A-2H-4,140-144"
13.59,278.6,15.67,0.1,0,"145-882A-2H-5,15-19"
13.94,284.3,16.01,0.1,0,"145-882A-2H-5,50-54"
14.25,289.4,16.31,2.7,0.09,"145-882A-2H-5,81-85"
14.47,293.2,16.53,0,0,"145-882A-2H-5,103-107"
14.53,294.5,16.59,0,0,"145-882A-2H-5,111-112"
14.84,301,16.89,0.1,0,"145-882A-2H-5,140-144"
15.14,307.4,17.18,0,0,"145-882A-2H-6,20-24"
15.44,313.8,17.47,0.1,0,"145-882A-2H-6,50-54"
15.75,321.8,17.77,0.1,0,"145-882A-2H-6,81-85"
15.97,327.4,17.98,1.9,0.03,"145-882A-2H-6,103-107"
16.04,329.3,18.05,15,0.3,"145-882A-2H-6,112-113"
16.34,336.7,18.34,0.1,0,"145-882A-2H-6,140-144"
16.64,341.4,18.63,0.3,0.01,"145-882A-2H-7,20-24"
16.94,346.1,18.92,0.8,0.03,"145-882A-2H-7,50-54"
