depth,age_ka,mcd,NPS_d18O,NPS_d13C,d18O,d13C,label
0.3,4.6,0.3,2.57,0.47,4.02,-1.11,"145-882B-1H-1,30-33"
0.6,9.2,0.6,2.99,0.15,4.57,-1.15,"145-882B-1H-1,60-63"
0.9,13.7,0.9,3.98,0.22,5.08,-0.88,"145-882B-1H-1,90-93"
1.2,18.3,1.2,3.96,0.27,5.11,-0.82,"145-882B-1H-1,120-123"
1.55,23.7,1.55,3.6,0.06,,,"145-882B-1H-2,5-8"
1.72,36,2.36,3.55,0.16,4.49,-1.13,"145-882A-1H-2,20-24"
1.85,28.2,1.85,3.82,0.29,5.18,-0.78,"145-882B-1H-2,35-38"
1.88,38.5,2.52,3.4,0.46,,,"145-882A-1H-2,36-38"
2.02,41.1,2.66,3.72,0.58,4.59,-0.71,"145-882A-1H-2,50-54"
2.1,32.1,2.1,3.46,0.32,3.94,-1.06,"145-882B-1H-2,60-63"
2.32,46.5,2.96,3.98,0.25,4.43,-1.3,"145-882A-1H-2,80-84"
2.41,48.1,3.05,3.37,0.13,4.57,-1.09,"145-882A-1H-2,89-91"
2.56,50.8,3.2,3.26,0.27,4.42,-0.91,"145-882A-1H-2,104-108"
3.82,72.2,4.46,3.37,0.36,,,"145-882A-1H-3,80-84"
4.06,75.8,4.7,3.5,0.46,4.02,-0.56,"145-882A-1H-3,104-108"
4.42,81.2,5.06,3.11,0.37,,,"145-882A-1H-3,140-144"
6.82,128.2,7.46,2.37,0.41,,,"145-882A-1H-5,80-84"
7.03,132.4,7.67,2.28,0.3,,,"145-882A-1H-5,101-103"
7.06,132.9,7.7,2.47,0.3,3.48,-0.76,"145-882A-1H-5,104-108"
7.42,139.3,8.06,3.58,0.06,,,"145-882A-1H-5,140-144"
7.72,144.6,8.36,4,-0.03,,,"145-882A-1H-6,20-24"
7.75,161.4,9.69,3.75,-0.13,,,"145-882B-2H-3,35-38"
8,163.9,9.93,3.38,-0.12,,,"145-882B-2H-3,60-63"
8.52,169.3,10.45,4.07,0.23,,,"145-882B-2H-3,112-115"
8.56,156.4,9.2,3.48,0.16,4.85,-1.45,"145-882A-1H-6,104-108"
11.25,237.1,13.4,3.51,0.05,,,"145-882A-2H-3,81-85"
11.5,243.2,13.65,3.41,0.63,3.79,-0.77,"145-882A-2H-3,106-110"
11.84,248.9,13.97,,,5.16,-1.78,"145-882A-2H-3,140-144"
12.14,254.2,14.27,5.74,-0.12,,,"145-882A-2H-4,20-24"
12.23,255.6,14.35,3.38,-0.03,4.62,-1.65,"145-882A-2H-4,29-31"
12.44,259.4,14.56,4.11,-0.17,3.4,-2.79,"145-882A-2H-4,50-54"
12.58,261.7,14.69,3.33,-0.22,4.65,-1.91,"145-882A-2H-4,64-66"
12.97,268.4,15.07,2.67,0.21,,,"145-882A-2H-4,103-107"
14.25,289.4,16.31,3.69,0.64,4.19,0.01,"145-882A-2H-5,81-85"
15.44,313.8,17.47,3.96,0.23,,,"145-882A-2H-6,50-54"
15.75,321.8,17.77,4.18,0.31,,,"145-882A-2H-6,81-85"
16.64,341.4,18.63,3.93,0.32,,,"145-882A-2H-7,20-24"
16.94,346.1,18.92,5.02,0.34,5.31,-1.05,"145-882A-2H-7,50-54"
18.52,401.4,21.56,4,0.36,4.19,-0.11,"145-882A-3H-1,20-24"
18.75,406.3,21.78,1.89,0.4,3.28,-0.54,"145-882A-3H-1,43-45"
18.84,408.3,21.87,1.68,0.43,3.29,-0.55,"145-882A-3H-1,52-56"
19.11,414,22.14,2.27,0.21,3.53,-0.93,"145-882A-3H-1,79-83"
19.24,416.5,22.26,2.26,0.21,3.84,-1.07,"145-882A-3H-1,92-94"
19.64,424.7,22.66,2.99,0.18,4.41,-1.18,"145-882A-3H-1,132-134"
19.72,426.2,22.73,4.09,0.15,4.54,-1.2,"145-882A-3H-1,140-144"
20.02,431,23.03,3.68,0.2,,,"145-882A-3H-2,20-24"
