depth,age_ka,mcd,bSiO2,opal_acc_rate,Siliciclast_percent,silica_acc_rate,label
0.3,4.6,0.3,10.7,0.4,32.2,1.19,"145-882B-1H-1,30-33"
0.6,9.2,0.6,22.1,0.77,18.2,0.63,"145-882B-1H-1,60-63"
0.9,13.7,0.9,3.1,0.11,26.6,0.95,"145-882B-1H-1,90-93"
1.2,18.3,1.2,4,0.16,29.7,1.16,"145-882B-1H-1,120-123"
1.55,23.7,1.55,4.5,0.17,28.4,1.05,"145-882B-1H-2,5-8"
1.85,28.2,1.85,5,0.18,30.2,1.12,"145-882B-1H-2,35-38"
2.1,32.1,2.1,4.4,0.17,33.6,1.28,"145-882B-1H-2,60-63"
1.72,36,2.36,5.7,0.19,53.9,1.79,"145-882A-1H-2,20-24"
2.02,41.1,2.66,11.1,0.41,52.7,1.96,"145-882A-1H-2,50-54"
2.32,46.5,2.96,15.8,0.46,45,1.32,"145-882A-1H-2,80-84"
2.56,50.8,3.2,12.8,0.42,52.5,1.75,"145-882A-1H-2,104-108"
2.92,57.3,3.56,2.9,0.09,44.3,1.43,"145-882A-1H-2,140-144"
3.22,62.7,3.86,1.2,0.05,13.8,0.54,"145-882A-1H-3,20-24"
3.52,67.5,4.16,36,0.93,32.5,0.84,"145-882A-1H-3,50-54"
3.82,72.2,4.46,17,0.62,30.6,1.11,"145-882A-1H-3,80-84"
4.06,75.8,4.7,16.9,0.58,45.7,1.56,"145-882A-1H-3,104-108"
4.72,86,5.36,12.6,0.44,49.1,1.7,"145-882A-1H-4,20-24"
5.02,92.1,5.66,46.2,0.96,22.2,0.46,"145-882A-1H-4,50-54"
5.32,96.7,5.96,51.2,1.45,22.1,0.63,"145-882A-1H-4,80-84"
5.56,99.1,6.2,44.5,1.52,31.4,1.07,"145-882A-1H-4,104-108"
6.22,106,6.86,3,0.12,50,2.03,"145-882A-1H-5,20-24"
6.52,115.5,7.16,21.4,0.31,34.2,0.5,"145-882A-1H-5,50-54"
6.82,128.2,7.46,12.3,0.23,11.7,0.21,"145-882A-1H-5,80-84"
7.06,132.9,7.7,8.9,0.28,47.2,1.48,"145-882A-1H-5,104-108"
7.42,139.3,8.06,8.4,0.26,38.7,1.21,"145-882A-1H-5,140-144"
7.72,144.6,8.36,7.2,0.26,41.3,1.48,"145-882A-1H-6,20-24"
8.02,149.9,8.66,5.5,0.25,50.4,2.28,"145-882A-1H-6,50-54"
8.56,156.4,9.2,9,0.4,40,1.77,"145-882A-1H-6,104-108"
7.55,159.4,9.49,9.6,0.4,28.3,1.18,"145-882B-2H-3,15-18"
7.75,161.4,9.69,4.8,0.27,36.1,2.03,"145-882B-2H-3,35-38"
8,163.9,9.93,5.1,0.31,41.3,2.45,"145-882B-2H-3,60-63"
8.24,166.4,10.17,8.5,0.41,37.6,1.81,"145-882B-2H-3,84-87"
8.52,169.3,10.45,4.3,0.21,33.2,1.65,"145-882B-2H-3,112-115"
8.75,171.7,10.68,3.2,0.19,40.1,2.38,"145-882B-2H-3,135-139"
9.03,174.5,10.95,10.6,0.59,40.3,2.23,"145-882B-2H-4,13-16"
9.25,176.7,11.17,2.5,0.15,27.1,1.68,"145-882B-2H-4,35-39"
9.5,179.9,11.42,5.4,0.18,65.9,2.19,"145-882B-2H-4,60-63"
9.72,186.3,11.64,17.2,0.32,32,0.6,"145-882B-2H-4,82-85"
10.02,195.2,11.94,13.2,0.24,36.9,0.66,"145-882B-2H-4,112-115"
10.32,203.7,12.23,4.2,0.09,44.1,0.97,"145-882B-2H-4,142-145"
10.5,209,12.41,17.4,0.23,29.8,0.4,"145-882B-2H-5,10-13"
10.34,212.5,12.52,45.1,0.43,21.1,0.2,"145-882A-2H-2,140-144"
10.64,222.7,12.81,24.3,0.43,30.4,0.53,"145-882A-2H-3,20-24"
10.94,229.8,13.1,28.8,0.61,25.3,0.53,"145-882A-2H-3,50-54"
11.25,237.1,13.4,27.9,0.44,26.4,0.41,"145-882A-2H-3,81-85"
11.5,243.2,13.65,4.5,0.14,55.9,1.76,"145-882A-2H-3,106-110"
11.84,248.9,13.97,34.2,0.99,49.4,1.42,"145-882A-2H-3,140-144"
12.14,254.2,14.27,16.6,0.42,35.1,0.89,"145-882A-2H-4,20-24"
12.44,259.4,14.56,9.1,0.36,42.8,1.68,"145-882A-2H-4,50-54"
12.75,264.7,14.86,5.1,0.19,90.8,3.41,"145-882A-2H-4,81-85"
12.97,268.4,15.07,2.5,0.1,40.3,1.59,"145-882A-2H-4,103-107"
13.34,274.5,15.43,4,0.14,53.7,1.89,"145-882A-2H-4,140-144"
13.59,278.6,15.67,5.6,0.23,63.6,2.61,"145-882A-2H-5,15-19"
13.94,284.3,16.01,15.3,0.55,32.6,1.18,"145-882A-2H-5,50-54"
14.25,289.4,16.31,7.8,0.26,42,1.39,"145-882A-2H-5,81-85"
14.47,293.2,16.53,3.2,0.13,84.7,3.28,"145-882A-2H-5,103-107"
14.84,301,16.89,35,0.83,22.9,0.54,"145-882A-2H-5,140-144"
15.14,307.4,17.18,11.5,0.29,33.1,0.82,"145-882A-2H-6,20-24"
15.44,313.8,17.47,48.8,1.09,24.8,0.55,"145-882A-2H-6,50-54"
15.75,321.8,17.77,6.5,0.16,50.5,1.27,"145-882A-2H-6,81-85"
15.97,327.4,17.98,34.5,0.57,29.5,0.48,"145-882A-2H-6,103-107"
16.34,336.7,18.34,4,0.13,81.8,2.75,"145-882A-2H-6,140-142"
16.64,341.4,18.63,3.9,0.16,31.5,1.31,"145-882A-2H-7,20-24"
16.94,346.1,18.92,9.8,0.32,34.5,1.13,"145-882A-2H-7,50-54"
17.25,350.9,19.22,12.8,0.42,43.1,1.4,"145-882A-2H-7,81-85"
17.47,354.3,19.44,6.4,0.36,49.1,2.73,"145-882A-2H-7,103-107"
17.84,357.7,19.75,6,0.34,92,5.11,"145-882A-2H-7,140-144"
18.73,364,20.34,9.7,0.22,31.3,0.71,"145-882B-3H-4,33-36"
18.95,372.2,20.56,10.7,0.15,29.8,0.43,"145-882B-3H-4,55-59"
19.2,381.2,20.8,10.5,0.15,40.4,0.58,"145-882B-3H-4,80-83"
19.45,389.9,21.05,9.6,0.2,38.4,0.82,"145-882B-3H-4,105-108"
19.7,395.3,21.29,5,0.13,38.7,0.97,"145-882B-3H-4,130-133"
18.84,408.3,21.87,7.9,0.22,27.1,0.77,"145-882A-3H-1,52-56"
19.11,414,22.14,3.2,0.11,65.2,2.29,"145-882A-3H-1,79-83"
19.72,426.2,22.73,4.7,0.17,29.2,1.09,"145-882A-3H-1,140-144"
20.02,431,23.03,3.5,0.15,30.4,1.3,"145-882A-3H-2,20-24"
20.62,439.9,23.62,12.5,0.32,28.3,0.72,"145-882A-3H-2,80-84"
21.84,469.8,24.81,4.5,0.11,54.6,1.34,"145-882A-3H-3,52-56"
22.12,476.1,25.08,34.3,0.86,18.2,0.46,"145-882A-3H-3,80-84"
22.72,484.2,25.67,25.6,0.93,29.6,1.07,"145-882A-3H-3,140-144"
23.02,488.3,25.97,16.2,0.78,46.2,2.22,"145-882A-3H-4,20-24"
23.34,492.6,26.28,17.5,0.63,24.3,0.87,"145-882A-3H-4,52-56"
23.62,496.2,26.55,38.5,1.5,15.7,0.61,"145-882A-3H-4,80-84"
23.72,497.3,26.65,42.8,1.92,15,0.67,"145-882A-3H-4,90-91"
24.22,502.8,27.14,29.7,1.47,68.1,3.36,"145-882A-3H-4,140-144"
24.52,506.1,27.44,12.4,0.3,33.5,0.82,"145-882A-3H-5,20-24"
24.84,517.6,27.75,10.1,0.14,38.2,0.54,"145-882A-3H-5,52-56"
25.1,529,28,19.9,0.3,29.7,0.44,"145-882A-3H-5,78-82"
25.65,559.7,28.87,6.8,0.09,33.5,0.45,"145-882B-4H-2,75-78"
25.9,576.5,29.12,24.1,0.16,20.7,0.14,"145-882B-4H-2,100-104"
26.15,590.8,29.36,12.3,0.15,29.6,0.37,"145-882B-4H-2,125-128"
26.35,598.5,29.55,11.6,0.13,21.9,0.25,"145-882B-4H-2,145-148"
26.6,608.6,29.8,6.3,0.12,31.6,0.6,"145-882B-4H-3,20-24"
26.85,613,30.04,10.1,0.27,28.8,0.78,"145-882B-4H-3,45-48"
27.1,617.1,30.28,9.8,0.27,33.6,0.93,"145-882B-4H-3,70-73"
27.35,621.5,30.53,32.4,0.81,20.8,0.52,"145-882B-4H-3,95-98"
27.6,625.6,30.77,29.2,0.7,16.5,0.4,"145-882B-4H-3,120-123"
27.84,629.6,31,19.9,0.53,31.5,0.83,"145-882B-4H-3,144-148"
28.1,635,31.25,5,0.13,36,0.96,"145-882B-4H-4,20-23"
28.35,640.8,31.5,20.5,0.46,28.1,0.63,"145-882B-4H-4,45-48"
28.6,645.2,31.74,8.5,0.25,26.8,0.79,"145-882B-4H-4,70-73"
28.32,652.9,32.2,6.9,0.22,30,0.97,"145-882A-4H-1,50-54"
28.62,657.8,32.49,5,0.19,39.3,1.52,"145-882A-4H-1,80-84"
28.86,661.8,32.73,5.6,0.23,45.8,1.86,"145-882A-4H-1,104-108"
29.22,667.6,33.08,9.3,0.32,27.9,0.97,"145-882A-4H-1,140-144"
29.51,672.4,33.37,4.6,0.15,29.2,0.97,"145-882A-4H-2,19-23"
29.82,677.4,33.67,3.5,0.14,42.1,1.66,"145-882A-4H-2,50-54"
30.12,682.1,33.96,19.9,0.68,35.9,1.23,"145-882A-4H-2,80-84"
30.36,685.7,34.2,6.7,0.21,51.6,1.58,"145-882A-4H-2,104-108"
30.72,691,34.55,35.5,1.22,23.8,0.81,"145-882A-4H-2,140-144"
31.01,695.4,34.84,36.5,0.89,17.7,0.43,"145-882A-4H-3,19-23"
31.32,700,35.14,16.7,0.63,24.2,0.92,"145-882A-4H-3,50-54"
31.86,708,35.67,40.2,1.04,4.1,0.11,"145-882A-4H-3,104-108"
32.22,712.3,36.02,55,1.2,31,0.68,"145-882A-4H-3,140-144"
32.51,717.7,36.31,26.4,0.74,21.7,0.61,"145-882A-4H-4,19-23"
32.82,722.2,36.61,6.1,0.21,52,1.77,"145-882A-4H-4,50-54"
33.12,729.9,36.91,11.4,0.26,29.8,0.67,"145-882A-4H-4,80-84"
33.36,736.3,37.14,15.7,0.31,45.6,0.91,"145-882A-4H-4,104-108"
33.72,746.3,37.5,13.5,0.28,26.9,0.55,"145-882A-4H-4,140-144"
34.01,754.1,37.78,3.8,0.09,27.5,0.66,"145-882A-4H-5,19-23"
34.32,762,38.08,10.8,0.25,31.7,0.72,"145-882A-4H-5,50-54"
34.62,769.3,38.38,14,0.33,33.1,0.79,"145-882A-4H-5,80-84"
34.86,775,38.61,5.5,0.19,41.2,1.43,"145-882A-4H-5,104-108"
35.22,781.5,38.97,44.8,1.34,18.2,0.55,"145-882A-4H-5,140-144"
35.49,786,39.23,16.6,0.28,14,0.24,"145-882A-4H-6,17-21"
35.82,800.2,39.56,3.8,0.06,29.5,0.44,"145-882A-4H-6,50-54"
36.12,812.7,39.85,6.3,0.14,36.9,0.79,"145-882A-4H-6,80-84"
36.36,818,40.09,5.5,0.19,36.9,1.26,"145-882A-4H-6,104-108"
36.72,824.6,40.44,15.7,0.29,38.6,0.72,"145-882A-4H-6,140-144"
37.02,833.5,40.73,12.4,0.26,37,0.78,"145-882A-4H-7,20-24"
37.35,838.9,40.9,13.7,0.24,40.1,0.71,"145-882B-5H-3,145-148"
37.9,847.2,41.44,7.6,0.4,34.7,1.82,"145-882B-5H-4,50-53"
38.15,850.1,41.69,4.9,0.24,37.2,1.84,"145-882B-5H-4,75-78"
38.5,855,42.04,2.7,0.11,86.4,3.66,"145-882B-5H-4,110-113"
38.75,859.8,42.28,2.5,0.08,37.9,1.23,"145-882B-5H-4,135-138"
39,864.8,42.53,3.6,0.11,30.5,0.94,"145-882B-5H-5,10-13"
39.3,870.8,42.83,3.8,0.12,33.1,1.07,"145-882B-5H-5,40-43"
39.55,875.1,43.07,2.8,0.12,43.6,1.79,"145-882B-5H-5,65-68"
39.62,879.9,43.44,14.5,0.68,41.6,1.94,"145-882A-5H-2,80-84"
39.86,883.1,43.68,46.3,1.04,17.1,0.39,"145-882A-5H-2,104-108"
40.22,890.2,44.04,15.9,0.45,51.6,1.45,"145-882A-5H-2,140-144"
40.52,896.4,44.34,11.1,0.35,41.3,1.3,"145-882A-5H-3,20-24"
40.83,902.4,44.65,3.8,0.14,62,2.29,"145-882A-5H-3,50-54"
41.12,908.1,44.94,77.9,1.19,7.4,0.11,"145-882A-5H-3,80-84"
41.36,912.8,45.18,3.8,0.16,52.9,2.24,"145-882A-5H-3,104-108"
41.72,919.9,45.54,65,1.04,4.3,0.07,"145-882A-5H-3,140-144"
42.02,925.8,45.84,26.2,0.72,31,0.85,"145-882A-5H-4,20-24"
42.33,931.7,46.15,39.6,1.04,22.2,0.58,"145-882A-5H-4,51-55"
42.62,937.2,46.44,5.1,0.18,48.2,1.65,"145-882A-5H-4,80-84"
42.86,941.8,46.68,4.2,0.19,42.2,1.93,"145-882A-5H-4,104-108"
43.51,950.7,47.33,58.4,2.27,16.7,0.65,"145-882A-5H-5,19-23"
43.83,954.4,47.65,60.2,1.59,15.8,0.42,"145-882A-5H-5,51-55"
44.12,958.8,47.94,62.7,0.05,11.5,0.27,"145-882A-5H-5,80-84"
44.36,964.8,48.18,13.2,0.29,34.7,0.76,"145-882A-5H-5,104-108"
44.72,973.9,48.54,47.1,1.01,16,0.34,"145-882A-5H-5,140-144"
45.01,981.7,48.83,26.9,0.47,32.4,0.57,"145-882A-5H-6,19-23"
45.43,994.1,49.25,47.5,0.69,16.7,0.24,"145-882A-5H-7,19-23"
45.05,997.9,49.38,18.8,0.3,19.6,0.31,"145-882B-6H-2,115-117"
45.3,1003.8,49.62,15.4,0.35,25,0.57,"145-882B-6H-2,140-143"
45.6,1010.3,49.91,15.5,0.36,25.2,0.58,"145-882B-6H-3,20-22"
45.9,1017,50.21,6,0.17,34.7,0.96,"145-882B-6H-3,50-52"
46.15,1022.3,50.45,3.9,0.1,27.8,0.72,"145-882B-6H-3,75-77"
46.45,1028.8,50.74,13.2,0.32,28.7,0.7,"145-882B-6H-3,105-107"
46.7,1034.4,50.99,16.5,0.39,28.6,0.68,"145-882B-6H-3,130-132"
47,1040.9,51.28,42.9,0.7,15.4,0.25,"145-882B-6H-4,10-12"
47.25,1046.2,51.52,39.7,0.58,16.4,0.24,"145-882B-6H-4,35-37"
47.55,1051.6,51.81,32.3,0.73,20.1,0.45,"145-882B-6H-4,65-67"
47.77,1054.5,52.03,8.1,0.38,38.1,1.79,"145-882B-6H-4,87-89"
47.01,1054.7,52.05,1,0.04,47,1.74,"145-882A-6H-1,19-23"
47.33,1060.2,52.47,3.9,0.19,38,1.82,"145-882A-6H-1,51-55"
47.62,1064.8,52.75,18.1,0.61,35.2,1.19,"145-882A-6H-1,80-84"
47.86,1068.8,52.98,9.3,0.31,65.5,2.15,"145-882A-6H-1,104-108"
48.22,1075,53.33,11.5,0.41,19.3,0.68,"145-882A-6H-1,140-144"
48.51,1080,53.61,11.3,0.33,30.1,0.87,"145-882A-6H-2,19-23"
48.83,1087.7,53.91,6.7,0.15,62,1.42,"145-882A-6H-2,51-55"
49.12,1096,54.19,13.8,0.3,39.9,0.87,"145-882A-6H-2,80-84"
49.36,1102.8,54.42,12.3,0.27,37.7,0.83,"145-882A-6H-2,104-108"
50.01,1118.6,55.05,17.4,0.35,19.1,0.38,"145-882A-6H-3,19-23"
50.33,1126.3,55.36,23,0.48,20.5,0.43,"145-882A-6H-3,51-55"
50.86,1140.9,55.86,8.8,0.13,32.7,0.5,"145-882A-6H-3,104-108"
51.22,1156.3,56.21,12.7,0.18,35.9,0.52,"145-882A-6H-3,140-144"
51.51,1168.7,56.49,7.4,0.09,44.7,0.57,"145-882A-6H-4,19-23"
51.83,1180.2,56.8,9.6,0.21,34.9,0.78,"145-882A-6H-4,51-55"
52.12,1186.4,57.08,26,0.68,21.8,0.57,"145-882A-6H-4,80-84"
52.36,1191.5,57.31,37.8,0.81,15.9,0.34,"145-882A-6H-4,104-108"
52.72,1198.9,57.65,30.5,0.72,14.8,0.35,"145-882A-6H-4,140-144"
53.01,1205.1,57.93,24.8,0.64,15.1,0.39,"145-882A-6H-5,19-23"
53.32,1210.4,58.23,21.8,0.71,28.1,0.92,"145-882A-6H-5,50-54"
53.62,1215.3,58.52,18.4,0.6,21.5,0.7,"145-882A-6H-5,80-84"
53.86,1219.3,58.75,20.8,0.64,24.7,0.76,"145-882A-6H-5,104-108"
54.22,1225.4,59.09,39.3,0.84,17.6,0.37,"145-882A-6H-5,140-144"
54.51,1231.9,59.37,17.1,0.43,32.5,0.81,"145-882A-6H-6,19-23"
54.82,1238.9,59.67,41.1,0.56,19,0.26,"145-882A-6H-6,50-54"
55.36,1251,60.19,42.3,0.81,22.4,0.43,"145-882A-6H-6,104-108"
55.72,1257.8,60.53,35.5,0.81,21.2,0.48,"145-882A-6H-6,140-144"
55.8,1260.8,60.7,29.3,0.46,21.1,0.33,"145-882B-7H-3,90-94"
56.02,1264.6,60.91,24.6,0.59,29.4,0.71,"145-882B-7H-3,112-115"
56.2,1267.8,61.09,19.1,0.48,20.6,0.51,"145-882B-7H-3,130-134"
56.35,1270.3,61.23,12.9,0.3,24.8,0.57,"145-882B-7H-3,145-148"
56.55,1274.7,61.43,9.7,0.21,42,0.89,"145-882B-7H-4,15-18"
56.75,1281,61.62,32.6,0.5,16.8,0.26,"145-882B-7H-4,35-38"
56.69,1284,61.71,58.9,0.61,6.5,0.07,"145-882A-7H-1,37-41"
56.86,1289.7,61.88,6.7,0.12,35.9,0.65,"145-882A-7H-1,54-58"
57.12,1298,62.13,16.9,0.31,33.9,0.62,"145-882A-7H-1,80-84"
57.36,1305.7,62.36,5.1,0.13,39,1.01,"145-882A-7H-1,104-108"
57.72,1315.2,62.71,9.1,0.22,32.9,0.81,"145-882A-7H-1,140-144"
58.02,1322.8,63,6,0.14,32.7,0.75,"145-882A-7H-2,20-24"
58.34,1331,63.31,7.7,0.18,37.4,0.88,"145-882A-7H-2,52-56"
58.63,1338.1,63.59,4.9,0.15,37.7,1.15,"145-882A-7H-2,81-85"
58.86,1343.3,63.82,25.2,0.82,35.9,1.16,"145-882A-7H-2,104-108"
59.19,1350.6,64.14,3.9,0.12,59.9,1.9,"145-882A-7H-2,137-141"
59.52,1357.8,64.46,9.4,0.15,46.3,0.76,"145-882A-7H-3,20-24"
60.12,1385.6,65.04,2.2,0.04,35.5,0.65,"145-882A-7H-3,80-84"
60.36,1392.8,65.27,7.6,0.19,38.9,0.99,"145-882A-7H-3,104-108"
60.72,1401.2,65.62,4.7,0.12,30.1,0.75,"145-882A-7H-3,140-144"
61.02,1408.1,65.91,4,0.1,28.3,0.7,"145-882A-7H-4,20-24"
61.32,1415.1,66.2,33.1,1.01,51.7,1.58,"145-882A-7H-4,50-54"
61.62,1422,66.49,2.5,0.07,58.9,1.62,"145-882A-7H-4,80-84"
61.86,1429.2,66.73,6.1,0.13,35.9,0.74,"145-882A-7H-4,104-108"
62.22,1441.5,67.08,9.7,0.18,27.2,0.49,"145-882A-7H-4,140-144"
62.52,1452.4,67.37,9.6,0.15,32.1,0.5,"145-882A-7H-5,20-24"
62.82,1460.3,67.66,7.8,0.17,41.8,0.91,"145-882A-7H-5,50-54"
63.12,1468.6,67.95,19.4,0.41,30.4,0.65,"145-882A-7H-5,80-84"
63.36,1475.4,68.18,19.2,0.3,29.1,0.45,"145-882A-7H-5,104-108"
63.72,1487.7,68.53,9,0.14,18.2,0.29,"145-882A-7H-5,140-144"
64.02,1500.5,68.82,8.9,0.17,40.9,0.77,"145-882A-7H-6,20-24"
64.32,1509.3,69.11,5.1,0.11,34.5,0.77,"145-882A-7H-6,50-54"
64.62,1516.8,69.41,25.6,0.68,31.6,0.84,"145-882A-7H-6,80-84"
64.86,1522.5,69.64,49.9,0.94,18.3,0.35,"145-882A-7H-6,104-108"
65.22,1531.3,69.99,66.5,0.97,9,0.13,"145-882A-7H-6,140-144"
65.52,1538.5,70.29,35.9,0.82,4.8,0.11,"145-882A-7H-7,20-24"
65.2,1540.7,70.41,59.5,1.03,22,0.38,"145-882B-8H-3,85-88"
65.45,1545.1,70.65,52.2,1.29,15.8,0.39,"145-882B-8H-3,105-108"
65.65,1548.5,70.84,34.8,0.95,15.1,0.41,"145-882B-8H-3,125-128"
65.84,1551.7,71.02,18.1,0.53,38.2,1.13,"145-882B-8H-3,144-148"
66.05,1555.3,71.22,9.4,0.34,18.5,0.67,"145-882B-8H-4,15-18"
66.25,1558.8,71.41,7.3,0.29,24,0.95,"145-882B-8H-4,35-39"
66.45,1562.2,71.6,13.3,0.42,59.6,1.86,"145-882B-8H-4,55-58"
66.65,1565.6,71.79,23,0.43,26.3,0.5,"145-882B-8H-4,75-78"
66.85,1572.9,71.98,22.2,0.37,33.6,0.56,"145-882B-8H-4,95-98"
67.05,1580.7,72.17,24.7,0.45,26.5,0.49,"145-882B-8H-4,115-118"
67.25,1587.1,72.36,36.4,0.7,23,0.45,"145-882B-8H-4,135-139"
66.86,1588.6,72.45,9.7,0.35,29.1,1.05,"145-882A-8H-1,104-108"
67.22,1594.5,72.79,5.2,0.19,24.6,0.93,"145-882A-8H-1,140-144"
67.52,1599.6,73.08,7.9,0.25,29.3,0.91,"145-882A-8H-2,20-24"
67.82,1604.7,73.37,11.4,0.41,30.7,1.1,"145-882A-8H-2,50-54"
68.12,1609,73.66,6.5,0.3,38,1.77,"145-882A-8H-2,80-84"
68.36,1612.4,73.89,6.3,0.27,27.3,1.17,"145-882A-8H-2,104-108"
68.72,1617.5,74.24,5.2,0.26,91.7,4.56,"145-882A-8H-2,140-144"
69.02,1621.8,74.53,6.1,0.25,40.3,1.69,"145-882A-8H-3,20-24"
69.34,1627.5,74.84,21.7,0.54,22.7,0.56,"145-882A-8H-3,52-56"
69.62,1635,75.11,13.1,0.31,34.7,0.83,"145-882A-8H-3,80-84"
70.22,1649.5,75.69,8.6,0.25,37.6,1.08,"145-882A-8H-3,140-144"
70.52,1655.4,75.98,8.2,0.25,38.7,1.2,"145-882A-8H-4,20-24"
70.84,1661.5,76.28,4.1,0.13,37.3,1.21,"145-882A-8H-4,52-56"
71.12,1667.1,76.55,8.2,0.24,46.1,1.34,"145-882A-8H-4,80-84"
71.36,1672,76.79,3.4,0.13,37.4,1.44,"145-882A-8H-4,104-108"
71.72,1677.6,77.13,8.4,0.35,62.9,2.63,"145-882A-8H-4,140-144"
72.02,1682,77.42,14.9,0.63,74,3.11,"145-882A-8H-5,20-24"
72.34,1686.6,77.73,5.4,0.24,63.2,2.77,"145-882A-8H-5,52-56"
72.62,1690.7,78,9.2,0.49,64.2,3.43,"145-882A-8H-5,80-84"
72.86,1694.1,78.23,8.4,0.36,28.8,1.24,"145-882A-8H-5,104-108"
73.22,1696.4,78.38,44.6,1.33,11.2,0.34,"145-882A-8H-5,140-144"
73.52,1710.1,78.87,4.1,0.13,54.4,1.79,"145-882A-8H-6,20-24"
74.12,1721.2,79.45,9.3,0.34,86.6,3.19,"145-882A-8H-6,80-84"
74.36,1727.5,79.68,1.4,0.05,90.5,3.08,"145-882A-8H-6,104-108"
74.72,1733.9,80.02,3.2,0.12,38.4,1.47,"145-882A-8H-6,140-144"
74.3,1738.9,80.29,6.1,0.2,61.1,2.04,"145-882B-9H-3,40-42"
74.4,1740.7,80.39,4.1,0.15,37.7,1.37,"145-882B-9H-3,50-52"
74.5,1742.3,80.48,3.5,0.13,34.7,1.26,"145-882B-9H-3,60-63"
74.7,1745.8,80.67,14.1,0.5,56.3,1.99,"145-882B-9H-3,80-82"
74.8,1747.5,80.76,2,0.08,88.6,3.53,"145-882B-9H-3,90-93"
74.9,1749.3,80.86,2.4,0.08,81.3,2.86,"145-882B-9H-3,100-103"
