depth,age_ka,d18O
60.16,858.73,3.28
60.21,859.99,3.36
60.26,861.25,3.81
60.31,862.52,4.03
60.36,863.78,3.56
60.36,863.78,4.03
60.41,865.04,4.02
60.46,866.3,4.18
60.56,868.83,4.31
60.71,872.62,4.9
60.76,873.88,4.82
60.81,875.14,4.71
60.86,876.4,4.95
60.91,877.71,4.94
60.96,879.23,4.74
61.01,880.74,4.69
61.06,882.26,4.51
61.11,884.11,4.48
61.16,886.01,4.38
61.21,887.9,4.41
61.21,887.9,4.3
61.26,889.57,4.29
61.31,891.08,4.29
61.36,892.35,4.3
61.36,892.35,4.35
61.41,893.62,4.36
61.46,894.88,4.15
61.51,896.14,4.53
61.66,899.93,4.32
61.71,901.19,4.05
61.76,902.46,4.01
61.81,903.72,4.17
61.86,904.98,4.1
61.91,906.24,4
61.96,907.51,3.99
62.01,908.77,4.11
62.06,910.03,3.92
62.11,911.29,4.13
62.16,912.56,3.93
62.16,912.56,3.84
62.21,913.82,3.77
62.21,913.82,3.87
62.26,915.08,4.03
62.31,916.34,4.05
62.36,917.61,4.14
62.41,918.87,4.76
62.46,920.13,4.7
62.51,921.4,4.33
62.56,922.66,4.58
62.61,923.92,4.48
62.66,925.18,4.58
62.71,926.44,4.48
62.76,927.71,4.42
62.81,928.97,3.99
62.86,930.23,3.87
62.91,931.49,4.04
62.96,932.76,4.4
63.01,934.02,3.83
63.16,937.5,3.82
63.21,938.63,3.73
63.26,939.64,3.76
63.31,940.65,3.64
63.36,941.66,3.62
63.41,942.67,3.54
63.46,943.67,3.5
63.51,944.61,3.36
63.56,945.56,3.16
63.56,945.56,3.32
63.66,947.45,3.35
63.76,949.35,3.27
63.81,950.18,3.33
63.86,950.94,3.22
63.91,951.7,3.41
63.96,952.46,3.2
64.01,953.21,3.31
64.01,953.21,3.22
64.06,953.97,3.34
64.11,954.73,3.05
64.16,955.49,3.21
64.21,956.34,3.09
64.26,957.35,3.23
64.31,958.36,3.95
64.36,959.37,3.97
64.41,960.38,4.22
64.46,961.44,4.6
64.51,962.58,4.74
64.66,966.13,4.52
64.71,967.39,4.18
64.76,968.65,4.04
64.81,969.92,3.92
64.81,969.92,3.96
64.86,971.18,3.94
64.91,972.44,4.06
64.96,973.71,4.1
65.01,974.97,3.74
65.06,976.23,3.75
65.11,977.49,3.71
65.21,980.02,3.68
65.26,981.28,3.8
65.31,982.54,4.13
65.36,983.81,4.21
65.41,985.07,4.27
65.41,985.07,4.31
65.41,985.07,4.14
65.41,985.07,4.26
65.41,985.07,4.24
65.41,985.07,4.1
65.46,986.33,4.27
65.46,986.33,4.17
65.51,987.59,4.13
65.56,988.86,3.98
65.61,990.12,3.88
65.71,992.65,3.92
65.76,993.91,3.8
65.86,996.38,3.79
65.91,997.51,3.78
65.96,998.65,3.93
66.01,999.78,3.94
66.16,1003.19,4.39
66.21,1004.33,4.25
66.26,1005.47,4.26
66.26,1005.47,4.04
66.31,1006.6,4.29
66.36,1007.74,4.1
66.41,1008.88,4.18
66.46,1010.01,3.95
66.46,1010.01,3.95
66.56,1012.28,4.24
66.61,1013.42,3.97
66.66,1014.56,4.03
66.76,1016.83,3.89
66.76,1016.83,4.01
66.81,1017.97,3.9
66.86,1019.1,3.92
66.91,1020.24,3.77
66.96,1021.38,3.76
67.01,1022.51,3.73
67.06,1023.65,3.5
67.05,1023.42,3.73
67.55,1034.95,3.76
67.2,1026.83,3.95
67.25,1027.97,3.62
67.3,1029.1,3.86
67.35,1030.24,3.74
67.4,1031.38,3.79
67.45,1032.51,3.83
67.5,1033.69,4.09
67.55,1034.95,4.47
67.62,1036.72,4.49
67.62,1036.72,4.32
67.65,1037.48,4.53
67.7,1038.74,4.37
67.75,1040,4.18
67.8,1041.26,4.52
67.85,1042.53,4.34
67.9,1043.79,4.4
67.95,1045.06,4.47
68,1046.44,4.39
68.05,1047.95,4.4
68.11,1050.16,4.3
68.15,1051.67,4.56
68.2,1053.56,4.35
68.23,1054.7,3.96
68.3,1057.35,4.57
68.35,1059.25,4
68.4,1061.05,4.24
68.45,1062.57,3.75
68.5,1063.93,3.65
68.55,1065.19,3.43
68.58,1065.95,3.39
68.65,1067.72,3.27
68.74,1069.93,3.43
68.89,1073.34,3.32
69.04,1076.75,3.53
69.19,1080.16,3.7
69.19,1080.16,3.04
69.34,1083.57,3.7
69.49,1086.98,4.05
69.64,1090.13,4.04
69.79,1093.16,4.13
69.94,1096.2,4.25
70.09,1099.16,4.29
70.24,1102,4.04
70.39,1104.73,3.64
70.54,1107,3.71
70.69,1109.28,3.78
70.84,1111.55,3.7
70.84,1111.55,3.72
70.84,1111.55,2.81
70.99,1114.02,3.92
71.14,1116.86,4.16
71.44,1122.54,4.24
71.59,1125.38,4.11
71.74,1128.22,4.09
71.89,1131.07,4.27
72.04,1133.91,4.17
72.04,1133.91,4.51
72.04,1133.91,4.75
72.19,1136.75,4.38
72.34,1139.59,4.2
72.64,1145.27,3.61
72.64,1145.27,3.4
72.79,1148.11,4.12
72.94,1150.95,3.72
73.09,1153.79,3.59
