depth,age_ka,d18O
114.27,2407.95,3.36
114.35,2409.6,3.23
114.43,2411.24,3.3
114.52,2412.89,3.36
114.6,2414.53,3.28
114.68,2416.18,3.39
114.76,2417.83,3.37
114.85,2419.48,3.65
114.94,2421.4,4.02
115.05,2423.49,4.01
115.15,2425.58,4.41
115.26,2427.61,4.3
115.34,2429.35,4.07
115.43,2431.1,4.26
115.52,2432.85,3.93
115.61,2434.6,4.12
115.7,2436.46,3.71
115.78,2438.47,4.1
115.87,2440.49,4.13
115.98,2442.94,4.04
116.07,2444.98,3.74
116.17,2447.43,3.91
116.3,2450.3,3.7
116.4,2452.74,3.47
116.5,2455.06,3.52
116.62,2457.83,3.3
116.72,2460.15,3.16
116.82,2462.47,3.23
116.92,2464.79,3.21
117.02,2467.12,3.2
117.12,2469.44,3.36
117.22,2471.76,3.24
117.32,2474.08,3.51
117.42,2476.4,3.53
117.52,2478.72,3.78
117.62,2481.04,3.83
117.72,2483.36,3.83
117.82,2485.68,4.52
117.92,2488,4.4
118.02,2489.74,4.43
118.12,2491.47,4.06
118.22,2493.21,3.97
118.32,2494.94,3.84
118.42,2496.68,3.71
118.52,2498.41,3.59
118.62,2500.14,3.26
118.72,2501.88,3.22
118.92,2505.35,3.43
119.02,2507.09,3.63
119.04,2507.43,3.5
119.06,2507.78,3.56
119.08,2508.13,3.29
119.1,2508.47,3.66
119.12,2508.82,3.63
119.14,2509.17,3.64
119.16,2509.51,3.46
119.18,2509.86,3.7
119.2,2510.21,3.56
119.22,2510.55,3.7
119.26,2511.25,3.93
119.28,2511.6,4.09
119.3,2511.94,4.13
119.32,2512.29,4.27
119.34,2512.64,4.58
119.36,2512.98,4.34
119.38,2513.33,4.33
119.4,2513.68,4.07
119.42,2514.02,4.23
119.44,2514.37,4.3
119.46,2514.72,4.16
119.48,2515.07,4.31
119.5,2515.41,4.4
119.52,2515.76,4.39
119.54,2516.11,4.35
119.56,2516.45,4.26
119.58,2516.8,4.39
119.6,2517.14,4.39
119.62,2517.49,4.46
119.64,2517.84,4.43
119.66,2518.18,4.41
119.68,2518.53,4.4
119.7,2518.87,4.22
119.72,2519.22,4.36
119.74,2519.58,3.97
119.76,2519.94,4.07
119.78,2520.3,3.94
119.8,2520.66,4.24
119.82,2521.01,4.31
119.84,2521.37,4.08
119.86,2521.73,4.11
119.88,2522.09,4.18
119.9,2522.45,4.21
119.92,2522.81,4.45
119.94,2523.21,4.41
119.96,2523.62,4.3
119.98,2524.02,4.11
120,2524.42,4.25
120.02,2524.82,4.3
120.04,2525.23,4.3
120.06,2525.63,4.24
120.08,2526.03,4.35
120.1,2526.44,4.23
120.12,2526.84,4.08
120.14,2527.25,4.07
120.16,2527.65,4.23
120.18,2528.06,4.09
120.2,2528.46,4.1
120.22,2528.86,4.11
120.24,2529.27,3.99
120.26,2529.67,3.91
120.28,2530.07,3.93
120.3,2530.48,3.48
120.32,2530.88,3.86
120.34,2531.28,3.86
120.36,2531.69,3.62
120.42,2532.9,3.91
120.44,2533.3,3.71
120.54,2535.32,3.57
120.64,2537.34,3.46
120.74,2539.35,3.24
120.84,2541.37,3.26
120.94,2543.39,3.09
121.04,2545.41,3.08
121.14,2547.43,3.06
121.24,2549.45,3.19
121.34,2551.46,3.37
121.46,2553.89,3.36
121.56,2555.91,3.42
121.66,2557.93,3.45
121.76,2559.95,3.39
121.86,2561.96,3.53
121.96,2563.98,3.55
122.06,2566.01,3.46
122.16,2568.03,3.46
122.26,2570.07,3.45
122.36,2572.11,3.4
122.46,2574.15,3.42
122.56,2576.18,3.29
122.66,2578.22,3.21
122.76,2580.35,3.08
122.82,2581.47,3.23
122.86,2582.22,3.09
122.95,2584.1,3.37
123.04,2585.98,3.16
123.15,2588.2,3.28
123.27,2590.56,3.69
123.38,2592.91,3.65
123.5,2595.27,3.77
123.61,2597.63,4.17
123.73,2600.23,4.03
123.85,2603,3.46
123.96,2605.88,3.9
124.08,2608.82,3.74
124.19,2611.76,3.66
124.32,2614.91,3.4
124.44,2618.06,3.21
124.57,2621.22,3.09
124.64,2623.19,3.23
124.72,2625.16,3.34
124.74,2625.67,3.11
124.84,2628.21,3.24
124.94,2630.75,3.03
125.04,2633.29,3.47
125.14,2635.83,3.44
125.24,2638.37,3.62
125.34,2640.92,3.49
125.44,2643.46,3.82
125.55,2646.17,3.82
125.65,2648.49,3.73
125.76,2650.97,3.59
125.86,2653.23,3.59
125.96,2655.48,3.37
126.06,2657.74,3.34
126.16,2660,3.15
126.26,2662.26,3.14
126.36,2664.52,3.13
126.46,2666.77,3.12
126.56,2669.03,3.11
126.66,2671.29,3.13
126.76,2673.55,3.13
126.86,2675.81,3.23
126.96,2678.06,3.55
127.06,2680.32,3.47
127.16,2682.58,3.52
127.26,2684.84,3.5
127.36,2687.1,3.83
127.46,2688.93,3.86
127.56,2690.54,3.9
127.66,2692.13,3.93
127.76,2693.72,3.68
127.86,2695.32,3.71
127.96,2696.91,3.67
128.06,2698.5,3.65
128.16,2700.09,3.59
128.26,2701.68,3.72
128.36,2703.27,3.7
128.46,2704.86,3.89
128.56,2706.45,3.84
128.66,2708.04,3.95
128.76,2709.63,4.01
128.86,2711.22,3.87
128.96,2712.82,3.96
129.06,2714.41,4.09
129.16,2716.18,4.01
129.26,2718.44,3.88
129.36,2720.88,3.88
129.46,2723.32,3.93
129.56,2725.76,3.74
129.66,2728.2,3.67
129.76,2730.64,3.65
129.86,2733.07,3.49
129.96,2735.51,3.11
130.06,2737.95,3.29
130.16,2740.39,3.08
