site,hole,core,section,top,bottom,mcd,age_ka,d18O,FeCa,MnCa,AlCa,MgCa,BWT,d18O_sw,RSL
1313,C,12,3,112,114,114.12,2413.84,3.36,0.078,0.353,0.549,1.99,6.48,0.25,-22.65
1313,C,12,3,132,134,114.32,2417.78,3.22,0.091,0.383,0.661,2.55,8.67,0.22,-19.86
1313,C,12,4,0,2,114.47,2420.74,3.20,0.082,0.382,0.278,2.14,7.13,0.12,-11.04
1313,C,12,4,8,10,114.57,2422.71,3.36,0.083,0.310,0.435,2.32,7.86,0.32,-28.89
1313,C,12,4,16,18,114.66,2424.48,3.41,0.101,0.503,0.285,2.27,7.67,0.36,-32.60
1313,C,12,4,24,26,114.74,2426.05,3.54,0.094,0.521,0.287,1.88,6.01,0.41,-36.87
1313,C,12,4,28,30,114.78,2426.84,3.54,0.098,0.420,0.242,2.04,6.73,0.44,-40.13
1313,C,12,4,32,34,114.82,2427.63,,0.117,0.356,0.216,2.36,8.00,,
1313,C,12,4,36,38,114.86,2428.42,3.68,0.119,0.473,0.184,1.93,6.23,0.56,-50.59
1313,C,12,4,40,42,114.90,2429.21,4.53,0.124,0.591,0.323,1.93,6.26,1.41,-128.01
1313,C,12,4,44,46,114.94,2430.00,4.53,0.090,0.551,0.189,2.29,7.76,1.48,-134.80
1313,C,12,4,48,50,114.98,2430.79,4.45,0.084,0.488,0.328,1.83,5.79,1.30,-118.59
1313,C,12,4,52,54,115.02,2431.58,4.46,0.201,0.444,0.193,2.07,6.89,1.37,-124.49
1313,C,12,4,56,58,115.06,2432.37,4.10,0.116,0.442,0.207,1.73,5.28,0.93,-84.44
1313,C,12,4,60,62,115.10,2433.16,4.49,0.074,0.449,0.339,1.88,6.04,1.36,-123.35
1313,C,12,4,64,66,115.14,2433.94,4.47,0.063,0.390,0.235,1.69,5.10,1.29,-117.25
1313,C,12,4,72,74,115.22,2435.52,4.39,0.086,0.545,0.282,1.94,6.32,1.27,-115.57
1313,C,12,4,80,82,115.30,2437.10,4.41,0.065,0.394,0.275,1.82,5.76,1.26,-114.81
1313,C,12,4,84,86,115.34,2437.88,4.45,0.066,0.417,0.190,1.81,5.69,1.30,-118.12
