
Leg,Site,H,Core,T,Sec,Top (cm),Depth (mbsf),Magnetic Suscept.,Corrected Suscept.
198,1209,A,  1,H,  1,     6.0,       0.060,           19.200,             19.21,
198,1209,A,  1,H,  1,     9.0,       0.090,           19.800,             19.83,
198,1209,A,  1,H,  1,    12.0,       0.120,           21.200,             21.24,
198,1209,A,  1,H,  1,    15.0,       0.150,           22.600,             22.65,
198,1209,A,  1,H,  1,    18.0,       0.180,           23.200,             23.26,
198,1209,A,  1,H,  1,    21.0,       0.210,           22.000,             22.08,
198,1209,A,  1,H,  1,    24.0,       0.240,           21.200,             21.29,
198,1209,A,  1,H,  1,    27.0,       0.270,           19.400,             19.50,
198,1209,A,  1,H,  1,    30.0,       0.300,           19.000,             19.11,
198,1209,A,  1,H,  1,    33.0,       0.330,           20.800,             20.92,
198,1209,A,  1,H,  1,    36.0,       0.360,           19.600,             19.74,
198,1209,A,  1,H,  1,    39.0,       0.390,           20.600,             20.75,
198,1209,A,  1,H,  1,    42.0,       0.420,           21.800,             21.96,
198,1209,A,  1,H,  1,    45.0,       0.450,           22.000,             22.17,
198,1209,A,  1,H,  1,    48.0,       0.480,           23.600,             23.79,
198,1209,A,  1,H,  1,    51.0,       0.510,           25.000,             25.20,
198,1209,A,  1,H,  1,    54.0,       0.540,           25.400,             25.61,
198,1209,A,  1,H,  1,    57.0,       0.570,           25.400,             25.64,
198,1209,A,  1,H,  1,    60.0,       0.600,           24.400,             24.67,
198,1209,A,  1,H,  1,    63.0,       0.630,           24.000,             24.31,
198,1209,A,  1,H,  1,    66.0,       0.660,           23.200,             23.54,
198,1209,A,  1,H,  1,    69.0,       0.690,           23.800,             24.17,
198,1209,A,  1,H,  1,    72.0,       0.720,           26.200,             26.60,
198,1209,A,  1,H,  1,    75.0,       0.750,           30.200,             30.63,
198,1209,A,  1,H,  1,    78.0,       0.780,           29.600,             30.06,
198,1209,A,  1,H,  1,    81.0,       0.810,           29.400,             29.90,
198,1209,A,  1,H,  1,    84.0,       0.840,           29.600,             30.13,
198,1209,A,  1,H,  1,    87.0,       0.870,           28.600,             29.16,
198,1209,A,  1,H,  1,    90.0,       0.900,           27.200,             27.79,
198,1209,A,  1,H,  1,    93.0,       0.930,           27.400,             28.03,
198,1209,A,  1,H,  1,    96.0,       0.960,           33.000,             33.66,
198,1209,A,  1,H,  1,    99.0,       0.990,           29.800,             30.49,
198,1209,A,  1,H,  1,   102.0,       1.020,           28.800,             29.52,
198,1209,A,  1,H,  1,   105.0,       1.050,           32.000,             32.76,
198,1209,A,  1,H,  1,   108.0,       1.080,           35.800,             36.59,
198,1209,A,  1,H,  1,   111.0,       1.110,           37.200,             38.02,
198,1209,A,  1,H,  1,   114.0,       1.140,           42.000,             42.85,
198,1209,A,  1,H,  1,   117.0,       1.170,           51.800,             52.68,
198,1209,A,  1,H,  1,   120.0,       1.200,           54.600,             55.51,
198,1209,A,  1,H,  1,   123.0,       1.230,           54.400,             55.35,
198,1209,A,  1,H,  1,   126.0,       1.260,           42.600,             43.58,
198,1209,A,  1,H,  1,   129.0,       1.290,           33.200,             34.21,
198,1209,A,  1,H,  1,   132.0,       1.320,           25.200,             26.24,
198,1209,A,  1,H,  1,   135.0,       1.350,           19.400,             20.48,
198,1209,A,  1,H,  1,   138.0,       1.380,           17.200,             18.31,
198,1209,A,  1,H,  1,   141.0,       1.410,           13.600,             14.74,
198,1209,A,  1,H,  1,   144.0,       1.440,           11.000,             12.17,
198,1209,A,  1,H,  2,     6.0,       1.560,            9.400,              9.41,
198,1209,A,  1,H,  2,     9.0,       1.590,            9.400,              9.42,
198,1209,A,  1,H,  2,    12.0,       1.620,            9.400,              9.42,
198,1209,A,  1,H,  2,    15.0,       1.650,            9.000,              9.03,
198,1209,A,  1,H,  2,    18.0,       1.680,            8.000,              8.04,
198,1209,A,  1,H,  2,    21.0,       1.710,            7.600,              7.65,
198,1209,A,  1,H,  2,    24.0,       1.740,            6.600,              6.66,
198,1209,A,  1,H,  2,    27.0,       1.770,            6.400,              6.46,
198,1209,A,  1,H,  2,    30.0,       1.800,            5.800,              5.87,
198,1209,A,  1,H,  2,    33.0,       1.830,            6.200,              6.28,
198,1209,A,  1,H,  2,    36.0,       1.860,            5.400,              5.49,
198,1209,A,  1,H,  2,    39.0,       1.890,            5.200,              5.29,
198,1209,A,  1,H,  2,    42.0,       1.920,            5.600,              5.70,
198,1209,A,  1,H,  2,    45.0,       1.950,            6.400,              6.51,
198,1209,A,  1,H,  2,    48.0,       1.980,            7.400,              7.52,
198,1209,A,  1,H,  2,    51.0,       2.010,            8.200,              8.32,
198,1209,A,  1,H,  2,    54.0,       2.040,            9.000,              9.13,
198,1209,A,  1,H,  2,    57.0,       2.070,            9.800,              9.95,
198,1209,A,  1,H,  2,    60.0,       2.100,           10.000,             10.17,
198,1209,A,  1,H,  2,    63.0,       2.130,           11.000,             11.19,
198,1209,A,  1,H,  2,    66.0,       2.160,           13.000,             13.21,
198,1209,A,  1,H,  2,    69.0,       2.190,           13.800,             14.03,
198,1209,A,  1,H,  2,    72.0,       2.220,           15.000,             15.25,
198,1209,A,  1,H,  2,    75.0,       2.250,           22.200,             22.47,
198,1209,A,  1,H,  2,    78.0,       2.280,           30.600,             30.89,
198,1209,A,  1,H,  2,    81.0,       2.310,           35.800,             36.11,
198,1209,A,  1,H,  2,    84.0,       2.340,           43.200,             43.53,
198,1209,A,  1,H,  2,    87.0,       2.370,           50.800,             51.15,
198,1209,A,  1,H,  2,    90.0,       2.400,           56.400,             56.77,
198,1209,A,  1,H,  2,    93.0,       2.430,           60.200,             60.59,
198,1209,A,  1,H,  2,    96.0,       2.460,           60.600,             61.01,
198,1209,A,  1,H,  2,    99.0,       2.490,           61.000,             61.43,
198,1209,A,  1,H,  2,   102.0,       2.520,           68.800,             69.25,
198,1209,A,  1,H,  2,   105.0,       2.550,           78.800,             79.27,
198,1209,A,  1,H,  2,   108.0,       2.580,           68.400,             68.89,
198,1209,A,  1,H,  2,   111.0,       2.610,           63.600,             64.11,
198,1209,A,  1,H,  2,   114.0,       2.640,           68.000,             68.53,
198,1209,A,  1,H,  2,   117.0,       2.670,           80.800,             81.35,
198,1209,A,  1,H,  2,   120.0,       2.700,          112.600,            113.17,
198,1209,A,  1,H,  2,   123.0,       2.730,          145.600,            146.19,
198,1209,A,  1,H,  2,   126.0,       2.760,          126.600,            127.21,
198,1209,A,  1,H,  2,   129.0,       2.790,           44.000,             44.63,
198,1209,A,  1,H,  2,   132.0,       2.820,           18.800,             19.45,
198,1209,A,  1,H,  2,   135.0,       2.850,           14.800,             15.47,
198,1209,A,  1,H,  2,   138.0,       2.880,           15.400,             16.09,
198,1209,A,  1,H,  2,   141.0,       2.910,           16.600,             17.31,
198,1209,A,  1,H,  2,   144.0,       2.940,           15.000,             15.73,
198,1209,A,  1,H,  3,     6.0,       3.060,           17.400,             17.40,
198,1209,A,  1,H,  3,     9.0,       3.090,           17.400,             17.40,
198,1209,A,  1,H,  3,    12.0,       3.120,           17.800,             17.80,
198,1209,A,  1,H,  3,    15.0,       3.150,           19.000,             19.00,
198,1209,A,  1,H,  3,    18.0,       3.180,           19.800,             19.80,
198,1209,A,  1,H,  3,    21.0,       3.210,           21.800,             21.80,
198,1209,A,  1,H,  3,    24.0,       3.240,           24.000,             24.00,
198,1209,A,  1,H,  3,    27.0,       3.270,           25.800,             25.80,
198,1209,A,  1,H,  3,    30.0,       3.300,           28.000,             28.00,
198,1209,A,  1,H,  3,    33.0,       3.330,           31.400,             31.40,
198,1209,A,  1,H,  3,    36.0,       3.360,           34.600,             34.60,
198,1209,A,  1,H,  3,    39.0,       3.390,           39.800,             39.80,
198,1209,A,  1,H,  3,    42.0,       3.420,           56.800,             56.80,
198,1209,A,  1,H,  3,    45.0,       3.450,           89.200,             89.20,
198,1209,A,  1,H,  3,    48.0,       3.480,          115.800,            115.80,
198,1209,A,  1,H,  3,    51.0,       3.510,          112.800,            112.80,
198,1209,A,  1,H,  3,    54.0,       3.540,           73.400,             73.40,
198,1209,A,  1,H,  3,    57.0,       3.570,           44.400,             44.40,
198,1209,A,  1,H,  3,    60.0,       3.600,           26.400,             26.40,
198,1209,A,  1,H,  3,    63.0,       3.630,           16.400,             16.40,
198,1209,A,  1,H,  3,    66.0,       3.660,           16.800,             16.80,
198,1209,A,  1,H,  3,    69.0,       3.690,           17.800,             17.80,
198,1209,A,  1,H,  3,    72.0,       3.720,           19.200,             19.20,
198,1209,A,  1,H,  3,    75.0,       3.750,           21.800,             21.80,
198,1209,A,  1,H,  3,    78.0,       3.780,           29.000,             29.00,
198,1209,A,  1,H,  3,    81.0,       3.810,           31.200,             31.20,
198,1209,A,  1,H,  3,    84.0,       3.840,           42.400,             42.40,
198,1209,A,  1,H,  3,    87.0,       3.870,           42.800,             42.80,
198,1209,A,  1,H,  3,    90.0,       3.900,           30.600,             30.60,
198,1209,A,  1,H,  3,    93.0,       3.930,           27.000,             27.00,
198,1209,A,  1,H,  3,    96.0,       3.960,           16.800,             16.80,
198,1209,A,  1,H,  3,    99.0,       3.990,           18.000,             18.00,
198,1209,A,  1,H,  3,   102.0,       4.020,           20.200,             20.20,
198,1209,A,  1,H,  3,   105.0,       4.050,           21.400,             21.40,
198,1209,A,  1,H,  3,   108.0,       4.080,           22.200,             22.20,
198,1209,A,  1,H,  3,   111.0,       4.110,           23.000,             23.00,
198,1209,A,  1,H,  3,   114.0,       4.140,           21.600,             21.60,
198,1209,A,  1,H,  3,   117.0,       4.170,           20.000,             20.00,
198,1209,A,  1,H,  3,   120.0,       4.200,           20.000,             20.00,
198,1209,A,  1,H,  3,   123.0,       4.230,           20.000,             20.00,
198,1209,A,  1,H,  3,   126.0,       4.260,           20.200,             20.20,
198,1209,A,  1,H,  3,   129.0,       4.290,           20.400,             20.40,
198,1209,A,  1,H,  3,   132.0,       4.320,           22.600,             22.60,
198,1209,A,  1,H,  3,   135.0,       4.350,           22.000,             22.00,
198,1209,A,  1,H,  3,   138.0,       4.380,           23.000,             23.00,
198,1209,A,  1,H,  3,   141.0,       4.410,           25.000,             25.00,
198,1209,A,  1,H,  3,   144.0,       4.440,           30.400,             30.40,
198,1209,A,  1,H,  4,     6.0,       4.560,           12.600,             12.62,
198,1209,A,  1,H,  4,     9.0,       4.590,           10.400,             10.43,
198,1209,A,  1,H,  4,    12.0,       4.620,            9.000,              9.05,
198,1209,A,  1,H,  4,    15.0,       4.650,            8.400,              8.46,
198,1209,A,  1,H,  4,    18.0,       4.680,            8.000,              8.08,
198,1209,A,  1,H,  4,    21.0,       4.710,            7.800,              7.89,
198,1209,A,  1,H,  4,    24.0,       4.740,            7.400,              7.50,
198,1209,A,  1,H,  4,    27.0,       4.770,            7.400,              7.52,
198,1209,A,  1,H,  4,    30.0,       4.800,            8.400,              8.53,
198,1209,A,  1,H,  4,    33.0,       4.830,            9.200,              9.35,
198,1209,A,  1,H,  4,    36.0,       4.860,            9.400,              9.56,
198,1209,A,  1,H,  4,    39.0,       4.890,            9.200,              9.38,
198,1209,A,  1,H,  4,    42.0,       4.920,            9.000,              9.19,
198,1209,A,  1,H,  4,    45.0,       4.950,            9.000,              9.21,
198,1209,A,  1,H,  4,    48.0,       4.980,            8.800,              9.02,
198,1209,A,  1,H,  4,    51.0,       5.010,            9.400,              9.63,
198,1209,A,  1,H,  4,    54.0,       5.040,            8.200,              8.45,
198,1209,A,  1,H,  4,    57.0,       5.070,            7.000,              7.29,
198,1209,A,  1,H,  4,    60.0,       5.100,            7.200,              7.52,
198,1209,A,  1,H,  4,    63.0,       5.130,            5.800,              6.16,
198,1209,A,  1,H,  4,    66.0,       5.160,            4.400,              4.80,
198,1209,A,  1,H,  4,    69.0,       5.190,            4.000,              4.43,
198,1209,A,  1,H,  4,    72.0,       5.220,            4.800,              5.27,
198,1209,A,  1,H,  4,    75.0,       5.250,            5.200,              5.71,
198,1209,A,  1,H,  4,    78.0,       5.280,            5.200,              5.74,
198,1209,A,  1,H,  4,    81.0,       5.310,            5.400,              5.99,
198,1209,A,  1,H,  4,    84.0,       5.340,            5.400,              6.02,
198,1209,A,  1,H,  4,    87.0,       5.370,            5.000,              5.66,
198,1209,A,  1,H,  4,    90.0,       5.400,            5.400,              6.10,
198,1209,A,  1,H,  4,    93.0,       5.430,            5.200,              5.94,
198,1209,A,  1,H,  4,    96.0,       5.460,            5.000,              5.77,
198,1209,A,  1,H,  4,    99.0,       5.490,            6.000,              6.81,
198,1209,A,  1,H,  4,   102.0,       5.520,            6.400,              7.25,
198,1209,A,  1,H,  4,   105.0,       5.550,            6.600,              7.49,
198,1209,A,  1,H,  4,   108.0,       5.580,            6.600,              7.52,
198,1209,A,  1,H,  4,   111.0,       5.610,            6.800,              7.76,
198,1209,A,  1,H,  4,   114.0,       5.640,            7.000,              8.00,
198,1209,A,  1,H,  4,   117.0,       5.670,            7.800,              8.84,
198,1209,A,  1,H,  4,   120.0,       5.700,            7.400,              8.47,
198,1209,A,  1,H,  4,   123.0,       5.730,            9.800,             10.91,
198,1209,A,  1,H,  4,   126.0,       5.760,           10.800,             11.95,
198,1209,A,  1,H,  4,   129.0,       5.790,           11.600,             12.79,
198,1209,A,  1,H,  4,   132.0,       5.820,           12.600,             13.83,
198,1209,A,  1,H,  4,   135.0,       5.850,           14.200,             15.46,
198,1209,A,  1,H,  4,   138.0,       5.880,           17.400,             18.70,
198,1209,A,  1,H,  5,     6.0,       6.060,           41.800,             41.81,
198,1209,A,  1,H,  5,     9.0,       6.090,           22.200,             22.22,
198,1209,A,  1,H,  5,    12.0,       6.120,           15.000,             15.02,
198,1209,A,  1,H,  5,    15.0,       6.150,           14.400,             14.43,
198,1209,A,  1,H,  5,    18.0,       6.180,           14.800,             14.84,
